"category","name","strategy"
"eth lst","stETH","0x93c4b944D05dfe6df7645A86cd2206016c51564D"
"eth lst","rETH","0x1BeE69b7dFFfA4E2d53C2a2Df135C388AD25dCD2"
"eth lst","cbETH","0x54945180dB7943c0ed0FEE7EdaB2Bd24620256bc"
"eth lst","ETHx","0x9d7eD45EE2E8FC5482fa2428f15C971e6369011d"
"eth lst","ankrETH","0x13760F50a9d7377e4F20CB8CF9e4c26586c658ff"
"eth lst","oETH","0xa4C637e0F704745D182e4D38cAb7E7485321d059"
"eth lst","osETH","0x57ba429517c3473B6d34CA9aCd56c0e735b94c02"
"eth lst","swETH","0x0Fe4F44beE93503346A3Ac9EE5A26b130a5796d6"
"eth lst","wBETH","0x7CA911E83dabf90C90dD3De5411a10F1A6112184"
"eth lst","sfrxETH","0x8CA7A5d6f3acd3A7A8bC468a8CD0FB14B6BD28b6"
"eth lst","lsETH","0xAe60d8180437b5C34bB956822ac2710972584473"
"eth lst","mETH","0x298aFB19A105D59E74658C4C334Ff360BadE6dd2"
"eth native","ETH","0xbeac0eeeeeeeeeeeeeeeeeeeeeeeeeeeeeebeac0"
"eigen","EIGEN","0xacb55c530acdb2849e6d4f36992cd8c9d50ed8f7"
