evt_tx_hash,block_date,evt_block_number,nonce,curr,sum_assured,premium,premium_nxm
0x3d17d3780fd91c0f7aa903c9896fb120021da09c01c49f1559b9db59c560b535,2020-09-17,10876529,6,0x44414900,7000,14948665297741273101,287664052857510104
0x1e82e2344db0df165a33144de1a1ae03ef6b719e14eaae9c8efbb7f4fd61d0fd,2021-05-13,12426692,182,0x45544800,100,2598220396988364134,67906262443332945192
0x19dd933e545568969ed6a280402678ed0710373253ccc09c0b7ad0f0707da8c7,2021-06-03,12563849,8,0x44414900,199990,5196180971937029432000,48412180314777477863
0x421c28be93bb073d892167c495d78c23b64ff1e1a6498a00d8f9431703b300f0,2021-10-08,13381235,60,0x45544800,7,291409892040237160,7625115045459374767
0x6bc81b559825fbbe226b0a1cc12105350cb63832895b00843a3035db6d122dca,2021-06-30,12732814,481,0x44414900,10,21355236139630390,258464422689555
0x5cc603125bff5531ff47f59d5d92937801e78e237d0ad3338071002eaae118a6,2020-09-23,10917140,206,0x45544800,1,264379541596095096,2290909246379685916
0x401669a0addde8cf5a46f6716bd6c9cfaf2e63ae9fe52109e9d2f1db46c9be21,2020-03-09,9638893,5,0x45544800,100,251612137805000000,16663055483774834437
0xd16961665ce24cf7954f43ea357a2f02104f31eee1c5025ec7349d93bb06de76,2020-10-21,11102027,4,0x45544800,2,8826830937713894,127040429765118192
0xf7891850235b65c19f8b003d115342309d0489eb2fb0670a2cab6cd3c0b177b7,2020-10-21,11101964,3,0x45544800,1,4271047227926078,61471175692799125
0xe9f1b513c2dafc74fa98034b3d64406aa3ce2e416d73ab2d8e5f52d38b1d0d10,2020-08-24,10723520,830,0x45544800,100,213552361396303901,1727626918627435150
0x3efd959b832b08b6e1533bd75d9dcd91a19bccd8963758f5d65a09e38759feea,2020-02-04,9414824,34,0x45544800,23,147351129363000000,9758352937947020000
0x93cf6fa602814d0b86cc4ff3610379f5cff201cca9911f8b7c5b5c41f918b425,2022-04-07,14539959,1732,0x44414900,5000000,10677618069815195072000,98568631835214641115
0x1b9e5a66e53f8c99d008a5bac8ef99b3856bfca8bbc456231695e9916f034eec,2022-03-31,14491344,250,0x44414900,90000,2338398357289527720800,20492166548760939433
0x04892b8eaaba472ceb6c6256c6cf1e7e71fc4622b73475304963ef50fd111b38,2022-04-18,14606859,114,0x44414900,8000,207857631759069130730,2048895783579077358
0x568e7e9ecd891af271a9999ccf4c5577f106fca2dbd46dc60f89e03f458d2a00,2022-10-06,15690620,287,0x44414900,4000000,8542094455852156057600,192644011100481246950
0x97dfac2c0d3789bae8618f1770bb3c7d8bab7cb32b2b7131d258b7955859fa11,2022-10-06,15690618,286,0x44414900,3000000,6406570841889117043200,144483008325360935210
0xaa5c0ad80db0f0bf41b22dce04d3a424bdee894de8360d452d91ce2b5c5175f6,2022-10-06,15688972,58,0x44414900,295000,2374715050318938612500,53000323581000704789
0x26d095e1a0104852c0312cc948ddfd93170f7d40811913384fb72e86b86a9e0f,2022-10-06,15688347,199,0x44414900,1050000,2242299794661190965100,50044999995554529752
0x13e90042b4313dfa9fe4b4fe72506671c638226fa01354d90fea1ee203e7a11e,2022-10-06,15690758,289,0x44414900,3000000,6406570841889117043200,144483008325360935210
0xdcbd93d26e33bad5b6caceec9cdb0dd21e4f8e7e1efc627479d2d4a3e1e4a939,2022-10-25,15825287,30,0x45544800,38,81149897330595482,2467414916907736170
0xf28631c430b4534d20c3e22c64629275ff6805bac9725daafec0d6bd54a422f2,2022-10-25,15825018,554,0x45544800,24,623572895277207392,18960135677291025313
0xc03982b222d82fe0fc9722c64ba44e4927eb9026b3445c8c669f238c21a94e4f,2022-05-13,14765857,216,0x45544800,20,128131416837782340,3771204759732332476
0x2105ddbcb161100711bacf4f8ad90391671f0610daeaef5e89dbce34f9a3a368,2022-05-13,14770274,736,0x45544800,20,42710472279260780,1256337160700812767
0x3350b853bd832388203e4b8691078cc6e591ccc507ff81ef9b28fa022605844d,2022-05-13,14770240,287,0x44414900,1018245,26456249281314168379000,376963868898903671980
0x694ab20dd3a4db82d09edf6229b0905ec0a5d80dfdc715ef538abb8f16e20eb0,2022-05-13,14770111,1647,0x45544800,1,2135523613963039,62835132890379688
0x906e29065bcf2bcbb491784f55b17a0a1e4fd59ccba0198a49bab64da0d03846,2022-05-13,14769134,284,0x44414900,261089,6783667652292950034200,96657601625292400951
0xe5e70df190599e8596c081fe160d7d5c3f4c72992c54a3d71497709f3cab8dd9,2022-05-13,14768433,201,0x45544800,51,653470225872689938,19233144274634895630
