tx_hash,block_number,token_id,amount_original,buyer,seller,platform_fee_amount,royalty_fee_amount
0xaf3b1487587108fa67794e3b7d5198f48af6d3eef3901992850a858f6b5c8496,24104278,10001653972,0.15,0x5b2b22c99140b46385817cd28f74c7b61308cd9d,0xee225cefcc2dd8e579c847c2a5ef197c2e12718c,0.00375,0.00375
0xa00b61a8239d3edafe0b92499354aac150259ad4e628f4400c610fbb206f7021,24109431,10000541405,0.004,0x19a3ac7cf3e38dc8304bbc165f68e3b6271c39dd,0x7c23b1174d22d18964f80e0cc1b77dbb02582d06,0.0001,0.0001
0x68ec12872f717691ac135eae6b74ff799e848c3da93be99d75501154aa61759f,24109159,10003180179,0.03,0xd097cca529c748f6270b33ab9a7809ea6d65268e,0x9e59473c81ae96156d1abbc8cf4f3217f2b5a38f,0.00075,0.00075
0xc75d7d2b1de5c1d86879736ab06f04fe9b3fad5857a45ff18d92548592cd4767,24103697,10004994133,0.03,0x8a184d2f79d955bb2656860a2cc1dae91baf929a,0x3f378c3aa04866d24fef977a63d66cb1aa49cfef,0.00075,0.00075
0x13ff3c8811da9a2731e650d6b6d01fb1db6063f625f3c0b46fefea5bc69b29c8,24102825,4445,0.003,0xb2695fb3541a0208fa7354e65d1024ce77bd4b6a,0xbe519970889ce4b0e8a943546b3d2ca9d0ffcab0,0.00015,0
0x0b19e8e0189f801be2e6e31860f4777b59d10addcd6279c0b6e713cd01101cd9,24106876,6723,0.03,0xc0d5cd09ba291cff45323da442860aed49c1d1ce,0x815e116c9cc4604d3ea481ab55abe829ee885a88,0.0015,0.00075
0x8cd5f3f1a11d86953c7037a8e9bad069a9901c38e7e5ecb4575b6904d2d3558d,24107148,5561,0.007,0x63fb87f239eb496c2429bc8458c15b6b3703f2a7,0x5c445f9025ead784e245557b29e492394e8d3892,0.00035,0.00021
0x58c53cbd4234baa6e8d25070de68bde87b88f9113b13f4123b82ba4a490a27e5,24104625,7476689,0.015,0x2552ad87154d85bbaca83df073076b13d751c8b7,0x1fb78c4154f4c445e4f7037454bb6e4db0512d6a,0.00075,0
0xe79259095a6c37945832fb4314c9fe0cb0e56b35d1651fab209046c429135b2c,24096478,1665387989110,0.42105,0x7002d059cf9262b8ca66c16b3c82b168f6ab2ca2,0x342c0e6bc525f8b7a880f5e61984d91b42131442,0.0210525,0.029473500000000003
0x7f576e5fd74227c5d00892dad8acc103142f7733a2671ba5aaabf7b82376267b,24095153,7628,0.011,0x99f9e36d7c5f02b3501abd526df9dc9ce3e82b42,0x07afd8d6e4f30989b7bf82434a566768abe90e69,0.00055,0
