dex_type,blockchain,dex_project,factory_address
uni-v3,arbitrum,uniswap,0x1f98431c8ad98523631ae4a59f267346ea31f984
uni-v3,ethereum,solidly,0x70fe4a44ea505cfa3a57b95cf2862d4fd5f0f687
uni-v3,base,sushiswap,0xc35dadb65012ec5796536bd9864ed8773abc74c4
uni-v3,arbitrum,solidly,0x70fe4a44ea505cfa3a57b95cf2862d4fd5f0f687
uni-v2,base,xchange,0x8b76c05676d205563ffc1cbd11c0a6e3d83929c5
uni-v2,base,throne_exchange,0xe4806bdd8e010828324928d25587721f6b58bea2
uni-v3,base,kyberswap,0xc7a590291e07b9fe9e64b86c58fd8fc764308c4a
uni-v2,base,moonbase,0xe396465a85dedb00fa8774162b106833de51ea41
uni-v2,base,torus,0x259b3217a01878ea9d64b45ee48231e660863ee7
uni-v2,base,baseswap,0xfda619b6d20975be80a10332cd39b9a4b0faa8bb
uni-v2,arbitrum,dackieswap,0x507940c2469e6e3b33032f1d4ff8d123bdde2f5c
uni-v2,arbitrum,arbswap,0xd394e9cc20f43d2651293756f8d320668e850f1b
uni-v2,base,pancakeswap,0x02a84c1b3bbd7401a5f7fa98a384ebc70bb5749e
uni-v3,arbitrum,kyberswap,0xc7a590291e07b9fe9e64b86c58fd8fc764308c4a
uni-v2,arbitrum,fraxswap,0x5ca135cb8527d76e932f34b5145575f9d8cbe08e
uni-v2,arbitrum,sushiswap,0xc35dadb65012ec5796536bd9864ed8773abc74c4
uni-v2,ethereum,xchange,0x8b76c05676d205563ffc1cbd11c0a6e3d83929c5
uni-v2,base,sharkswap,0x57592d44eb60011500961ef177bff8d8691d5a8b
uni-v2,base,oasisswap,0xc8126578093366968199707b7f8edff258f473b6
uni-v2,arbitrum,oasisswap,0x947d83b35cd2e71df4ac7b359c6761b07d0bce19
uni-v2,arbitrum,zyberswap,0xac2ee06a14c52570ef3b9812ed240bce359772e7
uni-v2,base,swapbased,0x04c9f118d21e8b767d2e50c946f0cc9f6c367300
uni-v3,arbitrum,kyberswap,0x5f1dddbf348ac2fbe22a163e30f99f9ece3dd50a
uni-v3,base,horizondex,0x07aced5690e09935b1c0e6e88b772d9440f64718
uni-v3,base,solidly,0x70fe4a44ea505cfa3a57b95cf2862d4fd5f0f687
uni-v3,arbitrum,ramses,0xaa2cd7477c451e703f3b9ba5663334914763edf8
uni-v2,arbitrum,sharkyswap,0x36800286f652ddc9bdcffedc4e71fdd207c1d07c
uni-v3,ethereum,sushiswap,0xbaceb8ec6b9355dfc0269c18bac9d6e2bdc29c4f
uni-v2,base,autotronic,0x55b3409335b81e7a8b7c085bbb4047ddc23f7257
uni-v2,arbitrum,apeswap,0xcf083be4164828f00cae704ec15a36d711491284
uni-v3,base,uniswap,0x33128a8fc17869897dce68ed026d694621f6fdfd
uni-v2,base,rocketswap,0x1b8128c3a1b7d20053d10763ff02466ca7ff99fc
uni-v2,arbitrum,camelot,0x6eccab422d763ac031210895c81787e87b43a652
uni-v2,arbitrum,integral,0x717ef162cf831db83c51134734a15d1ebe9e516a
uni-v2,base,soswap,0x539db2b4fe8016db2594d7cfbeab4d2b730b723e
uni-v2,base,alienbase,0x3e84d913803b02a4a7f027165e8ca42c14c0fde7
uni-v3,base,baseswap,0x38015d05f4fec8afe15d7cc0386a126574e8077b
uni-v2,arbitrum,pancakeswap,0x02a84c1b3bbd7401a5f7fa98a384ebc70bb5749e
uni-v3,ethereum,uniswap,0x1f98431c8ad98523631ae4a59f267346ea31f984
uni-v2,base,plantbaseswap,0xa081ce40f079a381b59893b4dc0abf8b1817af70
uni-v2,base,sushiswap,0x71524b4f93c58fcbf659783284e38825f0622859
uni-v3,ethereum,kyberswap,0x5f1dddbf348ac2fbe22a163e30f99f9ece3dd50a
uni-v2,arbitrum,spartadex,0xfe8ec10fe07a6a6f4a2584f8cd9fe232930eaf55
uni-v2,arbitrum,uniswap,0xf1d7cc64fb4452f05c498126312ebe29f30fbcf9
uni-v2,base,uniswap,0x8909dc15e40173ff4699343b6eb8132c65e18ec6
uni-v3,arbitrum,sushiswap,0x1af415a1eba07a4986a52b6f2e7de7003d82231e
uni-v2,base,elk_finance,0xfbb4e52fecc90924c79f980eb24a9794ae4affa4
uni-v3,base,derpdex,0xeddef4273518b137cdbcb3a7fa1c6a688303dfe2
uni-v3,ethereum,kyberswap,0xc7a590291e07b9fe9e64b86c58fd8fc764308c4a
uni-v2,base,citadelswap,0xbe720274c24b5ec773559b8c7e28c2503dac7645
