tx_hash,maker_token,taker_token,taker,taker_token_amount
0xe2cf9b2ad161f595d66249b637bd42a2d59b057d8270ce52c39a41c0ed7c91d0,0xca8e8d244f0d219a6fc9e4793c635cea98d0399c,0x2075f6e2147d4ac26036c9b4084f8e28b324397d,0xfd81f5e7732bf0eb6b1e0233f6e166e6af0dcace,75644.62
0x06d8d112ef47c9fcd267683d0fc2f5af2d1c776f99791967b762bb021ad0866c,0x997f7ec46ad66d14accfe76d5aa8c4a40935eba6,0xb16d7ce33b91ad0abd275d347e89fd49525e8a6d,0x47dd1675ea096103702790aa46523b8d0698b2b6,315026.34
0x11d3707dbe5f5aee62d3752a29cacf3296f6da92c7f1589015c7866b06010def,0x2075f6e2147d4ac26036c9b4084f8e28b324397d,0xca8e8d244f0d219a6fc9e4793c635cea98d0399c,0x6927717bf79e26ce33d33e1643b5a5080fef4592,1940573.16
0x70d2f1bc3d0b3e6bac23fe40ce2956cd607441bc4b906c2a2fc9b22ed7bb6b13,0x1d8bd673c8976879041bc65d15374532a15e636e,0xdaa3e61acbc88a3429815c7f4542d92c6be0810a,0x47dd1675ea096103702790aa46523b8d0698b2b6,211206.38
0x5ca907fc5285eac92588fa062fef99e42fec6621a1c334c8bf927ac2fbf969a3,0x9a3ecea90c8dfe2b9fb737d304319b3c9d1fe8e6,0x96204e42785b4ababc521ee7031cd29d8e01a030,0xa51405cbaf0a75807732e265e8da0aae01b8fcd6,33872.32
0x52422eee6a3be092d0dd96c115e23c7f3d8efa7779c0b82cdd2a74651ec68193,0x4b8ec286fd218adb992e3df1a8d9fcf6de38d583,0xad93be442507b73577aefac892201caa389bade8,0x8b33ab375667247004aa57f7c13edf8745e2b5d0,17214655.28
0x6e8392736df991d32d421013521c35286dd2906aff3246d70e08e748cc908f8d,0x1d8bd673c8976879041bc65d15374532a15e636e,0x36f4145bf2bbae40c95001372799b4b8bff24673,0x47dd1675ea096103702790aa46523b8d0698b2b6,1614108.13
0xf19a5800f50cf100081f4a18bc2fe6e30fe1578bc3e337f74f23b2cf2cba4a78,0xc7bf3bc62e15d837466dd515eb80210347d7be1d,0x1d8bd673c8976879041bc65d15374532a15e636e,0x47dd1675ea096103702790aa46523b8d0698b2b6,728640.77
0x87ebc2d9168f490dcbbe8a981a4331f2632f31be73058cf467e085c1a03c18ee,0x9a3ecea90c8dfe2b9fb737d304319b3c9d1fe8e6,0x2e1d332893dc16124194e598a29866d2d5e8786b,0xa51405cbaf0a75807732e265e8da0aae01b8fcd6,105.38
0x2f85a701e6ecc3c7e991d86b74b221c7d03b26026e513319960384a199aa29e1,0x821013108b9b168b2c7535bb27d5a6e75edcf138,0xdf1cf211d38e7762c9691be4d779a441a17a6cfc,0x6443b1ef724038320fa19800815f777be92f9f5c,4
