block_time,block_date,block_month,bot,block_number,blockchain,amount_usd,type,token_bought_amount,token_bought_symbol,token_bought_address,token_sold_amount,token_sold_symbol,token_sold_address,fee_percentage_fraction,fee_usd,fee_token_amount,fee_token_symbol,fee_token_address,project,version,token_pair,project_contract_address,user,tx_hash,evt_index,is_last_trade_in_transaction
2024-10-19 11:17:23.000 UTC,2024-10-19 00:00:00.000 UTC,2024-10-01 00:00:00.000 UTC,Floki Trading Bot,20999262,ethereum,470.852514,Buy,11206.531623600124,DOGE,0x1121acc14c63f3c872bfca497d10926a6098aac5,0.1782,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0101,4.756086,0.0018,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap,2,DOGE-WETH,0x308c6fbd6a14881af333649f17f2fde9cd75e2a6,0x4d0146a0817768525a12d05d809ec1daf40b37ef,0x91bd898046eabd8f1f17121bc52a9afe356864be58e2253d6f8b21e5f03797ec,437,true
2024-11-14 10:29:23.000 UTC,2024-11-14 00:00:00.000 UTC,2024-11-01 00:00:00.000 UTC,Floki Trading Bot,21185345,ethereum,15.909696,Buy,89492.3321642206,AMO,0x1a2eb478fa07125c9935a77b3c03a82470801e30,0.00495,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0101,0.160704,0.00005,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap,3,AMO-WETH,0xc1b24a9ecf68c14ffe65263b1591c29dd341d09d,0xf8d0be166011cac09a16283096969f5dd25cbf07,0x48ea41c2aa758285cbef0a266b20acdb743e75be95e533f45118e1ace10c8a22,269,true
2024-10-26 20:56:59.000 UTC,2024-10-26 00:00:00.000 UTC,2024-10-01 00:00:00.000 UTC,Floki Trading Bot,21052327,ethereum,0.24658227,Buy,171.370584251,NEIRO,0x812ba41e071c7b7fa4ebcfb62df5f45f6fa853ee,0.000099,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0101,0.00249073,0.000001,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1inch-LOP,4,NEIRO-WETH,0x111111125421ca6dc452d289314280a0f8842a65,0xe96321ceb4deae752ffbf876ce9fcf45587a4492,0x17c7bce13eddf396792c63c4dfd221f533a44b0a6622776c01e1827723714cec,1,true
2024-10-08 07:49:35.000 UTC,2024-10-08 00:00:00.000 UTC,2024-10-01 00:00:00.000 UTC,Floki Trading Bot,20919470,ethereum,120.31272,Buy,15536997.068177102,POCHITA,0x4e6221c07dae8d3460a46fa01779cf17fdd72ad8,0.0495,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0101,1.21528,0.0005,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap,2,POCHITA-WETH,0xd1d532778739b8891e50314d08d7f157d8bdd456,0xb8340ed9f77a4cea91a6dfc0a2fb81744bc9d392,0xed0be7d3089726db130c64123e58d80f960a20b9cdfba35c736cf39127d7c7f2,585,true
2024-10-08 17:30:11.000 UTC,2024-10-08 00:00:00.000 UTC,2024-10-01 00:00:00.000 UTC,Floki Trading Bot,20922366,ethereum,722.58912,Buy,118864264.50435053,AGURI,0x8e42fe26fc1697f57076c9f2a8d1ff69cf7f6fda,0.297,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0101,7.2988800000000005,0.003,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap,2,AGURI-WETH,0x1f4ea9d7a4d078c81b7e3ca6a61b5e202ef0cf18,0xbdf164dc169d7c3f2552a4e1cbf0406a43ea65a6,0x460b90febf7b38d24570d121a8eafe9c03b1603fd7e398d45d064939807750a4,496,true
2024-10-14 09:53:23.000 UTC,2024-10-14 00:00:00.000 UTC,2024-10-01 00:00:00.000 UTC,Floki Trading Bot,20963036,ethereum,17.564778,Buy,211.98764743054903,ZCX,0xc52c326331e9ce41f04484d3b5e5648158028804,0.00693,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0101,0.17742199999999997,0.00007,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap,2,WETH-ZCX,0x797e1dc0738f2f047d7e0dd185e41a35f87c5618,0xa062c29584999ac84248fbe983ff68c68d51e3c4,0x648afb8379e5514c50e8d297d6145ec6535ecb34beb8f017ea10c32d1aedcbaa,358,true
2024-10-08 04:09:59.000 UTC,2024-10-08 00:00:00.000 UTC,2024-10-01 00:00:00.000 UTC,Floki Trading Bot,20918376,ethereum,101.4360732,Buy,206.03853665,SPX,0xe0f63a424a4439cbe457d80e4f4b51ad25b2c56c,0.04158,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0101,1.0246068,0.00042,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap,3,SPX-WETH,0x7c706586679af2ba6d1a9fc2da9c6af59883fdd3,0x65081d978129d490f1603c2b49eca1a6413efc49,0xb9cbc90f8a569cf1aa2297dd4243ad71ce2a5a324b4aa0fa5ebc65b0e06c73ed,505,true
2024-10-09 18:20:11.000 UTC,2024-10-09 00:00:00.000 UTC,2024-10-01 00:00:00.000 UTC,Floki Trading Bot,20929789,ethereum,3593.4327000000003,Buy,60512925.72602412,HANBAO,0xaf686024f2d3359c7a504f6be91716464459af2e,1.485,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0101,36.2973,0.015,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap,2,HANBAO-WETH,0x5ad169dd1212ae845d9b45e7d50c70a4d8fdd20a,0x26a474cd0448b0d46487c811069b87a1f6d5dad6,0xb2a87ffad25ce1cb985fd4dab5ea674bb75fc81679484f22fe584c346701d8be,17,true
2024-10-29 07:00:35.000 UTC,2024-10-29 00:00:00.000 UTC,2024-10-01 00:00:00.000 UTC,Floki Trading Bot,21069662,ethereum,0.025935525,Buy,0.025887,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0000099,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0101,0.000261975,1e-7,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1inch-LOP,4,USDC-WETH,0x111111125421ca6dc452d289314280a0f8842a65,0xebc9f3ad5e51bfbf5ca427dfdc5b07b198acb52e,0x980883cd7ccd526dd7c4464310147e3c7bfddea00c1722c575a5d1bdb0fe99c9,1,true
2024-10-30 20:59:59.000 UTC,2024-10-30 00:00:00.000 UTC,2024-10-01 00:00:00.000 UTC,Floki Trading Bot,21080998,ethereum,2383.4695500000003,Buy,167588.7346249194,BORK,0x8808434a831efea81170a56a9ddc57cc9e6de1d8,0.891,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0101,24.07545,0.009,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap,2,BORK-WETH,0x1e6039bd950f81c008ce2aea9783a491ff6dfc09,0xaaf69fb7e55d8edaa955f542c90a0586bd655b5c,0xda031b8585ca463049245b9fdea325e84bb03cf3f5b12fb0d9aea44c14efda2f,437,true
