blockchain,project,version,tx_hash,evt_index,block_number,token_bought_address,token_sold_address,token_bought_amount_raw,token_sold_amount_raw,block_date
ethereum,ekubo,1,0x6b364d38b062d1017398100d3bc4d35329329db410dad594d985e671cd69eed7,216,23022906,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0000000000000000000000000000000000000000,38058431,9986015388971931,2025-07-29 00:00:00.000 UTC
ethereum,ekubo,1,0x1955c4673189830e9102d558b89a88475228f047c21d0f96c182937191524208,5,23022795,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x0000000000000000000000000000000000000000,133527,41697385050537984,2025-07-29 00:00:00.000 UTC
ethereum,ekubo,1,0x13f7490cd610f63dd5cf8a6c0df09d85755b8d17b29f046f6a5bcbbbaef59e8c,69,23022705,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0000000000000000000000000000000000000000,981122830,258827151084062296,2025-07-29 00:00:00.000 UTC
ethereum,ekubo,1,0xc444540e8584d4e9a6a20fac1b05e43f61c232ee224481fe49c2bb36e0348c35,348,23022055,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,22501376,22498036,2025-07-29 00:00:00.000 UTC
ethereum,ekubo,1,0x7e28d772fa2c2316363b920caf4132eac56d48884b23285136aa02da1ccaafdf,124,23022172,0x0000000000000000000000000000000000000000,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,204330904948068398,653858,2025-07-29 00:00:00.000 UTC
ethereum,ekubo,1,0x67ce59268bfc6ebd5b06825bf72d6201145c7a8c33765a7097a6b585eab5bd2a,9,23022688,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0000000000000000000000000000000000000000,1210339531,319426506033987584,2025-07-29 00:00:00.000 UTC
ethereum,ekubo,1,0x67ce59268bfc6ebd5b06825bf72d6201145c7a8c33765a7097a6b585eab5bd2a,13,23022688,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1210228175,1210339513,2025-07-29 00:00:00.000 UTC
ethereum,ekubo,1,0xb52020ae8338ca8ddd2e3d517026e48b8800306ff98643e383cc369b1090a1f1,407,23022511,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,3746128664,3746529663,2025-07-29 00:00:00.000 UTC
ethereum,ekubo,1,0x31e840e8e42bdb1b232c39d35944a0bf68d95d4c6f2d54748abcd146990c5b79,62,22852021,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,11899921919,11896675818,2025-07-05 00:00:00.000 UTC
ethereum,ekubo,1,0x73804db2d56e82fcd1e77b9eae2344e3b852bcfb487b198681988a4fde695155,308,22852046,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x04c46e830bb56ce22735d5d8fc9cb90309317d0f,25769431,4768535093630002588,2025-07-05 00:00:00.000 UTC
ethereum,ekubo,1,0x73804db2d56e82fcd1e77b9eae2344e3b852bcfb487b198681988a4fde695155,306,22852046,0x04c46e830bb56ce22735d5d8fc9cb90309317d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4330152895783217566,23451813,2025-07-05 00:00:00.000 UTC
ethereum,ekubo,1,0x73804db2d56e82fcd1e77b9eae2344e3b852bcfb487b198681988a4fde695155,311,22852046,0x0000000000000000000000000000000000000000,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,10255943221558187,25769431,2025-07-05 00:00:00.000 UTC
ethereum,ekubo,1,0x73804db2d56e82fcd1e77b9eae2344e3b852bcfb487b198681988a4fde695155,309,22852046,0x04c46e830bb56ce22735d5d8fc9cb90309317d0f,0x0000000000000000000000000000000000000000,4789770543683186967,10255943221558187,2025-07-05 00:00:00.000 UTC
ethereum,ekubo,1,0x3f2a2b3b33ea4ede3091ddab14dc993249e217005f0c887f6d7d8d6949ffa61e,355,22852056,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,546138339,546000000,2025-07-05 00:00:00.000 UTC
ethereum,ekubo,1,0x99b7c7600cf7cd62ca6972ff998d8259f8653c3fd90049b7349d04eee4218486,193,22852155,0x0000000000000000000000000000000000000000,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,43899486503480297,36376948987233455,2025-07-05 00:00:00.000 UTC
ethereum,ekubo,1,0x99b7c7600cf7cd62ca6972ff998d8259f8653c3fd90049b7349d04eee4218486,196,22852155,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0000000000000000000000000000000000000000,110327303,43899486503480297,2025-07-05 00:00:00.000 UTC
ethereum,ekubo,1,0xcc451b1353af28f8e17ffab68fa3e54b53b580201081a0a34dc12b12f06a6cf1,474,22852179,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,394883403,394995234,2025-07-05 00:00:00.000 UTC
ethereum,ekubo,1,0x3f29fa82b50f415eef186047a845531f1d7b25fe9a1da7d808e38c0e85f0aec9,312,22852243,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0000000000000000000000000000000000000000,5505071,2181300000000000,2025-07-05 00:00:00.000 UTC
ethereum,ekubo,1,0x89c1f92c92193474d7ad65113718bfab382817598efa298ce78542c49fa4cc1b,254,22852242,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,569294666,569136946,2025-07-05 00:00:00.000 UTC
ethereum,ekubo,1,0x22cc462b5ffd376d4ec096980972ebef22e1ba490a4a637a0fa32ed41aef5049,56,22852287,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,27532238198,27540240000,2025-07-05 00:00:00.000 UTC
ethereum,ekubo,1,0x290118eb1df07a5982694ee58a03c1c205f3fc07e7f1955096da9e8c4aea0e73,775,22852347,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0000000000000000000000000000000000000000,869939273,345418993766855448,2025-07-05 00:00:00.000 UTC
ethereum,ekubo,1,0x70fe8ae4ccf7c82660561e24f24864055ff7734fb8d3307f9ccfe7a05b5507cc,394,22852396,0xdac17f958d2ee523a2206206994597c13d831ec7,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,4961705932,4961932269385899304067,2025-07-05 00:00:00.000 UTC
ethereum,ekubo,1,0xbe0d53dd6915f3820df2677c0fec1e151561035971f6f66f392c68e3d862d8de,255,22852526,0xdac17f958d2ee523a2206206994597c13d831ec7,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,1090101999,1090127533858373832575,2025-07-05 00:00:00.000 UTC
ethereum,ekubo,1,0xc27843510f3713a9b2d15883a9781b9adb9904887b2eb14a33d8a96b9512b188,282,22852876,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0000000000000000000000000000000000000000,31156874,12352913906335480,2025-07-05 00:00:00.000 UTC
ethereum,ekubo,1,0x91fa9fa7c1a33ef2b1f24e22c504ccd75b13da427d3f2500271bbd458adb4ee2,631,22853078,0x0000000000000000000000000000000000000000,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,10000182343839943,25138249,2025-07-05 00:00:00.000 UTC
ethereum,ekubo,1,0x91fa9fa7c1a33ef2b1f24e22c504ccd75b13da427d3f2500271bbd458adb4ee2,627,22853078,0x04c46e830bb56ce22735d5d8fc9cb90309317d0f,0x0000000000000000000000000000000000000000,4649664341126034325,10000182343839943,2025-07-05 00:00:00.000 UTC
ethereum,ekubo,1,0x91fa9fa7c1a33ef2b1f24e22c504ccd75b13da427d3f2500271bbd458adb4ee2,628,22853078,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x04c46e830bb56ce22735d5d8fc9cb90309317d0f,25255432,4649664341126034325,2025-07-05 00:00:00.000 UTC
ethereum,ekubo,1,0x91fa9fa7c1a33ef2b1f24e22c504ccd75b13da427d3f2500271bbd458adb4ee2,629,22853078,0x04c46e830bb56ce22735d5d8fc9cb90309317d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4488201993067440798,24428972,2025-07-05 00:00:00.000 UTC
ethereum,ekubo,1,0xb7359ce6d4770518ed566adc3611f27a78311672077afabb5de402058bdccfb5,119,22853245,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x0000000000000000000000000000000000000000,88315,37944259200937735,2025-07-05 00:00:00.000 UTC
ethereum,ekubo,1,0x8000eafc6f92780a813a08abccdcf5a14348f71b82e685714d4a8760cc3306c3,454,22853386,0x0000000000000000000000000000000000000000,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,72893006513227567,183410026,2025-07-05 00:00:00.000 UTC
