blockchain,project,version,tx_hash,evt_index,block_number,token_bought_address,token_sold_address,token_bought_amount_raw,token_sold_amount_raw,block_date
robinhood,ekubo,3,0x4de9a2ae4878c85fb202705d85872d9782a195410f5c80aa6fab532ce471d8df,13,24592701,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x5fc5360d0400a0fd4f2af552add042d716f1d168,32008849559403426,59592418,2026-08-01
robinhood,ekubo,3,0x20404f843b943825e625767a637763b27433d15b44dd0fcdfbfce0e6964a1bbc,25,24595708,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0x0bd7d308f8e1639fab988df18a8011f41eacad73,10939348,5877679453387062,2026-08-01
robinhood,ekubo,3,0xd00604f3191ccd9c48dc97ee6e5526b149013039636a9480695ad1a4cb60dddb,41,24610452,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0x0bd7d308f8e1639fab988df18a8011f41eacad73,3957267,2124167633612117,2026-08-01
robinhood,ekubo,3,0x1eebdaadfeb6437a9b31ca397fb86449e1bbe391d5226c23abb7ccb1bd5c086f,31,24611325,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0xd0601ce157db5bdc3162bbac2a2c8af5320d9eec,147920365,742481876604654107,2026-08-01
robinhood,ekubo,3,0x5613bf787e3d22cf4d3b80436b879cf302325b3431671616b41fc57836b30d46,8,24612392,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x5fc5360d0400a0fd4f2af552add042d716f1d168,5795052189499972,10799985,2026-08-01
robinhood,ekubo,3,0xc4ac5b4de9188bb496b701fcf57142537980a7854ad05340ec93c8f0e8c1ad12,15,24612683,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x5fc5360d0400a0fd4f2af552add042d716f1d168,5007323964859869,9328493,2026-08-01
robinhood,ekubo,3,0x5c45f4c48715e62e4dad4a6b45ccb44203e9475a6b32dc4d08fab2388971fc0f,61,24612780,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,11359533,37008161019974491,2026-08-01
robinhood,ekubo,3,0xde04d349acf87a74ac9f5803094b8fb6a45cd077fc59c56fcd311f319bd09562,31,24617048,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x5fc5360d0400a0fd4f2af552add042d716f1d168,6553639118397600,12216791,2026-08-01
robinhood,ekubo,3,0xe04455b7ae744f651f4b1cdb323122157164fde9787b58897f4283564ecd802c,22,24622286,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0xd0601ce157db5bdc3162bbac2a2c8af5320d9eec,55372,277849070815652,2026-08-01
robinhood,ekubo,3,0x21fcb858285bbef614e0f2a8ae1ca8261f159604135d83e9583baea4d8512d5c,10,24628785,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x5fc5360d0400a0fd4f2af552add042d716f1d168,15981679357428185,29767333,2026-08-01
robinhood,ekubo,3,0x05dc1cf55fabf90fd5ce2e6d14e886a749bc9de5d55738ae5eeec4f98a97b3fe,9,24629173,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x5fc5360d0400a0fd4f2af552add042d716f1d168,62384360008967287,116217292,2026-08-01
robinhood,ekubo,3,0xc2efef48e6bd3c438634f593d0359d5d9e875a04c644955e84396556984fd570,14,24629270,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0x0bd7d308f8e1639fab988df18a8011f41eacad73,124585606,66861012414603144,2026-08-01
robinhood,ekubo,3,0x3490d34ba5a55082a9e7b42dced9eccc24afe0233cdcfb4857982d02a32fe8ec,7,24629464,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x5fc5360d0400a0fd4f2af552add042d716f1d168,26301161758551251,48998664,2026-08-01
robinhood,ekubo,3,0x862af224364e9f2aa5954d0e1ad2d8c5f479a416fbf03eac7136e28d40f032e5,43,24629561,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0x0bd7d308f8e1639fab988df18a8011f41eacad73,21809542,11701824963406113,2026-08-01
robinhood,ekubo,3,0xe1d57c3bcf4cd2f596f8c9543b90ff713b20102c5848e4d18c09ff8617826483,10,24632083,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0x0bd7d308f8e1639fab988df18a8011f41eacad73,76573416,41092482530664372,2026-08-01
robinhood,ekubo,3,0xfaa8b9070dbc01a7ab2b332ddc44f647674917dc50cb6823e448a5e6b31923b4,18,24633053,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x5fc5360d0400a0fd4f2af552add042d716f1d168,26743844777176194,49824883,2026-08-01
robinhood,ekubo,3,0x2664d9373dd5df20020d19d970fc41f50adaa11ef3a847a07fc5dca9ecc8af5e,9,24635769,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x5fc5360d0400a0fd4f2af552add042d716f1d168,3640935476551654,6782744,2026-08-01
robinhood,ekubo,3,0x6bb98caa46ae88a46f17ff77882c638f48f9c67307a942b237340e28ed6a318b,9,24636836,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x5fc5360d0400a0fd4f2af552add042d716f1d168,78904790961134076,147006944,2026-08-01
robinhood,ekubo,3,0x6398fc36557026a81a33ef0b9e4ff4d8f1172d69d8db75d2d35ae3340c84f068,6,24637515,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x5fc5360d0400a0fd4f2af552add042d716f1d168,26496968551516996,49363358,2026-08-01
robinhood,ekubo,3,0x265a11d37824c65aac2402ac39b3bac78d164058f47231cced395ccbb9a6bfd1,46,24644984,0x39dbed3a2bd333467115de45665cc57f813c4571,0x5fc5360d0400a0fd4f2af552add042d716f1d168,51835554182906417041,1767632,2026-08-01
robinhood,ekubo,3,0x5d6eb4d08f5adc1428885a158c34672c9ac18fbbca0b514fc6f00f56c35717e6,37,24645566,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x5fc5360d0400a0fd4f2af552add042d716f1d168,10636709921750107,19819074,2026-08-01
robinhood,ekubo,3,0x971cf08257713636bd82391a0e20edbe1375977de5d3f971f6fabaf34f853e0e,103,24645566,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0x0bd7d308f8e1639fab988df18a8011f41eacad73,19548103,10491279986541915,2026-08-01
robinhood,ekubo,3,0xa435b1aba6d515bf6dda2fac0e438f65548cbcfac743cc8bdb0a8290e75a955c,22,24648185,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x5fc5360d0400a0fd4f2af552add042d716f1d168,76599500114586323,142716756,2026-08-01
robinhood,ekubo,3,0x59165aaa156d4b633fa9fd97f28fe2603b2731b102406fa55b39496e102eb9c9,39,24648670,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x5fc5360d0400a0fd4f2af552add042d716f1d168,15975445711479998,29759091,2026-08-01
robinhood,ekubo,3,0x670adaaee183a0daebbfc4604d0f32318b6a0731c018c81e98b912b0f2789549,31,24651289,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x5fc5360d0400a0fd4f2af552add042d716f1d168,19748565490875099,36778874,2026-08-01
robinhood,ekubo,3,0xa8391935696bceaffe789ffe353506d13c4f6a1dd13735f5e231962886339138,27,24652065,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x5fc5360d0400a0fd4f2af552add042d716f1d168,10622354139831416,19795050,2026-08-01
robinhood,ekubo,3,0x2eca15e6c0d0af0bc9bc3f9e4a9cb7f7a099f58fd006289562f2918b799e69bb,73,24652356,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x5fc5360d0400a0fd4f2af552add042d716f1d168,1037548069855367,1933277,2026-08-01
robinhood,ekubo,3,0xcf6d9fda6122aa8aaebce438d7189d1d612b2b667d85c24d1dab3a77809d6aea,17,24656042,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x5fc5360d0400a0fd4f2af552add042d716f1d168,230608385576813,429704,2026-08-01
robinhood,ekubo,3,0xd8421faf75a66aabbd5be84e996ba4aebd048ca5d3eb50aa8131236b93fb6b81,6,24656430,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x5fc5360d0400a0fd4f2af552add042d716f1d168,31523185815191907,58743567,2026-08-01
robinhood,ekubo,3,0xd6af5a2346ecdf593869857f288defc0dd822d7f0eea965b95c49b479249e333,5,24657982,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x5fc5360d0400a0fd4f2af552add042d716f1d168,24860924937929607,46305006,2026-08-01
robinhood,ekubo,3,0xd47bc8b7b477e68a82f7fa2114ed9c26aba63cb28352af1d6b833ad768895b6d,18,24666615,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x5fc5360d0400a0fd4f2af552add042d716f1d168,13300484335424098,24801570,2026-08-01
robinhood,ekubo,3,0x91e49e03d1e1e2f46325cbf537f02bd5b032278eee0411372bad48a84fb7da06,31,24667876,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x5fc5360d0400a0fd4f2af552add042d716f1d168,23721166603316503,44215542,2026-08-01
