blockchain,project,version,tx_hash,evt_index,block_number,token_bought_address,token_sold_address,token_bought_amount_raw,token_sold_amount_raw,block_date
base,elfomofi,1,0x2a80ca72cf47f0dd80bed138757737b709600ef71e2e1083a4337abf29b3bf8f,643,42084676,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,15141814610626507,29516235,2026-02-13
base,elfomofi,1,0x58438f263966f72e3e577c13fe19abdb4dd67cee7f779bd2c9ab5070ebd3a4e3,525,42084678,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,10231699058705332,19941742,2026-02-13
base,elfomofi,1,0x4ef0c9360cc041be1d91771a4286c48dbc2bed3e04efda9c266c59071f40bafa,682,42084665,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,253559964685446399,494257500,2026-02-13
base,elfomofi,1,0xc22a338a7c9888770f1150cf9248610c7037e9094d5fd0a3081040907f6485f6,531,42084665,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,507110339492487783,988515000,2026-02-13
base,elfomofi,1,0x5ba2950b0729179e328f0982197c4452d514a0e121073f9b51a0e9c7f55acbf0,526,42084661,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,1723095139927605308,3359240703,2026-02-13
base,elfomofi,1,0x6eddbb6e217acddbd58b9274a847fe51551c390307400d87e9c5cfcde3d78720,500,42084662,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,255009008186479638,497211098,2026-02-13
base,elfomofi,1,0xa2da31d7ae4a34d20be3c2512b787ea98b37fa97b8b77f7127faea20ab632555,476,42084670,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x4200000000000000000000000000000000000006,1713061876,878850641461445648,2026-02-13
base,elfomofi,1,0x723c348c2c79ff6fe1779fc988e3512951ce31dbb7f76f9ccb05bcc031e72b5a,1192,42084675,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,1210679934267453786,2359978407,2026-02-13
base,elfomofi,1,0x5dc15e62272008af53f3904eee5cc13fb8efd85d5f7f6283e8d2fb85ad1dab68,10,42084686,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,19766317854536822,38517942,2026-02-13
base,elfomofi,1,0x8e24b7fa4216de411ee9cc46ba3aff47d3f279b3e629e98fae91381a2610cdf7,383,42084715,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,14788187412504669,28728039,2026-02-13
