blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_sold_address,block_number,token_bought_amount_raw,token_sold_amount_raw
base,pancakeswap,3,2023-08-31,0x5c4a3562d59f1f93dc0957c343e76b35b6e950fe7ad5fbdf076cc22c8da8174e,28,0x4200000000000000000000000000000000000006,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,3349669,3720470707138945,6343995
base,pancakeswap,3,2023-08-31,0xea7b7bd6c573297654b851fe15360dcd00adb93fdfbff8a9a92335321afe9abf,4,0x4200000000000000000000000000000000000006,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,3368135,5807826326748221,9580012
base,pancakeswap,3,2023-09-01,0x6d95168e601891640fa88da905543ef7a462558b78ca18bf99db90eb1abc110f,26,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,0x4200000000000000000000000000000000000006,3387204,413350,252215292646048
base,pancakeswap,3,2023-09-01,0x640b78e9b17af09de2fc40078be4b4f21b2972f88a9072d7efa409f12bfd5250,452,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,0x4200000000000000000000000000000000000006,3391743,2937885,1785943442562200
base,pancakeswap,3,2023-09-01,0xbc5078838d0be6b2f8622cf083f5d4c9730d4ee634c187ed0c0a6433d134a50e,21,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,0x4200000000000000000000000000000000000006,3394659,10000000,6102659752366560
base,pancakeswap,2,2023-08-31,0x9a02a20dca2bf9e479728cedbaa40aba6cbff9a0bb39d74acbe697d8f448e0a1,7,0x4200000000000000000000000000000000000006,0x8fbd0648971d56f1f2c35fa075ff5bc75fb0e39d,3353920,4908297162837724,522211253081187956502
base,pancakeswap,2,2023-08-31,0xc3dbd8776badacf03df41d3b465ec8ea39fe3eabd955d3a617f9f389a16dcceb,32,0x4200000000000000000000000000000000000006,0x8fbd0648971d56f1f2c35fa075ff5bc75fb0e39d,3354024,2061983011151766,236862574239579745253
base,pancakeswap,2,2023-09-02,0xdc89e32ecf7ae2bec89917684fc4bfdd67810fd57a5233b08f99c72d82296613,11,0x4200000000000000000000000000000000000006,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,3416781,977107340216423,1547626
base,pancakeswap,2,2023-09-03,0x242eae02b5a66da57e2c3262ef4bac617cfb32b4a040b22bb2cdc516df520de6,5,0x4200000000000000000000000000000000000006,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,3467653,500357761740801,818416
base,pancakeswap,2,2023-09-03,0x4bcf24191cfadc78f8d99c300c82fe203814e136cf0c3a628a889c3c0dfcd0b4,4,0x4200000000000000000000000000000000000006,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,3462680,400248421731796,653942
