blockchain,project,version,block_month,block_date,block_time,block_number,token_bought_amount_raw,token_sold_amount_raw,token_bought_address,token_sold_address,taker,maker,project_contract_address,tx_hash,evt_index
abstract,abstractswap,3,2025-02-01,2025-02-07,2025-02-07 17:51:54.000 UTC,1184241,8950905056099099092627,999000000000000,0x159bec6740c6509691f4fa17d1b3b4c1321acf67,0x3439153eb7af838ad19d56e1571fbd09333c2809,0x7df4e182da01eba2ff902b3f13b7a7b12bb87dea,,0x912684c8fd892a156e80454424c6c303f666786e,0x4a015faf3b6479c291b3e5f183acfc58d8cd552f2e26d12a09c7c2328fda4c24,13
abstract,abstractswap,3,2025-02-01,2025-02-03,2025-02-03 20:14:47.000 UTC,850655,7691475542537279059057,999000000000000,0x159bec6740c6509691f4fa17d1b3b4c1321acf67,0x3439153eb7af838ad19d56e1571fbd09333c2809,0x7df4e182da01eba2ff902b3f13b7a7b12bb87dea,,0x912684c8fd892a156e80454424c6c303f666786e,0x6646a46239768188d0a0f588244da311e7914627a404d6dd75baff183006362a,17
abstract,abstractswap,3,2025-01-01,2025-01-28,2025-01-28 04:28:44.000 UTC,290583,202841256202661600,908664128235577100000000,0x3439153eb7af838ad19d56e1571fbd09333c2809,0x159bec6740c6509691f4fa17d1b3b4c1321acf67,0x7712fa47387542819d4e35a23f8116c90c18767c,,0x912684c8fd892a156e80454424c6c303f666786e,0x6f9b6aefc02d52edb923b4e4efe980f4b1e4c596014537bb0d914807043c61fd,26
abstract,abstractswap,3,2025-01-01,2025-01-27,2025-01-27 18:08:12.000 UTC,254311,15358834691259115275878,10926567634348438,0x159bec6740c6509691f4fa17d1b3b4c1321acf67,0x3439153eb7af838ad19d56e1571fbd09333c2809,0xe3d9b8487f8bd84e43673fdf02afaa5d322d83d2,,0x912684c8fd892a156e80454424c6c303f666786e,0xf4a92981372920655ac6e7210d5de6e0ce821685e92494d4c66acc1495e6d332,31
abstract,abstractswap,3,2025-01-01,2025-01-28,2025-01-28 02:28:31.000 UTC,283391,4144827450225736,10162795904620786130000,0x3439153eb7af838ad19d56e1571fbd09333c2809,0x159bec6740c6509691f4fa17d1b3b4c1321acf67,0x7712fa47387542819d4e35a23f8116c90c18767c,,0x912684c8fd892a156e80454424c6c303f666786e,0x254b5aef66537d25eab121aaf760d378b8b6a8942626912cfe9b52994250565f,45
abstract,abstractswap,3,2025-02-01,2025-02-25,2025-02-25 10:02:36.000 UTC,2672339,7861466755866,182054021099690986763,0x3439153eb7af838ad19d56e1571fbd09333c2809,0x159bec6740c6509691f4fa17d1b3b4c1321acf67,0x7712fa47387542819d4e35a23f8116c90c18767c,,0x912684c8fd892a156e80454424c6c303f666786e,0xa35f54b59d6db678ddf2674196dcb0e9fec0c0b6afc3347d602326312e220746,53
abstract,abstractswap,3,2025-01-01,2025-01-27,2025-01-27 23:14:09.000 UTC,271773,2842464023870142440378,1935150000000000,0x159bec6740c6509691f4fa17d1b3b4c1321acf67,0x3439153eb7af838ad19d56e1571fbd09333c2809,0x7df4e182da01eba2ff902b3f13b7a7b12bb87dea,,0x912684c8fd892a156e80454424c6c303f666786e,0x9f0785891951cbf674d2193577c1ca1ca032c6f2d5ee702e7c04066c785e546d,63
abstract,abstractswap,3,2025-01-01,2025-01-27,2025-01-27 18:16:00.000 UTC,254776,8994414865742107652693,7543557715773134,0x159bec6740c6509691f4fa17d1b3b4c1321acf67,0x3439153eb7af838ad19d56e1571fbd09333c2809,0xe3d9b8487f8bd84e43673fdf02afaa5d322d83d2,,0x912684c8fd892a156e80454424c6c303f666786e,0xdd5193689983306ee99ef122b9c5bea3933abeea4d29c0ab6725f0bf2616f924,65
abstract,abstractswap,3,2025-01-01,2025-01-27,2025-01-27 18:09:47.000 UTC,254405,130745757632218978451774,97752166318925218,0x159bec6740c6509691f4fa17d1b3b4c1321acf67,0x3439153eb7af838ad19d56e1571fbd09333c2809,0xe3d9b8487f8bd84e43673fdf02afaa5d322d83d2,,0x912684c8fd892a156e80454424c6c303f666786e,0xc48aa8187da6ff6741606e7c1618789e0c3c7be5bab528ef0e3cbcc8d779cebb,70
abstract,abstractswap,3,2025-01-01,2025-01-27,2025-01-27 18:08:32.000 UTC,254330,14974631474964214553744,10685046882485610,0x159bec6740c6509691f4fa17d1b3b4c1321acf67,0x3439153eb7af838ad19d56e1571fbd09333c2809,0xe3d9b8487f8bd84e43673fdf02afaa5d322d83d2,,0x912684c8fd892a156e80454424c6c303f666786e,0xf11851b00511b98ee93290551219cc705168d6e0fc5c50531e2abb18227d0ba4,88
