blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_sold_address,block_number,token_bought_amount_raw,token_sold_amount_raw
robinhood,apex_cl,3,2026-07-17,0x8508d7043e8264fb1f13b654c7cc41489d9fb11735cedf44f02c8466236a7fdf,16,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0x0bd7d308f8e1639fab988df18a8011f41eacad73,12185944,114564911,63177137328647616
robinhood,sushiswap,2,2026-07-17,0x1c7f4829651db9b7fedc0efdecfc61bc36c0363dd79dc4bc645d698c23578898,6,0x56a98db16cf501b686c14ba00a5dec02e87083fa,0x0bd7d308f8e1639fab988df18a8011f41eacad73,12129763,2555464154955564610598,383511672858676
robinhood,factory_c4c1d1d9,1,2026-07-17,0x5d203963dcd00a3e07480cd66a5f20fd58434bcaddd52088fd3bd2a8da5fc7bf,8,0xd7321801caae694090694ff55a9323139f043b88,0x0bd7d308f8e1639fab988df18a8011f41eacad73,12084981,222550480291586077842,420353093849611
robinhood,catnip,1,2026-07-17,0x39eddb1564b39e2fc59c8d6f6a243456bf688b227a17ba108cd68163ebb036cb,37,0x56910d4409f3a0c78c64dd8d0545ff0705389870,0x0bd7d308f8e1639fab988df18a8011f41eacad73,12186114,188044710428564427868,2716344000000000
robinhood,pancakeswap,2,2026-07-17,0x65072c1ff07926a963c16877ac5b38ce9fbf8699faa7cb6aedcd30c708279a2a,8,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x5fc5360d0400a0fd4f2af552add042d716f1d168,12177449,27533237798752,49998
robinhood,sheriff,2,2026-07-17,0x93cb72e9cd5d37fb3d16f214267f2960d163f182a472653f0dfd26b7bb46fc43,63,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x5fc5360d0400a0fd4f2af552add042d716f1d168,12174945,1447518689301642,2625146
robinhood,pancakeswap,3,2026-07-17,0x3f5fce77792264cceb89b5a5efe2d74491b3cfc52d5a4117b6f34efc915be803,10,0xe49a1c3033ecc6b804bc423021d3f71f1a3e0f9b,0x121f789700449711bc027e3a9b9efb79811598ed,12186105,4819960848317578452487,101249897679108075120
robinhood,factory_b4ec911f,1,2026-07-17,0x83e4ccd1b74f37d6825aaf702a9b16df12e82f6622757f7143525e4b10cd7179,32,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x020bfc650a365f8bb26819deaabf3e21291018b4,12103107,383894829566101,12453387273259204796
robinhood,factory_46c695d1,3,2026-07-17,0x70955b7ec8e3b52b954d176834abcb4aa7b4bb74ef8c8df2236f7a378a11a97a,24,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0x020bfc650a365f8bb26819deaabf3e21291018b4,12099306,48823,903969104240768460
robinhood,aeon_protocol,1,2026-07-17,0x3acaca94c0b94f52323263105eed6d2f4a3ef91390ae6bc999c07cd0320ebe0b,11,0x020bfc650a365f8bb26819deaabf3e21291018b4,0x0bd7d308f8e1639fab988df18a8011f41eacad73,12182429,26401436818958011140,773327780670123
robinhood,frothswap,1,2026-07-16,0x13fdc10d7b8e09fc3ec7c97750fdf40a04be341bc8c4e7072dea83a6d716caae,49,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x0aa0b791f870d8c6f7dd310639c61991bb3e5d41,11662824,2342839805864468,4039445768418278393085
robinhood,robinswap,3,2026-07-17,0xc9568a5c308aceee44418a2f8ce4e2f597d07205300b722c9077661e2bb7bd4b,21,0x39dbed3a2bd333467115de45665cc57f813c4571,0x0bd7d308f8e1639fab988df18a8011f41eacad73,12185678,1236153302467001705377,4815354446217733
robinhood,sheriff,4,2026-07-17,0x044d35e6361529c409d4cad77184551b0aa1968ca4fcaed3d05d0672a0b3b0da,62,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x5fc5360d0400a0fd4f2af552add042d716f1d168,12186335,56732539227643355,102939200
robinhood,thor,3,2026-07-17,0x0b499187f0f0cd5b9b5ce23733f8ce282dfd3b9e8b1e6841adc319ee82deffff,41,0x020bfc650a365f8bb26819deaabf3e21291018b4,0x0bd7d308f8e1639fab988df18a8011f41eacad73,12182950,66242416246285991827,2000000000000000
robinhood,sushiswap,3,2026-07-17,0xc0a1eafc26a7927b8a3d2c1316affb718b27288ed012c50f1fadeda0c509d76d,14,0xe6864e4630d4d7a0cad2e61f6bc2c0dcad777712,0x0bd7d308f8e1639fab988df18a8011f41eacad73,12185532,34467465615244899932281,3184200736027492
robinhood,up,3,2026-07-17,0x5c59db243e5328f3aad89dacdd9ea312edb099ab5a3bec716e5e7fcc23567f5d,5,0x45242320dbb855eea8fd36804c6487e10e97fcf9,0x0bd7d308f8e1639fab988df18a8011f41eacad73,12186369,3069372326199205911924,30000000000000000
