blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_sold_address,block_number,token_bought_amount_raw,token_sold_amount_raw
arc,uniswap,2,2026-09-01,0x21aaedad5930f30a38d522eea207691b5fb600535a9b625c4d1f6770f88a5fdf,10,0x3600000000000000000000000000000000000000,0xe60e2bcd092b78092a4a4010de1ccaadf5c03cca,18645469,16400622,9328050170283812728919870
arc,uniswap,2,2026-09-01,0x64e455b8471e007b0477f7ddac22c7da9f9059778f79b599bef3843a5a332476,8,0x30b55a16093f6c75a2d998d226ef6ceedc08344e,0x3600000000000000000000000000000000000000,18671247,5999453488246221469071,10000
arc,uniswap,3,2026-09-01,0x00073060fc11235ec607aa3811177b775b27d1894564e05e9943ad2b7531cf8b,16,0xe014617aee057005802a065acd40dc3d4e4c0904,0x3600000000000000000000000000000000000000,18572575,1614067306496271476957875,99000000
arc,uniswap,3,2026-09-01,0x001b0354f8542b872bee93531cbb8c6a4ef2e6b143cc83a9cb762ebccbe26d8d,4,0xbc43ce8dec648ea298c4275559b81d6261c90b67,0x3600000000000000000000000000000000000000,18545661,68551255695965626224533,50000000
arc,uniswap,3,2026-09-01,0x001c3979096b0b779a1866806c0911d2d76c759e4e998ca9bc85da639b8e36ad,52,0x30b8eaecfc5b42fc3396ecb05c0e8c362340d56a,0x3600000000000000000000000000000000000000,18649315,3179152838332660357983035,19800000
arc,uniswap,4,2026-09-01,0x0003cfccbc77d22105edad55ba3e9a2136f2c99f6cd9cf11e87094238b8c24f8,4,0x5fef42634ac7e13c12ed9d0894ef58d52a5fc581,0x3600000000000000000000000000000000000000,18640446,372540925877037225267,19129
arc,uniswap,4,2026-09-01,0x00085b90517c8d0a2ed4a361dded6f9e4fa63d066bc7acc188ac289d5e5abc53,4,0x5fef42634ac7e13c12ed9d0894ef58d52a5fc581,0x3600000000000000000000000000000000000000,18629769,1066051765507963206975979,87492987
arc,uniswap,4,2026-09-01,0x00ccd922b391fbb53dd02145d818a026380993b862ad6f271e4ee404b415f6ce,10,0x5fef42634ac7e13c12ed9d0894ef58d52a5fc581,0x3600000000000000000000000000000000000000,18629835,1919383126227733598696964,148500000
arc,uniswap,4,2026-09-01,0x3aa90667ce7b2104ce075c7a93f1844c4bbf592d484abb90b7d549749a56b15f,1,0x0000000000000000000000000000000000000000,0x5450d0e96b6ce69a5cfc971021aa563e48eff284,18584204,112563471235527598493,11258010505465470576182817
arc,uniswap,4,2026-09-01,0x5afa7adb4d670b0f7248db100ba7d9781e92aacb78afbbbb64eb9a63a8571b73,2,0x0000000000000000000000000000000000000000,0x01b30ab7b338adbd14372eea3cb19cb2b8214374,18520263,72070175900735805288,34994224605728686858259389
