blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_sold_address,block_number,token_bought_amount_raw,token_sold_amount_raw,router,fee,hooks
sepolia,uniswap,4,2025-01-07 00:00:00.000 UTC,0x86366ac3242478fab08e194cd43b8ef28614eb9e3f4d503419d5d837d5aec8c7,237,0xfff9976782d46cc05630d1f6ebab18b2324d6b14,0x1c7d4b196cb0c7b01d743fbc6116a902379c7238,7440597,1072128371,5,0x9b6b46e2c869aa39918db7f52f5557fe577b6eee,1000,0x0000000000000000000000000000000000000000
sepolia,uniswap,4,2025-01-07 00:00:00.000 UTC,0x86366ac3242478fab08e194cd43b8ef28614eb9e3f4d503419d5d837d5aec8c7,237,0xfff9976782d46cc05630d1f6ebab18b2324d6b14,0x1c7d4b196cb0c7b01d743fbc6116a902379c7238,7440597,1072128371,5,0x9b6b46e2c869aa39918db7f52f5557fe577b6eee,1000,0x0000000000000000000000000000000000000000
sepolia,uniswap,4,2025-01-07 00:00:00.000 UTC,0xcf4c6284ac412b68851a0327500ee87e70b27eb2216f18d450a0e67a04eba05e,20,0x89434ec9fbc25c9ef419e4457a9b846d68ec580c,0x0000000000000000000000000000000000000000,7442216,166655944935531162481,50000000000000000,0x4d73a4411ca1c660035e4aecc8270e5dddec8c17,100000,0x0000000000000000000000000000000000000000
sepolia,uniswap,4,2025-01-06 00:00:00.000 UTC,0x03caeff5a9677bb0b0ca211966fd4eec508366e3c08b1d7695dbf71a2ec2b0e0,190,0x42dd4a197f443a830538023faa4ff6bddd1b4cff,0x19352a81131b6857cb23168c1e61df49e7e3751d,7433233,5543660545321377,5555555555552000,0x2785f45c36d043626df16174d6b9beb89e2ca880,3000,0x2785f45c36d043626df16174d6b9beb89e2ca880
sepolia,uniswap,4,2025-01-06 00:00:00.000 UTC,0xf9405d2e681fa8d43457871df1f96441fbdb15b1efd5ea4c21a0f4ebb4b79ced,130,0xc979f27d03685e92618fca1d0ae46ba1b6cdfcec,0x432702d8007dea73344d8d685ca46c92d90446fe,7433899,99999899,100300803,0x56b9b1287cdfd0e85e5f631c284055b3e2286880,3000,0x56b9b1287cdfd0e85e5f631c284055b3e2286880
sepolia,uniswap,4,2025-01-06 00:00:00.000 UTC,0x6e3ae1b5441fa53077033dd64c60938f818986b574dcd1056f38b088ad3810f8,303,0x42dd4a197f443a830538023faa4ff6bddd1b4cff,0x19352a81131b6857cb23168c1e61df49e7e3751d,7433268,5810696613028011,5833333333332800,0x2785f45c36d043626df16174d6b9beb89e2ca880,3000,0x2785f45c36d043626df16174d6b9beb89e2ca880
sepolia,uniswap,4,2025-01-06 00:00:00.000 UTC,0x5d277242306669264ab9930104361f21a05865b9c6db5a89e161f94967093636,61,0x0000000000000000000000000000000000000000,0xdfa556856b77da71f70d56c9fd1ef4dd891ff131,7431128,0,0,0xf9577ab14fd416c3c9b59c660408dbfffa87527d,3000,0x41e1c0cd59d538893df9960373330585dc3e8888
sepolia,uniswap,4,2025-01-06 00:00:00.000 UTC,0xa7d157b6d2b7e5cbb7afd1134c4c6f64ce8b755457c3fa84c45be372bac70cf1,131,0x19352a81131b6857cb23168c1e61df49e7e3751d,0x42dd4a197f443a830538023faa4ff6bddd1b4cff,7432917,7073692745115717,7099999999999200,0x2785f45c36d043626df16174d6b9beb89e2ca880,3000,0x2785f45c36d043626df16174d6b9beb89e2ca880
sepolia,uniswap,4,2025-01-06 00:00:00.000 UTC,0xa4e4f2be672049dc71244af27ceb35e7a2ff4676d41ea5cc6c5d3988a3fab278,179,0xc979f27d03685e92618fca1d0ae46ba1b6cdfcec,0x432702d8007dea73344d8d685ca46c92d90446fe,7433915,1384530901776389,1388889288888700,0x56b9b1287cdfd0e85e5f631c284055b3e2286880,3000,0x56b9b1287cdfd0e85e5f631c284055b3e2286880
sepolia,uniswap,4,2025-01-06 00:00:00.000 UTC,0xb95e5a82ca98ae76c3206c4d6c1777f35119b8876cd2e2d37e03ce1acc113549,115,0xc979f27d03685e92618fca1d0ae46ba1b6cdfcec,0x432702d8007dea73344d8d685ca46c92d90446fe,7433872,332333299,333333300,0x56b9b1287cdfd0e85e5f631c284055b3e2286880,3000,0x56b9b1287cdfd0e85e5f631c284055b3e2286880
