blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_sold_address,block_number,token_bought_amount_raw,token_sold_amount_raw
zora,uniswap,2,2024-04-04,0x497c0a8d053f382f68b3c12a6902dfa5bcd138bbb741046303fd9d8e7eaf982e,43,0xa6b280b42cb0b7c4a4f789ec6ccc3a7609a1bc39,0x4200000000000000000000000000000000000006,12774821,101221478092881538458254,20000000000000000
zora,uniswap,2,2024-04-03,0x4a9d757461877ed3cf15aec1ab92364dcd682e08410a4e9c074752f8f8d2232b,3,0x4200000000000000000000000000000000000006,0xa6b280b42cb0b7c4a4f789ec6ccc3a7609a1bc39,12708615,60516243123663176,500000000000000000000000
zora,uniswap,2,2024-04-04,0x4ed7026f0c5e073948762f1afee0bab7cb4256a01935aed76d72fed6177100d5,66,0x4200000000000000000000000000000000000006,0xa6b280b42cb0b7c4a4f789ec6ccc3a7609a1bc39,12774685,40428658985488115,211834051173865731214660
zora,uniswap,2,2024-04-04,0x4c79b0281eaaf9e571a69ffcdf65db730ba4d38cee003f0d1928a6f16a45f95c,111,0x4200000000000000000000000000000000000006,0xa6b280b42cb0b7c4a4f789ec6ccc3a7609a1bc39,12775262,160496041413908439,797175922193557026471430
zora,uniswap,2,2024-04-04,0xbed3b00db09d2c91d00a5d5d48204a9df177688f0cea65f0841bacb542e7f0a6,205,0xa6b280b42cb0b7c4a4f789ec6ccc3a7609a1bc39,0x4200000000000000000000000000000000000006,12748837,707045266704308632107233,108347059433883715
zora,uniswap,2,2024-04-04,0x0dfed46cb90226f341ddab7f8ea11640d5e7065af4beee42273c1888370e2224,86,0xa6b280b42cb0b7c4a4f789ec6ccc3a7609a1bc39,0x4200000000000000000000000000000000000006,12777016,115957102949324427993041,25937424601000000
zora,uniswap,2,2024-04-04,0x4820b19b689dcdd24694e275248a1be3c264c4c855bd6d30f8393c55c127c58c,26,0x4200000000000000000000000000000000000006,0xa6b280b42cb0b7c4a4f789ec6ccc3a7609a1bc39,12760423,11160460324136239,65234286800698810112114
zora,uniswap,2,2024-04-03,0xf7135051694c0f0b04dbde7d5ee17ad329d77453fcaa1436e293356248807667,60,0xa6b280b42cb0b7c4a4f789ec6ccc3a7609a1bc39,0x4200000000000000000000000000000000000006,12731863,38376524591754929262745,6050000000000000
zora,uniswap,2,2024-04-04,0x033373aa01775bd83f181ffedf9b8edd33e6de9937962e6ce66b10d463be8ea1,14,0xa6b280b42cb0b7c4a4f789ec6ccc3a7609a1bc39,0x4200000000000000000000000000000000000006,12765378,60839651589462199589196,10000000000000000
zora,uniswap,2,2024-04-03,0x0641c4800f9abc636f7ff23e66cc046acbb7d8a75fecda5753f374f332acd319,32,0x4200000000000000000000000000000000000006,0xa6b280b42cb0b7c4a4f789ec6ccc3a7609a1bc39,12730311,7321335342980426,52539032174255479834465
zora,uniswap,3,2024-04-29,0x59b865cca0487a0a92a2084d05e3ed7ccf04b7b0dc341619819cb75e4a95ca19,3,0x078540eecc8b6d89949c9c7d5e8e91eab64f6696,0x4200000000000000000000000000000000000006,13834000,3946900393641000668221,12000000000000000
zora,uniswap,3,2024-04-29,0x6b9fa2fce86cd47415ff592a669c144a130541eade82adaba4e3e26ee3d1a5b6,22,0x078540eecc8b6d89949c9c7d5e8e91eab64f6696,0x4200000000000000000000000000000000000006,13853965,36766186710940278895,100000000000000
zora,uniswap,3,2024-04-28,0x59f25616f28c2d9532accd423a9b1ac8369db77bfc65e5d7761ca8442f96f9a1,3,0x4200000000000000000000000000000000000006,0x078540eecc8b6d89949c9c7d5e8e91eab64f6696,13794099,859198747646845,275000000000000000000
zora,uniswap,3,2024-04-29,0xab1a1aa89d2ca1f498da9d125ba69c4a42034326f8b603a7b124a35e6db66a5a,7,0x078540eecc8b6d89949c9c7d5e8e91eab64f6696,0x4200000000000000000000000000000000000006,13832589,61101619258939359603,190000000000000
zora,uniswap,3,2024-04-28,0x674af8e99a3ae589510033e477b52b8b640de923281af133ec2ac648371b5de7,7,0x078540eecc8b6d89949c9c7d5e8e91eab64f6696,0x4200000000000000000000000000000000000006,13803788,1000000000000000000,3151931597081
zora,uniswap,3,2024-04-28,0xec7e4daddd831637393fe4514b9e824103d2561e20f59a81407719dc67205f07,6,0x078540eecc8b6d89949c9c7d5e8e91eab64f6696,0x4200000000000000000000000000000000000006,13803721,1000000000000000000,3151872161827
zora,uniswap,3,2024-04-29,0x1bd637b0f062830780b6c2edb24d1f817bf509207a37789fe0f7eccc3eeef0d9,9,0x078540eecc8b6d89949c9c7d5e8e91eab64f6696,0x4200000000000000000000000000000000000006,13833631,358775577124491079230,1090000000000000
zora,uniswap,3,2024-04-28,0x669e274954cafa2bca7aea6d78b57afc1872768922aa4e80ec1816245a202690,8,0x4200000000000000000000000000000000000006,0x078540eecc8b6d89949c9c7d5e8e91eab64f6696,13796046,1091558787025354,349427789866591639751
zora,uniswap,3,2024-04-29,0xf74954eb1f640d5ccccb2cc2bfaaaf24bb23f2ed2f88ee7da4886d3a33a6253d,6,0x078540eecc8b6d89949c9c7d5e8e91eab64f6696,0x4200000000000000000000000000000000000006,13828809,10000000000000000000000,31618444390348329
zora,uniswap,3,2024-04-29,0x66e74ac2cd53231e9dededdc3d9f928ca17f2babe6f532b393122deaf2e4d176,6,0x078540eecc8b6d89949c9c7d5e8e91eab64f6696,0x4200000000000000000000000000000000000006,13845521,1000000000000000000,2922570070176
