blockchain,address,first_activity_to,first_block_number,first_tx_hash
optimism,0x77BA75A9a95b5aB756749fF5519aC40Ed4AAb486,0x5485798748221719181499103911646299086586,30689881,0x429f0e772d36451ad1e5c9b39a369eb7c1471cd16084209e33eb3d7abf28b56c
optimism,0x1ddb27df0c0c20effb80d65ce7f870b2b083819c,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,104546448,0x5c913779a545da143e0cff539d2197590b834614692b4c2ba7601a480a17d836
arbitrum,0xb48d5d76476d4abb7ffe24e2114191814c2bec2c,0x1111111254EEB25477B68fb85Ed929f73A960582,112473608,0x7af8f8fe6df16facf8bc74ce531daeccc4c61a16b274fa4152cc31472e98ab2f
arbitrum,0x1017a2FF7C74Dc7dAf1F59d7801bcE3E8Ce36EC7,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,109926428,0xfdf6a3740ba48cb2d1948b4d2b84f21cd2aad65c7ad9a2e5b530c17b3901153e
avalanche_c,0xcb8b08dc91fe8bd40259769793a730f38900aea2,0x8f47416cae600bccf9530e9f3aeaa06bdd1caa79,9804838,0x1bbe47f30c3277e822fb9d0f018d09fa4fec480f941e2202b4dc6f8d39dd251b
avalanche_c,0x82bcde060875cad7dbb99885783d7ed50a06412f,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,31760442,0xf44185a78659fcfe72c42ed94735136f61b1711c70c64dac6232f83789186577
bnb,0xf417Acd0F5cE9cF14553C40F384f503DacA7378A,0x55d398326f99059fF775485246999027B3197955,31225506,0xbf75cf80615828583ff1d13e6dcaa2d95ca65cf595d323c225075b83f1ef6c7a
bnb,0x67c4e50931B4049395f3e58C2C629fFB25a16618,0x55d398326f99059fF775485246999027B3197955,31381355,0xba259fe128ead0908a0d4378c4104ce51acc62301f39be6ee42b21394dfa8f7e
ethereum,0x479D7e9162998d5D5947B92F8C379232d1abc783,0xdAC17F958D2ee523a2206206994597C13D831ec7,18066163,0x41d9f1cec990f5e493832f3bbe81419f9d4922cfc462fb41d16b8aa1b66a4a53
ethereum,0xa5Dc528250fC9FE9C4385eFe1836Aa711c9Fa01B,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,17523880,0x153461aed99c7be3280efacd0c915a147e178d46d4e3d4246661036fcc962d69
fantom,0x62bb58d791464bef1aba794256c10072a129a3be,0xef4b763385838fffc708000f884026b8c0434275,67842573,0x25da0b6fd6bb68d9b59b3cd13fc97cfbc54110920f79c60dde307c919a707bc8
fantom,0xd99a34c3caebdf5e110a774bac05c273ce34d4cb,0x31f63a33141ffee63d4b26755430a390acdd8a4d,66023998,0xd99f6a1aa0582aa5752de1035f0167f46af9bcec229f97687814a46262df738b
gnosis,0x7712506009081a419b0e1660e39e9f094c565111,0x4b1e2c2762667331bc91648052f646d1b0d35984,28476855,0x8c5926b6fe20ca67bb29c57c085f4a036e13e54beab03f6d4c17437844ab0bb9
gnosis,0x4b36cbd38f59f1d308e4c6312e59b58f031b7af9,0x57d1aeafb6a2b7bd4954e47a556622161a8c0a65,20533455,0xf28b318bbb4f6cd202ade1d9d9c058a72edb47ad61704181944bd5844e7c2f80
polygon,0xf3075c5fe52d1ef92039337bd6a8098b256905da,0xad4e7781bcecb32d17800def1fbeb28dfeae058a,39662692,0xe5b4a846e76abab9a1b6b05596b5e5e85469cba5b16fcc7c4f61d428f815b080
polygon,0x45ee0e9d1b7d42525f2444df7501134b9dd6d860,0xaa9c15cd603428ca8ddd45e933f8efe3afbcc173,46438456,0xf3e4dce84d70ca9bb1fe6146dcf8838d2f040527a3912fd0426c0600ff1b25f1
zksync,0x77294bbab471d14e4a162f50b751759ce0806070,0x1bba25233556a7c3b41913f35a035916dbed1664,3390,0x252a0d852c34814f261ec5ae5252f6286aa4438aec1dd5d25f2b529a2a70df8f
zksync,0xb08495ec237dddc0e424b73b609df47f5c9b1fb2,0x39e098a153ad69834a9dac32f0fca92066ad03f4,6079631,0x04ec63019e81cf7d3c0e7301d7628db76bb7de308e05ec25e49e914d2b1c9139
zora,0x8700b87c2a053bde8cdc84d5078b4ae47c127feb,0x8700b87c2a053bde8cdc84d5078b4ae47c127feb,1137,0xc9671c53b57013cb28733f1b06a900435b04ecccd974a27be086620c2848561f
zora,0x8d810d0c48b066400cb60a4aace3fb7b7562ad38,0xdea20c96253dc2d64897d2b8d27a8d935de74955,45053,0x01e63b1ffad2131fcc26eccd0fe2e27ce1040bfccdc8ddb8b812259e2fee0b0f
