blockchain,type,tx_hash,tx_fee_native
arbitrum,AccessList,0x1be298e3fa1cec3412a8b4ff806a0171a07f635affe330e6144295c0b13120f2,0.0001449147
arbitrum,Legacy,0x58f0c5843adb6ee2a7bb7e0f788e39dae069ba9ef71bfc27981cbb2a2a8677bf,0.00004367364823
arbitrum,DynamicFee,0x1fca164e2a5af0fca03365ec658969b479fcbb8bf41b2bcbb649cf8b4731855c,0.0001404536
avalanche_c,AccessList,0x02a2dd8f9c4659ebc818ff2fa70b066c512c08286828bad405d7188f0b1f0522,0.00101715
avalanche_c,DynamicFee,0x9cd681856f8bb5a6c3fabce6d0857165c54dd13f5fb9dd6784a9404a0434b56f,0.0005565
avalanche_c,Legacy,0x6dab7d444a92e826c52165696b0603428e43ce4f2ef317871a5c9237626e8b0b,0.04563929504458686
base,126,0x4c2ab099b4a4f77bba5428ddae8a42c1b4c6ef51ce26d9a4afb11bc433b5dbf8,0.0
base,DynamicFee,0x5d46274e5dee80f4ca0cb58adbb14d177c76af2875c78844fa7512b11706af67,0.000029467970660515
base,Legacy,0x6d3a6c143cf1bf0694c8502ed7f4af254aa948508e992835657809b9840624e4,0.000021404725384344
base,AccessList,0xd32f91cff5136ce1f018598bdb920be19b0d6e7b502dc89ceafa443bd1d59fed,0.000248702357305951
blast,AccessList,0xc709c5c47e9321615cfa8f402aae5e60eda75eb85987c52e63f005e442eb1daf,0.001938309381808772
blast,126,0x8b5c3ccb8920640313212fc3b179220beed71849a359424f5f5f23689a5508b3,0.0
blast,DynamicFee,0x2f478468d173337c579ce62d69c51b8c77ddc09ab3bb25a5cf320efdddb429ef,0.000000927100083554
blast,Legacy,0x9135a6975700fb371c1f5f9930fe0a96792fa5413053e295fed4429d5857cefe,0.000000272792885398
bnb,DynamicFee,0x86442b0bec019914dedc6c8b6587d4a641af9d5c93f5fe43489e886bf8e2111f,0.0001031585
bnb,AccessList,0x279f9816fc207da331e5db4146b2f8cdbf2711f8afad428eed5342b51bb6ed38,0.001067151
bnb,Legacy,0xeef4761a0657ec8b4611107102f9513926d6e1aa7299cfbcc10421d0da1943ff,0.00076413
celo,DynamicFee,0x3fdc11afad69785f956db03e6645dee645502c6d8576e2d350ffe4f7d0c22370,0.005024275
celo,AccessList,0x23dac79f73634e14d706051608215578a249615c8a215560376c44cc357a24e5,0.0005378
celo,123,0x9c1f2ce2a32b9a111a8203c3573677f9ba63234b7176648ac12d0203fec87d70,0.000805071995938897
celo,Legacy,0xde1b99d696a36053356cbcc5f51338c99fe9a8f51e4caf00de2527913233e52a,0.0001160526
celo,124,0xbb7f9377890878de3d4b4c1accd6754cbddae060a26c62b96b6db32d072acab3,0.0003239985
ethereum,AccessList,0xba1151d9b887a2c830d348f105b03c137606ab060e1875b966a8026b84656fce,0.028050251160968208
ethereum,3,0xf324dd5f2c35b50c535d79e9d762f9cbadf7fb068d0303b542147a4d3765e5a6,0.009721270532481626
ethereum,Legacy,0xa949e6ec5695e8ef02955cd08e17903774e90a3f0d04f4b513a08ac51f4ec0fc,0.00151525
ethereum,DynamicFee,0x3b9cb21ee8f7881d03de12fa39b97b2e49e249b28582b20481b8c388ab27bb27,0.002333844881109
fantom,DynamicFee,0x3831c06e2e1c2dc00ca40eccd8d65891c3be3133558c3bdce7f56ba6e4efda6b,0.000334464160507994
fantom,AccessList,0x53788e566ac62818a7dbcd92e822e83a34eba4793b40c961750f2272e72fc346,0.25770735040646148
fantom,Legacy,0xa85a1c62418d592640561ba8802030f54ca38cee6d9373d9e67166f0f1e76e1e,0.0026796945
gnosis,3,0xf6729acd1da624a82758f5a9905fb80b91dc34dd2b472c63984b0e38eea66924,0.000210241359447
gnosis,DynamicFee,0xd5ee04af7373a6357a1a5ca4c91212b3accca182157426fade2c03dc7bb07a71,0.28789668
gnosis,AccessList,0x8c2856977e4c4ef65b23f793bf622531eacb8f2da59b97c3c2d30bedc12b05eb,0.000902121
gnosis,Legacy,0x8a88b742d5ebe246b234e1482040d3c631381790f20a4370a50c3e3e1776d365,0.000046111
linea,DynamicFee,0x94baa792bf3f2cde20a1dec3bbb3ad67aedcfd4a8693e30b0b16e41d0d28cba4,0.000006300000147
linea,AccessList,0x931af5a42b67d7b359ee32d005ff6a2f123ba2177368965dd9d4fc2db15e66af,0.000013726729038942
linea,Legacy,0x77d7dfbf19e6ee020a615acc797ae475e5817ea7358a3954834bca68380f0fb0,0.000035081856
mantle,126,0xaa0a8f422ae3cf2c5fca2d718f0ac8233b02c69ac93bcee1bdb3b2c74315c467,0.0
mantle,DynamicFee,0xbf3d4f2d17ed1767cd683a3acffc63b3f4823d77a1a305e0fb44428c479b3691,0.35756222821535477
mantle,Legacy,0x8e6da0d698459f5d2d8186781270105d5a372167fd9a81b76f719d90c8786698,0.04984784184640691
mantle,AccessList,0x8b4bff275f5609fdb8f60b2c99bc8d687fb2c1655337c3c2efbc6db4e3bf4698,0.06726050574120726
optimism,126,0x14a19025a374dfd2ba45d2b7114331f1c3198b8620c54fc4527cad296fab5028,0.0
