blockchain,block_date,block_number,tx_hash,tx_from,tx_to,gas_price,gas_used,currency_symbol,tx_fee,tx_fee_usd,tx_fee_currency,block_proposer,max_fee_per_gas,priority_fee_per_gas,max_priority_fee_per_gas,base_fee_per_gas,gas_limit,gas_limit_usage
abstract,2025-03-09,3685622,0xdc6430ae6e17b59505b1c5428bf1e9785c493af1ef9a505be2bd2f8bf89cf84a,0xa8ba47b8b2e2471e0f07f628f7bafab14b2d5571,0x3b50de27506f0a8c1f4122a1e6f470009a76ce2a,45250000,150795,,,,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,45250000,0,0,45250000,232827,0.6476697290262727
abstract,2025-03-09,3685622,0xef9c1ee8a5396589b9a78412f0efc499069c969239151b6449aaf03194a9fcdb,0xc5cd02481c0affe9df5c984205149f47abfa7b18,0xc5cd02481c0affe9df5c984205149f47abfa7b18,45250000,216989,,,,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,45250000,0,0,45250000,646084,0.33585261359204066
abstract,2025-03-09,3685622,0x01a2fdfc42568a0d49f6ddeaafd3666a168df57ea08a1ac02cd794aa2e691ebd,0x6172a93049f09d0c45a830940e4f55789df97d13,0x6b104c78d384d1c25ccee2ca0698541e22ec60b2,45250000,1918700,,,,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,50000000,0,0,45250000,2509084,0.764701381061774
apechain,2025-03-09,11246667,0x44a68605359b63fd4e971069869c748f337a8201bb98cbfb03023e87687a639f,0x00000000000000000000000000000000000a4b05,0x00000000000000000000000000000000000a4b05,0,0,APE,0,0,0x0000000000000000000000000000000000000000,0xa4b000000000000000000073657175656e636572,,,,25420690000,0,
apechain,2025-03-09,11246667,0xf4a92ad3ad571c9cd18dbe24b7591160e33647be17e28650c50b62209ca0b76a,0x718c957b54de3e631baaaeac5852f170c73ca5fa,0x91000adba5d3aff328815a5fc449f1558f96a283,28000000000,21013,APE,0.000588364,0.00031460411443999997,0x0000000000000000000000000000000000000000,0xa4b000000000000000000073657175656e636572,,,,25420690000,21013,1
apechain,2025-03-09,11246666,0x5b49961450da6aee424374bfe213c4536fbd716bd0371f2c8885ef09889753b8,0x1f14bc59d81736da26050c6029e95dc0e1f54bea,0x91000adba5d3aff328815a5fc449f1558f96a283,28000000000,21013,APE,0.000588364,0.00031460411443999997,0x0000000000000000000000000000000000000000,0xa4b000000000000000000073657175656e636572,,,,25420690000,21013,1
arbitrum,2025-03-09,313840206,0xcf9fde0ec956fa412154c3c97c5923df99ffb6f52ef233434cf9203fa77e07fd,0x8409dc2c4f2e17fe4cc00d001bbefda758460088,0xce06be328b257f6598ba7719b6ea26f5ef7cee9f,10000000,22715,,,,0x0000000000000000000000000000000000000000,0xa4b000000000000000000073657175656e636572,13500001,1,1,10000000,23747,0.9565418789741862
arbitrum,2025-03-09,313840206,0x42be7b0e92f196ee791db734769041b5f298b10b4bff3f763fed9ae89a40a4c4,0x89e0f56cb293559d57bf3aeb36c3dc02b21bfcf0,0xaf88d065e77c8cc2239327c5edb3a432268e5831,10000000,47783,,,,0x0000000000000000000000000000000000000000,0xa4b000000000000000000073657175656e636572,13500000,3500000,13500000,10000000,73341,0.6515182503647345
arbitrum,2025-03-09,313840206,0x2a3d8b8b74facb0da86685faefb85f68e1ae0abe212ff95e0a6cbaa5f459e4f4,0x00000000000000000000000000000000000a4b05,0x00000000000000000000000000000000000a4b05,10000000,0,,,,0x0000000000000000000000000000000000000000,0xa4b000000000000000000073657175656e636572,,,,10000000,0,
avalanche_c,2025-03-09,58456195,0xbe9941249b31e2c7acdf32eff2e7c4ee35fdc806c271b87545ae6acb7be708a9,0xf1a912e4162d7597853efb78b1e941e9a446ec94,0x8f66c4ae756bebc49ec8b81966dd8bba9f127549,100000000000,64560,,,,0x0000000000000000000000000000000000000000,0x0100000000000000000000000000000000000000,,,,1000000000,450000,0.14346666666666666
avalanche_c,2025-03-09,58456195,0x4db576e6c25f992d1ebe760a3fe7b4004e8e596cdc6a6020a69acb05bb860358,0xc3302b843a4eb3ee0870ac6fecdf9ce39cb58864,0x3eca72e957fcf4641c81d6b1e7fb2bdb9a0fa999,11000000000,260280,,,,0x0000000000000000000000000000000000000000,0x0100000000000000000000000000000000000000,,,,1000000000,1000000,0.26028
