blockchain,project,project_version,block_number,tx_hash,sub_tx_trade_id,nft_contract_address,nft_token_id,buyer,seller,price_raw,platform_fee_amount_raw,royalty_fee_amount_raw
arbitrum,opensea,v3,26127290,0x3a636652ebf24620ffb8ff9fe1d1252c40e833a9d074574a08bac51879f5c8c3,1,0x642ffab2752df3bce97083709f36080fb1482c80,4575,0x940459a510b2f4ad950795d4a47941391628bf0d,0x537789a5cd977c0161a36c73b8154f313ce86028,17500000000000000,437500000000000,
arbitrum,opensea,v3,26141551,0x59fe0f30fc5eb3d9ca268f15381151010e3fbf0ec2dd7c6e8f08318ca22186ac,1,0xb07b371bf4f4634cf816051d2ee741164d4203fc,59058,0xaf21854d58550db12aad2b8e9dd3a08414edd120,0x412dd131438d86c088bde31b6feb5616e3dd0566,150000000000000,3750000000000,
arbitrum,opensea,v3,26157833,0x16eab415701d1bb5ef66396ee676ff9a10ca112fced41195333aa23a6d613e65,1,0x642ffab2752df3bce97083709f36080fb1482c80,32796,0xae0edff62177152d8fea78c57b022e513f86a5c2,0xf54dc01a59c5333617d03aef49aa1d2357c5f68a,21000000000000000,525000000000000,
arbitrum,opensea,v3,26167624,0x409fed8268db78513d0b329368c640dd879ad7219bce304646936708b36db773,1,0x642ffab2752df3bce97083709f36080fb1482c80,33572,0xc1ac3133e13355f6e41807da6b5d5dfae77f60f9,0x61e6f8812198e172a6104f8c956e4b58859bfab8,13300000000000000,332500000000000,
arbitrum,opensea,v3,26189502,0x905b9b8bb024051a48e0592e588761744ed4b87c3cd348862b5505495fec759a,1,0x55df058c5934ba3f1ffcf6c726e75659009f0983,1701,0xc1ac3133e13355f6e41807da6b5d5dfae77f60f9,0x508f159b415dd59eccf9e738f67e8c854d475c0e,2999900000000000,74997500000000,99896670000000
arbitrum,opensea,v3,26255912,0x6d1c85d0b2e5992f7771dcc33455f37db889fba76988480d9e7819f186ab5e06,1,0x2a4730b0bd1bb9e06f365c15403fa264119d9a51,6364,0xaa312eb19552f924dfc47bfefe47f35a902fc595,0x5fa98b2545710bc4bd0e0ac57b8efd8d3c50ceab,990000000000000,24750000000000,99000000000000
arbitrum,opensea,v3,26261165,0x1869f5e27e81654fb218c087417a0ad68c3ea302742c5af833e692f7d3f6659e,1,0x9fd5b98251becfbf66bead6035fd5c95afdb8bb1,193,0xf1ea4eaea0f6b0a12a4795b5e857ecda6dae21c6,0xe981e2a9a49c82a22fe5e44e58c8523c8d622792,100000000000000,2500000000000,
arbitrum,opensea,v3,26263130,0xa9a5c08da80e1b450bfd7cb56fafc178c36fd7280c6a9d9159508429565ed2ef,1,0xb07b371bf4f4634cf816051d2ee741164d4203fc,31080,0x012db66110d211e5aa15171b15265384f22fd1de,0x9ec3161bd0eb90225129b1376a269023b4bc4665,150000000000000,3750000000000,
arbitrum,opensea,v3,26263204,0x7701e95fd7b0bce93b374507bd3d10d4033ef64724161f34baf4505c3dd7b756,1,0xe00cc435fff6331963bfc2d984009be524c282c8,411,0x97dbf4d74fccca9767d9243a1380adfc000c3638,0x8431eb65dedc382b9aae759dc0488cc12a29f9cb,40000000000000,1000000000000,
arbitrum,opensea,v3,26275948,0x2ad4fd12398f49047d4a33ca5e55e3808c56e504d2b4ae2d1cab4071ec404331,1,0xe00cc435fff6331963bfc2d984009be524c282c8,49,0xd19fd69bfdc2651272c523df8408738bc1f93104,0xe981e2a9a49c82a22fe5e44e58c8523c8d622792,40000000000000,1000000000000,
