blockchain,project,version,block_date,tx_hash,evt_index,nft_contract_address,token_id,sub_type,sub_idx,buyer,seller
polygon,seaport,v1,2022-11-11,0x3b07e05c0a0fe80e5793a9395a4b844780b7a33852aedafd1196be7cc05bba69,23,0xc70a7496716b3e25546901fe88215531abbd5a10,238,offer,1,0xd5b60a2ae59986e50a9552003b5d66c30f1a25ba,0x17025c896ecd7a8fe502617b6c631f28bda76704
polygon,seaport,v1,2022-11-11,0x3ac8fd48d6226e6136f900ed10e879a1f9b862e80710b3130676bda3f869bb82,366,0x622d8fea4603ba9edaf1084b407052d8b0a9bed7,2811164,offer,1,0xbc3a956a05808799f3ef9b1b1eeeec56f8d89e21,0x30523df27179971c41c4ae8b9a9b30aaca9a75a8
polygon,seaport,v1,2022-11-10,0x39b84a27dfdbcb67a797913b5db678af3e3abfbc6f7020eee74450f00f4be33f,265,0x622d8fea4603ba9edaf1084b407052d8b0a9bed7,2010493,offer,1,0xe1b27589760a6bda4e77f0720d7319926bb10754,0xffa5b82d15ce9b3b56486faf05364d9b52eaacae
polygon,seaport,v1,2022-11-14,0x0f7c442845f58bf9e1eec90b6e2c399a7af961ef4f7df192ecfeb62140e3dc59,9,0x22d5f9b75c524fec1d6619787e582644cd4d7422,419,consideration,1,0x03b554e6f75c750a8e3affe2ffa23332d0ea7a78,0x1b34bc6e87d79ce7d08d7d6b4f923ede6bd53fd0
polygon,seaport,v1,2022-11-15,0x118f3b30ce59a860da92b139fda2287d28572ce19642ac513fe482b66dd0db57,289,0xee52cb4dda48dab025e911edbebbc843881a36c3,0,consideration,1,0x0ee8a7de00b82f8fc99263e9f42b09cf415b9911,0x6646773eaaa76a1b6083849eb4607b7d418c610a
polygon,seaport,v1,2022-11-09,0x1ce4882b8210cfc1c6cdfbd4b883bb0b38a7c23fb996fbb155c8de476c2a43ca,154,0xa9a6a3626993d487d2dbda3173cf58ca1a9d9e9f,10034466110987136190011058609656181567800507902337333604860695558114794602882,consideration,1,0x57b8734f103eeead3a699656e2c2ef031aed9508,0x81b53dd9c7627d825c5fca066d8d611412c7cce4
polygon,seaport,v1,2022-12-25,0x1878f6836e3d165fd57ab76292659d337a5be24713ac8ecc73ac7e0a03bf815a,185,0x564f684d4a30b8edfda3dd5af564481286103e92,1,offer,2,0xcc0d6f4767ea6e305e947b4fea6c609cd9395d7b,0x6e3bc6709e8dc74f6dca2d264555c655d7b86f60
polygon,seaport,v1,2022-12-25,0x1878f6836e3d165fd57ab76292659d337a5be24713ac8ecc73ac7e0a03bf815a,185,0x564f684d4a30b8edfda3dd5af564481286103e92,1,offer,3,0x9ff8c1d0fc01f42036b47a87810f876946d825d8,0x6e3bc6709e8dc74f6dca2d264555c655d7b86f60
polygon,seaport,v1,2022-12-25,0x1878f6836e3d165fd57ab76292659d337a5be24713ac8ecc73ac7e0a03bf815a,185,0x564f684d4a30b8edfda3dd5af564481286103e92,1,offer,4,0x647faa4da0e66f4e7bc81cb5043a8e6484d80481,0x6e3bc6709e8dc74f6dca2d264555c655d7b86f60
polygon,seaport,v1,2022-12-25,0x1878f6836e3d165fd57ab76292659d337a5be24713ac8ecc73ac7e0a03bf815a,185,0x564f684d4a30b8edfda3dd5af564481286103e92,1,offer,5,0x8b2a938f4b247b5377a3c9d5d7e75b0c8998260f,0x6e3bc6709e8dc74f6dca2d264555c655d7b86f60
