block_time,block_date,block_month,bot,blockchain,amount_usd,type,token_bought_amount,token_bought_symbol,token_bought_address,token_sold_amount,token_sold_symbol,token_sold_address,fee_usd,fee_token_amount,fee_token_symbol,fee_token_address,project,version,token_pair,project_contract_address,user,tx_id,tx_index,outer_instruction_index,inner_instruction_index,is_last_trade_in_transaction
2024-07-04 15:31:10.000 UTC,2024-07-04,2024-07-01,Alpha Dex,solana,268.36,Buy,65167.086368,BOBBY,48yNDqabAvGNfnkhadsV1MAvtp44fFDdHBRBdFhvpump,2,SOL,So11111111111111111111111111111111111111112,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-BOBBY,6pgNsBb4xJdfouzejx7qDYpibgRnLvopivtNGF6XJyys,5wgWiWxtXbbEaeis6eVjqwuBFJh4QzpWazmQt48m2ckU,4TH8nsLfeCyi4vpZBAKgHCJbiQeiCCX5xcVT8CKTwcZCTiVqrtL8MGrcLscGAKPJejFy1Bgfni75b1z16tCSjjJ7,71,5,0,true
2024-07-13 20:18:22.000 UTC,2024-07-13,2024-07-01,Alpha Dex,solana,70.11,Buy,2531493.950401,PINKY,J7YzdJMF7NxvSBqJi3uWGV3gGv367qbXdgG23qSrpump,0.5,SOL,So11111111111111111111111111111111111111112,0,0,SOL,So11111111111111111111111111111111111111112,pumpdotfun,1,SOL-PINKY,6n5RN92t4hh4pHs3aPaQNBXNpEcwtwVWPAm33jZK1Jds,KXxHQY8e1QTXf7oK2ZY8qqjpD1MW7j36ykJwq8Sg7PR,4jL7dszLcRMCCY6hPHK28cToYTocNvHAMaPD3hRZKa2D4Fj53EBjPyxqgwn7DHCDQ8Q449F8jgH64ug6G1B2m2dE,1440,5,4,true
2024-07-01 23:22:53.000 UTC,2024-07-01,2024-07-01,Alpha Dex,solana,73.355,Buy,3036223.686595,RAW,Ci5Rtq47wk3FuKLw4pyhJR236jkeFWXivwPcKbe3pump,0.5,SOL,So11111111111111111111111111111111111111112,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-RAW,BXcndJA2FDacDW2hXvg4dA1vBXHX3frx1gMuyq142pq1,DpbU5BoRvWQqAVJFj5dQfT51D7qitmxM7pUNiaMGi2nK,5FiULyBRobWsxhScRe2di2E5dirXjNZrWqXeker7QpafwWBWMLhw3ocmGhSrkH3r6iiixZ2MpMhdyYxg3NLdMxSU,12,5,0,true
2024-07-31 04:37:27.000 UTC,2024-07-31,2024-07-01,Alpha Dex,solana,269.685,Buy,634170.565465,Knight,LVCQ1YmeK6DECKqcwmscyDRxUYJpiGth9ppGKtopump,1.5,SOL,So11111111111111111111111111111111111111112,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-Knight,HgGd3E2HWsAzb4PpoXbgfZDjwSnBN7MBgQAFouREhcXG,DvNtzjS6umGVuv7uvXtP9GPW8Xdkie1jZ6V9bgf7Hte2,5TkmqSZg526uM2VMbEbB39SwSKEyqrGLn7Vd1NE3F79oZPp7iqNvAgGPZRtrhNazDp8J6wPdE3Rsaxr4PPnVB5Gh,573,7,1,true
2024-07-25 02:50:52.000 UTC,2024-07-25,2024-07-01,Alpha Dex,solana,2021.596454679576,Buy,2020.436724,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,11.9,SOL,So11111111111111111111111111111111111111112,0,0,SOL,So11111111111111111111111111111111111111112,whirlpool,1,USDC-SOL,FpCMFDFGYotvufJ7HrFHsWEiiQCGbkLCtwHiDnh7o28Q,DvNtzjS6umGVuv7uvXtP9GPW8Xdkie1jZ6V9bgf7Hte2,4ErtKWQAx36hLweQyv2h9VbzJSoLDvBwDybH9rn5sE5xWDSUgpwZMQSqouM2UdWwEi2cNGXXLtBvx7qoLn7YeHRW,110,6,1,true
2024-07-01 03:15:46.000 UTC,2024-07-01,2024-07-01,Alpha Dex,solana,29.532,Buy,35063.62997,JACK,EUZ7aBJu8sQLXhW3AX3K93SGtTF4FCKU3pnZJj5opump,0.2,SOL,So11111111111111111111111111111111111111112,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-JACK,DxtDW7Vg3kzvGn3X61rDTjoLcPB7xKtqsQv229nGgnBA,F3t7RR4R92jVfR6YUnjUS4kLnB2dUYCHXvKKzFtjWuCs,2GUnfYZ5o3Ftocw8cBCAmmdA5ePJ5dzacpVvtPvgjoSgUUebPFaJK9N5iwa43fBPSGrSFrjncWTzsSw1d9iKzYv6,601,6,0,true
2024-07-30 19:39:57.000 UTC,2024-07-30,2024-07-01,Alpha Dex,solana,17.718,Buy,15217.140662,PUPPERFISH,7fMP2Ez2j1wzvoFnVF9WEQkbpeeFjhvHtzx4fUCcpump,0.1,SOL,So11111111111111111111111111111111111111112,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-PUPPERFISH,6oBCVrc7nkCQcdfsVs545jY2tUAPdKXGRvAb5Ke8K6uj,F8YqrAuW4cN8JVJ1TdTQtdXv9CS3HoAjM8qk87PCRrfF,SFn29ePnTiNn1HjzZyku9vGUQB1A5Ha385iY9nURhpqCJ1hRvsyjAbrn5HLpTBT12a2CVMN4cuprdVhcFz1fFRQ,2419,2,6,true
2024-07-26 11:47:27.000 UTC,2024-07-26,2024-07-01,Alpha Dex,solana,3576.6000000000004,Buy,89044.890098,DOLAN,4YK1njyeCkBuXG6phNtidJWKCbBhB659iwGkUJx98P5Z,20,SOL,So11111111111111111111111111111111111111112,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-DOLAN,A4XeGGhWRcyYRnZqHwDanEow9nrodSJDRHEwcpCbuk4e,DpbU5BoRvWQqAVJFj5dQfT51D7qitmxM7pUNiaMGi2nK,5jLNdz1X9s4t2DKMZSRBHcCDkPXnDQXSiZL8DwKq6dqrSTiebHN28zyvU13V8h55F6ekbz3jswucb2YhGw6czTUC,1742,5,0,true
2024-07-16 19:23:18.000 UTC,2024-07-16,2024-07-01,Alpha Dex,solana,40.505,Buy,3762153.264029,Pep,6aSC2PwRuEeE1eV6m9Zie1bSbnpje8eDaNy76SUspump,0.25,SOL,So11111111111111111111111111111111111111112,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-Pep,9CcnvqgEpGSw1oiegmzkexYPmoaPXwpY1AbvwTswkc5P,8DSWt2FhamzorVXKgF24o1mTAe4f7ontiW9ADDqyMRUP,2nfSBWexU7eBPC1tXYkoyQRNEccLiAwHBE6dDutjuRH7W54QFQweSwhXSfxTdKdca2mafecCKRLnRcUKX83qsD7t,42,6,0,true
2024-07-24 12:55:00.000 UTC,2024-07-24,2024-07-01,Alpha Dex,solana,1501.4399999999998,Buy,1180215.413387,SHIBY,AEKUy9xPYaUPPbuh2K1koBCLrvyFTjD89xa3M9eRpump,8.5,SOL,So11111111111111111111111111111111111111112,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-SHIBY,7mrHoG7uyhGJPWr7mZ9zP8SMAX3qQz3ehxNCvWXgv6M8,Hh67Q6jwk9CnqigWzUoAEXbnKEMTxHetvDofya5agmDa,2xinDkXQa8qcnNVLCW4HjSssrAjqq8JPj8oov7CH7NXZYh56nPh9cwGa3AKxLEoPpRTvDcCZQosqjmBZzD7V2U5d,445,6,1,true
