block_time,block_date,block_month,bot,blockchain,amount_usd,type,token_bought_amount,token_bought_symbol,token_bought_address,token_sold_amount,token_sold_symbol,token_sold_address,fee_usd,fee_token_amount,fee_token_symbol,fee_token_address,project,version,token_pair,project_contract_address,user,tx_id,tx_index,outer_instruction_index,inner_instruction_index,is_last_trade_in_transaction
2024-11-13 10:10:03.000 UTC,2024-11-13,2024-11-01,Autosnipe,solana,1.89099878996,Sell,0.009148076,SOL,So11111111111111111111111111111111111111112,131375.682942,POE,BNLkSqJMM8xmekwQ8nReaHu87RXhohHxMwxPkSUQpump,0.027996388980000005,0.000135438,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-POE,ApgQg6gGBDq9ciKPFe38V2XYywHyPgXSwerVHLSL7fyQ,8GHHSremAExPrXPCcmtcwSCteEQ3sFsvn3x4smJEseev,2GxsTynwW8vrxwy3q4GiNmFGuqEwgjiJBT8qaL2Jnvo3chhmEJPjSAHUtQdit6RmZEJkbKuiraG48HsTCajRvBkM,1553,5,0,true
2024-11-19 05:23:49.000 UTC,2024-11-19,2024-11-01,Autosnipe,solana,75.04771682688,Buy,274694.326486,GRIFT,DdWs9oFuGBTFVRbhxNkKQYYYdA6X1D3H5ZMY5TZLjhfG,0.310988384,SOL,So11111111111111111111111111111111111111112,0.75047696556,0.003109883,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-GRIFT,E7iXbCTyae2V2PYiuJNTC7xeJVAoiYMHY8L5TpHX9VYF,Buj7TH93zSKE8W7WvamsHMzmLuYXTekwvH4QqpLMcRxe,4BY97vyp8r24Dnqu2tyHbmi9K8orqhEuia2SAQmANtExicM3wNS3VDB8UMsVdNDPgLS5M85dH5hYwhG9QsyPU8GM,782,6,0,true
2024-11-14 08:40:53.000 UTC,2024-11-14,2024-11-01,Autosnipe,solana,2.1915,Buy,362.045614,RobinPepe,6mW4U4AXge8drs3omUg7o3b87hYizsRbPcWydS7FdRJa,0.01,SOL,So11111111111111111111111111111111111111112,0.021915,0.0001,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-RobinPepe,r7WRtpReP4deeYpcUCcaJWdVCs2PX2iLVoZN42e19Bz,Bu1K6z6ZxbKc6pe6Fbzq4A9Up4nmPg7CudYq8iFkj6L3,eAko78YHHEmWXaYSVJpqXHTCPy9T3xzhXoaz3hdvGTERgExjiYtmk9bVfFa96eSLnw2cY34KXi4AHeT1kRManjC,926,6,0,true
2024-11-20 14:22:07.000 UTC,2024-11-20,2024-11-01,Autosnipe,solana,4.4605925127,Sell,0.018424587,SOL,So11111111111111111111111111111111111111112,7962.065451,lucy,Cy7Nyi89q2HCt4wwxyLLJERNdjwBJVHJCnC8xGSQpump,0.050146415099999994,0.000207131,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-lucy,2fKxw5AhN7R8B1pzrtYp8poe98WdHm8PoboK1qxx2sKz,Hf8biWQwnk2X4LEAEiUWv351FQ23ZgwysUvUkMMCPBCk,jFNj3ohhJtKVrP3ox8BQB5BBAQTdJ4NJ89rZcB3qKNL4AbQDAu2Xm34W3H83SzBVwHfqdB3KZSKSu1GbBT6SnMu,429,5,0,true
2024-11-21 14:10:11.000 UTC,2024-11-21,2024-11-01,Autosnipe,solana,0.85967529,Sell,0.003494615,SOL,So11111111111111111111111111111111111111112,2053.81599,Mercal,ESn52mvYR7Yo1XyUe1zJRqfe3VorGXwndFB14H93pump,0.014268491999999999,0.000058002,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-Mercal,C2vF8E1xcAPp8Ly2rn4V1ySxyYFyT5JSvYXWSFdb1Rxg,HCnXthqj7hQWJ6YDSYLPcmTU6HpFvQYZ2EMiBVWr3WCb,5gg3vWDSNgDJHWjHftNP42vNvWoENvi9EYJdx6dq95Vs63eK6U5vVZHkmNJNW6W3GH4BBHq2N5cFDo2UUaKw8ms5,365,5,0,true
2024-11-19 07:17:35.000 UTC,2024-11-19,2024-11-01,Autosnipe,solana,0.19324405122,Sell,0.000792406,SOL,So11111111111111111111111111111111111111112,60.581306,DOGECAST,EwgD3xXdEEMfSqTKtWU8XJzpncbdi8oSQ5VJV75X2FsW,0.09793697265,0.000401595,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-DOGECAST,BMyVgWdDdWRDpkVyoxWnNsMsP1VfsZdbJFnJXetk6pgt,HWP1ia8ydkH69kXgzAKuZRvEtX1bgAirUk6c1GsMqgjA,K7SijRGwsVy6NeSrsD5dC6sFnm6HCFJBfkvM6thm1YFHD7C4PKUbDUxT9ThKu9Kx45fRfszGVjKF9ZdWovsp1Lc,257,5,0,true
2024-11-19 23:12:29.000 UTC,2024-11-19,2024-11-01,Autosnipe,solana,1.58160693071,Sell,0.006704281,SOL,So11111111111111111111111111111111111111112,164600.628572,ΔΘGΞ,EkMAYuktJDkiioBLUxn7ToWrv4tfY8c1QjvzHwrcpump,0.02500646,0.000106,SOL,So11111111111111111111111111111111111111112,raydium,4,ΔΘGΞ-SOL,5efupJYTonpmrgyAURkgP8HgRmwYdnVc4EwXoL7P5jnr,Fm3RkHsY3ZkXNtaFyUxuDTyo5LuSkCNPhBW6ndqMf9Yy,4gQxg29RjrYLfDwNeM93fzAKDd3SD2GeqQ1Ko6Hpa5UdSmNKmEXVd19ze4A98TUcqQmxhwVYuPNZhexuFgk6QyML,545,5,0,true
2024-11-14 12:17:06.000 UTC,2024-11-14,2024-11-01,Autosnipe,solana,13.935083723410001,Sell,0.064374203,SOL,So11111111111111111111111111111111111111112,1613.92806,LESTER,5z3iCe53hUANTiG8Js8RjHNE2Arjik7L2CXLyr2rpump,0.14572370754,0.000673182,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-LESTER,7TkVaEEG8CpMutTpkQMGDEdsRi1GxnjA1NzKiTPKbxnE,C4ZXEJWcJdu7HQGz6JhbRMGAHTnoYLaGMrGqgT2ojUFG,5woVu45pDVBjDnzmJsxD1aSJyBa69Zr7C82b5zLFULiz158ySdKuxPwbUDDe6nuTwXZjy26Trei8UAzc7Rhf8oTq,117,5,0,true
2024-11-20 08:58:17.000 UTC,2024-11-20,2024-11-01,Autosnipe,solana,2.3874,Buy,8510.344944,BADGUY,5JGi5RWDDjRNWBifuwavKGE7cPG8YhenDLxrTHAjpump,0.01,SOL,So11111111111111111111111111111111111111112,0.023874000000000003,0.0001,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-BADGUY,Dt8yduTbFykpGZCSse1AYFU4Dd6CvyGWKFixrjXMN5UB,GtPCTuUg5xECqRiBwtzxDAYxUt7s6icrKuevrFKbo5sv,4rWCwWHiyu5qpUgf3LUwo9KLaKu8QiPzgZschtb7DpMbZ2jfMmdkRu4LCffEhLq1NK3PeW511BcFuy5zSckzoXbz,2090,6,0,true
2024-11-20 13:15:55.000 UTC,2024-11-20,2024-11-01,Autosnipe,solana,4.970279410720001,Sell,0.020972528,SOL,So11111111111111111111111111111111111111112,70407.335715,THABO,9SBt1dVSVWchvSo3g5RAZswg8VDz1Se4K4YMzVBwpump,0.0543275876,0.00022924,SOL,So11111111111111111111111111111111111111112,raydium,4,THABO-SOL,7BwRNp2jKpSza3kEb2XtAoXCMLSL78ZNvT7R6Z7YtdGz,BZqTgDxDGpmzQH5iVoHUXR9XMjwEiQqRdQZYaKgh1y7L,2LHpYhNoTjcaixpb1e4s12a9qiNranbj9yTAziLa6R27NH5owKqNcwAa4ikTHt5RKeZmzcc2bNEM2gGFtL1p5ZMh,2023,5,0,true
