block_time,block_date,block_month,bot,blockchain,amount_usd,type,token_bought_amount,token_bought_symbol,token_bought_address,token_sold_amount,token_sold_symbol,token_sold_address,fee_usd,fee_token_amount,fee_token_symbol,fee_token_address,project,version,token_pair,project_contract_address,user,tx_id,tx_index,outer_instruction_index,inner_instruction_index,is_last_trade_in_transaction
2024-05-30 05:06:04.000 UTC,2024-05-30,2024-05-01,Autosniper,solana,0.8394210000000001,Buy,6956.131561,BONK2,XASD9HeBJSVkTwDZRhAUtvZyFbDkA9wWZfX9eM7Qd6d,0.00495,SOL,So11111111111111111111111111111111111111112,0.008479,0.00005,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-BONK2,2iLvK79euE2N4PTaBVcww7naeCCDYzWsPR5zfFnsuQYZ,5Cdx6L9LZdxjBV75V3QXibMuK97C3RgUBQBDrULKCChn,3qSSNq52PY5c46ooHzKtEuxGKHbSv24CxH4J7uGLg1sj7QM4e2ipFULno6eqDjSdnhq5DBqCjJgnE7YanJGGJCfo,398,6,0,true
2024-05-29 02:51:05.000 UTC,2024-05-29,2024-05-01,Autosniper,solana,3.3529320000000005,Buy,2526898.265406369,PEPEMH,C2vh8ejSyHcJB5mu5qj4mbLiyUgqGkGxjYYN9WdwyX5L,0.0198,SOL,So11111111111111111111111111111111111111112,0.033868,0.0002,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-PEPEMH,sS6eNtm9p2f4VwP4ZCUsgH4L9DSTELS2hPd4GYpg1f6,GDCKy7Hm5eViiXLJzHURGwk3fUqFjLfthB3urExFKtka,3VCdxpYAiYpoRyCfn1BxW94euM18eH16BoGVbY25mASpDSNCyveiKgbX3VxaxnLxbPba6yQE5Fhwd87tmSc6isd8,90,5,0,true
2024-05-26 08:56:33.000 UTC,2024-05-26,2024-05-01,Autosniper,solana,9.847766836429999,Sell,0.059985179,SOL,So11111111111111111111111111111111111111112,2100093.802246,NORMIEC,8YdiftTUV7zjLnk2P1kJFyaVhJD6TNTNsSvPn5akQSd5,0.08952518439999999,0.00054532,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-NORMIEC,3iEJBnUaZezXB5wtFM1nMeuVvn5XZcxAxVeGMdK2ChoX,GDCKy7Hm5eViiXLJzHURGwk3fUqFjLfthB3urExFKtka,49sPdgrXwdECwwMmJi8kkjF2p85dLH8UYwsmoRjsuBHCtNuX8EwHmiPxYkni5buQf1eoepcMC3TVjti5fY11hEmv,7,5,0,true
2024-05-31 22:30:19.000 UTC,2024-05-31,2024-05-01,Autosniper,solana,1.1531520000000002,Buy,2675.748188,MOG,BbYV28CUZQxrmi7CYkvfA1rrCsu8KcvkFrqdeXmfnd61,0.00693,SOL,So11111111111111111111111111111111111111112,0.011647999999999999,0.00007,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-MOG,GG6gS8ejHTEjdCTsgL8dirbpHxDsN4AKajc7C7R5ZzJ1,uW5nRcgf4B1LRGgmSMoQmpSQSXo3iCECewZsz5KoEow,43A3wELKAb8Re2SXLBxE5UJ8voi22LxUuBBMt4G2q64jPi1LsSTFY6XecWFKehtSrgd4Hf4HkoWapMb3sW1sjrhb,528,6,0,true
2024-05-29 13:58:23.000 UTC,2024-05-29,2024-05-01,Autosniper,solana,5.010687000000001,Buy,49341.5677077,STONKY,uLEV7trrXvH8NRCiU7E5swtZVCdvTE6xtmVSCVHsbAE,0.0297,SOL,So11111111111111111111111111111111111111112,0.050613,0.0003,SOL,So11111111111111111111111111111111111111112,raydium,4,STONKY-SOL,ERuNt7P8PvKqYMXbdN8WmHqTqEvK99BMb5Eu7J1GspBk,5Cdx6L9LZdxjBV75V3QXibMuK97C3RgUBQBDrULKCChn,wgdAzzFwtQwNAYWN8D3TdgznAKBjeedC1VYd8xuAxdg2BfmS7EzkJAmdxQniuqauqTdbfc2C9CHAhnJcTniDVoP,10,6,0,true
2024-05-27 16:43:37.000 UTC,2024-05-27,2024-05-01,Autosniper,solana,5.693561411720001,Sell,0.033297628,SOL,So11111111111111111111111111111111111111112,202855.78568,MAGABOBO,6a2noYbcJE53tfpB4FugwUUwh9ME7JPXQuQ6zxr1KKNi,0.045013459480000004,0.000263252,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-MAGABOBO,Da34D1CC7kkjXRvUM3EQ8DjjCcddW2igiVecEtsLwYSB,5Cdx6L9LZdxjBV75V3QXibMuK97C3RgUBQBDrULKCChn,3SnRvPynErV11wJRtVbVt1fDWmkh7F1dMA7GbnthLkrmWNNSWkLAax3Pe9fUDBiqwzjoLRkRxzZeih6UrHieXu7x,336,5,0,true
2024-05-20 14:34:37.000 UTC,2024-05-20,2024-05-01,Autosniper,solana,0.1746162,Buy,16.435904,AKCAT,2hT9GDGBVdGyn5epsFTJzftdRXUvTqyKjZ8WKZvbK5eG,0.00099,SOL,So11111111111111111111111111111111111111112,0.0017638,0.00001,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-AKCAT,41j2mci6EHki9rDoYvAVCSJjBLTAKnxBFjcn5mm2iCBu,AMbGYC8AjeXvGJm7C89ZKKrzNBZgwsugRFvHHwBM9nmV,DZ81LZ8FxR8g3G6voc9qms72t681W8xqbocoa9cQaVAeAQ7JP5VLRFqwQxB44s2JPUejzmDHo82yaEMXDpwC92o,318,6,0,true
2024-05-28 06:31:38.000 UTC,2024-05-28,2024-05-01,Autosniper,solana,5.28580220875,Sell,0.031794299,SOL,So11111111111111111111111111111111111111112,23799.088823,Tibúrcio,8gevADWP5aNTkRXpLDMU39S791muhehYPrXddPCPLuA2,0.04972121875,0.000299075,SOL,So11111111111111111111111111111111111111112,raydium,4,Tibúrcio-SOL,BdFBT2ARJipCgktsMuc4QPva9tpcbdToSEAusYFj8Cqs,GDCKy7Hm5eViiXLJzHURGwk3fUqFjLfthB3urExFKtka,5bhMyPFKKoWUWdJ5qMwUdWquRRf1bw3BNPsNCuuRPZS94LE2EK89jj3AwAWDnwE4NL1sLZ3ZRNCs4mVTChF7dFNK,60,5,0,true
2024-05-27 10:55:27.000 UTC,2024-05-27,2024-05-01,Autosniper,solana,1.6448850000000002,Buy,27920.611228,BROKIE,6LfwPxEneB9uYFMurcKTgFyXtWRu5Z8yFXyUSzVGPb3U,0.0099,SOL,So11111111111111111111111111111111111111112,0.016615,0.0001,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-BROKIE,FB3BEPehHbfqKihwNMyFfEtja2j89hB9HgibzKKdWotd,GDCKy7Hm5eViiXLJzHURGwk3fUqFjLfthB3urExFKtka,37cRmhmyGEpb4puHpJKxiKWffTM7yVVUDW5RhjVdYRiDEhLhprtQHhBrMduW4TDjEwdwwE454wRRgvxZTrVKznub,271,5,0,true
2024-05-24 16:03:05.000 UTC,2024-05-24,2024-05-01,Autosniper,solana,2.97570031934,Sell,0.017794058,SOL,So11111111111111111111111111111111111111112,2451198.465025888,NOTTOKEN,EaA9zPCr35DweLxJqcfhDQYFgwFpVsBejPEL8hkMtFM3,0.02705196095,0.000161765,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-NOTTOKEN,KRARYAcoGJ6yzTRjZjP5PuajMmrHg5hoW5LNrR2LqWU,5Cdx6L9LZdxjBV75V3QXibMuK97C3RgUBQBDrULKCChn,4EYdE4oLUeRZekqfHCmneWn9HUhDybS9Xy45YQV3JwWdvXjeMiim2xeasNWogQsShoBkE7aUmWRbBfTWeGsAzWm1,1758,5,0,true
2024-05-27 11:47:44.000 UTC,2024-05-27,2024-05-01,Autosniper,solana,1.6507260000000001,Buy,5634.113293,POTUS,HctjAgcQTdz5pRBGMsqGGMhZTSFGZfuH4VnvxFjkTFxw,0.0099,SOL,So11111111111111111111111111111111111111112,0.016674,0.0001,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-POTUS,Fp5QGdGy7oWkk1UAvefYTPujjtudckY4s6esAtohmJxb,EeQ2FBJyWa9qWpR3GSN2bg9mA1jYxCm9WXYrb4yz5Mdy,4KMa7oVqvQwjFDgdpxcNQpotR1nSofuTr9YRWhAfNmGqVpTpyPoDQbLYQX9azhJWXgaB8etBHQJdCq64dJYqnjeH,797,6,0,true
