block_time,block_date,block_month,bot,blockchain,amount_usd,type,token_bought_amount,token_bought_symbol,token_bought_address,token_sold_amount,token_sold_symbol,token_sold_address,fee_usd,fee_token_amount,fee_token_symbol,fee_token_address,project,version,token_pair,project_contract_address,user,tx_id,tx_index,outer_instruction_index,inner_instruction_index,is_last_trade_in_transaction
2024-11-06 05:35:53.000 UTC,2024-11-06,2024-11-01,Bloom,solana,18.39556,Buy,1159923.208512,TRUMP,TrumPwgCUWiZ8BoXAJs5fJKycJ89e9BxNBnWAFVPpMA,0.0995,SOL,So11111111111111111111111111111111111111112,0.09244,0.0005,SOL,So11111111111111111111111111111111111111112,pumpdotfun,1,TRUMP-SOL,,DHxrhGXYYoumQHCeY7Fcydd5nwN9BYi2vopkfTGjHmG5,TfGCdPzR2dndBwLRS5EqFLsVQvCNhAtPJtwFrA7PjDekpZqrmvX2X3zT85t67ZuFNECSiDuT59Gg73n577PWty9,233,5,6,true
2024-11-03 19:00:04.000 UTC,2024-11-03,2024-11-01,Bloom,solana,91.81697769054,Sell,0.576269238,SOL,So11111111111111111111111111111111111111112,603121.705627,DAI6900,G3MeKadE73Q8dQkQAXWdD2i2BGzq6bSSJehPdH3Jpump,0.45908485818,0.002881346,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-DAI6900,DjPXxzdrwMJBNc1p9d2akyJ21f38pgDz9uLKixKaqVMA,AW8E4XVbSQ83YGgydsR4xXhCaJb6qQQzjARy4Y8NdEss,yroLoqGt7WLSGbYYyV3pDDfeKzbQNZsTPNusnnvXoE4BfA69cr6UzYZLKW1Dc9nePpgxEFFqu53ZBKCaHRqqJGw,353,4,1,true
2024-11-03 12:42:07.000 UTC,2024-11-03,2024-11-01,Bloom,solana,42.70471479856,Sell,0.260014094,SOL,So11111111111111111111111111111111111111112,198552.853595,Kamala,BAqdZWZigSFpDNfmNxNcBmdXE4kZr1dcbACn55mppump,0.21352349680000002,0.00130007,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-Kamala,3j6do2etFRGsFSQPKgfNtJuYdwzFyr6TPow7x6KNoEif,FkBNz2rAyNdSWqq9ztgEX97UejqZYedbAkKEuvP4hJxA,2yk2Ecb2gNb39HrZ4ZdU8dwbE28DFxXvyaUS8pt5cgqcbjYsyM6eoa23MkAR5EGvAkFPbXg7xXdvVdSnaLxsGaZ7,354,5,1,true
2024-11-05 00:03:44.000 UTC,2024-11-05,2024-11-01,Bloom,solana,16.17468079822,Sell,0.102332537,SOL,So11111111111111111111111111111111111111112,1212591.285401,RAVEN,2WfC1nS3vdz5395D4FEiqF3FKDahsPTUU2vvp156pump,0.08087329572,0.000511662,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-RAVEN,FHB4TRE7cqtZdeviwHiny5fmxpVBUQwzge9FcY35cHdW,2k4J6V6hHxnwTZRJeTN2ACZw8QbbVf7AioRuB6BqkaBi,2mrzEapAj1Tz4DfSB3kjXEk2EgoeKj6nRgB9yvUFdcHdDSnD6g4oqkxAYLnNnur74RqeSjz19KNciLJ45z64jhFX,1905,4,1,true
2024-11-02 00:56:42.000 UTC,2024-11-02,2024-11-01,Bloom,solana,46.794351666679994,Sell,0.280256044,SOL,So11111111111111111111111111111111111111112,6914810.943187,DOSE,4YiQbBMJ1vi1goVi8JXo6J9mAZ6h6KALDZnx44yYpump,0.2339717216,0.00140128,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-DOSE,DW1SR2fRs8eoRoMsykH7jUDskbRomrFp6jxyqpe7vyQF,AahfrrXcjNGbfdEtCp9RCcy2r4DB1gTT7k8a8CNzsTdQ,344RfEJzoMNZJze5r1aht448DXtSHPobC2cV9QphS7BYdueMvQCyEdbHYYL4SrBRCNMaSmQE54SsRLKTZ46uUmj4,1230,5,1,true
2024-11-02 18:24:07.000 UTC,2024-11-02,2024-11-01,Bloom,solana,4.167310592400001,Sell,0.025464776,SOL,So11111111111111111111111111111111111111112,200140.406379,VAMPY,9jvAEhyGYAQnEhvuTXKqCoXcsm2iGBmbPMthNbEUpump,0.02083640895,0.000127323,SOL,So11111111111111111111111111111111111111112,raydium,4,VAMPY-SOL,9wJHUx4oxqbdoGzrwtWRYYPBQxPBtMkEWKddjKKowr78,933smDS9qZQDqphUtQ8JVt7dRLx8ufFdqCGjzG8Qj6sh,t1cqC4weTxM3XXNaX3Q2kMkdvmAahmwKPnmzuNpGFatQNC8NE6nRK3AVwthpjBS12eJahSYvGDyo9sT6j4CPuy8,2218,4,1,true
2024-11-03 11:10:23.000 UTC,2024-11-03,2024-11-01,Bloom,solana,39.681744663479996,Sell,0.241211748,SOL,So11111111111111111111111111111111111111112,1179669.300323,Nshunguye,CixtgfFmjDsH5rRqKAdQ1U3qgB4qdCbYbd75Nt2hpump,0.19642461097999997,0.001193998,SOL,So11111111111111111111111111111111111111112,pumpdotfun,1,SOL-Nshunguye,FyDctw3aMraN4TSb3wbrLD7q8bpetDcu4kxGSmEAYZcB,4hdWR3v4o4dmedPGMQtcnUdDB5RAgoAbgsW4ecX1NLcY,4dqnhRKbq4qRbRX4TVCJLqG6soNj1NW46Co5bE1px5ijLhNMW14wLdMdaDpcs63N7a64q9qWKo86bvm5jRLsXGKZ,2181,3,3,true
2024-11-04 11:46:48.000 UTC,2024-11-04,2024-11-01,Bloom,solana,163.40885,Buy,1807732.870227,Antonia,B6zSGLXxdavR8vxiX9tixLE6w4b1gbPAevnYbC3Qpump,0.995,SOL,So11111111111111111111111111111111111111112,0.8211499999999999,0.005,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-Antonia,F9Jz7ez1wzpLTFSSkjy3ydZQMNUJsYQ8AwdWZed54Gca,H3yvEDLTfu7BtBirrvoBqcGxcZRL3j4oNjUYvUok4Fid,3ZAz2eSfTdQJksWRZbH3FnseYZvkXLXW7mhEYGJm5jEZE9YRrZTX6fRSorgqTjyizrCsCjAZ1QgaQRgVStmH5zfG,947,7,2,true
2024-11-03 00:10:15.000 UTC,2024-11-03,2024-11-01,Bloom,solana,330.6584,Buy,1666030.393302,PEP,14WW1H9MAbPdBUHB79Q1yDyNEjW3rNP75482igJnpump,1.99,SOL,So11111111111111111111111111111111111111112,1.6616,0.01,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-PEP,FiAcbSsPSoR989JJwYJw1JH8ugkRDCXHcroVo37misUs,GqAxx8RytyZv5PujuGoUwBsQTb5e8VXUrj2wUkznt3oA,3oRXnvgJZw8MhMffKnr76jT7eSjyLQ6b9L271z4bVFMQ3UiLgXYCDMguYZGnER5wzPdNc7vtaznQtgbau2FN64Ge,2072,7,2,true
2024-11-05 10:53:37.000 UTC,2024-11-05,2024-11-01,Bloom,solana,48.21968999999999,Buy,337194.565934,CTO,Fk68rEY1WThfZsjPrQFkAesCZFthQHnUcMSDSUcEpump,0.2985,SOL,So11111111111111111111111111111111111111112,0.24231,0.0015,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-CTO,GdmJpdY6e4Et8eMbSvWYQYZQUrYdLaZBUtRHR4LjMxwL,CovZQk6ACFbjHCfrw7GzEsA8VbC4HGh2DehYTzRdBzd4,2dwCwWBbEQCq4paiBy8KcqhJoPrRRfDoGwdaNvuQrWasEMXhP2rK4CW99RRDwhz1jjbeEMbNdZVNUhTe1SfGmyZN,669,7,2,true
2024-11-04 20:47:22.000 UTC,2024-11-04,2024-11-01,Bloom,solana,47.1520875215,Sell,0.29553173,SOL,So11111111111111111111111111111111111111112,8373320.70837,based,8pfrz6sVaoxXz9MfV3h6FzXQkh5AEdeMH2hpDwK9pump,0.23340282310000002,0.001462882,SOL,So11111111111111111111111111111111111111112,pumpdotfun,1,SOL-based,Bsrf7UmRXujguYNNxUEowD3PPTagwsq4u5AYJqnizQgK,8J7NJ1Av3vk3K96bfCtbWWU14vFtyFWLga2xyee5wP3F,eCcwkY6Dy74CmpdVm4ZAsbvLeTzTyEN78LUUGDGDcRXWXPjBVPbKFCy7DRa48t9yM9Zd6eYYjnzcPy5XqcXasvU,422,4,3,true
2024-11-06 07:14:30.000 UTC,2024-11-06,2024-11-01,Bloom,solana,92.838475,Buy,5065197.089167,DBA,2FVWiNzmhpBZStUAhnvregDKZUfWnwr1xETJRWtApump,0.4975,SOL,So11111111111111111111111111111111111111112,0.466525,0.0025,SOL,So11111111111111111111111111111111111111112,pumpdotfun,1,SOL-DBA,7EK51YFPRYu8UDCtx5gKD94XpUgQPHhGTq1rWgiEzST8,FkBNz2rAyNdSWqq9ztgEX97UejqZYedbAkKEuvP4hJxA,dpPemBWxpkeVwnnPdp1wCLEe7XwnHQ88TnQZNUdy3SqaqvUmpBd5yG41FjANhH6J9N5xWgN3cmjK5KUre28HvUa,51,5,6,true
2024-11-06 14:17:55.000 UTC,2024-11-06,2024-11-01,Bloom,solana,46.503812499999995,Buy,1072745.308424,DarkElon,ENpSqV5aPActsPW2TuJYXK1nMmwMMZ4PL2TirvHnpump,0.24875,SOL,So11111111111111111111111111111111111111112,0.2336875,0.00125,SOL,So11111111111111111111111111111111111111112,pumpdotfun,1,SOL-DarkElon,WCg8h4fT8nMz2im3MVbEbeJq3DXeYcBk82ewyWxUAff,7ddFPtxX6JjetBe19Xp2JyEAqR3nR4iX5ENtanwbfn52,5KaU42WkhxZw2uwMWRQE9mBeaeEFJXQa1SQxbPj1keSSYL6rqmhf8VhZ3nAFiHq7yg1tyCJeJWycxbA5YBJ64zCQ,334,4,6,true
2024-11-06 03:09:49.000 UTC,2024-11-06,2024-11-01,Bloom,solana,612.03527814195,Sell,3.374884357,SOL,So11111111111111111111111111111111111111112,1882627.877126,TRUMP,FzfQidVxMX9aA1uFscuGNYM3ypz8sQ1nUsWXXBQSmoxx,3.06017624835,0.016874421,SOL,So11111111111111111111111111111111111111112,raydium,4,TRUMP-SOL,6icpPBL2WC66wDLcr2veRTn8APBDaBeeXxqx9v79stup,9J7Sy9p6VZ9ybugZAXhfavC1TJwWKRX2hE69Bas6ha5N,2XyryFun2BoEhBLCgidHXwH2J9MptYCVUumhGfGBZC7eDt9RRW66fQSaoPRHwA3biHvtSWy91cLnBed6mazpAdWi,1394,5,1,true
2024-11-06 14:51:30.000 UTC,2024-11-06,2024-11-01,Bloom,solana,5.25681473388,Sell,0.028267004,SOL,So11111111111111111111111111111111111111112,580183.105107,SUPERCYCLE,2oK7CoGotXWoUJ9jhMUCpReNgpGW75osBMze8Jvhpump,0.026021108369999997,0.000139921,SOL,So11111111111111111111111111111111111111112,pumpdotfun,1,SUPERCYCLE-SOL,,45frRkLYfBosLy4h9LTcWJBzTegC2WrDunWLT37CFBN2,2B1bhUKVTP83e9AzzdNj1Z6d3sPd7ZSNJjkswERLRYkjjzvQAfJYVLvmtyfMMbrRcoQ3UJuA4KYo6ki6E6SwijzC,202,3,3,true
2024-11-06 15:09:47.000 UTC,2024-11-06,2024-11-01,Bloom,solana,73.6698,Buy,2053582.129753,TRUMPY,21CyQzfznVxyESWbYKRgP3NpC6hE56QAK9f5o61Spump,0.398,SOL,So11111111111111111111111111111111111111112,0.3702,0.002,SOL,So11111111111111111111111111111111111111112,raydium,4,TRUMPY-SOL,GCAdPt2YC6fXAbH22wRFrEMs1ZtB8xppMBhZvKE4HdVz,5zf4ejmpmtwEmoq423FZiLtNgTkPXxPF9qogcbCUVExR,53wbBJuzAms36XfZHBUuQNYFsRqG7ry3mkYVrjwCSgaRxX33PQsVLNf6puG8iyGwLdeF8TVzYUcYJAj8vYAS1Gis,1120,8,2,true
2024-11-05 01:06:34.000 UTC,2024-11-05,2024-11-01,Bloom,solana,647.5373419597199,Sell,4.077947868,SOL,So11111111111111111111111111111111111111112,18948460.688561,PNUT,58P4LE9SrkGasgHuqQVfrihWHSAp4dErKGEU7qJcpump,3.2053096923899997,0.020185841,SOL,So11111111111111111111111111111111111111112,pumpdotfun,1,SOL-PNUT,6B7XDuzbTHyPUZx6PDACWRKAwPPgNKehfbYunA3orsNZ,3Jj2cgq5QckrrrRxDTr2CTxtc55YWi5qFtyoSmXeqqLi,2czWrcmef2YomhZr9YujsXCPjiQQeUbmTPRnrvbXJjyyyskZq3iJ7HnZJiii8iErb9BU3YvTynZbBPzXRsk1s75K,1928,4,3,true
2024-11-01 04:46:44.000 UTC,2024-11-01,2024-11-01,Bloom,solana,1.663242,Buy,584.416064,HIMA,FHSTU8fGBvrsNkNxeY8qmRdA2FgaxVFyBVz3fAc6pump,0.00995,SOL,So11111111111111111111111111111111111111112,0.008358,0.00005,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-HIMA,HWueavE5TyPpV2JaALMX2Qg7HxTtfKSXRpfoW9sDMGm6,HCxvNCCVLK7oZBGen7ozgdDqE2Q47PGA31T73WroK3gJ,3QNW4uvDB6QDbYc3cN7hKRGDM4HZyyrSYEHATGjeMB5mcdcc3FwrHEDEKP3WR5htsY4hHVUiAi9TRZyYB6eUd9vw,1393,7,2,true
