block_time,block_date,block_month,bot,blockchain,amount_usd,type,token_bought_amount,token_bought_symbol,token_bought_address,token_sold_amount,token_sold_symbol,token_sold_address,fee_usd,fee_token_amount,fee_token_symbol,fee_token_address,project,version,token_pair,project_contract_address,user,tx_id,tx_index,outer_instruction_index,inner_instruction_index,is_last_trade_in_transaction
2025-03-13 19:54:01.000 UTC,2025-03-13,2025-03-01,Photon,solana,51.8743052228,Sell,0.427300702,SOL,So11111111111111111111111111111111111111112,12251552.09017,PD,8dPGYDRNAmxwHppojYkfrnq99vXhT892DK3iz95Xpump,1.2140000000000002e-7,1e-9,SOL,So11111111111111111111111111111111111111112,pumpdotfun,1,SOL-PD,9FZokixvFXxFfy2Gr8iygLvmodwEs4PRPL9g45ZybZg5,5thaCP2SHt6z5MCmLP8KfT1gTnYUWw7Ffg8ekwApkR4C,RLp2ynr2Xfz5X1Jh2WCxFNW8JNdrqeDwLhrH22LkazrbrwwX3rcACe3RS63MfUoZ2hdQHzZ6sb8GBWibd6sYkgD,1202,5,2,true
2025-03-13 19:53:26.000 UTC,2025-03-13,2025-03-01,Photon,solana,64.46340000000001,Buy,12251552.09017,PD,8dPGYDRNAmxwHppojYkfrnq99vXhT892DK3iz95Xpump,0.531,SOL,So11111111111111111111111111111111111111112,1.2140000000000002e-7,1e-9,SOL,So11111111111111111111111111111111111111112,pumpdotfun,1,SOL-PD,9FZokixvFXxFfy2Gr8iygLvmodwEs4PRPL9g45ZybZg5,5thaCP2SHt6z5MCmLP8KfT1gTnYUWw7Ffg8ekwApkR4C,2pBKnXcRUewkpxRuekQna1eWkM1u8nECxWddpo29RL9a3X8WaVSQ4JtACSWP1FQUwRQU8JKBBY1ZUikBDRKGV2L2,823,6,4,true
2025-03-13 19:53:14.000 UTC,2025-03-13,2025-03-01,Photon,solana,259.22064922280003,Sell,2.135260702,SOL,So11111111111111111111111111111111111111112,54989813.490431,PD,8dPGYDRNAmxwHppojYkfrnq99vXhT892DK3iz95Xpump,1.2140000000000002e-7,1e-9,SOL,So11111111111111111111111111111111111111112,pumpdotfun,1,SOL-PD,9FZokixvFXxFfy2Gr8iygLvmodwEs4PRPL9g45ZybZg5,CDT5eE71yQMvF3VZZ8TyAGenQNgyvkqaFkjxLUcQ9XjF,4wvnnAQVZLzqW27srSh6uxY1CbfKbRo9XSrCPhmLczdPFzMEUoQkuPEoh231Hehoy7TyBMpJzh376ovtiTkG4zfd,46,5,2,true
2025-03-13 19:53:00.000 UTC,2025-03-13,2025-03-01,Photon,solana,192.44063505820003,Sell,1.585178213,SOL,So11111111111111111111111111111111111111112,35096665.80653,PD,8dPGYDRNAmxwHppojYkfrnq99vXhT892DK3iz95Xpump,1.2140000000000002e-7,1e-9,SOL,So11111111111111111111111111111111111111112,pumpdotfun,1,SOL-PD,9FZokixvFXxFfy2Gr8iygLvmodwEs4PRPL9g45ZybZg5,5LTd1ySrL7pX4MVwWgWSPskPn8cF5zYBmdESna4hsc64,5rkXWunA1odwRTJSZp1iJ3gSfcQF8QHUSAhiVoNTxPuNX5pSzoo4eybFp8TWajd6CZq9wCLNYYr9j25UsuWwVDRF,1123,5,2,true
2025-03-13 19:52:38.000 UTC,2025-03-13,2025-03-01,Photon,solana,242.8,Buy,54989813.490431,PD,8dPGYDRNAmxwHppojYkfrnq99vXhT892DK3iz95Xpump,2,SOL,So11111111111111111111111111111111111111112,1.2140000000000002e-7,1e-9,SOL,So11111111111111111111111111111111111111112,pumpdotfun,1,SOL-PD,9FZokixvFXxFfy2Gr8iygLvmodwEs4PRPL9g45ZybZg5,CDT5eE71yQMvF3VZZ8TyAGenQNgyvkqaFkjxLUcQ9XjF,5NjtXfCb5YtSHWf2oi3hZ6LTcYuZFXwdndsaiU7jv4yBmCACbxz1VB8igNSweRHknVDXf9fRyXapZwy9Wtvu8jG4,595,6,4,true
2025-03-13 19:52:33.000 UTC,2025-03-13,2025-03-01,Photon,solana,90.22620011660001,Sell,0.743214169,SOL,So11111111111111111111111111111111111111112,20721959.352142,PD,8dPGYDRNAmxwHppojYkfrnq99vXhT892DK3iz95Xpump,1.2140000000000002e-7,1e-9,SOL,So11111111111111111111111111111111111111112,pumpdotfun,1,SOL-PD,9FZokixvFXxFfy2Gr8iygLvmodwEs4PRPL9g45ZybZg5,5eCQBHpKi8QCaCLoRd3PS2XPV4dqpzihE5TZCz3R9n9o,4pDrwQRDXVoTh9dr2kGSPtTK7UrMRW7RjQCRwWJWvZRnmXXCC5gpGNHYsvbjstJN6Uzbw1SMrACbVzD5VKGug42j,852,5,2,true
2025-03-13 19:52:15.000 UTC,2025-03-13,2025-03-01,Photon,solana,152.12634000000003,Buy,35096665.80653,PD,8dPGYDRNAmxwHppojYkfrnq99vXhT892DK3iz95Xpump,1.2531,SOL,So11111111111111111111111111111111111111112,1.2140000000000002e-7,1e-9,SOL,So11111111111111111111111111111111111111112,pumpdotfun,1,SOL-PD,9FZokixvFXxFfy2Gr8iygLvmodwEs4PRPL9g45ZybZg5,5LTd1ySrL7pX4MVwWgWSPskPn8cF5zYBmdESna4hsc64,c5BbjntXLowv6fsjqrFGxbxjDYvw1MYRXaEEAt7C1owCZsvztKbkTF31UR9izBEMWWgyAGRr3oSm7kjWgSTfNtN,1625,6,4,true
2025-03-13 19:52:09.000 UTC,2025-03-13,2025-03-01,Photon,solana,266.1261537658,Sell,2.192142947,SOL,So11111111111111111111111111111111111111112,62400194.827677,PD,8dPGYDRNAmxwHppojYkfrnq99vXhT892DK3iz95Xpump,1.2140000000000002e-7,1e-9,SOL,So11111111111111111111111111111111111111112,pumpdotfun,1,SOL-PD,9FZokixvFXxFfy2Gr8iygLvmodwEs4PRPL9g45ZybZg5,H5KeVGXQCJFxrMjrJiLDmc3ryZ7owVdNJCmpGDdpNo77,4WUUnjSxh4scy6kiZewk74mHTWs4iJZjjKep18MXafY2rrH6Kqzsuc5yqHpxQ1H5Pmx3nEj7cVo8DVzu3zG5LK8F,1321,5,2,true
2025-03-13 19:52:05.000 UTC,2025-03-13,2025-03-01,Photon,solana,92.26400000000001,Buy,20721959.352142,PD,8dPGYDRNAmxwHppojYkfrnq99vXhT892DK3iz95Xpump,0.76,SOL,So11111111111111111111111111111111111111112,1.2140000000000002e-7,1e-9,SOL,So11111111111111111111111111111111111111112,pumpdotfun,1,SOL-PD,9FZokixvFXxFfy2Gr8iygLvmodwEs4PRPL9g45ZybZg5,5eCQBHpKi8QCaCLoRd3PS2XPV4dqpzihE5TZCz3R9n9o,355oYi6szk9u53TCxp17WiwAdSA6nPLEq74LWKEurfZAWsPNc9Dno6c8dkb4v61k41D6XPQiHKosjTzw9h4HXpXB,839,6,4,true
2025-03-13 19:45:14.000 UTC,2025-03-13,2025-03-01,Photon,solana,42.939243049359995,Sell,0.353351243,SOL,So11111111111111111111111111111111111111112,9889330.120548,ATH,3P8zEx2GLP6xRYeFdpr65YZfUnCCZDHYChP3qgYRpump,1.2152e-7,1e-9,SOL,So11111111111111111111111111111111111111112,pumpdotfun,1,SOL-ATH,HX1YDXL6tozhisE3AhMNXsQEpSp6Yvsb7YN8XGgZbGG4,5thaCP2SHt6z5MCmLP8KfT1gTnYUWw7Ffg8ekwApkR4C,FgzW4SGE1FMs89Bq8agpViBxfEUcimSCQjwoSnkr5mvHHzyEAfZ8yYXavWrbZN62edHcjM2EF15Jit8W3qQwyQD,2000,5,2,true
