block_time,block_date,block_month,bot,blockchain,amount_usd,type,token_bought_amount,token_bought_symbol,token_bought_address,token_sold_amount,token_sold_symbol,token_sold_address,fee_usd,fee_token_amount,fee_token_symbol,fee_token_address,project,version,token_pair,project_contract_address,user,tx_id,tx_index,outer_instruction_index,inner_instruction_index,is_last_trade_in_transaction
2024-05-04 12:03:41.000 UTC,2024-05-04 00:00:00.000 UTC,2024-05-01 0:00:00.000 UTC,Consortium Key,solana,146.65,Buy,973039.814879482,A3okv1aZMkzVkDL8MYye3pXJDBzdR7fgr2x8QN7pZQiw,A3okv1aZMkzVkDL8MYye3pXJDBzdR7fgr2x8QN7pZQiw,1.0,SOL,So11111111111111111111111111111111111111112,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,,FovCPapvUok7E63KxBJf46DFsnEbrf8tnbBF2Nb7FL2s,9AdgeYXkMYG6LZXo1pBnUmyTD9FYRPTHWpFf7kP9fywj,4rXRZYD6K4ZHHq3DeN2VbZc431HH6r3MNavboAByVmB2npgnvMLgcmH9f3sHeABptiSnvi3AQ3uY9RzkSm47gAzA,84,5,0,true
2024-05-04 11:59:24.000 UTC,2024-05-04 00:00:00.000 UTC,2024-05-01 0:00:00.000 UTC,Consortium Key,solana,146.43,Buy,1466590.928614,cuupor,DYbFU4VNSRpXBpyVfJJN8kTDBn3SEE4NnE6MLPgX7GUk,1.0,SOL,So11111111111111111111111111111111111111112,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-cuupor,BbaaU8L971pRjYuA8kC8j6im7YsaW3HmrMB6yBUJgWa6,9AdgeYXkMYG6LZXo1pBnUmyTD9FYRPTHWpFf7kP9fywj,618nMvtfWjihgAQCfyTatKEUmcUQqktN1PBGSYSdLU5A7jsUTb4YUAq1Qj2g2NToXxgBBjPiA3PmcLXRsewX7nq2,890,6,0,true
2024-05-04 11:55:10.000 UTC,2024-05-04 00:00:00.000 UTC,2024-05-01 0:00:00.000 UTC,Consortium Key,solana,146.43,Buy,358041.58135,3wDQAHLuaaotFajeJXpJpNMio3LBhSTscHa8Xq5UwLo2,3wDQAHLuaaotFajeJXpJpNMio3LBhSTscHa8Xq5UwLo2,1.0,SOL,So11111111111111111111111111111111111111112,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,,DEwWWEyy5Gk3HmCWkMdoBt5xvsPjwNwjAV4jdeN9ybXs,9AdgeYXkMYG6LZXo1pBnUmyTD9FYRPTHWpFf7kP9fywj,5qdbrV1kfa6b6ptyWXDB9ymt6hiZG2apatmoPJdy6RuwAu1sEbkrF1iiUk2VzXfTjWxCkQGV9BMKe8pngAfX12GW,9,5,0,true
2024-05-04 11:53:16.000 UTC,2024-05-04 00:00:00.000 UTC,2024-05-01 0:00:00.000 UTC,Consortium Key,solana,73.735,Buy,309779.735452,fux,FpYh9zMESEfXVY9kxUEGMNyzw54xvZ8kY8CCPMMdBMki,0.5,SOL,So11111111111111111111111111111111111111112,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-fux,4anTbhVYLPnuBkqgTLngeUnpRkh4AM6CszZizifsc7KF,9AdgeYXkMYG6LZXo1pBnUmyTD9FYRPTHWpFf7kP9fywj,E3BSbfpQ8881TLuMDR7R9p3dMLwXx5NpWy5sqD1QfPzy38Gp3qp2urSudAsu4yDAEuoEeTgNhLXvXJsKuvh5Uuz,553,5,0,true
2024-05-04 11:13:09.000 UTC,2024-05-04 00:00:00.000 UTC,2024-05-01 0:00:00.000 UTC,Consortium Key,solana,200.54250000000002,Buy,3067703.600416,POTUS,3wFbTbS4gMKPRuBPtbA2ReXiThyAVs8eSzdpPmheJujF,1.35,SOL,So11111111111111111111111111111111111111112,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-POTUS,9ynSf3R52hbiPxCYBnEW99L5RC1m6biJDTbJ872G6Qp2,9AdgeYXkMYG6LZXo1pBnUmyTD9FYRPTHWpFf7kP9fywj,weQ6gC5jzcqBqEu67qA6ibcyDti71vSwtqU9KfzPfGYSXJyDiUm4qLNpgj9c7GVnvePGyQudvVDyLFLs32kUbrR,478,5,0,true
2024-05-04 11:09:09.000 UTC,2024-05-04 00:00:00.000 UTC,2024-05-01 0:00:00.000 UTC,Consortium Key,solana,1525.21269446433,Sell,10.285337477,SOL,So11111111111111111111111111111111111111112,300000.0,ju,AbBEjBdz31yCb9gTFfWgEi7uprCzjTEKL58xqHVbbjhu,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-ju,F89N3zMU17HtYaFfL4APQwM3MRjFwnkjc6tN7oXxRD9J,9AdgeYXkMYG6LZXo1pBnUmyTD9FYRPTHWpFf7kP9fywj,Qe8ExytDULC6aVNxkLqbJfh5Yc1U5kvnBdq4f1p1RyBtVhztBhXJEUpdRu4MG9tjjx7aGFCA3MH8Sdjw7iZumRc,19,4,0,true
2024-05-04 10:59:33.000 UTC,2024-05-04 00:00:00.000 UTC,2024-05-01 0:00:00.000 UTC,Consortium Key,solana,296.28,Buy,807103.424078287,DANG,BYioszugAtcKvg47bD9qXedZYvQMaG44xCeY97Fo4uu9,2.0,SOL,So11111111111111111111111111111111111111112,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-DANG,5LF476cPcyVDxrtD6XRXe6GW6VLgnNTVZAHNTvN1fait,Eh5NGZDGMH4yYGN25yZj51PDdhHfV7aMaVJe8LWSaVhb,2CoWf1HZnDFDkWiXr9jwn1ckWu7tNNxCCkwPv21PfKqDW7yhnTdq7f8cWXtESt6YMfow3urrAz7dPB6Ao6zTTJEe,576,5,0,true
2024-05-04 10:55:38.000 UTC,2024-05-04 00:00:00.000 UTC,2024-05-01 0:00:00.000 UTC,Consortium Key,solana,13.559124873779998,Sell,0.091529127,SOL,So11111111111111111111111111111111111111112,544.794678414,,6P4u4iV65b1LBjbk5kfLxJHm3Yhidw3ZXtQhALr4tGnS,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,,Ctt6tceE9wjPNuVgQqNdwGKG8ErCANUP3CPNYT4yzpjV,6qmLWwCS4gWACeLa4hvuUQYwuNzcPk3nVqXBDNCKydSe,5a757S8Aq8bcwpwYjQjPTWvdHxbewSTy6iDYDZzHtRgtp2nBNcaxZzvUQggTuKEdfDJjZNyanPaqkL7knq1Mxbbz,101,3,0,true
2024-05-04 10:51:21.000 UTC,2024-05-04 00:00:00.000 UTC,2024-05-01 0:00:00.000 UTC,Consortium Key,solana,18.50125,Buy,544.794678414,,6P4u4iV65b1LBjbk5kfLxJHm3Yhidw3ZXtQhALr4tGnS,0.125,SOL,So11111111111111111111111111111111111111112,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,,Ctt6tceE9wjPNuVgQqNdwGKG8ErCANUP3CPNYT4yzpjV,6qmLWwCS4gWACeLa4hvuUQYwuNzcPk3nVqXBDNCKydSe,41nYZJkqBwd5aMBD4DU6KRx1SoYHM89wh4duKCt3BgtS9nUWgcpnbcahMRY5xsgAmof2wEUaQg2xbute7WPYmtY5,546,6,0,true
2024-05-04 08:09:38.000 UTC,2024-05-04 00:00:00.000 UTC,2024-05-01 0:00:00.000 UTC,Consortium Key,solana,12.593817158,Sell,0.087154444,SOL,So11111111111111111111111111111111111111112,960.806,,3cWETVu6hzu66SXN6q8o3ADV8r9QLodQzneSkaijYVRR,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,,6gg9jS5dCFGHWob6EstWWtSH266M1bu7MmsWBuxnudKd,5QUAkB8ajRWCzkp529QUxdWKGYcNgeaeJa8UR819Huk,61qbsXLPcFKN66ue5GQZ5N8GHZjzVFhGr6W3v9pbXYqtMC4YfGFNftwMTxHNWr7974okqhxDmSLiXLodZ8iCK34q,321,4,0,true
