block_time,block_date,block_month,bot,blockchain,amount_usd,type,token_bought_amount,token_bought_symbol,token_bought_address,token_sold_amount,token_sold_symbol,token_sold_address,fee_usd,fee_token_amount,fee_token_symbol,fee_token_address,project,version,token_pair,project_contract_address,user,tx_id,tx_index,outer_instruction_index,inner_instruction_index,is_last_trade_in_transaction
2024-06-16 20:14:36.000 UTC,2024-06-16,2024-06-01,Fasol,solana,1.4880000000000002,Buy,13381.535838,richi,AnCuqFwAQKpwd7snf7pYbN1zZJSRPgWwoPrza9UFpump,0.01,SOL,So11111111111111111111111111111111111111112,0.014880000000000003,0.0001,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-richi,BTk7iDaPMLdCaBJEjwDRhN4uy9ikRgrnPGq238zL9FSG,4PKMzuSdqH71L1w1qUG9QmXd3hVKqxykAAkAakJPYx4X,5rfJc9FbJWWLkm947MLt7GuJWXng6o6M5YfoxF8sPrYqZcMLQcrqjKFvw9Gi7uPvaaLsBPu467gPSqTG6a9BYqPG,1140,4,0,true
2024-06-17 06:00:15.000 UTC,2024-06-17,2024-06-01,Fasol,solana,29.618000000000002,Buy,226328.728599,NEOCAT,566yrX9gqmMAg29yRpXB7iyuGwqhYPNRHwKpogRepump,0.2,SOL,So11111111111111111111111111111111111111112,0.29618,0.002,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-NEOCAT,6oaLxzmyNAqh2Uab8S4Ux2FKFh6fMuEajUYJyDmvo587,omJrfp2vMSHfPp8dUnr3RAbRmtyjMTDKfFquWWijiSG,2cfRALuk2gaW1uPCCfepWrztUo8ZyaQtSocvVwUdmBYbwKSLiwFjBtBrNdzFRzUvpVYMDdyHg4CMZbWvPMot4oPn,2981,5,0,true
2024-06-25 03:44:54.000 UTC,2024-06-25,2024-06-01,Fasol,solana,27.214,Buy,58337.419948,Assange,4FrXUwfQ7zp56N87ac8BX2aqmFoKmvo6Jp7SuTMZpump,0.2,SOL,So11111111111111111111111111111111111111112,0.27214,0.002,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-Assange,8qqh4wTHbakQtm136r3MMkvEbwYgmGFBxT9Cj5d5y837,4PKMzuSdqH71L1w1qUG9QmXd3hVKqxykAAkAakJPYx4X,4gmyNiTJW8LwkQwZQjEVVF17WEQPSA6W1orqqRRWVJqhaUAtK388sd2d1HvjaF5AydXRy9TxLjgUt8ePbMLSoHYU,247,5,0,true
2024-06-26 02:14:18.000 UTC,2024-06-26,2024-06-01,Fasol,solana,69.775,Buy,266462.895712,CHUCK,hhFTYYhGyCaPRcCfSLxsQP54bhnxSSpEJg9jXTDpump,0.5,SOL,So11111111111111111111111111111111111111112,0.6977500000000001,0.005,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-CHUCK,HtAQv3Wq9VQT38hSeL7WsXNsL2xB5P9oaBX8utHTZULL,omJrfp2vMSHfPp8dUnr3RAbRmtyjMTDKfFquWWijiSG,3RNZG4bFjkbtuE3ScJtNdttRhsCyuQVqTng7jQkngKEhDyJFVrqLMsXoRfSzpLEib56VGqxWZspLRMTFRzyBAABt,1618,5,0,true
2024-06-27 04:03:04.000 UTC,2024-06-27,2024-06-01,Fasol,solana,2.7498,Buy,3955.070283,BIDENICA,uP8JJj8swJCHpWkYJtuWHH8uhXTMWdKbcypjmckpump,0.02,SOL,So11111111111111111111111111111111111111112,0.027498,0.0002,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-BIDENICA,3pS2S5FaPHkA2VxXv2DYAuuPdZMN7vzvEHHfS38AGohj,AgmCLv4WsvTDc4k2QfoZiMsA2x2XT6oNQ5BTQj7yCk8,31eJd8n6L2rM6hkiiSDapFwwRdbNfGZsWx3RcpnzqA4gS6Hb6y3W7yWGrtqVxuKEKnunc9aMgtznTb3ZPP8rvfVR,1554,4,0,true
2024-06-25 19:14:42.000 UTC,2024-06-25,2024-06-01,Fasol,solana,69.375,Buy,68554.591602,VIVOOK,6VeSg58mGb8SGuJ8VPq8JcrD8WdfHemCvvUJrfK8pump,0.5,SOL,So11111111111111111111111111111111111111112,0.69375,0.005,SOL,So11111111111111111111111111111111111111112,raydium,4,VIVOOK-SOL,33QEPkS7i8AZqSQF8qGqDt9vQDeksn2CWaZzcQvTTy6W,omJrfp2vMSHfPp8dUnr3RAbRmtyjMTDKfFquWWijiSG,3tbUDRmzyL7QpBpjDAYAnSmtESnUDpMHwAnTHB7Ddn6GC4Xcu3x1EPEvTyAtkpAruXoddho2ipcrubTic47k92zA,2033,5,0,true
2024-06-27 04:53:20.000 UTC,2024-06-27,2024-06-01,Fasol,solana,2.7428,Buy,1031.299475,VIVOOK,6VeSg58mGb8SGuJ8VPq8JcrD8WdfHemCvvUJrfK8pump,0.02,SOL,So11111111111111111111111111111111111111112,0.027427999999999998,0.0002,SOL,So11111111111111111111111111111111111111112,raydium,4,VIVOOK-SOL,33QEPkS7i8AZqSQF8qGqDt9vQDeksn2CWaZzcQvTTy6W,AgmCLv4WsvTDc4k2QfoZiMsA2x2XT6oNQ5BTQj7yCk8,4UkiZ2cZgV7a7i7ddhph5NjdsTnhuQ8afAbZ1QphxiBwwEdbeTp5G4oJxAGix7hMKF3tGS4sAXkZqrYMxnGVkjoa,2303,4,0,true
2024-06-28 04:02:15.000 UTC,2024-06-28,2024-06-01,Fasol,solana,85.17551961576,Sell,0.577226346,SOL,So11111111111111111111111111111111111111112,645526.561163,CHINA CTO,APaX5jfw1MfAmb7teqy9hMJhGb49Dfr9NXPY9q2apump,0.729285788,0.0049423,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-CHINA CTO,8wknoVEzhPfkPAEBccuS289NwZazJpE9cgP5WzWtUcfh,omJrfp2vMSHfPp8dUnr3RAbRmtyjMTDKfFquWWijiSG,5B3uo6KDdehmfTnREG7XTc7N7vhkRgeABbETnrPCxYBduPf6gufah4737NQ1fHCmsW14P82muzrueeS3eKD16TAL,555,4,0,true
2024-06-29 14:33:00.000 UTC,2024-06-29,2024-06-01,Fasol,solana,42.582,Buy,309521.312781,ASH,H6oVZMYQR28YGQawruspEN9RwhhR1ZnRxUBtfctxpump,0.3,SOL,So11111111111111111111111111111111111111112,0.42582,0.003,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-ASH,361UqLyJU3CG6h5xEHpcDyQaBktZpeYqprMpbzzd79qp,omJrfp2vMSHfPp8dUnr3RAbRmtyjMTDKfFquWWijiSG,2hkbRMGJxFXFphAkMFkN6MhSrgwB7KQeKwMAy9YNRuSrC8BQpqX7UpLDqNx7zj5CaXoyxj6ZmJcnf4GHDwsdVohc,221,5,0,true
2024-06-30 07:34:09.000 UTC,2024-06-30,2024-06-01,Fasol,solana,1.4052000000000002,Buy,9424.981948,RUBY,887uMPSQJf9QDNgXVZBG31sY1JifhsWQ4iSTHXZwpump,0.01,SOL,So11111111111111111111111111111111111111112,0.014052000000000002,0.0001,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-RUBY,4Nu5RXiWKqDMXcwiWasGMAySqFzRS3i9bJqXUkxDdzr2,26TyByCrWvzVVrBJbw9JpLiQFmfwGCMLFfrDHCMw3VZE,eWLaLknRZtQ8RAk27gTKqnuVUsJNXcLxeerzc6fooYaceWUQG4cSFZ3kmeProjX5WYRxMkj69w46bgYS5W5oMKJ,936,5,0,true
