block_slot,tx_id,buyer,seller,outer_instruction_index,inner_instruction_index,account_merkle_tree,leaf_id,amount_raw,taker_fee_amount_raw,maker_fee_amount_raw,royalty_fee_amount_raw,instruction
249082015,2eVJQwakxEQ9enCzsmkGNS5296hEcdPPVHPZzc7r4mZdZb3NpUFCa7YQj2e3WjHrF113eD32YJ7wFufAZ3MUDiy6,9NfiYs9henygWw1uC2zGuBX7KTARcDP2Pwtpq5XZH3Mz,4WeoZ5QZUxaio8B3aBxWuN8fQMC91C1JN3Ut88W2ejXr,2,0,69rnY45x92R4rmwrEzkfzBAWW68QLXoyj69oiYU2VbG6,125528,50000,1250,0,0,buyNow
249080594,2LaZaFmw5SHfiWWuiaKaBUw3QQcVvmxHQ8N9fNkrTT2yi872xwFkRtMGZ6KQx6Q4tyNHgCMfJa3mdx8LzpnP7JJX,2WKQ9GW9BbrNVNNqhEbuAARgnARnbDd4vQbLSTcxedKe,yYyKmZvB4xmWSnYSFvCjZF9NKBqPZAbCay44ru48pa4,2,0,TrEEuqmjD6XKzRoqWzyPz8DrWFARV33hdhYKr1BCMyP,250110,10000000,250000,0,0,buyNow
249080589,2r6RuRbCWwYLKFYEg4obZpsRt2Zqq7dzrThvL99abt9URr3pdr5LUcd3QwTqi6qkBT4AZQSYLWCoXiGSnxTMuQub,2WKQ9GW9BbrNVNNqhEbuAARgnARnbDd4vQbLSTcxedKe,D5xxV7mdkLkwpjhU7RNov7jueaDqS8pZ6VHnJP29VQio,2,0,TrEEuqmjD6XKzRoqWzyPz8DrWFARV33hdhYKr1BCMyP,556900,10000000,250000,0,0,buyNow
249080591,3BDeeXNHR1cDKTYGpCD4LLarQUVJovUjcV1Jrro1dW4MYTpFD6QnRe5YpfJJPjtUvVQJcCSzcTTXnMxZqyZqTCLR,2WKQ9GW9BbrNVNNqhEbuAARgnARnbDd4vQbLSTcxedKe,D5xxV7mdkLkwpjhU7RNov7jueaDqS8pZ6VHnJP29VQio,2,0,tReeB6PqRnvzcKprWQhSjBzLRzG7zX6AAF2kQdy3Y3f,800658,10000000,250000,0,0,buyNow
249082062,3gDpvf5tnKfwtYYFLzqpGwuKE8EZuGmZjwY4yV6dftGc1CAqSALCsZSt586wkhz5sfxE4KyZ1jArgEQEJLSx6WSp,A8fqnirDcQLhetVW5nzFPGEcC52yc7wdDsyn3mhwpQhU,2kqKrt34tcniE1j32JZESnbiCXmyG8DqgM1rjxpGwVea,2,0,2q6tR7uKQAR1NP3UaCGmX9wNrs1SeX7yKSk95qiZwRVz,920653,170000,4250,0,0,buyNow
249078240,3H2vq7GGRBEmfanUsJBkZq39RcTVmperxV5LrgSjeAQ9a1DzV9NV9cx7nGk2tSBkk9Th2eWtiEsc7WWVx17XrKpJ,B5RCtaEvjGBiLckK7nr5FvBCDfFBUQxNnyAP2eNU87K2,Gk773KkTdvuKRkhJQPewgnkvTiCu91xeMuWRo5Guhr6w,1,0,EQQiiEceUo2uxHQgtRt8W92frLXwMUwdvt7P9Yo26cUM,282788,7800000,195000,0,0,buyNow
249080589,3rSnkgcmWsuoJ541Qqy4rsENzoZeXXcXd6RpYhFUK3Z78skR8Ny54gpDGvgo9XxQcMWugxo1hKx6XRM6j5g147LE,2WKQ9GW9BbrNVNNqhEbuAARgnARnbDd4vQbLSTcxedKe,D5xxV7mdkLkwpjhU7RNov7jueaDqS8pZ6VHnJP29VQio,2,0,TrEEuqmjD6XKzRoqWzyPz8DrWFARV33hdhYKr1BCMyP,216301,10000000,250000,0,0,buyNow
249080589,3UebEtD9G9UBYm9Mqfb2ugCaZ9WYy6vDdD1CJjFcvAZE5gD9gnYRomc7z4sfTEM8UqmKW7art8evhLV7egU1YfWc,2WKQ9GW9BbrNVNNqhEbuAARgnARnbDd4vQbLSTcxedKe,D5xxV7mdkLkwpjhU7RNov7jueaDqS8pZ6VHnJP29VQio,2,0,tReeB6PqRnvzcKprWQhSjBzLRzG7zX6AAF2kQdy3Y3f,791360,10000000,250000,0,0,buyNow
249080589,5BZtBrFS1iF9jGdScAYKnZNaA9f1CUiRj787vdNPqqVCQXHrk7KDpaoBXE2bWrrkbgv3hiQtg957tSUwtwCFkHBL,2WKQ9GW9BbrNVNNqhEbuAARgnARnbDd4vQbLSTcxedKe,yYyKmZvB4xmWSnYSFvCjZF9NKBqPZAbCay44ru48pa4,2,0,TrEEuqmjD6XKzRoqWzyPz8DrWFARV33hdhYKr1BCMyP,444704,10000000,250000,0,0,buyNow
249080590,7zkVWA53pfUiWaJCUHsxQY6MNxnYDMEVR9TQ6XXwxdsrG98ZnXTYGScaEj4jatxM7eC4b2FXPQ1HsSMrhwvLfEu,2WKQ9GW9BbrNVNNqhEbuAARgnARnbDd4vQbLSTcxedKe,yYyKmZvB4xmWSnYSFvCjZF9NKBqPZAbCay44ru48pa4,2,0,TrEEuqmjD6XKzRoqWzyPz8DrWFARV33hdhYKr1BCMyP,265379,10000000,250000,0,0,buyNow
