block_time,block_date,block_month,bot,blockchain,amount_usd,type,token_bought_amount,token_bought_symbol,token_bought_address,token_sold_amount,token_sold_symbol,token_sold_address,fee_usd,fee_token_amount,fee_token_symbol,fee_token_address,project,version,token_pair,project_contract_address,user,tx_id,tx_index,outer_instruction_index,inner_instruction_index,is_last_trade_in_transaction
2024-07-29 03:09:46.000 UTC,2024-07-29,2024-07-01,Padre,solana,4342.064413034531,Sell,22.531598843,SOL,So11111111111111111111111111111111111111112,901975.039143,schizo,8sWKTMrh9bWUrvykK4H3jzEzGbEqvJNpS2f7joYKpump,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-schizo,BeT4ArJs2aFpnxm5Mk6cbpSzMRCP2QUiZpHgtcTu18za,EvtcrTLCvF8i1B34oZXWH51UBQHBBzYeb7hEXMftwxDS,2oozDxT679MJYmg9jBjugfB4wpEbQKktA3D2Dp9ux4kEonj4XXi48oAymYqUUqxFKvMkXAriQfew4uzjMjJfca7F,1040,5,0,true
2024-07-29 03:16:22.000 UTC,2024-07-29,2024-07-01,Padre,solana,2708.4800701477,Sell,14.059071218,SOL,So11111111111111111111111111111111111111112,188409.841644,nomnom,6ZrYhkwvoYE4QqzpdzJ7htEHwT2u2546EkTNJ7qepump,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-nomnom,Fhmjp6SMtmD8GXkq8tw6aZjBk3sDpKtKKSH6RToLAX3m,EvtcrTLCvF8i1B34oZXWH51UBQHBBzYeb7hEXMftwxDS,4k5nuVwzhpSQNiFGgnv6NMFrXJScpj6sUTpneNveUEKdXQmSaQBV9d7MuGxqqfosgX2sbxy6tG8VQwvzhjjpoMdm,1011,5,0,true
2024-07-29 03:14:07.000 UTC,2024-07-29,2024-07-01,Padre,solana,1254.2153435262,Sell,6.51168342,SOL,So11111111111111111111111111111111111111112,8818837.982308,MAXXING,F2GVPgWyN4yBSv8zmSw9TmgunQcv7K7MzceFVZzxpump,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-MAXXING,FPDReqibT45v49cfZ1UJcFDerZU73oHFS9CkpzHZyWGH,EvtcrTLCvF8i1B34oZXWH51UBQHBBzYeb7hEXMftwxDS,64Jhz8dPECEptVjyUfL85CsFsuLG7vdsUf5bW2yoNFJ3rtM7X8hxPuU8vLWnzVsHKCibZDDUdRKWbmtVBPeVdbw8,189,5,0,true
2024-07-28 22:52:44.000 UTC,2024-07-28,2024-07-01,Padre,solana,773.38533484703,Sell,4.224533429,SOL,So11111111111111111111111111111111111111112,979444.414913,KNOCKED,7EvQv9xDvLNDDmPxgrt7D11U8RPFgKjd2KUnPNqKcsbg,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-KNOCKED,BCgJt1H9JFkM7BkMyDxViRFoh7xKBPZizM596rWDPhrh,8nsijy3H9LkjGAgWTRKrhtQqj6Ju5uzxZFaoGKU4Xqpy,4WYmYATpNMtk2yVSah6QevYmtEZAqU47arXKw3PcshoXFvsMSgiZUEpxEzm7zj3UnGNAuyMuoR4EUd9FUjppz4nn,1184,5,0,true
2024-07-30 19:53:23.000 UTC,2024-07-30,2024-07-01,Padre,solana,102.58591137975,Sell,0.577135929,SOL,So11111111111111111111111111111111111111112,481090.8646,WADDUP,7z5d8Je3JH5nENwgfDYt755hG3NGUnvgBgTBoka6nF2S,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,WADDUP-SOL,EVLrQHHDuAobUfDQ9Vu9ZCDtxBKRgLVPmDFrTTNenzj2,GQvbUyFERsYEYzYRwmAHT4sQuX3SqGMFNnT1ok6WMDaq,RPdEF9gLhEPzLaetBZrXBpp2Sm7HQbG8RtxW1ZaBwpVwZwUCjuni3i8bC4JmiR1H58sEwcRSEJdjj7GekkQCb9p,1208,4,1,true
2024-07-28 14:34:46.000 UTC,2024-07-28,2024-07-01,Padre,solana,37.042,Buy,345807.758507,MUMI,E3g4eBhwiieY6rMMtsXdTqjsGPTG5J7akSYAsm3fGqeK,0.2,SOL,So11111111111111111111111111111111111111112,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-MUMI,ACTXLXqL7V7nrw952PEoHFjHag9u4TDdfhFRHyaCWPU,ED3hJpjoC2GVuqm5EAaJNVh3iHy3R9pS1SQ8BtqM9VSY,idkF2fWEv8pCr9eZq2rm6gABBQJVVH55fV9xdoaMnSnNcSuQ1skkAffC8tSGWSjMwBYesQyVd3EBDMq1z6gJkVj,1550,2,6,true
2024-07-28 00:43:30.000 UTC,2024-07-28,2024-07-01,Padre,solana,183.14010000000002,Buy,26007.251225,NEIRO,CTg3ZgYx79zrE1MteDVkmkcGniiFrK1hJ6yiabropump,0.99,SOL,So11111111111111111111111111111111111111112,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-NEIRO,HvAqakZgurMR2br1eGWPU6EeFcxzmeW8n6Mn7ejEf3DV,8nsijy3H9LkjGAgWTRKrhtQqj6Ju5uzxZFaoGKU4Xqpy,2iYz4AXGnQm2dS6zBY14HzCBtsEjYGCHn3fX3BKdqmYq2QmGAR1cJ7BjBcKdDdN1KfwHUCh45NkBfSeFaLUfkhYg,2725,5,0,true
2024-07-28 10:44:08.000 UTC,2024-07-28,2024-07-01,Padre,solana,40.74339115008,Sell,0.221047044,SOL,So11111111111111111111111111111111111111112,180827.091232,WIFNEIRO,3zmTDxKuANbHWtkLCKLXEByrrP1PqCgN9wCqk2ePpump,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,WIFNEIRO-SOL,5P7NaLqeozNC5rK1GncMVH98rzq1TGXEwJtgGEydu9Xf,DXLX3jgL1su1C73k8ixvepAz5y29UdXKesXjiXFgtHQP,2U9Ngk3agPmsFhC5fDNV3tESkRF7aRBJ7ustqTMt1z3Dsgn2NegmoMbUT4bw7g5utbStpQpp3ja3uZsYB2jMg3bp,180,4,1,true
2024-07-29 00:42:07.000 UTC,2024-07-29,2024-07-01,Padre,solana,183.524003081748,Buy,183.712676,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.977302816,SOL,So11111111111111111111111111111111111111112,0,0,SOL,So11111111111111111111111111111111111111112,lifinity,2,USDC-SOL,86eq4kdBkUCHGdCC2SfcqGHRCBGhp2M89aCmuvvxaXsm,5ygynpzLGWfSZn3oS5Eu3iCMHkEQpopzdfRhL2M7oSwE,5QmdnwJFZFkwmfM5B9fDWMBTUi59c7PQBXDB7DddJDjKsebrDLeUyjXB8PFAfN15UucT45k7fQf2Jjwr7a3kJV6Z,106,3,6,true
2024-07-29 04:20:19.000 UTC,2024-07-29,2024-07-01,Padre,solana,3.8407999999999998,Buy,161.644336,NEIRO,CTg3ZgYx79zrE1MteDVkmkcGniiFrK1hJ6yiabropump,0.02,SOL,So11111111111111111111111111111111111111112,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-NEIRO,HvAqakZgurMR2br1eGWPU6EeFcxzmeW8n6Mn7ejEf3DV,3qxNDrVsmag4YPbcN2vmPZbNDK7aCmojweAcbjHjwFNM,5CWA1n172WLCynmQue2kPf5Rv5zSKnYHHEa9wCYQLsyXQtvFZjDDd3Q23Lx4RFAYrnAWn9tia9F8C2jCeZskBpLd,264,6,0,true
