block_time,block_date,block_month,bot,blockchain,amount_usd,type,token_bought_amount,token_bought_symbol,token_bought_address,token_sold_amount,token_sold_symbol,token_sold_address,fee_usd,fee_token_amount,fee_token_symbol,fee_token_address,project,version,token_pair,project_contract_address,user,tx_id,tx_index,outer_instruction_index,inner_instruction_index,is_last_trade_in_transaction
2024-04-21 18:23:02.000 UTC,2024-04-21 00:00:00.000 UTC,2024-04-01 00:00:00.000 UTC,Solgun,solana,,Sell,8.007468286,SOL,So11111111111111111111111111111111111111112,66545.304218857,CyJRzN4iavA2b9tQB2YMCMKYBcT9L5LSijLb5TeyqvLA,CyJRzN4iavA2b9tQB2YMCMKYBcT9L5LSijLb5TeyqvLA,9.748048127159999,0.065409972,SOL,So11111111111111111111111111111111111111112,raydium,4,,HoZ5mvyo9B36pNWB4PGrWQHG8wZJJYjbWGBR5jWQW1e5,4HZzPSP1vbjswdLAt5vS2a2WigQhz4Q2AvgEDvaLe6cW,3D7F8Vm5tMtPrfDDUjVy4aKAorjCWUA9JjNGnj4N11cmDpp34eRMZ4ipVvpfjj6t6Am3E5k7uY7M7CpEoP33bLKW,1146,2,0,true
2024-04-21 18:22:50.000 UTC,2024-04-21 00:00:00.000 UTC,2024-04-01 00:00:00.000 UTC,Solgun,solana,,Sell,4.557E-6,SOL,So11111111111111111111111111111111111111112,100.0,DOGC,8N3yydHxTEQs41fnzE611FmWBQZjixTXS4SSGprb7Ubo,5.36508E-6,3.6E-8,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-DOGC,3YXRSDxLWQUsm3kageYrsoeJWpDpgEPM9ekWdxTMNcNr,GUyVRKK8wVVF8wYmVMW59kwWgjdVWif9wVJrdtzNVEMA,WZi88uY2qryWsSEX4UZ6MCRkq78NM22oTwcRUQVA1rmnnpBe3NHs2SXYW3ER3FdiKXhwuu2Vb4117gLo9XUW7FG,370,2,0,true
2024-04-21 18:22:42.000 UTC,2024-04-21 00:00:00.000 UTC,2024-04-01 00:00:00.000 UTC,Solgun,solana,,Sell,4.945E-6,SOL,So11111111111111111111111111111111111111112,200.0,Bomb Cat,HDZ6RmuZGDnLCQWtwNNWCD3yMU2Kv2Mo7tjcfqdcP5Ar,1.34127E-6,9.0E-9,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-Bomb Cat,BneiUCpc17afXt3J1gkmjE19nVp66kuCJ5WF76BZb4YJ,GUyVRKK8wVVF8wYmVMW59kwWgjdVWif9wVJrdtzNVEMA,2nEgnnRFAgeHnQwiEkxRzpHZKFHB9KBFj1DojNqaGzw15tGUxMNfuLcL3aosXSf2oZBNP44WfUCnefvyLBeWrNiv,62,2,0,true
2024-04-21 18:21:55.000 UTC,2024-04-21 00:00:00.000 UTC,2024-04-01 00:00:00.000 UTC,Solgun,solana,,Sell,7.768187214,SOL,So11111111111111111111111111111111111111112,66545.304218857,CyJRzN4iavA2b9tQB2YMCMKYBcT9L5LSijLb5TeyqvLA,CyJRzN4iavA2b9tQB2YMCMKYBcT9L5LSijLb5TeyqvLA,9.24067996306,0.062005502,SOL,So11111111111111111111111111111111111111112,raydium,4,,HoZ5mvyo9B36pNWB4PGrWQHG8wZJJYjbWGBR5jWQW1e5,4HZzPSP1vbjswdLAt5vS2a2WigQhz4Q2AvgEDvaLe6cW,56geGAzC23ndRNsiGoE4wppzMyKvTNRUwTRhmpVxMhHi2tAQ4PuGPRu7cNCW3xmvFeBfgwbXHTVFPPCuEFk8mk4T,511,2,0,true
2024-04-21 18:21:28.000 UTC,2024-04-21 00:00:00.000 UTC,2024-04-01 00:00:00.000 UTC,Solgun,solana,,Buy,212365.621041103,CyJRzN4iavA2b9tQB2YMCMKYBcT9L5LSijLb5TeyqvLA,CyJRzN4iavA2b9tQB2YMCMKYBcT9L5LSijLb5TeyqvLA,24.81,SOL,So11111111111111111111111111111111111111112,28.3157,0.19,SOL,So11111111111111111111111111111111111111112,raydium,4,,HoZ5mvyo9B36pNWB4PGrWQHG8wZJJYjbWGBR5jWQW1e5,7Y8ZmvS6QVf5UoX4CENogjCDU4E25FUcRBTb8NUqHJh5,2F9usaK6QT3GMRFpTzR1qgLm5kT2yAvCKdQjzHcEw9EM5tZPprxgdHprxkU8gMP31Gyn14dcouWAN1ro6X8QS2Eu,713,5,0,true
2024-04-21 18:19:55.000 UTC,2024-04-21 00:00:00.000 UTC,2024-04-01 00:00:00.000 UTC,Solgun,solana,3701.4039,Buy,206032.398747932,CyJRzN4iavA2b9tQB2YMCMKYBcT9L5LSijLb5TeyqvLA,CyJRzN4iavA2b9tQB2YMCMKYBcT9L5LSijLb5TeyqvLA,24.81,SOL,So11111111111111111111111111111111111111112,28.3461,0.19,SOL,So11111111111111111111111111111111111111112,raydium,4,,HoZ5mvyo9B36pNWB4PGrWQHG8wZJJYjbWGBR5jWQW1e5,7Y8ZmvS6QVf5UoX4CENogjCDU4E25FUcRBTb8NUqHJh5,25ECD712irRkbd22eHWgprYdqGL2vCLYxwKrN8ewgU5dsXKmKLhj3jLDE3wVRjSVtDZVJkkUdCdz5sZNTYwd2cUR,1289,5,0,true
2024-04-21 18:18:35.000 UTC,2024-04-21 00:00:00.000 UTC,2024-04-01 00:00:00.000 UTC,Solgun,solana,238.52528410547998,Sell,1.598802092,SOL,So11111111111111111111111111111111111111112,13499.777247709,CyJRzN4iavA2b9tQB2YMCMKYBcT9L5LSijLb5TeyqvLA,CyJRzN4iavA2b9tQB2YMCMKYBcT9L5LSijLb5TeyqvLA,1.90715798223,0.012783417,SOL,So11111111111111111111111111111111111111112,raydium,4,,HoZ5mvyo9B36pNWB4PGrWQHG8wZJJYjbWGBR5jWQW1e5,2Ahu9nKRc49893NWXuJmx3pHstALscHXXoixLQCV1VWu,4yW845B7JN2dZPE85nPFCPRHRSnAmHkF1FeFcHE4HqpnyZDqPESBKyxSfHVcVioJSbqGJt9JjwB9yejbetorbgEz,1017,2,0,true
2024-04-21 18:17:29.000 UTC,2024-04-21 00:00:00.000 UTC,2024-04-01 00:00:00.000 UTC,Solgun,solana,3701.4039,Buy,207815.210884512,CyJRzN4iavA2b9tQB2YMCMKYBcT9L5LSijLb5TeyqvLA,CyJRzN4iavA2b9tQB2YMCMKYBcT9L5LSijLb5TeyqvLA,24.81,SOL,So11111111111111111111111111111111111111112,28.3461,0.19,SOL,So11111111111111111111111111111111111111112,raydium,4,,HoZ5mvyo9B36pNWB4PGrWQHG8wZJJYjbWGBR5jWQW1e5,7Y8ZmvS6QVf5UoX4CENogjCDU4E25FUcRBTb8NUqHJh5,4hg7ibcnoqwxPs8Eb4kXjKX4ScNtReYQTA5JREknNJVe5MT1VBNJSq9j7rQ5dEAqcuoBkwYF8uFzoDEQQp3uCk7k,501,5,0,true
2024-04-21 18:16:50.000 UTC,2024-04-21 00:00:00.000 UTC,2024-04-01 00:00:00.000 UTC,Solgun,solana,3701.4039,Buy,201886.934786717,CyJRzN4iavA2b9tQB2YMCMKYBcT9L5LSijLb5TeyqvLA,CyJRzN4iavA2b9tQB2YMCMKYBcT9L5LSijLb5TeyqvLA,24.81,SOL,So11111111111111111111111111111111111111112,28.3461,0.19,SOL,So11111111111111111111111111111111111111112,raydium,4,,HoZ5mvyo9B36pNWB4PGrWQHG8wZJJYjbWGBR5jWQW1e5,7Y8ZmvS6QVf5UoX4CENogjCDU4E25FUcRBTb8NUqHJh5,3hS7bYGxV7RNAJxTwbkbdhozLBxv62SXXUAPCsHW3ZdURJdpVzQb6pwPALJYHeHr6kKk8sqe1Z8wdy4E8aRspEXx,369,5,0,true
2024-04-21 18:10:05.000 UTC,2024-04-21 00:00:00.000 UTC,2024-04-01 00:00:00.000 UTC,Solgun,solana,3694.4570999999996,Buy,203926.699311221,CyJRzN4iavA2b9tQB2YMCMKYBcT9L5LSijLb5TeyqvLA,CyJRzN4iavA2b9tQB2YMCMKYBcT9L5LSijLb5TeyqvLA,24.81,SOL,So11111111111111111111111111111111111111112,28.2929,0.19,SOL,So11111111111111111111111111111111111111112,raydium,4,,HoZ5mvyo9B36pNWB4PGrWQHG8wZJJYjbWGBR5jWQW1e5,7Y8ZmvS6QVf5UoX4CENogjCDU4E25FUcRBTb8NUqHJh5,fhVpEBDip2Gb5MWyb4J1ivcperfsGFLAMQxqduVoN8X7g8khbF2aXEYzegiJWjDSUdXLHCJ5bUDFpHyqGxvkUJs,10,5,0,true
