block_time,block_date,block_month,bot,blockchain,amount_usd,type,token_bought_amount,token_bought_symbol,token_bought_address,token_sold_amount,token_sold_symbol,token_sold_address,fee_usd,fee_token_amount,fee_token_symbol,fee_token_address,project,version,token_pair,project_contract_address,user,tx_id,tx_index,outer_instruction_index,inner_instruction_index,is_last_trade_in_transaction
2024-05-14 16:48:13.000 UTC,2024-05-14 00:00:00.000 UTC,2024-05-01 00:00:00.000 UTC,Soul Sniper,solana,,Sell,0.051450004,SOL,So11111111111111111111111111111111111111112,2078.861928643,,Cf7Qo7MkwfnuLEPTWVZzfLsurwbx295p6Trj9X1V2Ycr,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,,EhGvAwCGYwfJrwV7hbtZ69HTGX5kX3yni7LApR9rBe57,EseG13w8zwx6PXvVjeY5Y1ZtN1Gw9b2k27y85W3pwTRa,3UGH4yecgDGRuNbRgMkoNprkJ9UdRBuWMLCdgTn3FJM24yJkuVZyDkUjKgL8LSSZ7ud5VZV45UxxS1kZ4o2A4TpC,53,5,0,true
2024-05-14 16:48:05.000 UTC,2024-05-14 00:00:00.000 UTC,2024-05-01 00:00:00.000 UTC,Soul Sniper,solana,,Sell,0.095706524,SOL,So11111111111111111111111111111111111111112,3841.684515902,,Cf7Qo7MkwfnuLEPTWVZzfLsurwbx295p6Trj9X1V2Ycr,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,,EhGvAwCGYwfJrwV7hbtZ69HTGX5kX3yni7LApR9rBe57,B5DTjzd9hzytMA9cF7nw1RD9y5JzoCotv7p7NnDxXWRs,RaxnJNbJiqwwr1SVnra8Rnm9kG6su8pcsfnmbqzKtY1z3yPeV2qtFYrFKuxAN2V91XYrQFdGZEJPaogDSHBGYsc,488,5,0,true
2024-05-14 16:47:52.000 UTC,2024-05-14 00:00:00.000 UTC,2024-05-01 00:00:00.000 UTC,Soul Sniper,solana,,Sell,0.090302711,SOL,So11111111111111111111111111111111111111112,3594.832271116,,Cf7Qo7MkwfnuLEPTWVZzfLsurwbx295p6Trj9X1V2Ycr,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,,EhGvAwCGYwfJrwV7hbtZ69HTGX5kX3yni7LApR9rBe57,8aQch1psPTVnG69X3uZd6FiQXDBq9N8qXpa92cbzLfc3,3xj4g92jRtr1rvfE2dyQovPqiKpAdC7fQs7BgLfgFeDEeSTULsxGBykSrRTVUELQUUk3enjtkiRgnmp99bJcRAfR,398,5,0,true
2024-05-14 16:46:58.000 UTC,2024-05-14 00:00:00.000 UTC,2024-05-01 00:00:00.000 UTC,Soul Sniper,solana,,Sell,0.017724095,SOL,So11111111111111111111111111111111111111112,34448046.3653667,CWif,EH7qrfFvBLChUE8p3QuSC3jAQ9nh6dhxLy3VGU79Sku9,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-CWif,5iTFEn4PNHqpmw2HXkb3AWkgixRUJYwwdWTC7GvjTBog,7461cX9LvxTNEepP2xxztCB7LvHYYzLyeiph361XHeeL,3b4spNj3NUzEqHEmwCbaHaMfQQjb99fKANKTGj14Y4dZT417wN1fMDsQj6guUcvfXuFHz3HpXACYrw3eGNbDYMMM,699,4,2,true
2024-05-14 16:46:48.000 UTC,2024-05-14 00:00:00.000 UTC,2024-05-01 00:00:00.000 UTC,Soul Sniper,solana,,Sell,0.114513702,SOL,So11111111111111111111111111111111111111112,996.63643666,,GaR8YLFzNkKEgeZyBcLXxXX3KNoCoet9GZHYaMHXqaCh,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,,BZ61Z6cTacBUumRKGA9h869Av8cbodQkUAch5CBW5px4,G8q76mnz6nyPXV6uEUSULDcSQDYeLmZg5vttJN9MLATC,2aPxExTGwPFvRF7sRuKbf58dxUsSEqrWdn2ndNaCkoiAaw4ZDX2tTiwLVLuujXGbC3a1eBKqE4sgwUKPMRHHCqRe,1099,5,0,true
2024-05-14 16:45:07.000 UTC,2024-05-14 00:00:00.000 UTC,2024-05-01 00:00:00.000 UTC,Soul Sniper,solana,,Buy,41.402355127,,Cf7Qo7MkwfnuLEPTWVZzfLsurwbx295p6Trj9X1V2Ycr,0.001,SOL,So11111111111111111111111111111111111111112,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,,EhGvAwCGYwfJrwV7hbtZ69HTGX5kX3yni7LApR9rBe57,BkKt95XWyA39s3eMiQ6LCBdas3Mfe3UFShkP3h5jdg5C,98xyxaiU8qngCPZkGr7DCa9mrfreTWjNkiepPU9LvHM3s1bpf9GfHFYepWauvAi8ZRbLNr9aaJmLP9zaYgLsG6m,320,6,0,true
2024-05-14 16:45:07.000 UTC,2024-05-14 00:00:00.000 UTC,2024-05-01 00:00:00.000 UTC,Soul Sniper,solana,,Buy,828.838329914,,Cf7Qo7MkwfnuLEPTWVZzfLsurwbx295p6Trj9X1V2Ycr,0.02,SOL,So11111111111111111111111111111111111111112,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,,EhGvAwCGYwfJrwV7hbtZ69HTGX5kX3yni7LApR9rBe57,HYMgoXhHSN9Yp8JfythkcVvECJ2GvkwmLM9kJRCiX5FA,yiCokVPQ5jH19MLxpr68KtWf1fxgdtLQHRXceWd3GWc6BngMFHGc4mcPBzusoLJTq7KjmqrMxNre4qAxaDvKR6n,187,6,0,true
2024-05-14 16:45:05.000 UTC,2024-05-14 00:00:00.000 UTC,2024-05-01 00:00:00.000 UTC,Soul Sniper,solana,,Buy,2078.861928643,,Cf7Qo7MkwfnuLEPTWVZzfLsurwbx295p6Trj9X1V2Ycr,0.05,SOL,So11111111111111111111111111111111111111112,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,,EhGvAwCGYwfJrwV7hbtZ69HTGX5kX3yni7LApR9rBe57,EseG13w8zwx6PXvVjeY5Y1ZtN1Gw9b2k27y85W3pwTRa,g5bVpk23tphanoRJnUjvNBPJKqY9kBARWGuK5moYGfCYEbFqHsQiV3PK9LyNRMM1RKX6foeUBukWjV8R8muPR8a,1039,6,0,true
2024-05-14 16:45:05.000 UTC,2024-05-14 00:00:00.000 UTC,2024-05-01 00:00:00.000 UTC,Soul Sniper,solana,,Buy,1251.867736207,,Cf7Qo7MkwfnuLEPTWVZzfLsurwbx295p6Trj9X1V2Ycr,0.03,SOL,So11111111111111111111111111111111111111112,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,,EhGvAwCGYwfJrwV7hbtZ69HTGX5kX3yni7LApR9rBe57,55whxYuk3ti7bCSfXwaHfMnpD5s8Y4YxhCWvR5RNHpfP,sRa2hr81BSCqTsGN3wFsSnqxNF56xAWJUauBKamttQrCYVFgkw5AXvnHBL5MRC24R246UvxMRnnr8DoRKn9hhmG,633,6,0,true
2024-05-14 16:45:04.000 UTC,2024-05-14 00:00:00.000 UTC,2024-05-01 00:00:00.000 UTC,Soul Sniper,solana,,Buy,2808.647597649,,Cf7Qo7MkwfnuLEPTWVZzfLsurwbx295p6Trj9X1V2Ycr,0.1,SOL,So11111111111111111111111111111111111111112,0,0,SOL,So11111111111111111111111111111111111111112,raydium,4,,EhGvAwCGYwfJrwV7hbtZ69HTGX5kX3yni7LApR9rBe57,AAeCoYWcxzDV6eWum57VUVtDRFFvcyXhWv2DPhifXqYY,31WzfbACQEKVqNGahKoPiF8NpAGWLJaG4iXLUaPkKd2mZVAMTdn45TSHAnBCtaiJJ3DwHzPHHGrjm7gwojm7C7mc,837,6,0,true
