block_time,block_date,block_month,blockchain,amount_usd,type,token_bought_amount,token_bought_symbol,token_bought_address,token_sold_amount,token_sold_symbol,token_sold_address,fee_usd,fee_token_amount,fee_token_symbol,fee_token_address,project,version,token_pair,project_contract_address,user,tx_id,tx_index,outer_instruction_index,inner_instruction_index,is_last_trade_in_transaction
2024-06-11 19:02:07.000 UTC,2024-06-11,2024-06-01,solana,1.4865000000000002,Buy,67540.121141,TROLL,52ScRbUR7y8AVqkMjE29FJVjDPELSPofJwaXaLHepump,0.01,SOL,So11111111111111111111111111111111111111112,0.0014865000000000002,0.00001,SOL,So11111111111111111111111111111111111111112,raydium,4,TROLL-SOL,6FSGANBgHbmtKCgtC2orjgRNbwmo9EFyCQsdmXVA9DAD,E5Vn7wbvEYwnJyyXC95Td9nVygCEnA4Twrxnqa2ot7PS,4SD4RXjHVnTqgPMb119YRc3RWgrHXAXBc8EFUMnzx5iwJgQLGnQQTDiU6S9uG7oPF9iLFzCZoVf7Ct5tdMqgBmNU,529,7,1,true
2024-06-05 19:00:27.000 UTC,2024-06-05,2024-06-01,solana,3.4676,Buy,114354.663187092,EGYPTCAT,GtUiTYjyC6doXNfrJLDMoVCQ3yiCes9B7ikgy6v9GauJ,0.02,SOL,So11111111111111111111111111111111111111112,0.0034676000000000004,0.00002,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-EGYPTCAT,2hrYzUfnD6bkt43iNTgjsFsCgjNjCmD2bgzA22vxg7Lk,8W8ZrRZvgzoSjwYEhcWDqLJKSkqv3DdXrKa9uAsyQXJh,45rQVaYtYPzz4WNYvnaQuzF3KNKEYU9VNjphr4TY7u9z6PNJFggA3JC7Y2U421EC7VH4n6bAuCZznuRwTLncggVE,698,5,0,true
2024-06-18 21:57:52.000 UTC,2024-06-18,2024-06-01,solana,1.3762,Buy,0.662147,$WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,0.01,SOL,So11111111111111111111111111111111111111112,0.0013762000000000002,0.00001,SOL,So11111111111111111111111111111111111111112,whirlpool,1,SOL-$WIF,D6NdKrKNQPmRZCCnG1GqXtF7MMoHB7qR6GU5TkG59Qz1,64eyEQPLvRdthBB9HaQ3mFUY3stTC6pEVppoBp2ZTvKm,2KXkVUyAgnCn5ZQLHN7JHTUu27ZD8FtT97fzBCKpeLSqFY5ehKoS2LLasTQ8X4F8YwkKNgz6fnQxM8nKPLZwZo31,258,6,1,true
2024-06-20 10:41:43.000 UTC,2024-06-20,2024-06-01,solana,4.187367892766,Sell,0.030455484,SOL,So11111111111111111111111111111111111111112,5.168837,,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,0.04191166349,0.000304657,SOL,So11111111111111111111111111111111111111112,whirlpool,1,,DkVN7RKTNjSSER5oyurf3vddQU2ZneSCYwXvpErvTCFA,64eyEQPLvRdthBB9HaQ3mFUY3stTC6pEVppoBp2ZTvKm,5xDFVx7GRHSnkSrQZWGx3b9KNDxPwPGDQJd3wbJfXpWUJbGJtrwtQ2RW4vFL3UwTk66q5meJbT4c7XMtVocoSK2Q,28,4,12,true
2024-06-25 11:07:11.000 UTC,2024-06-25,2024-06-01,solana,4.13621360103,Sell,0.029797663,SOL,So11111111111111111111111111111111111111112,1309.640851,$WATER,B6h248NJkAcBAkaCnji889a26tCiGXGN8cxhEJ4dX391,0.041452691490000006,0.000298629,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-$WATER,2c9F3UnMBxftqeSmsSCBw5yXjwD9hXFsMLXti9mqTwpr,64eyEQPLvRdthBB9HaQ3mFUY3stTC6pEVppoBp2ZTvKm,4Rid4woPukNbHc2EaqsWcFcVuX7r7SDH4ZvPf3AZX1pudvzSBfSDTCVdFBoZyfghEf6oxUHNsq9L9B8UC2hKZjQ5,444,4,1,true
2024-06-09 22:05:02.000 UTC,2024-06-09,2024-06-01,solana,12.14775,Sell,0.075,SOL,So11111111111111111111111111111111111111112,2675810.471244,OrdiDoges,Fw9M1CArfuD2Nmow86qKb5gf9YHrBCZZKoT9qH14aPHx,0.012147749999999999,0.000075,SOL,So11111111111111111111111111111111111111112,pumpdotfun,1,SOL-OrdiDoges,HDeGiCqjrXEpb3QE6DifThLSpvXMdZJkZqy4QXWzAQWf,64eyEQPLvRdthBB9HaQ3mFUY3stTC6pEVppoBp2ZTvKm,2YvLvAPwh6NQgb4dHnH9ScWAYEsbYKbdphPBKsND8aKrtKfTpLMchtiCbVhUiB6nVzf6si4mLLYAppg9KNeNE1ZD,400,3,3,true
2024-06-24 08:04:01.000 UTC,2024-06-24,2024-06-01,solana,1.8795,Buy,1.336554,RAY,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,0.015,SOL,So11111111111111111111111111111111111111112,0.018795,0.00015,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-RAY,AVs9TA4nWDzfPJE9gGVNJMVhcQy3V9PGazuz33BfG2RA,64eyEQPLvRdthBB9HaQ3mFUY3stTC6pEVppoBp2ZTvKm,d9XjmmMQknh78qeNmnZUrxXtuiqgLziHqfSVR71MWPN3urRYz27KCdwrhHGRmisQpjvgSohtYcc5Bgg8Fg5QDmi,505,4,0,true
2024-06-20 08:44:20.000 UTC,2024-06-20,2024-06-01,solana,4.0944781041319995,Sell,0.029972733,SOL,So11111111111111111111111111111111111111112,4.092301,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.040989192859999996,0.000299782,SOL,So11111111111111111111111111111111111111112,meteora,2,USDC-SOL,5BKxfWMbmYBAEWvyPZS9esPducUba9GqyMjtLCfbaqyF,64eyEQPLvRdthBB9HaQ3mFUY3stTC6pEVppoBp2ZTvKm,5awLKs4nsm9y4cpVzbeTPmNkLW9Ne5xkYhm96atDqt7vhbLfRrmoiETuQB6fRczTiY5ajeVG7pSFBoUdCGBLHhQ2,29,4,7,true
2024-06-15 12:58:44.000 UTC,2024-06-15,2024-06-01,solana,1.71966511368,Sell,0.011912338,SOL,So11111111111111111111111111111111111111112,842.74602541,$WOLF,Faf89929Ni9fbg4gmVZTca7eW6NFg877Jqn6MizT3Gvw,0.0017089336800000003,0.000011838,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-$WOLF,EskpS4o6sWFAmf7w8PDwWJQfx8LRU7hHMjPxCcyX4Eq1,E5Vn7wbvEYwnJyyXC95Td9nVygCEnA4Twrxnqa2ot7PS,nygGP7aEvyXw4UCpT7Kma8LQ5c4RWLZeBF6gaHQ5miXzd3QzSFz2XyeNaxmTutpwRNnp6LQKQ7WhywoeWfxezwJ,1800,4,1,true
2024-06-09 22:39:40.000 UTC,2024-06-09,2024-06-01,solana,12.72720516213,Buy,2781803.746762,OrdiDoges,Fw9M1CArfuD2Nmow86qKb5gf9YHrBCZZKoT9qH14aPHx,0.078500001,SOL,So11111111111111111111111111111111111111112,0.012727204999999998,0.0000785,SOL,So11111111111111111111111111111111111111112,pumpdotfun,1,SOL-OrdiDoges,HDeGiCqjrXEpb3QE6DifThLSpvXMdZJkZqy4QXWzAQWf,64eyEQPLvRdthBB9HaQ3mFUY3stTC6pEVppoBp2ZTvKm,2VMvi6Ua6i67xiy3dE74mt4D4Kf9X7N3kVXchyNFGy7aFcwaTZsMAx4Diphgi5Kavyn17VXoUPTqS3Ytz5kXFjfQ,61,4,5,true
