block_time,block_date,block_month,bot,blockchain,amount_usd,type,token_bought_amount,token_bought_symbol,token_bought_address,token_sold_amount,token_sold_symbol,token_sold_address,fee_usd,fee_token_amount,fee_token_symbol,fee_token_address,project,version,token_pair,project_contract_address,user,tx_id,tx_index,outer_instruction_index,inner_instruction_index,is_last_trade_in_transaction
2024-03-23 17:07:11.000 UTC,2024-03-23,2024-03-01,Wifbot,solana,16.12079621405,Sell,0.091851155,SOL,So11111111111111111111111111111111111111112,1437496.955514369,$AKUMULA,FeaLEarmzKwZzNai5qJYH6CRVJ7T9bYhxVdhS76bQi4n,0.08492946451,0.000483901,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-$AKUMULA,3SUw9rvTrohTTwrqMJ8XDqtXzsGSVW8Q93cUKNmjBTzC,Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ,2NwRAVf4e55H9wRq1ooAafHeCas15o4wq8TazPzD3zLCMzWKpNp7qiPb1gG9Bqk6r6h7igruRfycyfnSzhTPxw8g,1685,4,2,true
2024-03-24 06:28:08.000 UTC,2024-03-24,2024-03-01,Wifbot,solana,34.37082,Buy,36131.870177,FLERF,AkU1N29mnXjXpW1fivLKxqRpBDAYmCZUjb2dTxQSH3Tx,0.198,SOL,So11111111111111111111111111111111111111112,0.156231,0.0009,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-FLERF,8RGoBQdwevYXcWAHbfUVQFN7Bz7Wo6Waumho3azYTf7y,DUrnZgKPtHapS5qXRpJdGs5tA5zZQJjj1Jvj7gEHYtLJ,4W6b7ebTTBLdYSDoD4sUNESFnuF1D9PhSDkTP7opypoosXKxdz8uFUGvouhwbksruKnT81JGbKxQxFBRQuKSGs6w,61,6,2,true
2024-03-31 01:23:28.000 UTC,2024-03-31,2024-03-01,Wifbot,solana,12.662577735300001,Sell,0.064637967,SOL,So11111111111111111111111111111111111111112,1437.66667,MEW,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,0.0633052809,0.000323151,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-MEW,879F697iuDJGMevRkRcnW21fcXiAeLJK1ffsw2ATebce,Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ,P6LdkPzF8Rpwu4bE3SC7NfworroEEHdwqfybM6THEGJhhbnzbfh5YRxZfeKZCQtvYcgvi22VtVPizkCMuGZg2VU,163,4,2,true
2024-03-30 01:16:52.000 UTC,2024-03-30,2024-03-01,Wifbot,solana,4.791105000000001,Buy,775227.639145924,$AKUMULA,FeaLEarmzKwZzNai5qJYH6CRVJ7T9bYhxVdhS76bQi4n,0.02475,SOL,So11111111111111111111111111111111111111112,0.024197500000000004,0.000125,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-$AKUMULA,3SUw9rvTrohTTwrqMJ8XDqtXzsGSVW8Q93cUKNmjBTzC,Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ,22EKbkXaV3xkkVNzZve8KUvMTWgYs4x1ZQtiNYt1RnEn28AotpJkojxaFGzm8zHE8wrP3sZWVgq1wh8EsYHpr6ut,65,6,2,true
2024-03-27 11:16:29.000 UTC,2024-03-27,2024-03-01,Wifbot,solana,4.04384384815,Sell,0.021630617,SOL,So11111111111111111111111111111111111111112,30372.847116,dremp,3HdPjiJbEePYWKgonZqBPuxG2h7EzzupqnTQeYPaATDU,0.0179961809,0.000096262,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-dremp,3gEcjSg2WvtZrbvbkDQUxkYQmdujy1LCQjFRv9Hq7KGf,DUrnZgKPtHapS5qXRpJdGs5tA5zZQJjj1Jvj7gEHYtLJ,SVoXWLcxbedwM5wSM1hiLMv7qVJSrYy9R6z11goC78jJEg44Mf7rcbNpoCXXQPkYy6eMGbMEw2qzqxEykeDTGAj,68,4,2,true
2024-03-30 23:17:30.000 UTC,2024-03-30,2024-03-01,Wifbot,solana,194.1192,Buy,5875.831357,KITTY,55heawNuKBwj52G8ajFo1mtqjNRdchKndECEhAxoG4Fe,0.99,SOL,So11111111111111111111111111111111111111112,0.9804,0.005,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-KITTY,dw8HhZMzvqubtSLHUHKG5R6de58wcYqc8x9uYbN5fxf,2uB5cZ342y4YRFC6J9bL6aEQAsc7r3DzerBcxDcJEDGz,4H9sKBiDAwagvAigmHXEDCTnVQgC1LPrZzB61J66jbL1DiPpXhJSBAyPADdH4qWSMhGEduvAMVsRkWhEmQzzHDbv,80,7,2,true
2024-03-24 01:49:28.000 UTC,2024-03-24,2024-03-01,Wifbot,solana,2.2302855567299997,Sell,0.012667039,SOL,So11111111111111111111111111111111111111112,14668.676926875,COST,Av6qVigkb7USQyPXJkUvAEm4f599WTRvd75PUWBA9eNm,0.0113230617,0.00006431,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-COST,GQdUPA8cUV8WsqEdCfDQtphvztocNCoSBGo1wARtaAXK,A1G1fcQhzKrbLDn1cbHCgKh9g2qekzMKSdFMtKiSr9v2,34jpmJ8MwysCSTjshya14ZBE66S89XTMooSiSKWgqkriyQmhK1TRZ1zMCu7bvGLs91EJWFSFuM3Y1NUwyFrdwpjU,547,4,2,true
2024-03-23 01:14:00.000 UTC,2024-03-23,2024-03-01,Wifbot,solana,,Sell,510529.339324184,EqpKp3bkjxmSCzGW8WHiu3GyjwRBQqjCKAEYQpPwVHg2,EqpKp3bkjxmSCzGW8WHiu3GyjwRBQqjCKAEYQpPwVHg2,131.191279,RETARDIO,6ogzHhzdrQr9Pgv6hZ2MNze7UrzBMAFyBBWUYp1Fhitx,0.0087335,0.00005,SOL,So11111111111111111111111111111111111111112,raydium,4,,AgbBqrMrhGwu7iMrRwAWd3BVW2nbWHh6Vf45zc6nj5fj,dKQAjq26Fmy9Keg2zL33bxKatRWBnfUry5T1eVfttxZ,5SknXdi9HjBBTEgSpYPMHcJKc3iDVYrBzzyCFb2optw7wMqq4GmhG3cYb5J2adRtGrozzoX5daSmRwrQAHjcgyYY,73,6,6,false
2024-03-31 09:28:42.000 UTC,2024-03-31,2024-03-01,Wifbot,solana,155.63592,Buy,605.126494,SC,6D7NaB2xsLd7cauWu1wKk6KBsJohJmP2qZH9GEfVi5Ui,0.792,SOL,So11111111111111111111111111111111111111112,0.9825499999999999,0.005,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-SC,BSzedbEvWRqVksaF558epPWCM16avEpyhm2HgSq9WZyy,2fLbL6DjeBPZTA9Ae8h9quaGmTK5SvYTNvdCamxtnkhG,3xnBZdB7BeF7tkExZ6UbLywxfG81tgwDabVTPFwE2xCFj8HniLizGMpu7Jaoi4hsaK81HCwuWFZh6gi9WctdS3Lm,174,6,6,true
2024-03-24 16:53:16.000 UTC,2024-03-24,2024-03-01,Wifbot,solana,17.33787,Buy,183.90471405,CAN,FF4dN8Qy8NNF88HRgMA3TkbRVZ8PTXWXZCZJb59X3Sbg,0.099,SOL,So11111111111111111111111111111111111111112,0.087565,0.0005,SOL,So11111111111111111111111111111111111111112,whirlpool,1,CAN-SOL,BDsfmV6uTXYdGCrR8dTpTPPpZVVYnYaWCrPvWM5Zz3c7,2fLbL6DjeBPZTA9Ae8h9quaGmTK5SvYTNvdCamxtnkhG,21UkKUa5aHzSjCpGfcb3ixcsHVUJfHPrZnAZbCvEVBBFYGPhwCA8EwChyfHrDY6bKxYhMbRGrvc8PNM9QQq5d7gw,87,6,2,true
