blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_sold_address,block_number,token_bought_amount_raw,token_sold_amount_raw
bnb,pancakeswap,mmpool,2023-03-03,0x42b4dcf040808d2a22928744c0a78aaf9873b30b027a638ae93b1983295cf0fc,306,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x55d398326f99059ff775485246999027b3197955,26144409,6944209657188092928,2012077814461359432639
bnb,pancakeswap,mmpool,2023-03-03,0x653194cae17a57e6b1ceddb9e7fcd917435094460772c16d9bf0a97b60a4b9b2,94,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x55d398326f99059ff775485246999027b3197955,26144429,345138606608783744,100000000000000000000
bnb,pancakeswap,mmpool,2023-03-03,0x590e143ba81d3aca84b3e84391f7943af2aedbbb3fb600eea4b455cc974c519a,390,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x55d398326f99059ff775485246999027b3197955,26147317,339415333352792512,98371068479678190991
bnb,pancakeswap,mmpool,2023-03-03,0x0d9e5f3bb655fdab7281e376d5baba55867a8f16bfe53f2c6dfa8e88885b5570,255,0x55d398326f99059ff775485246999027b3197955,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,26146969,150000000000000000000,518847706589006400
bnb,pancakeswap,mmpool,2023-03-03,0x077b09506b8b3cf5fa5737ff1b5f865f5cb846eca7325abe08092b043f9f6fcd,107,0xe9e7cea3dedca5984780bafc599bd69add087d56,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,26150427,53000000000000000000,183167344047219840
bnb,pancakeswap,stableswap,2022-09-30,0xc8e562b51d15bc7dcc461f0d8f674c368cb17d5b338c825fc2021da4e070635d,42,0x0782b6d8c4551b9760e74c0545a9bcd90bdc41e5,0xe9e7cea3dedca5984780bafc599bd69add087d56,21779893,44965918965781546179,45000000000000000000
bnb,pancakeswap,stableswap,2023-02-23,0x926a9463e8b1c94b267f8996c0aa3d25f0650b16d84cdf22c5c8cbd175b35a92,95,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0xe9e7cea3dedca5984780bafc599bd69add087d56,25912796,29525909131914674521,29530017862339865394
bnb,pancakeswap,stableswap,2023-02-23,0x2748ee8746f8ef3188f256312489cf877f819725c7b8526eabd2588437bced33,318,0xe9e7cea3dedca5984780bafc599bd69add087d56,0x55d398326f99059ff775485246999027b3197955,25913854,17000355230403745697,17000000000000000000
bnb,pancakeswap,stableswap,2023-02-23,0xac4971ca3d750e40957720b9ed7d312de71868da236c5775f6cee8dc6a14bf30,226,0x55d398326f99059ff775485246999027b3197955,0xe9e7cea3dedca5984780bafc599bd69add087d56,25913359,1000607237574771304374,1000830000000000000000
bnb,pancakeswap,stableswap,2023-02-23,0xe71f7a8812df06a0b36b88a2746d1d48ad39bb5bcb61c23572aeea04df96cc50,181,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x55d398326f99059ff775485246999027b3197955,25916717,2499859114359168283428,2500000000000000000000
bnb,pancakeswap,3,2023-04-02,0x34e2f3b9224779e88f114b4c4a65f1480e9caa66ff85921f9c3bba825ef51f63,266,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,0x55d398326f99059ff775485246999027b3197955,26999780,3526055978426,100000000000000000
bnb,pancakeswap,3,2023-04-02,0x54ce217448356994969038a892c0e7b5613ae237305a8191a95ff0d034321c52,174,0x55d398326f99059ff775485246999027b3197955,0xe9e7cea3dedca5984780bafc599bd69add087d56,27000141,193397138052959238,193427536941615611
bnb,pancakeswap,3,2023-04-02,0x570f6d65a9f3046b184feb4efea90de552b31e6b06c1a04baf645636a3389ca1,265,0x55d398326f99059ff775485246999027b3197955,0xe9e7cea3dedca5984780bafc599bd69add087d56,27000522,1000000000000000000,1002954374181880957
bnb,pancakeswap,2,2022-10-02,0x621c3436f07ab0c7228b50618195a1d9c19c62268d51f556fe3e9595c21cb2c6,140,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,21836538,4128690371495819498,918229127857603586
bnb,pancakeswap,2,2022-10-06,0x60655c0da9953df69117f9b0d3ff1872a50c97657ace896b365b5781f96d97cf,46,0xe9e7cea3dedca5984780bafc599bd69add087d56,0xaef0d72a118ce24fee3cd1d43d383897d05b4e99,21939022,29176228605313702756,266659423741634885391646
