blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_sold_address,block_number,token_bought_amount_raw,token_sold_amount_raw
bnb,trader_joe,2,2023-03-22,0xac02d1ccbda4a91fd1536f651b8fb4e5f007c2946895b5b79f75172b7d8ffa65,89,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x2170ed0880ac9a755fd29b2688956bd959f933f8,26676215,2272454476297424796,423882050537869102
bnb,trader_joe,2,2023-03-29,0x13ec4185ea44e8bfc20f697d78cdc143857a4b4e5bb4c38912ffa0a6816b8c34,101,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x55d398326f99059ff775485246999027b3197955,26875745,34944382019288267,10942928973334063726
bnb,trader_joe,2,2023-03-30,0x2def8747ff99350ff0aa9fcbfa71a863ad597f430a99ae8a625263f101be0b8a,67,0xf7de7e8a6bd59ed41a4b5fe50278b3b7f31384df,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,26910552,224557540215450976451,277359526164225573
bnb,trader_joe,2,2023-03-30,0xf0fbd4b3c90627a03e4d5711ba46cc8d34a9b98e7a9e66d956df655107a0744e,152,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,26918536,353772425120185,31710601550476911
bnb,trader_joe,2,2023-03-18,0x8a0fb41570066245da48355ec6d29a08d6a7a16078e55992444f0f0e81268d58,310,0x371c7ec6d8039ff7933a2aa28eb827ffe1f52f07,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,26574584,5886196635901318604,4990000000000000
bnb,trader_joe,2.1,2023-07-28,0xb33ad6a6e11af49bab308fdee266792b9f2076ddc0ddda7a67f914a2f16b8556,414,0x55d398326f99059ff775485246999027b3197955,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,30348044,43563238043843190040,181350416754134051
bnb,trader_joe,2.1,2023-07-28,0xd46f2e27a78eba9f1be4c977d455e6149a5378ff00c09ca688ecbc758a074d46,137,0x55d398326f99059ff775485246999027b3197955,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,30353004,79361409251731605399,329880635240551666
bnb,trader_joe,2.1,2023-07-28,0x83a45610d0c433efd31036beae942c56f622a8199e06af63504665aa77db5877,213,0x55d398326f99059ff775485246999027b3197955,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,30353294,84526497534665593250,351350296879789973
bnb,trader_joe,2.1,2023-07-27,0xb82b8d676b6c1ee79634ca1c1cb581061c81c63f028145b67b299ea66d7bb236,115,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x55d398326f99059ff775485246999027b3197955,30338007,16629172449739647,3999399999999973000
bnb,trader_joe,2.1,2023-07-27,0x34e262e0bc312d589c71f35e75bcf77ae849804f46fdb18bec9b32a8b80e48d0,886,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x55d398326f99059ff775485246999027b3197955,30328910,4132442612972903,999849999999993250
