blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_sold_address,block_number,token_bought_amount_raw,token_sold_amount_raw
arbitrum,clipper,1,2022-12-15,0x4e8b282691842b546869ff2ffb6e33e515d609bced31527bc049f92e6e00c831,3,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,46480564,5490002,5490000
arbitrum,clipper,1,2022-12-15,0x3c63866b0a50ef829cf1431b90116fad82e44823228dfa57a6fb43eda552304b,2,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,46491045,10474675,8300000000000000
arbitrum,clipper,1,2023-02-15,0x52f3a5f2a8217e8bba343841bd379c076cfa06c1279d64ee43f891fc4aaedebc,3,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,61120184,114451875118335016960,114560000
arbitrum,clipper,1,2022-12-17,0x283d63748d6390489926c305d148468c5308c75e58ea120fb0329a345b9c9447,22,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,46876666,49639664563906790,58644399
arbitrum,clipper,1,2023-02-15,0x967ac0e5c10a6d27df334f4a33a35c25a3cbf58e7ee48d6a58b97467a16496cc,58,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,61113969,105207279739671770,736108
arbitrum,clipper,coves1,2022-12-06,0xa0a47ca5f454a5c9d001d03de6563fe0e2a48e16c8723d3c0a26088a7f940f41,3,0xe7b0ce0526fbe3969035a145c9e9691d4d9d216c,0xf97f4df75117a78c1a5a0dbb814af92458539fb4,44033696,158964119815058764,10000000000000000
arbitrum,clipper,coves1,2022-12-09,0xc1b08d81333f584ac973dd872bbc77f1d008e772451d7de74a154b57de7f883f,3,0xe7b0ce0526fbe3969035a145c9e9691d4d9d216c,0x75c9bc761d88f70156daf83aa010e84680baf131,44945431,15114099040607641726,1815668906918918325545
arbitrum,clipper,coves1,2023-03-20,0x2931dbddc1a0871c8ab04e51da506c576e799c0bfdc8a4e779a0dae75c5dfcc3,3,0xe7b0ce0526fbe3969035a145c9e9691d4d9d216c,0xf97f4df75117a78c1a5a0dbb814af92458539fb4,71819746,3119357483899408340,553000000000000000
arbitrum,clipper,2,2023-08-18,0x1768f47e4c444d7c0ddd57a3443e7d33fac05e50f3fdd2df90ff2668ceec3b84,5,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,122703916,511516502316425216,3255000
arbitrum,clipper,2,2023-08-18,0x90e3be5cdf42ec6b3a73ec3d05223eab42838ac30ad5cc74289f794af6b577f2,21,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,122618733,846399351080674428,1414806453
arbitrum,clipper,2,2023-08-18,0x6b111ae4d162a9edc797aed817bb7c63c6dc822d1779cb81fa5b059ace8d4d9f,5,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0xaf88d065e77c8cc2239327c5edb3a432268e5831,122622294,109827514020438160,183360000
