blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_bought_amount,token_sold_address,token_sold_amount,block_number
arbitrum,clipper,1,2022-12-15,0x4e8b282691842b546869ff2ffb6e33e515d609bced31527bc049f92e6e00c831,3,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,5.490002,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,5.49,46480564
arbitrum,clipper,1,2022-12-15,0x3c63866b0a50ef829cf1431b90116fad82e44823228dfa57a6fb43eda552304b,2,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,10.474675,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0.0083,46491045
arbitrum,clipper,1,2023-02-15,0x52f3a5f2a8217e8bba343841bd379c076cfa06c1279d64ee43f891fc4aaedebc,3,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,114.4518751,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,114.56,61120184
arbitrum,clipper,1,2022-12-17,0x283d63748d6390489926c305d148468c5308c75e58ea120fb0329a345b9c9447,22,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0.04963966456,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,58.644399,46876666
arbitrum,clipper,1,2023-02-15,0x967ac0e5c10a6d27df334f4a33a35c25a3cbf58e7ee48d6a58b97467a16496cc,58,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0.1052072797,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,0.00736108,61113969
arbitrum,clipper,coves1,2022-12-06,0xa0a47ca5f454a5c9d001d03de6563fe0e2a48e16c8723d3c0a26088a7f940f41,3,0xe7b0ce0526fbe3969035a145c9e9691d4d9d216c,0.1589641198150587,0xf97f4df75117a78c1a5a0dbb814af92458539fb4,0.01,44033696
arbitrum,clipper,coves1,2022-12-09,0xc1b08d81333f584ac973dd872bbc77f1d008e772451d7de74a154b57de7f883f,3,0xe7b0ce0526fbe3969035a145c9e9691d4d9d216c,15.11409904060764,0x75c9bc761d88f70156daf83aa010e84680baf131,1815.6689069189183,44945431
arbitrum,clipper,coves1,2023-03-20,0x2931dbddc1a0871c8ab04e51da506c576e799c0bfdc8a4e779a0dae75c5dfcc3,3,0xe7b0ce0526fbe3969035a145c9e9691d4d9d216c,3.1193574838994085,0xf97f4df75117a78c1a5a0dbb814af92458539fb4,0.553,71819746
arbitrum,clipper,2,2023-08-18,0x1768f47e4c444d7c0ddd57a3443e7d33fac05e50f3fdd2df90ff2668ceec3b84,5,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0.5115165023164252,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,0.03255,122703916
arbitrum,clipper,2,2023-08-18,0x90e3be5cdf42ec6b3a73ec3d05223eab42838ac30ad5cc74289f794af6b577f2,21,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0.8463993510806744,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,1414.806453,122618733
arbitrum,clipper,2,2023-08-18,0x6b111ae4d162a9edc797aed817bb7c63c6dc822d1779cb81fa5b059ace8d4d9f,5,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0.1098275140204381,0xaf88d065e77c8cc2239327c5edb3a432268e5831,183.36,122622294
