blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_sold_address,block_number,token_bought_amount_raw,token_sold_amount_raw
ethereum,kyberswap,elastic_2,2023-01-09,0xa6d744fdbe93ed48ad6d8d3d3b86715e7a5bab9d95a970b56f9a40cbde38fc5a,413,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,18334886,,
ethereum,maverick,1,2023-03-10,0x0da5b35106718de658279fc109cc593cf5d81de829e77a6cea01566f3bf7def6,130,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x5f98805a4e8be255a32880fdec7f6728c6568ba0,16800381,15035242634,14628522982718923616873
ethereum,uniswap,1,2022-08-10,0xc5d051f200779582390fe36838263f346e3f9c13731f6d186f12bd72e1223501,164,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,15314748,114525972456783306496,62801179402571044
ethereum,uniswap,1,2022-08-10,0x6a6aaf4e55c3f7a070b1b2bb955c8a072bd7f3a00db898bb6ad9c35ff1d0bd36,58,0x23b608675a2b2fb1890d3abbd85c5775c51691d5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,15311642,4859377013766739,94147778336622368
ethereum,uniswap,1,2022-08-10,0x73e6503108c7774fad6f297303553153bb074d7a8abea64e67c23025dbd9cdd1,259,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,15311265,1604708387,960515700000000000
ethereum,uniswap,1,2022-08-10,0x085c1de4ae885aced9e145292fe1e7619ad707df91db2a47046e6394f0a2ab14,39,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,15314337,1455030695654164105,2500000000
ethereum,uniswap,1,2022-08-09,0xcb3958bb94b8d1d8ba8960e4c76e90f4f60446311f9ad595f7768077084f41b3,126,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,15310392,205795017804108190,325960741989667275
ethereum,uniswap,1,2022-08-10,0x0995c3e2ae836c9d1c2648c9bbbdc06710294c933faed35a7cf5fe84295324c6,274,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x3d1ba9be9f66b8ee101911bc36d3fb562eac2244,15314265,1300125777072462,3418725999999999999688
ethereum,uniswap,2,2022-08-14,0x906bf116aa38282ea12a0a55fccdd9684d4904c0ddb5bff8c1a6e4e1bf791eb2,17,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x6b175474e89094c44da98b954eedeac495271d0f,15340813,300357175,301348892417343570315
ethereum,uniswap,2,2022-08-14,0x644857941ede03358cbb28793d925e374184d07faa62cba22b1ca974035c06ee,161,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,15341607,149606421160013429331,150000000
ethereum,uniswap,2,2022-08-14,0x51b191c8c620b1dc5867f1c0e1c3b2c4acb20009a7e29a8540c0ed94f678c350,194,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,15341225,1980880202604972474507,9133458563533342720
ethereum,uniswap,2,2022-08-14,0x77bdb8bff66248595b99851084a3a921db653ba2fb2a775ac7f0614cf4bddab5,23,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,15341449,3136665617021563880,683800000000000000000
ethereum,uniswap,2,2022-08-14,0xb00a6f017198bbbcc4d2d390326cec87301e08880e1e1e0d6877b28b906a61d5,33,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b175474e89094c44da98b954eedeac495271d0f,15341858,7969576730770698344,15531445373014181412864
ethereum,uniswap,3,2022-09-28,0x021a4ea590baee1e6bec5ecdb3b03cb67a4efaac67ac764f97ac3b152fe1ad10,8,0xae78736cd615f374d3085123a210448e74fc6393,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,15633347,490796462724159171,510288592522475474
ethereum,uniswap,3,2022-09-28,0x566b4dd208a3af70b3b80e9352e35f263db73ec29ed6e6385f719773b98d19ce,239,0x3845badade8e6dff049820680d1f14bd3903a5d0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,15633340,15678936401126542496,10000000000000000
ethereum,uniswap,3,2022-09-28,0xdcaf9394fddb84afbf971045661d7e96ed2d01a743ea913abceb20cf4c13452e,2,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,15633338,18410192140,13797744360902256640
ethereum,uniswap,3,2022-09-28,0x4bda429e77bdd899139e00628c8fee2e119db6098745cba00e11efeeb1a99bd2,84,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,15633338,10747932591,8060432035508632724
ethereum,uniswap,3,2022-09-28,0x7a98cdef70a5518538457c807d90e69340d709d2a2a87699a869db8be7a66d8f,112,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,15633337,46942648238,35200000000000000000
optimism,uniswap,3,2022-09-30,0xf55b5c5ec3bf016046a173f484fe972e32fdcba467d7f9e736aa24c72ba77f77,7,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,0x7f5c764cbc14f9669b88837ca1490cca17c31607,26398380,100981029315346131206,101000000
optimism,uniswap,3,2022-09-30,0x1eb5e4679743665b626af08e0e1cb571982d851e4d9a26ca84763ab4e97b2413,10,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,0x7f5c764cbc14f9669b88837ca1490cca17c31607,26476077,5383599323890845916,5384615
optimism,uniswap,3,2022-09-30,0x14d51305de3c0224f1474e895d8a75c3f6f31c050a8384fb56352b9ce23dfde5,2,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,26589197,60461960,60456251
ethereum,airswap,swap_erc20_v4,2023-05-23,0xd36c783cd53d3bf612ec74f6f41c1044ca99f45dd16673e9152093df6089e2b5,293,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17320561,9187921328757279000,5000000000000000
