blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_bought_amount,token_sold_address,token_sold_amount,block_number
bnb,thena,1,2023-01-13,0x5e9dbda2365611fd1a32b5b674aa082008194192ce42764e9ba7cb68e81a770f,205,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0.2832796564,0xf307910a4c7bbc79691fd374889b36d8531b08e3,3794.420108,24761577
bnb,thena,1,2023-03-20,0xce4925f4437a57ca2c81eaa2d9ffe98d3f057e7814517f06011c61706038ec57,54,0x3e0a7c7db7bb21bda290a80c9811de6d47781671,106017.0695,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0.2878260858,26623871
bnb,thena,1,2023-01-13,0x9ac1353991d2f9b54d9bbe5bf410f572ca49b2cd55f9b21129d2c34d044869d2,70,0xe9e7cea3dedca5984780bafc599bd69add087d56,248.3024372,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0.85,24761605
bnb,thena,1,2023-01-11,0x9bef538535e92fcceeaa0d0e53671a96f99b7f4caf3e5571bce376b376ba1792,86,0xe9e7cea3dedca5984780bafc599bd69add087d56,0.02782935491,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0.0001,24690734
bnb,thena,1,2023-01-15,0x19c3e71f0813076f8c101040e915ebf57e518b12a34299ba9d901092ce023b47,93,0x2170ed0880ac9a755fd29b2688956bd959f933f8,1.300626579,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,6.656329907,24796600
bnb,thena,fusion,2023-04-25,0xbb4c30455d3d5e8b69d11dfcfa3bf1bcb77822d9f1d34726cba5a6d09e1e9fa2,409,0x55d398326f99059ff775485246999027b3197955,7009.844541,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,7010.638184,27651113
bnb,thena,fusion,2023-04-21,0xc7fc3cd4454421a2f37db49d965be5ab236419988cce54245da9fa38e301a7b7,64,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,4.82962897,0x55d398326f99059ff775485246999027b3197955,1553.83144,27550040
bnb,thena,fusion,2023-04-22,0xbce3f03c353621d410f8bb396b157c644a03153699cf2821f6fd042225a37044,87,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,8.491571503,0x2170ed0880ac9a755fd29b2688956bd959f933f8,1.504299198,27572750
bnb,thena,fusion,2023-04-23,0x436ade4d35952187e4a045cfbe9495839b1bcf8b26448f3b67dbbdd54636c831,293,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,1.27418968,0xad29abb318791d579433d831ed122afeaf29dcfe,971.5572125,27600562
bnb,thena,fusion,2023-04-23,0xc0dda2219f7daa1866b234f324dae21abeebae534e5a63378d3c90b039c5ae71,98,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,7.677802518,0x55d398326f99059ff775485246999027b3197955,2535.952589,27593401
