blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_sold_address,block_number,token_bought_amount_raw,token_sold_amount_raw
celo,mento,1,2023-07-17,0x5da85d08a4baa9c78510bad37fc0cf9ef2045db2aa46e988a0dd82bb8212b2f4,100,0xd8763cba276a3738e6de85b4b3bf5fded6d6ca73,0x471ece3750da237f93b8e339c536989b8978a438,20385940,20956079931951415552,40605169743968545255
celo,mento,1,2023-07-12,0x3e4cdec526c199a166cf6cb20153c1497e8a644a0a41f1e697e895b9165548e8,20,0x471ece3750da237f93b8e339c536989b8978a438,0x765de816845861e75a25fca122bb6898b8b1282a,20299350,800005400000000000000,395595557614150320013
celo,mento,1,2023-07-09,0x2dd4a8ded11dc1c72ecc777ad46dac15c0d43d8a39c9ba3f27ce14e4484ed79e,9,0x765de816845861e75a25fca122bb6898b8b1282a,0x471ece3750da237f93b8e339c536989b8978a438,20250546,96177995722288768314,187829651095638733779
celo,mento,1,2023-07-13,0x2f7be9a913a12c73eb45713140e4d3952153e90d3e81c26fbdd29726e164fee8,26,0x471ece3750da237f93b8e339c536989b8978a438,0x765de816845861e75a25fca122bb6898b8b1282a,20308687,6975571396935834153,3335820861485712550
celo,mento,1,2023-07-22,0xa1e3eb8c0b08d483915ddcb2921593cdf8e1a1eaf8ec2679bc5fe9fcbf179e6a,4,0xe8537a3d056da446677b9e9d6c5db704eaab4787,0x471ece3750da237f93b8e339c536989b8978a438,20479954,607010162624341395675,256000000000000000000
celo,mento,2,2023-06-21,0xb91f34e839f46eb834105bab4b66eabe0bf47dd155fc30160da75a452a32d096,83,0x765de816845861e75a25fca122bb6898b8b1282a,0x471ece3750da237f93b8e339c536989b8978a438,19937011,445296774930418272770,1030000000000000000000
celo,mento,2,2023-06-30,0xfd0f315871c06f18b2c6b0debc2a518d199aafae7b83d25567fd68e6dae811e7,106,0x471ece3750da237f93b8e339c536989b8978a438,0xe8537a3d056da446677b9e9d6c5db704eaab4787,20092889,100387894631302569130,210925548960175912209
celo,mento,2,2023-06-21,0x534776eb975e06ff6d31674d397851105049c5dd35962a8f50b505ad45a9bede,133,0xeb466342c4d449bc9f53a865d5cb90586f405215,0x765de816845861e75a25fca122bb6898b8b1282a,19939175,490058081,490156112340486678943
celo,mento,2,2023-06-10,0x2ca1f551c2d7444069a391bcba4b203d675e68d09db37bbbee90350e55c4c34b,66,0xd8763cba276a3738e6de85b4b3bf5fded6d6ca73,0x471ece3750da237f93b8e339c536989b8978a438,19743355,291957516339512528786,788890000000000000000
celo,mento,2,2023-06-22,0x5e7703f4b32df24f6c5c3539028e09f37bdbd174b00d6da565ecc1c54ba4f39d,58,0x471ece3750da237f93b8e339c536989b8978a438,0xd8763cba276a3738e6de85b4b3bf5fded6d6ca73,19955318,189229918531366783423,76734860636070021568
