blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_sold_address,block_number,token_bought_amount_raw,token_sold_amount_raw
zora,uniswap,2,4/4/2024,0x497c0a8d053f382f68b3c12a6902dfa5bcd138bbb741046303fd9d8e7eaf982e,43,0xa6b280b42cb0b7c4a4f789ec6ccc3a7609a1bc39,0x4200000000000000000000000000000000000006,12774821,101221478092881538458254,20000000000000000
zora,uniswap,2,4/3/2024,0x4a9d757461877ed3cf15aec1ab92364dcd682e08410a4e9c074752f8f8d2232b,3,0x4200000000000000000000000000000000000006,0xa6b280b42cb0b7c4a4f789ec6ccc3a7609a1bc39,12708615,60516243123663176,500000000000000000000000
zora,uniswap,2,4/4/2024,0x4ed7026f0c5e073948762f1afee0bab7cb4256a01935aed76d72fed6177100d5,66,0x4200000000000000000000000000000000000006,0xa6b280b42cb0b7c4a4f789ec6ccc3a7609a1bc39,12774685,40428658985488115,211834051173865731214660
zora,uniswap,2,4/4/2024,0x4c79b0281eaaf9e571a69ffcdf65db730ba4d38cee003f0d1928a6f16a45f95c,111,0x4200000000000000000000000000000000000006,0xa6b280b42cb0b7c4a4f789ec6ccc3a7609a1bc39,12775262,160496041413908439,797175922193557026471430
zora,uniswap,2,4/4/2024,0xbed3b00db09d2c91d00a5d5d48204a9df177688f0cea65f0841bacb542e7f0a6,205,0xa6b280b42cb0b7c4a4f789ec6ccc3a7609a1bc39,0x4200000000000000000000000000000000000006,12748837,707045266704308632107233,108347059433883715
zora,uniswap,2,4/4/2024,0x0dfed46cb90226f341ddab7f8ea11640d5e7065af4beee42273c1888370e2224,86,0xa6b280b42cb0b7c4a4f789ec6ccc3a7609a1bc39,0x4200000000000000000000000000000000000006,12777016,115957102949324427993041,25937424601000000
zora,uniswap,2,4/4/2024,0x4820b19b689dcdd24694e275248a1be3c264c4c855bd6d30f8393c55c127c58c,26,0x4200000000000000000000000000000000000006,0xa6b280b42cb0b7c4a4f789ec6ccc3a7609a1bc39,12760423,11160460324136239,65234286800698810112114
zora,uniswap,2,4/3/2024,0xf7135051694c0f0b04dbde7d5ee17ad329d77453fcaa1436e293356248807667,60,0xa6b280b42cb0b7c4a4f789ec6ccc3a7609a1bc39,0x4200000000000000000000000000000000000006,12731863,38376524591754929262745,6050000000000000
zora,uniswap,2,4/4/2024,0x033373aa01775bd83f181ffedf9b8edd33e6de9937962e6ce66b10d463be8ea1,14,0xa6b280b42cb0b7c4a4f789ec6ccc3a7609a1bc39,0x4200000000000000000000000000000000000006,12765378,60839651589462199589196,10000000000000000
zora,uniswap,2,4/3/2024,0x0641c4800f9abc636f7ff23e66cc046acbb7d8a75fecda5753f374f332acd319,32,0x4200000000000000000000000000000000000006,0xa6b280b42cb0b7c4a4f789ec6ccc3a7609a1bc39,12730311,7321335342980426,52539032174255479834465
zora,uniswap,3,4/29/2024,0x467a4f926a83a344a700bf6ee7ba55502edead621bc10d96704bb98a8dfd6988,4,0x078540eecc8b6d89949c9c7d5e8e91eab64f6696,0x4200000000000000000000000000000000000006,13839917,60021472127889400000,180000000000000
zora,uniswap,3,4/29/2024,0xc5cb45920459367df98b36eec64e719c783b5c29917e64ec383b297256b29b05,8,0x4200000000000000000000000000000000000006,0x078540eecc8b6d89949c9c7d5e8e91eab64f6696,13850169,617006032561497,215049436352389000000
zora,uniswap,3,4/28/2024,0x732fdc9d7c11409db6916b24d7d86f81e207bc90031f926d9e4aea4cb544532e,6,0x078540eecc8b6d89949c9c7d5e8e91eab64f6696,0x4200000000000000000000000000000000000006,13825880,11483120045789900000000,36000000000000000
zora,uniswap,3,4/28/2024,0x25a0d6bf70024477519de27116a660c6ca9ddd0889c2c763bb0b07a9f4906593,14,0x078540eecc8b6d89949c9c7d5e8e91eab64f6696,0x4200000000000000000000000000000000000006,13815936,32020231111065200000,100000000000000
zora,uniswap,3,4/28/2024,0xc2cd1938c7c3f014a60d48a0bfdedff683f5616f46116bc2dc474f90b2c99241,27,0x078540eecc8b6d89949c9c7d5e8e91eab64f6696,0x4200000000000000000000000000000000000006,13803741,1000000000000000000,3151900690539
zora,uniswap,3,4/29/2024,0xc44e9b986c68d7d122a9aaeca90865f5195888b9690ebd67d524aba9430c6a30,16,0x078540eecc8b6d89949c9c7d5e8e91eab64f6696,0x4200000000000000000000000000000000000006,13842915,11000000000000000000,32152438226039
zora,uniswap,3,4/29/2024,0x81c422e72843f08bafe6f318685180f1f65d318318f973aec39aa2d022a8cb10,5,0x4200000000000000000000000000000000000006,0x078540eecc8b6d89949c9c7d5e8e91eab64f6696,13833566,15338098978486900,5000000000000000000000
zora,uniswap,3,4/28/2024,0x412dd18d2bf88f306656e299e4cec15e22ca5599c68cc6ba9ee91c06d4740fac,4,0x078540eecc8b6d89949c9c7d5e8e91eab64f6696,0x4200000000000000000000000000000000000006,13791607,11000000000000000000000,34589634257109700
zora,uniswap,3,4/28/2024,0xa17b8df38e18b9f24929591a2b62b9f1a2ba881524a746148640cf63c9d4e63a,3,0x078540eecc8b6d89949c9c7d5e8e91eab64f6696,0x4200000000000000000000000000000000000006,13792429,42073520363023800000,130000000000000
zora,uniswap,3,4/29/2024,0xaa0ac362a202e07e41682037aede5456a9196b47dd21f86d63e9c6091cd8f638,18,0x078540eecc8b6d89949c9c7d5e8e91eab64f6696,0x4200000000000000000000000000000000000006,13860771,39409083459326000000,100000000000000
