block_slot,tx_id,buyer,seller,outer_instruction_index,inner_instruction_index,account_mint,amount_raw,taker_fee_amount_raw,maker_fee_amount_raw,royalty_fee_amount_raw
2.18563122e+08,4ZsPZWVfsAGQweJJfT49RtubBNpCxNtkJgnLsntCAuDgDzyv6difqpAGNxWpcWGR5LCPtMBZVZfpDFj4VGGDP3G3,GrGPaukYipE2sTBVhGzDbq1zVwxLm2vGN9YVuPCLPwod,55vsHta1bhXzg27uDbjXqY1Z872FgzLQijoUYXJsPPEf,4,0,DV7BpHt6jvb18RyLVcdbHu1CnfQTArLnBZxmHDmawhtN,7.47995e+09,3.545e+07,-3.545e+07,3.545e+08
2.18563123e+08,3g7nytrG3fSfXmwa5PM9msLfYnYxgoVd1K8xaAcALMX1aSXqKMSg7T3T5uk5ThkhWQnJXEjrggFbix9xsbfAKgT7,32wz86qZSGKJ3P3NPy5wTcfRfntVaVrDQSPkQye6oC9b,5XkHPqK1cfGd1j4z4BdJhkechR2fAccZErZU9JoBtSEn,4,0,591Dso8RofwyHqeb91p2hiEWi5PLm1JhRZJ1j8LrQYnj,8.71607e+07,1.1455e+06,-197500,7.0152e+06
2.18563123e+08,3HofTrbnxCN678VwDppXepDP45uTbQXtJ9fRRJu7neUE99mVRyHSi8Cx865EvXyuykkKS6cqY7tYARQpsAciUnX4,32wz86qZSGKJ3P3NPy5wTcfRfntVaVrDQSPkQye6oC9b,5vJzdCEBRL2n9hpisa5qtLqoKzeSyK2zSo4dACdV1UW5,4,0,9UAeuQCrLJJR1VKLFJonjGdYooDTEDHpfj3BBgnJhoo5,8.60574e+07,1.131e+06,-195000,6.9264e+06
2.18563123e+08,5WJoigrUELQN8en9HYVyoJjwxhtETPFtbzZSvae2SS51K62Q4YeL7sDJsgVSpsjTB1p7P5ZwAV6goKnCqXbS3fvH,32wz86qZSGKJ3P3NPy5wTcfRfntVaVrDQSPkQye6oC9b,5vJzdCEBRL2n9hpisa5qtLqoKzeSyK2zSo4dACdV1UW5,4,0,DHoHRwgwqWrEzpNRZUUWzj5u4tNqSfZbXvysAaKeqrRS,8.705037e+07,1.14405e+06,-197250,7.00632e+06
2.18563124e+08,3Cv4Uv1Xeno67TDri4ZH7vpvqUBjwiZg1JWArYutuxuYjQAV7zBhTZ773Z7CroQ8brVjzmbvizzXmzxnwrgymW9g,32wz86qZSGKJ3P3NPy5wTcfRfntVaVrDQSPkQye6oC9b,5vJzdCEBRL2n9hpisa5qtLqoKzeSyK2zSo4dACdV1UW5,4,0,GYdyLZMjeTuCLtoQLdBAXCpFu332rpB86GK2abdZrmFB,8.49541e+07,1.1165e+06,-192500,6.8376e+06
2.18563124e+08,3baivArsHdTm6Ho6zKMXn6BSa9JrnMwfvC2Yas55yCKgbq6oTUVN2Z7TUnhRahJcPD4mLN7HeENxa9WWW5vpEEew,32wz86qZSGKJ3P3NPy5wTcfRfntVaVrDQSPkQye6oC9b,5vJzdCEBRL2n9hpisa5qtLqoKzeSyK2zSo4dACdV1UW5,4,0,5egjxEcRheunHBx4H2bCZ6PsXQyLfZM7YvUaSvfDZK1A,8.60574e+07,1.131e+06,-195000,6.9264e+06
2.18563124e+08,5wbHdJBmaAwf5GtFLieyePVTtEF8BYHmxqpx6PeCX64iuPcvkpoJgc1uxSkaeN1jAK6qWNZS7AWKYQeBRHoBwezT,CjBSUGdCLQp2Uwo1wwKvWm5WhpdvE6vmbYcTU5f4Swrf,GzqS9P93BcTMsqHPKhUsJTJqTAfiGhhdqrzGdBymDH4b,4,0,76RMvCHG5nJ4JPKN4TrnBAr8XsVa1W4E51DThC8LeQMC,7.76385e+09,1.0935e+08,-1.8225e+07,3.645e+08
2.18563124e+08,5sEbUVYFSxePCn9VE1ZQEsff8f1NfUmf84UPsmf3g1VDq5UBbCLFAB4eRbKE8ATCVXVbqScAp5MgS2XjTVfZFVEt,32wz86qZSGKJ3P3NPy5wTcfRfntVaVrDQSPkQye6oC9b,5vJzdCEBRL2n9hpisa5qtLqoKzeSyK2zSo4dACdV1UW5,4,0,HvDkMyfmwvLAooBpuYFu6ZRgX77rgFK6vu5Ea8NwfKu1,8.49541e+07,1.1165e+06,-192500,6.8376e+06
2.18563124e+08,4mSegkeCp8Fd9Y3iA3ovT48Ggct5KYyGiTFWo1QeAyNSWo2RnLbLY9ZQQpkjo1GqiyGF6iuK3Qh1u9vptFncUgmC,8HJxk8Mt9TNNCppCXCqKM84mnBL8M8CAAQfVrXE5PoFx,5a1p7g7dh98rXjiv32gxcvfLMc2WmZuxdmD7JQncLQeM,4,0,E3KDuDzqFvtk6TWi7jjXBrx1fXayDxrBk1nPTv8QLG3m,7.9875e+09,1.125e+08,-1.875e+07,3.75e+08
2.18563124e+08,3DZAbVB7XqpYa8cfMaT6r8phREQEXHG4g3V8C5P86c45opN7AvbscbMXnWP9tsUauDa9yUYMLxVv2w4WrnW843qT,32wz86qZSGKJ3P3NPy5wTcfRfntVaVrDQSPkQye6oC9b,ARNqh15YmyV6xWRo11X6cYNmoh3fRtRc9iiyPdqA3eE4,4,0,5y7CywLHYLitDxJwdB48Yus2DusRxQxNa4qzcvx7Fkbq,8.60574e+07,1.131e+06,-195000,6.9264e+06
