block_slot,tx_id,buyer,seller,outer_instruction_index,inner_instruction_index,account_mint,amount_raw,taker_fee_amount_raw,maker_fee_amount_raw,royalty_fee_amount_raw
218563122,4ZsPZWVfsAGQweJJfT49RtubBNpCxNtkJgnLsntCAuDgDzyv6difqpAGNxWpcWGR5LCPtMBZVZfpDFj4VGGDP3G3,GrGPaukYipE2sTBVhGzDbq1zVwxLm2vGN9YVuPCLPwod,55vsHta1bhXzg27uDbjXqY1Z872FgzLQijoUYXJsPPEf,4,0,DV7BpHt6jvb18RyLVcdbHu1CnfQTArLnBZxmHDmawhtN,7479950000,35450000,-35450000,354500000
218563123,3g7nytrG3fSfXmwa5PM9msLfYnYxgoVd1K8xaAcALMX1aSXqKMSg7T3T5uk5ThkhWQnJXEjrggFbix9xsbfAKgT7,32wz86qZSGKJ3P3NPy5wTcfRfntVaVrDQSPkQye6oC9b,5XkHPqK1cfGd1j4z4BdJhkechR2fAccZErZU9JoBtSEn,4,0,591Dso8RofwyHqeb91p2hiEWi5PLm1JhRZJ1j8LrQYnj,87160700,1145500,-197500,7015200
218563123,3HofTrbnxCN678VwDppXepDP45uTbQXtJ9fRRJu7neUE99mVRyHSi8Cx865EvXyuykkKS6cqY7tYARQpsAciUnX4,32wz86qZSGKJ3P3NPy5wTcfRfntVaVrDQSPkQye6oC9b,5vJzdCEBRL2n9hpisa5qtLqoKzeSyK2zSo4dACdV1UW5,4,0,9UAeuQCrLJJR1VKLFJonjGdYooDTEDHpfj3BBgnJhoo5,86057400,1131000,-195000,6926400
218563123,5WJoigrUELQN8en9HYVyoJjwxhtETPFtbzZSvae2SS51K62Q4YeL7sDJsgVSpsjTB1p7P5ZwAV6goKnCqXbS3fvH,32wz86qZSGKJ3P3NPy5wTcfRfntVaVrDQSPkQye6oC9b,5vJzdCEBRL2n9hpisa5qtLqoKzeSyK2zSo4dACdV1UW5,4,0,DHoHRwgwqWrEzpNRZUUWzj5u4tNqSfZbXvysAaKeqrRS,87050370,1144050,-197250,7006320
218563124,3Cv4Uv1Xeno67TDri4ZH7vpvqUBjwiZg1JWArYutuxuYjQAV7zBhTZ773Z7CroQ8brVjzmbvizzXmzxnwrgymW9g,32wz86qZSGKJ3P3NPy5wTcfRfntVaVrDQSPkQye6oC9b,5vJzdCEBRL2n9hpisa5qtLqoKzeSyK2zSo4dACdV1UW5,4,0,GYdyLZMjeTuCLtoQLdBAXCpFu332rpB86GK2abdZrmFB,84954100,1116500,-192500,6837600
218563124,3baivArsHdTm6Ho6zKMXn6BSa9JrnMwfvC2Yas55yCKgbq6oTUVN2Z7TUnhRahJcPD4mLN7HeENxa9WWW5vpEEew,32wz86qZSGKJ3P3NPy5wTcfRfntVaVrDQSPkQye6oC9b,5vJzdCEBRL2n9hpisa5qtLqoKzeSyK2zSo4dACdV1UW5,4,0,5egjxEcRheunHBx4H2bCZ6PsXQyLfZM7YvUaSvfDZK1A,86057400,1131000,-195000,6926400
218563124,5wbHdJBmaAwf5GtFLieyePVTtEF8BYHmxqpx6PeCX64iuPcvkpoJgc1uxSkaeN1jAK6qWNZS7AWKYQeBRHoBwezT,CjBSUGdCLQp2Uwo1wwKvWm5WhpdvE6vmbYcTU5f4Swrf,GzqS9P93BcTMsqHPKhUsJTJqTAfiGhhdqrzGdBymDH4b,4,0,76RMvCHG5nJ4JPKN4TrnBAr8XsVa1W4E51DThC8LeQMC,7763850000,109350000,-18225000,364500000
218563124,5sEbUVYFSxePCn9VE1ZQEsff8f1NfUmf84UPsmf3g1VDq5UBbCLFAB4eRbKE8ATCVXVbqScAp5MgS2XjTVfZFVEt,32wz86qZSGKJ3P3NPy5wTcfRfntVaVrDQSPkQye6oC9b,5vJzdCEBRL2n9hpisa5qtLqoKzeSyK2zSo4dACdV1UW5,4,0,HvDkMyfmwvLAooBpuYFu6ZRgX77rgFK6vu5Ea8NwfKu1,84954100,1116500,-192500,6837600
218563124,3DZAbVB7XqpYa8cfMaT6r8phREQEXHG4g3V8C5P86c45opN7AvbscbMXnWP9tsUauDa9yUYMLxVv2w4WrnW843qT,32wz86qZSGKJ3P3NPy5wTcfRfntVaVrDQSPkQye6oC9b,ARNqh15YmyV6xWRo11X6cYNmoh3fRtRc9iiyPdqA3eE4,4,0,5y7CywLHYLitDxJwdB48Yus2DusRxQxNa4qzcvx7Fkbq,86057400,1131000,-195000,6926400
218563124,4mSegkeCp8Fd9Y3iA3ovT48Ggct5KYyGiTFWo1QeAyNSWo2RnLbLY9ZQQpkjo1GqiyGF6iuK3Qh1u9vptFncUgmC,8HJxk8Mt9TNNCppCXCqKM84mnBL8M8CAAQfVrXE5PoFx,5a1p7g7dh98rXjiv32gxcvfLMc2WmZuxdmD7JQncLQeM,4,0,E3KDuDzqFvtk6TWi7jjXBrx1fXayDxrBk1nPTv8QLG3m,7987500000,112500000,-18750000,375000000
