block_slot,tx_id,buyer,seller,outer_instruction_index,inner_instruction_index,account_mint,amount_raw,taker_fee_amount_raw,maker_fee_amount_raw,royalty_fee_amount_raw
2.15472662e+08,3tRQaAPrPJ3oFH43fGH1F1wohyymPkrkh2Kmdg6uSZv8Y1bsFzwu11eyQkhpbW5WjwTy2CsudwrKuwe232WyMBop,4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,HeCZbdTTBpNH8G94FxVMDz6wJWzRKWg3Q6gYqPsrRhgt,3,0,7qVtPDQa5sFSELFJ9FWX92z5DB3EPSf1fhpQFao4XyjY,1.9e+08,2.66e+06,-760000,9.5e+06
2.15472668e+08,4EXEEQGZ3kmBiU3aZE95WN9jK1XkmzFcfcKTMfnvmZypYwpC6Pqi5avQ83FmgYUfzbQ7WNs1UaLKbrkbeaUV34qC,4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,HeCZbdTTBpNH8G94FxVMDz6wJWzRKWg3Q6gYqPsrRhgt,3,0,3KtZUamnV5umkJuTDPwv9y8ve2b1HFpGarwnJ3xJSHAt,1.9e+08,2.66e+06,-760000,9.5e+06
2.15472672e+08,1qx5n8tQrvxLRZeZqGYqoWrK5vJyQUKqXFxLdgV3d3GLbqMUqeDQEGkZye6dGJ3eByfrjjzu8wfn5CwAGrvwAd4,4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,HeCZbdTTBpNH8G94FxVMDz6wJWzRKWg3Q6gYqPsrRhgt,3,0,AZYp21eYbqaCN2dNk1q42ZyPLzXwCUufNsDPB3YEYsED,1.9e+08,2.66e+06,-760000,9.5e+06
2.15472678e+08,56kiWaLUT9hADkNvNqekQS4k5TwvgGRgGPC4ZVvnS1BGmxmhLrVepLQ6HtpwNDzKG5QabaLoCTsyX21dfdC1p8bf,4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,HeCZbdTTBpNH8G94FxVMDz6wJWzRKWg3Q6gYqPsrRhgt,3,0,HvenhWEbKzVR1ibiZmP7BZrdPrDjwVyj3B54U9wNp3NQ,1.9e+08,2.66e+06,-760000,9.5e+06
2.15472959e+08,V4M4Lhzi5mXfZRLqwHPsBUhWjZWn62XFLwNXhvosDwycHDfpTNNP3UiVqDxXs5CeHcsxkHv32hpeVcrrwXBYDPW,4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,G5UF5MY9UnK14Q4VtvKaZpHMyfLrrjiNU7YpssZTx8zo,3,0,A7c5gT6X3qiXUpxYbVZ8ZwNi87RL2hTaRanc2EER56QW,5.60000001e+08,7.84e+06,-2.240000004e+06,3.36e+07
2.15472964e+08,5BsiGnSJYq4cbR342Gv7wA1StMDj7UHCa2N2avp96XqdLWdbeKnYGAkSeLKiuxcEEBsQstBYFLo5xSaBeB4Bkad2,4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,G5UF5MY9UnK14Q4VtvKaZpHMyfLrrjiNU7YpssZTx8zo,3,0,9HRKxLYP4kna7ghMP6EAPwizSCmcWQTmQj4Lo16QrJK,5.60000001e+08,7.84e+06,-2.240000004e+06,3.36e+07
2.15473152e+08,ZGbsb8pZKY6tgcE3hQiEVRRQMbmpZfrAqDBT22Kk7TrBFowmxLnYvh5oBypYPMvNybyp6QB4EyRdarA5T2f9CHX,FzQYfytjijjig1Pgi2RSjJNiBPWj7GVZiMaQHdcYPAuC,4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,3,0,52EeUyxq8StYU71fqdMmfzKbhk7g2VTtTS4RHJgYw32X,1.21e+09,1.694e+07,-4.84e+06,6.05e+07
2.15473183e+08,3h9bkYtRTHqeNkB4tR7VYSmLjsuV9hDT4bfMky1SGQTJSwBanDy1ogci5UqyfZ1rfy9Ctoz6gmoBrQzSQMPT5BYQ,GpNLftwbAPy93qgLCAerBZsgNJbV96P1VEKuSHwujYsM,4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,3,0,3wWudmCbM6oSveTztYbF2N9HroyvtbJWFqNWDXmvwNe4,2.138e+10,2.9932e+08,-8.552e+07,1.069e+09
2.15473315e+08,3zgK1Qdy5EJxnd1YDFDoF8F3hogcuoMMjQtKRHH4uDjznFaiKVwqF1eo6qLA2FQM6iR3v923dei6XpZYW8tXBPBM,54XRKQEgXEPJdiWZcfY5swiXeaaQMs2fGErn8WGRJUSk,4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,3,0,3arPw8asL8LManbQkg2udV3CpracFg2Ej13kYGQJCh5W,5e+07,700000,-200000,2.25e+06
2.15473391e+08,4NcWtC5GZtt2eQuZiiFVXA8LkCtzeyEhKd46ntK6rDSZsGoYL84ENrcH7FLTcihZbRiASPqY6ujxETZEke2cqawQ,FMq74AzQX4mfz79QjEn776q8tPS9nQpaedx8XtivxDoc,4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,3,0,HrDjmzLmgXn78rVFnYyT5wTLK38MVr7MrvSL3vbYjf6e,1.701e+10,2.3814e+08,-6.804e+07,8.505e+08
