blockchain,project,project_version,block_time,block_date,block_month,block_number,tx_hash,project_contract_address,buyer,seller,nft_contract_address,nft_token_id,nft_amount,trade_type,trade_category,currency_contract,price_raw,platform_fee_amount_raw,pool_fee_amount_raw,royalty_fee_amount_raw,platform_fee_address,royalty_fee_address,sub_tx_trade_id,tx_from,tx_to,tx_data_marker
arbitrum,sudoswap,v2,2024-02-27 12:31:06.000 UTC,2024-02-27,2024-02-01,184999363,0x701140371312cb30d4f550b627d0f3835e37d0a90fe55ba1beccd8312176f1ee,0x76a8680492a3f3f91928d6120dba54f8ed9fe65b,0xd5dbb9e213545a4d8248d671bfcf6e5fa6e72faf,0x76a8680492a3f3f91928d6120dba54f8ed9fe65b,0xdede749344fe3a716034130e3b6ae66cdfaad75f,148,1,multiple,buy,0x0000000000000000000000000000000000000000,294585775220445600,1472928876102228,0,0,0xa020d57ab0448ef74115c112d18a9c231cc86000,,1,0xd5dbb9e213545a4d8248d671bfcf6e5fa6e72faf,0x76a8680492a3f3f91928d6120dba54f8ed9fe65b,0x0000000000000000000000000000000000000000000000000000000000000094
arbitrum,sudoswap,v2,2024-03-03 17:54:25.000 UTC,2024-03-03,2024-03-01,186756235,0x5346d20861a83267c6dcd64343bd606b91d824299196412c28e878ff2b53e12a,0x76a8680492a3f3f91928d6120dba54f8ed9fe65b,0x78e9665392ee4f28b79eff896a210a8f961dfb2f,0x76a8680492a3f3f91928d6120dba54f8ed9fe65b,0xdede749344fe3a716034130e3b6ae66cdfaad75f,43,1,multiple,buy,0x0000000000000000000000000000000000000000,210916945188357600,1054584725941788,0,0,0xa020d57ab0448ef74115c112d18a9c231cc86000,,1,0x78e9665392ee4f28b79eff896a210a8f961dfb2f,0x76a8680492a3f3f91928d6120dba54f8ed9fe65b,0x000000000000000000000000000000000000000000000000000000000000002b
arbitrum,sudoswap,v2,2024-03-03 18:23:07.000 UTC,2024-03-03,2024-03-01,186762650,0x03591d3b2aaf465cbf2f7574e2c363ec36deff2231f972aae6e88014bca6a158,0x76a8680492a3f3f91928d6120dba54f8ed9fe65b,0x054d447bf836da6ccdd434d2b0c3c192a8b24b8c,0x76a8680492a3f3f91928d6120dba54f8ed9fe65b,0xdede749344fe3a716034130e3b6ae66cdfaad75f,98,1,multiple,buy,0x0000000000000000000000000000000000000000,212183685084128200,1060918425420641,0,0,0xa020d57ab0448ef74115c112d18a9c231cc86000,,1,0x054d447bf836da6ccdd434d2b0c3c192a8b24b8c,0x76a8680492a3f3f91928d6120dba54f8ed9fe65b,0x0000000000000000000000000000000000000000000000000000000000000062
arbitrum,sudoswap,v2,2024-01-24 01:06:45.000 UTC,2024-01-24,2024-01-01,173532280,0x91f364203d681e77fbd9c2a38e3b85ca2232ec3db1ee5aaf9d20783c77bf6b48,0x1f9852df8e5fe085018659ea783342e02d5144ae,0xb35f5e09ae15dfb320d99f1cb599ba1510285727,0x1f9852df8e5fe085018659ea783342e02d5144ae,0xebba467ecb6b21239178033189ceae27ca12eadf,1,1,multiple,buy,0x0000000000000000000000000000000000000000,995024875622000,4975124378110,24875621890548,0,0xa020d57ab0448ef74115c112d18a9c231cc86000,,1,0xb35f5e09ae15dfb320d99f1cb599ba1510285727,0x1f9852df8e5fe085018659ea783342e02d5144ae,0x0000000000000000000000000000000000000000000000000000000000000001
arbitrum,sudoswap,v2,2024-03-02 13:28:55.000 UTC,2024-03-02,2024-03-01,186359844,0x10c60caed5d31c6e2baf9b793551904d8d92428d32529827ce537ed4f08c4ce9,0x76a8680492a3f3f91928d6120dba54f8ed9fe65b,0x2d7214874dc5ef5b0b3a0d423a309417d2343761,0x76a8680492a3f3f91928d6120dba54f8ed9fe65b,0xdede749344fe3a716034130e3b6ae66cdfaad75f,72,1,multiple,buy,0x0000000000000000000000000000000000000000,171171974473931200,855859872369656,0,0,0xa020d57ab0448ef74115c112d18a9c231cc86000,,1,0x2d7214874dc5ef5b0b3a0d423a309417d2343761,0x76a8680492a3f3f91928d6120dba54f8ed9fe65b,0x0000000000000000000000000000000000000000000000000000000000000048
arbitrum,sudoswap,v2,2024-03-03 18:26:46.000 UTC,2024-03-03,2024-03-01,186763425,0x4af675cdeadd61ae4cd809075b94a8f00bcbd4315f542310510a35fd45e99332,0x76a8680492a3f3f91928d6120dba54f8ed9fe65b,0x9e3d5edb35aa28cc0e52a5a0af93f32d4d8e446e,0x76a8680492a3f3f91928d6120dba54f8ed9fe65b,0xdede749344fe3a716034130e3b6ae66cdfaad75f,81,1,multiple,buy,0x0000000000000000000000000000000000000000,216047446132813800,1080237230664069,0,0,0xa020d57ab0448ef74115c112d18a9c231cc86000,,1,0x9e3d5edb35aa28cc0e52a5a0af93f32d4d8e446e,0x76a8680492a3f3f91928d6120dba54f8ed9fe65b,0x0000000000000000000000000000000000000000000000000000000000000051
arbitrum,sudoswap,v2,2024-02-29 03:01:42.000 UTC,2024-02-29,2024-02-01,185540895,0x68ecd816e97f7fa756d751a6751685f97fe6f42fcd0e6c9f3b7afd520b0c8f52,0x76a8680492a3f3f91928d6120dba54f8ed9fe65b,0x98131077f93758b4febec7a19123a5bf1354681f,0x76a8680492a3f3f91928d6120dba54f8ed9fe65b,0xdede749344fe3a716034130e3b6ae66cdfaad75f,175,1,multiple,buy,0x0000000000000000000000000000000000000000,218169578108757400,1090847890543787,0,0,0xa020d57ab0448ef74115c112d18a9c231cc86000,,1,0x98131077f93758b4febec7a19123a5bf1354681f,0x76a8680492a3f3f91928d6120dba54f8ed9fe65b,0x00000000000000000000000000000000000000000000000000000000000000af
arbitrum,sudoswap,v2,2024-02-28 20:23:31.000 UTC,2024-02-28,2024-02-01,185448279,0x325931add03407ebb186d3dd09dcef3384c279eff52bf8fce7519a2b7efbd0fc,0x76a8680492a3f3f91928d6120dba54f8ed9fe65b,0x4863a7828cc2d0f89fde10dc5b65ef4502c7cd85,0x76a8680492a3f3f91928d6120dba54f8ed9fe65b,0xdede749344fe3a716034130e3b6ae66cdfaad75f,166,1,multiple,buy,0x0000000000000000000000000000000000000000,204282468802161800,1021412344010809,0,0,0xa020d57ab0448ef74115c112d18a9c231cc86000,,1,0x4863a7828cc2d0f89fde10dc5b65ef4502c7cd85,0x76a8680492a3f3f91928d6120dba54f8ed9fe65b,0x00000000000000000000000000000000000000000000000000000000000000a6
arbitrum,sudoswap,v2,2024-03-02 09:47:57.000 UTC,2024-03-02,2024-03-01,186308033,0xbdd06a06dafe7a4f26012ab86f05a22a1480fb76c156632b57b05aa17a38e0bf,0x76a8680492a3f3f91928d6120dba54f8ed9fe65b,0xd5dbb9e213545a4d8248d671bfcf6e5fa6e72faf,0x76a8680492a3f3f91928d6120dba54f8ed9fe65b,0xdede749344fe3a716034130e3b6ae66cdfaad75f,206,1,multiple,buy,0x0000000000000000000000000000000000000000,165738703196055000,828693515980275,0,0,0xa020d57ab0448ef74115c112d18a9c231cc86000,,1,0xd5dbb9e213545a4d8248d671bfcf6e5fa6e72faf,0x76a8680492a3f3f91928d6120dba54f8ed9fe65b,0x00000000000000000000000000000000000000000000000000000000000000ce
arbitrum,sudoswap,v2,2024-03-03 12:48:30.000 UTC,2024-03-03,2024-03-01,186683971,0x27e8cee6fd31260f028b864cebe182e8510b079a080ef4fd1160d77f5f24f703,0x76a8680492a3f3f91928d6120dba54f8ed9fe65b,0x6599f83c1b154e2ec8229fb12c9057e236705db2,0x76a8680492a3f3f91928d6120dba54f8ed9fe65b,0xdede749344fe3a716034130e3b6ae66cdfaad75f,246,1,multiple,buy,0x0000000000000000000000000000000000000000,192690567387199580,963452836935998,0,0,0xa020d57ab0448ef74115c112d18a9c231cc86000,,1,0x6599f83c1b154e2ec8229fb12c9057e236705db2,0x76a8680492a3f3f91928d6120dba54f8ed9fe65b,0x00000000000000000000000000000000000000000000000000000000000000f6
