blockchain,project,project_version,block_time,block_date,block_month,block_number,tx_hash,project_contract_address,buyer,seller,nft_contract_address,nft_token_id,nft_amount,trade_type,trade_category,currency_contract,price_raw,platform_fee_amount_raw,pool_fee_amount_raw,royalty_fee_amount_raw,platform_fee_address,royalty_fee_address,sub_tx_trade_id,nft_type,spot_price_raw,tx_from,tx_to,tx_data_marker
base,sudoswap,v2,2024-03-06 14:04:31.000 UTC,2024-03-06,2024-03-01,11472262,0x0a50b7a3c402df597b3243b2e925635fe22954adbdae293b8bc4d7ce22c46207,0x8aa80f0475f1aaebc0cb8199d7f7b2b72bbecfed,0x0090720fed7fed66ed658118b7b3bb0189d3a495,0x8aa80f0475f1aaebc0cb8199d7f7b2b72bbecfed,0xaa4d3bc0fc9b7e2e6253ed83efb5dce9a21ae1c9,72,1,multiple,buy,0x0000000000000000000000000000000000000000,76284360189573536,379146919431280,75829383886256,0,0x8ce608ce2b5004397faef1556bfe33bdfbe4696d,,1,ERC721,75829383886256000,0x0090720fed7fed66ed658118b7b3bb0189d3a495,0x8aa80f0475f1aaebc0cb8199d7f7b2b72bbecfed,0x0000000000000000000000000000000000000000000000000000000000000048
base,sudoswap,v2,2024-03-05 08:16:09.000 UTC,2024-03-05,2024-03-01,11418611,0x2d5a6fff15cdac5b316a0eacc8894d9e5d2d7f970fac8ff49937aec8addeb642,0x6f3714d92e5ac5fb6c9611ea5e860920075b1a77,0x6bb324f91bdebebe922b83f8dd65f69a99b1e68e,0x6f3714d92e5ac5fb6c9611ea5e860920075b1a77,0x8ce608ce2b5004397faef1556bfe33bdfbe4696d,7,1,multiple,buy,0x0000000000000000000000000000000000000000,29303339844534570,145787760420570,0,0,0x8ce608ce2b5004397faef1556bfe33bdfbe4696d,,1,ERC721,29157552084114000,0x6bb324f91bdebebe922b83f8dd65f69a99b1e68e,0x6f3714d92e5ac5fb6c9611ea5e860920075b1a77,0x0000000000000000000000000000000000000000000000000000000000000007
base,sudoswap,v2,2024-02-24 22:42:13.000 UTC,2024-02-24,2024-02-01,11012593,0x25f66f81b91516f59f7e8b74c6b0ee495b8e8998e6da819c1a9da57317aba187,0x6f3714d92e5ac5fb6c9611ea5e860920075b1a77,0x6f3714d92e5ac5fb6c9611ea5e860920075b1a77,0x7ccfa6081b53b2778a7fe531533f1f2127807686,0x8ce608ce2b5004397faef1556bfe33bdfbe4696d,1139,1,multiple,sell,0x0000000000000000000000000000000000000000,29303339844534570,145787760420570,0,0,0x8ce608ce2b5004397faef1556bfe33bdfbe4696d,,1,ERC721,29157552084114000,0x7ccfa6081b53b2778a7fe531533f1f2127807686,0xa07ebd56b361fe79af706a2bf6d8097091225548,0x0000000000000000000000000000000000000000000000000053edc7bf8de7eb
base,sudoswap,v2,2024-03-04 08:27:13.000 UTC,2024-03-04,2024-03-01,11375743,0x4813fdae4494c0395d1edce80ab0e26de479ccddcaa054533b31569a25c6e9ee,0x6f3714d92e5ac5fb6c9611ea5e860920075b1a77,0x6f3714d92e5ac5fb6c9611ea5e860920075b1a77,0xaa163c47065c22d17ed1c47e3e244337d2056c17,0x8ce608ce2b5004397faef1556bfe33bdfbe4696d,3041,1,multiple,sell,0x0000000000000000000000000000000000000000,29303339844534570,145787760420570,0,0,0x8ce608ce2b5004397faef1556bfe33bdfbe4696d,,1,ERC721,29157552084114000,0xaa163c47065c22d17ed1c47e3e244337d2056c17,0xa07ebd56b361fe79af706a2bf6d8097091225548,0x0000000000000000000000000000000000000000000000000064c05c22eae927
base,sudoswap,v2,2024-02-02 15:39:57.000 UTC,2024-02-02,2024-02-01,10049525,0x5daeb7abb8121d6128eff8e285c085ff7be849718517311c574f33ac2b2226a6,0xa0ebff1bd65a296c93abeecfe70ead05194159ec,0x6271add46dcbb4b4ef5b32f18704bdd716bd9be9,0xa0ebff1bd65a296c93abeecfe70ead05194159ec,0x0426ee5b20e72bfbb0e5c81751b169b89626b834,79,1,multiple,buy,0x4ed4e862860bed51a9570b96d89af5e1b0efefed,38451792073032028000287,179012067379106283804,2470366529831666716483,0,0x8ce608ce2b5004397faef1556bfe33bdfbe4696d,,1,ERC721,35802413475821255000000,0x6271add46dcbb4b4ef5b32f18704bdd716bd9be9,0xa07ebd56b361fe79af706a2bf6d8097091225548,0x0000000000000000000000000000000000000000000000000000000000000000
base,sudoswap,v2,2024-02-15 19:01:33.000 UTC,2024-02-15,2024-02-01,10617173,0x7f67d18fe59e2b89a2f28f5f38c42219df292cbdae3aabd3cd9f9c987dab8531,0x8aa80f0475f1aaebc0cb8199d7f7b2b72bbecfed,0x0090720fed7fed66ed658118b7b3bb0189d3a495,0x8aa80f0475f1aaebc0cb8199d7f7b2b72bbecfed,0xaa4d3bc0fc9b7e2e6253ed83efb5dce9a21ae1c9,61,1,multiple,buy,0x0000000000000000000000000000000000000000,76284360189573536,379146919431280,75829383886256,0,0x8ce608ce2b5004397faef1556bfe33bdfbe4696d,,1,ERC721,75829383886256000,0x0090720fed7fed66ed658118b7b3bb0189d3a495,0x8aa80f0475f1aaebc0cb8199d7f7b2b72bbecfed,0x000000000000000000000000000000000000000000000000000000000000003d
base,sudoswap,v2,2024-02-26 16:50:41.000 UTC,2024-02-26,2024-02-01,11088447,0xd3d1e2a6bb25b3b6d3728567efc60be26e39b3b4b852b49edbb55dc8da371437,0x6f3714d92e5ac5fb6c9611ea5e860920075b1a77,0x00350949717bb9ab5e6fdcf7207dd7b7a43f6a59,0x6f3714d92e5ac5fb6c9611ea5e860920075b1a77,0x8ce608ce2b5004397faef1556bfe33bdfbe4696d,3309,1,multiple,buy,0x0000000000000000000000000000000000000000,12558574219086273,62480468751673,0,0,0x8ce608ce2b5004397faef1556bfe33bdfbe4696d,,1,ERC721,12496093750334600,0x00350949717bb9ab5e6fdcf7207dd7b7a43f6a59,0x6f3714d92e5ac5fb6c9611ea5e860920075b1a77,0x0000000000000000000000000000000000000000000000000000000000000ced
base,sudoswap,v2,2024-02-24 20:43:15.000 UTC,2024-02-24,2024-02-01,11009024,0x01d4738c149d00011ce01eccaea7a3a8fb7e67767ab465069de2de0043f87df9,0x6f3714d92e5ac5fb6c9611ea5e860920075b1a77,0x6f3714d92e5ac5fb6c9611ea5e860920075b1a77,0x0ecc99fe22bca0ad680515969835b306ee17b338,0x8ce608ce2b5004397faef1556bfe33bdfbe4696d,585,1,multiple,sell,0x0000000000000000000000000000000000000000,29303339844534570,145787760420570,0,0,0x8ce608ce2b5004397faef1556bfe33bdfbe4696d,,1,ERC721,29157552084114000,0x0ecc99fe22bca0ad680515969835b306ee17b338,0xa07ebd56b361fe79af706a2bf6d8097091225548,0x0000000000000000000000000000000000000000000000000061eabe5f7ae3e7
base,sudoswap,v2,2024-03-04 05:58:35.000 UTC,2024-03-04,2024-03-01,11371284,0x1d2d53106f042738cc706165a0c32b7b45a8285a5c15edbb5863cac3b48e42a8,0x6f3714d92e5ac5fb6c9611ea5e860920075b1a77,0x140ce4fc34487ac55838316373eeb87dd10b65c7,0x6f3714d92e5ac5fb6c9611ea5e860920075b1a77,0x8ce608ce2b5004397faef1556bfe33bdfbe4696d,3094,1,multiple,buy,0x0000000000000000000000000000000000000000,25117148438172546,124960937503346,0,0,0x8ce608ce2b5004397faef1556bfe33bdfbe4696d,,1,ERC721,24992187500669200,0x140ce4fc34487ac55838316373eeb87dd10b65c7,0x6f3714d92e5ac5fb6c9611ea5e860920075b1a77,0x0000000000000000000000000000000000000000000000000000000000000c16
base,sudoswap,v2,2024-03-04 12:24:21.000 UTC,2024-03-04,2024-03-01,11382857,0x1df7030b230fa8d417a2507b8f4afbbf190e1e3a5a35627b6e758281e740af20,0x7e5d8757812555062a36a6c3dd16e7736d66aec0,0x6fbbb7af20bd0f9b272720f9797858ff6274e016,0x7e5d8757812555062a36a6c3dd16e7736d66aec0,0x628cb4601cb45fb4dacde367041fc49a74da8020,873,1,multiple,buy,0x0000000000000000000000000000000000000000,10126120481699473,48496745602009,378274615695664,0,0x8ce608ce2b5004397faef1556bfe33bdfbe4696d,,1,ERC721,9699349120401800,0x6fbbb7af20bd0f9b272720f9797858ff6274e016,0x1aed60a97192157fda7fb26267a439d523d09c5e,0x0000000000000000000000000000000000000000000000001d4da48b274ce220
