blockchain,project,project_version,block_time,block_number,tx_hash,project_contract_address,buyer,seller,nft_contract_address,nft_token_id,nft_amount,trade_type,trade_category,currency_contract,price_raw,platform_fee_amount_raw,pool_fee_amount_raw,royalty_fee_amount_raw,platform_fee_address,royalty_fee_address,sub_tx_trade_id
ethereum,sudoswap,v2,2024-03-04 12:39:23.000 UTC,19361853,0x095bdb873648af315111798f4d6b96b7570d19e305ad32e88787cc102fd80446,0x452159cb99e411a0abd433fd64d9fa7a73a703f7,0x452159cb99e411a0abd433fd64d9fa7a73a703f7,0x38553c698df311ba1f0a715f0d1495d8636b805c,0xef1a89cbfabe59397ffda11fc5df293e9bc5db90,6014,1,multiple,sell,0x0000000000000000000000000000000000000000,56886070953854400,284430354769272,0,3905513201336867,0xa020d57ab0448ef74115c112d18a9c231cc86000,,1
ethereum,sudoswap,v2,2024-03-01 01:46:59.000 UTC,19337136,0x8ad2dde46a4268ce3182535e91bd5ccadd2fd27c040bc2a89d4cf3709ee8074e,0x307516911dbc5a45e086b660bcf82bb397278faa,0x307516911dbc5a45e086b660bcf82bb397278faa,0x76443a749b43f356a53f502afff64a9e2f4a175b,0x6c410cf0b8c113dc6a7641b431390b11d5515082,13827,1,multiple,sell,0x0000000000000000000000000000000000000000,317088586956521800,1585442934782609,9512657608695653,0,0xa020d57ab0448ef74115c112d18a9c231cc86000,,1
ethereum,sudoswap,v2,2024-03-01 15:48:35.000 UTC,19341320,0xea43bc3f4552002eb205158ecbc4d45bbfafcab49f8780eb967a71d5ec00c626,0x45ee83690961b22bd02f3a466b7baaba06e5efeb,0x45ee83690961b22bd02f3a466b7baaba06e5efeb,0x917660a684d89f4713d2e22054fec8ea2e29c11a,0x521f9c7505005cfa19a8e5786a9c3c9c9f5e6f42,8352,1,multiple,sell,0x0000000000000000000000000000000000000000,610176444646926200,3050882223234631,0,30356278121184578,0xa020d57ab0448ef74115c112d18a9c231cc86000,,2
ethereum,sudoswap,v2,2024-03-04 01:29:11.000 UTC,19358522,0x529cc18813178465743d2cd71ac9d43afb21efa312e41a64988f312f811c43f9,0xd08641734c78365efd711b26a4efd1e1dc28a3b0,0xd08641734c78365efd711b26a4efd1e1dc28a3b0,0xce04209db71c67374863b8d77393ed04f61fd1f3,0x82235445a7f634279e33702cc004b0fdb002fda7,1896,1,multiple,sell,0x0000000000000000000000000000000000000000,109177246272269470,545886231361347,2183544925445389,0,0xa020d57ab0448ef74115c112d18a9c231cc86000,,2
ethereum,sudoswap,v2,2024-03-01 00:52:11.000 UTC,19336863,0xa7785ef609a512258f62686ce0bc1b3679a2d3032882f85d53b4bd5634e32304,0x12b2944193fb6b9921951f8c0e1e9d1369883700,0xf53e4ac1292d1ec4706cb9f342b04a5402f7c329,0x12b2944193fb6b9921951f8c0e1e9d1369883700,0x1c67d8f07d7ef2d637e61ed3fbc3fa9aaf7a6267,314,1,multiple,buy,0x0000000000000000000000000000000000000000,165204305653653500,826021528268267,8260215282682674,8260215282682674,0xa020d57ab0448ef74115c112d18a9c231cc86000,,1
ethereum,sudoswap,v2,2024-03-05 11:20:11.000 UTC,19368625,0x4499adc9fcadd07989d377de78cd238f064c2100777f6b5e8569c9ea78a9254e,0x0edd2ff31a4ad8e21accf3e73d2beb3fee332691,0xa9283f9e3b4f549acceef63bbff76f958e1f57c7,0x0edd2ff31a4ad8e21accf3e73d2beb3fee332691,0x11450058d796b02eb53e65374be59cff65d3fe7f,2475,1,multiple,buy,0x0000000000000000000000000000000000000000,259471953239436800,1297359766197184,15568317194366197,0,0xa020d57ab0448ef74115c112d18a9c231cc86000,,1
ethereum,sudoswap,v2,2024-03-04 03:18:23.000 UTC,19359062,0xbb9c34a0585cb766504d5f13b344f459dde948d1ce9d977c7d6c5c2c078d80c7,0xcdb8f114d2fb28a4b85bb1ab6e09444006ef5385,0x77e7fb4f6948c3eea49a7ad121896e13ecbdbd5e,0xcdb8f114d2fb28a4b85bb1ab6e09444006ef5385,0xd3d9ddd0cf0a5f0bfb8f7fceae075df687eaebab,4604,1,multiple,buy,0x0000000000000000000000000000000000000000,1232249060079611100,6161245300398056,24644981201592222,0,0xa020d57ab0448ef74115c112d18a9c231cc86000,,1
ethereum,sudoswap,v2,2024-02-29 20:44:35.000 UTC,19335632,0x8d317dc432e39f8fb07373f08992947ad3c76c26961183d3f0d81b94907e062d,0x958ab8695f33cc5beccbcb90b5a6c11b5f705e39,0x958ab8695f33cc5beccbcb90b5a6c11b5f705e39,0xe2840826c43c25e88a5ef43ff790d7105889dd6e,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,1244,1,multiple,sell,0x0000000000000000000000000000000000000000,2439042769759226400,12195213848796133,60976069243980664,0,0xa020d57ab0448ef74115c112d18a9c231cc86000,,1
ethereum,sudoswap,v2,2024-03-04 10:07:11.000 UTC,19361097,0x4fc1cc1bfffae1d81358e1bb0e033a36f434557d270e3ef73001ba0bb1369570,0xcdb8f114d2fb28a4b85bb1ab6e09444006ef5385,0xcdb8f114d2fb28a4b85bb1ab6e09444006ef5385,0x1277f5266dead289eb6ab3f97a866f5854feb33d,0xd3d9ddd0cf0a5f0bfb8f7fceae075df687eaebab,757,1,multiple,sell,0x0000000000000000000000000000000000000000,1377331420373027300,6886657101865137,27546628407460548,0,0xa020d57ab0448ef74115c112d18a9c231cc86000,,1
ethereum,sudoswap,v2,2024-03-01 16:55:11.000 UTC,19341652,0x09d4454cb09126d92f73b9237570b72880fc29771fae9375b3ce244914787642,0x12b2944193fb6b9921951f8c0e1e9d1369883700,0x12b2944193fb6b9921951f8c0e1e9d1369883700,0xe2840826c43c25e88a5ef43ff790d7105889dd6e,0x1c67d8f07d7ef2d637e61ed3fbc3fa9aaf7a6267,5779,1,multiple,sell,0x0000000000000000000000000000000000000000,143905123424900800,719525617124504,7195256171245032,6799517081826555,0xa020d57ab0448ef74115c112d18a9c231cc86000,,1
