block_number,tx_hash,sub_tx_trade_id,buyer,seller,nft_contract_address,nft_token_id,price_raw,platform_fee_amount_raw,royalty_fee_amount_raw,description
13098889,0xe89a963db15d9909f84a7e288dd493ceae1ffec83c0162dd2860136688a2d8e1,212,0xe91cbc483a8fda6bc377ad8b8c717f386a93d349,0xfe0174255e410defaaf58b06e009e0ebcd74db59,0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,6650,1000000000000000000,30000000000000000,100000000000000000,AuctionSold
12137010,0x0b5c2aa5ec69d1cf1943ccc6946ee9f8667351f8c2971ae56eb4d71aab0cb65d,291,0x3612b2e93b49f6c797066ca8c38b7f522b32c7cb,0xc2f82a1f287b5b5aebff7c19e83e0a16cf3bd041,0x41a322b28d0ff354040e2cbc676f0320d8c8850d,4145,10000000000000000000,300000000000000000,1000000000000000000,Sold
12009746,0x6a19fb059525bf63d2e2055111e1365bf70ac159c5255a0f6c0e2a1683180bb8,59,0x6c3675c755c06b236cb10b5acfa0445fd8aad455,0x13e49cd3f314188032bed445a2f3de55f3669110,0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,16458,6000000000000000000,180000000000000000,600000000000000000,AuctionAcceptBid
12089800,0x80daa83caf8c346e28ee70d6e3fdbde94d97ec39faf3fabf01d9884375829d33,119,0x57561dd1bb1887d9734a854f82d0d6cd8c988ff6,0x10017ca37b1257ac0771e24652aa28c758e378eb,0x41a322b28d0ff354040e2cbc676f0320d8c8850d,1499,1000000000000000000,30000000000000000,100000000000000000,AcceptBid
16133576,0x27b75c085767826c71a8a781d0d4aca889446c56d928a5341c00883384dc8117,20,0xa54e54567c001f3d9f1259665d4e93de8a151a5e,0x62d3c2a80d3cce916b9b645cbcda14d35418275c,0xd89f09294917a9bab6ab4817828aa6446c589b6c,243,3600000000000000000,108000000000000000,360000000000000000,AcceptOffer
15762755,0x520e7e8df1ed667c4c76927cb67f178360e7a8c316f4073172fe249e7cd07849,65,0xe98bd4b49a1eafa8c2ecbf562073a12fae464b65,0xe83417bedfe6e20c8a20f44aef7e111e5a98f703,0xad1602c2d110b75cbaefb035b1fc4664057a6677,13,1000000000000000000,30000000000000000,100000000000000000,BazaarAuctionSettled
15291628,0x607a24f5b1e1f5b8a2ff7beac4dc25d8613ed17a9ecc7015b1db25fcde13cb10,250,0x24b2430c148ac022ea35548cf2034783801bfc2b,0x1072fc40557c44a193da9e6ab008c3b33bdcda43,0xbc0867d688bb604e4da8841066f3e72e5f17df3c,74,75000000000000000,2250000000000000,7500000000000000,BazaarSold
12872652,0x5fda6837f39dda24e60cffabac546dc1a4aef619033a48606fe08bf2305f3bd3,215,0x694e64d4ad77e0c234b7b1c55ac40302ad86ce3f,0x510417bb3d49a420bdc125905a9f26d1732a6ed1,0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,18425,444000000000000000,13320000000000000,44400000000000000,AuctionHouseUnknown
12291806,0xc5a9a51ad337edb8244a240182e28d6439b4fc7a749fab69b755cc9bfd811921,248,0xe7a137df1c7d865372b74861ab03d265b511968b,0x240ad467a71210629d71d4de22ebde27951c83fc,0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,5721,1750000000000000000,52500000000000000,175000000000000000,MarketPlaceUnknown
13094382,0xa6ed2ff3570e0ec2fdfff3bd9e45c67503b1d141e5bd9370070e7fbc3687b29c,84,0xe91cbc483a8fda6bc377ad8b8c717f386a93d349,0xcd815dd7ebfd7eb46fc2858f040296b654cd6b81,0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,4810,512000000000000000,92160000000000000,0,AuctionSold
12069933,0x3700865dd8fd5ac9c5451a06a4e1a3491eeae95511e0ce067659d0c101384df2,162,0xabf107de3e01c7c257e64e0a18d60a733aad395d,0xd7e1bc51cd3f30e21b17bab33d77078e3fb7cc26,0x41a322b28d0ff354040e2cbc676f0320d8c8850d,1739,500000000000000000,90000000000000000,0,Sold
11896257,0xdfa8d166c8f03d10b4fb8aa500431e02d80e47afe10938efd94b58f1c410df54,108,0xa645e89a04fa63bc4f3fae82f74b0c7f5d5aa512,0x116d807f8c1f94d3094357e63cbf2eefefe0e417,0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,19676,1000000000000000000,180000000000000000,0,AuctionAcceptBid
10916742,0x94c431c3bfd53fb48867d3d66b4545fda6101fc50c8432632e1a654335759604,283,0xce6b977e4c8c201fcd4fe20f01fa60c3c5f73baa,0x75d41cdb138c4125f89bef198fd3d865c5e42808,0x41a322b28d0ff354040e2cbc676f0320d8c8850d,4407,250000000000000000,45000000000000000,0,AcceptBid
16869895,0x861fdfe80bd4750a5b470899c86f108f46817fc3e95e326a0dc119cd25cb77c4,178,0x7a1d99c12c22fd8b64e62b1fbfc4677140f0cf8f,0x8af05e3ec3f8f6804d32534d788a079896297a0f,0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,43773,1465000000000000000,263700000000000000,0,AcceptOffer
15683028,0x315a13d3a1dd59426278ae4dcde5ca8b7968a4dec55c0d8474d12ab58d98354b,74,0x682758d9e9d43d8c345448f68c6449a5cfe49aca,0xabfe9ee8d3831c5812c878d9fc187fd8a710958c,0x9647e2695032cee536caa4a2feb95a996c280636,41,500000000000000000,90000000000000000,0,BazaarAuctionSettled
16908387,0x19dbd78417fd3c367357ba86214cc496742f7cff44af2b2be1d6abe25b082948,218,0xa490a0346808dda91aea6698cb19e4697d9fc5cc,0x6215e708a7b61f5ed49642f692f28ba09b807725,0xe4dd6488457b42c044fe4e32d8e5ff474f443c39,91,100000000000000000,18000000000000000,0,BazaarSold
16800197,0xc7f66db51b47f79387e9bd920c92990232edd037fe36818e2fbff29f2e56ab86,169,0x5f9d41289ad44d17e6c51f889276999112e4fffc,0xfcb1446008820afe90348048b633bc52173f18a1,0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,29986,2000000000000000000,360000000000000000,0,MarketPlaceUnknown
12286890,0xa0ab21d9c8d4420b0d0aaeeb1c03386f35e69480b34ce363aab384ec282d8bfe,310,0xe1d29d0a39962a9a8d2a297ebe82e166f8b8ec18,0xd6ee002752c995a118e42611baf52aba7cc1fef1,0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,23319,5500000000000000000,990000000000000000,0,AuctionHouseUnknown
