mintReferrer,mint_date,total_mints,successful_mints,failed_mints,total_reward
0x0000000000000000000000000000000000000000,2023-12-12,48,48,0,0.005328
0x98d62dd170d9b8979bddb98ae6bb6f7640a82ad3,2023-12-12,2101,2098,3,0.233211
0x0000000000000000000000000000000000000000,2023-12-11,114,114,0,0.012654
0x98d62dd170d9b8979bddb98ae6bb6f7640a82ad3,2023-12-11,1175,1170,5,0.130425
0x0000000000000000000000000000000000000000,2023-12-10,388,388,0,0.043068
0x98d62dd170d9b8979bddb98ae6bb6f7640a82ad3,2023-12-10,674,666,8,0.074814
0x0000000000000000000000000000000000000000,2023-12-09,68,68,0,0.007548
0x98d62dd170d9b8979bddb98ae6bb6f7640a82ad3,2023-12-09,940,936,4,0.10434
0x24749aedf18208ab74a8110e07e820286bb5acf8,2023-12-08,2,2,0,0.000222
0x98d62dd170d9b8979bddb98ae6bb6f7640a82ad3,2023-12-08,918,916,2,0.101898
0x0000000000000000000000000000000000000000,2023-12-08,26,24,2,0.002886
0x98d62dd170d9b8979bddb98ae6bb6f7640a82ad3,2023-12-07,80,80,0,0.00888
0x0000000000000000000000000000000000000000,2023-12-07,48,48,0,0.005328
0x98d62dd170d9b8979bddb98ae6bb6f7640a82ad3,2023-12-06,76,76,0,0.008436
0x0000000000000000000000000000000000000000,2023-12-06,72,72,0,0.007992
