mintReferrer,mint_date,total_mints,successful_mints,failed_mints,total_reward
0x0000000000000000000000000000000000000000,2023-12-12,2,2,0,0.000222
0x0000000000000000000000000000000000000000,2023-12-10,18,18,0,0.001998
0x0000000000000000000000000000000000000000,2023-12-08,10,10,0,0.00111
0x0000000000000000000000000000000000000000,2023-12-07,4,4,0,0.000444
0x0000000000000000000000000000000000000000,2023-12-06,6,6,0,0.000666
0x0000000000000000000000000000000000000000,2023-12-05,2,2,0,0.000222
0x0000000000000000000000000000000000000000,2023-12-04,8,8,0,0.000888
0x0000000000000000000000000000000000000000,2023-12-03,50,50,0,0.00555
0x0000000000000000000000000000000000000000,2023-12-02,2,2,0,0.000222
0x0000000000000000000000000000000000000000,2023-12-01,4,4,0,0.000444
0x0000000000000000000000000000000000000000,2023-11-30,18,18,0,0.001998
