blockchain,address,first_funded_by,block_number,tx_hash
gnosis,0x000000000000c1a8cc407293a22bff068d4584d2,0xbe51d38547992293c89cc589105784ab60b004a9,25390104,0x80f6ddbb341615b5ed83a2d1a3e51deb202edfffa24dd6a787c245db68bb6ed5
gnosis,0x000000a52a03835517e9d193b3c27626e1bc96b1,0x115909bdcbab21954beb4ab65fc2abee9866fa93,21134610,0x75e2c7811c9c87def2fc113d5b01bf51e100fc449bda4cbdcec66d3b1215bd07
goerli,0x1a32f88ca270e1092dac040ce6cf629fbc60d1b8,0xe73f10e30ba43e55dcb9844e9a91fc1c42ad0fea,6398877,0x92b47d7ef3dad447885d066e83851e7b3cbd0a9eef44c22d0d8dff3f5611631b
goerli,0x1a332b3cf20466189c221a04f92e47c21a17ba19,0x5cf0e1f993131e12c5fdd3dfc8ba52b30fcdcc14,4449324,0xd64697d0f8b3455a40385b6d71170ee5fd65f7f7e833c3d2782eccaec10d809e
arbitrum,0x000000000000657e20cfb47a05199d442ca0ef52,0x80c67432656d59144ceff962e8faf8926599bcf8,25003745,0xc570943ac4242fcdb86fbabbfaa4c4d1afb35d8c8616b181f64f77c69c985e34
arbitrum,0x000000000161ae794c98f550576edad76b04e58b,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,22019950,0x9601b5174855d617aecec38444f63eae7a2e68c2559ffd6ccf4fe79babbbaf1d
avalanche_c,0x5e092052585784a212dd47374da89932105a63da,0x50460c4cd74094cd591f455cad457e99c4ab8be0,23403704,0x968ed32ea3a01ba760f18f4778fc2069fed2ea448bda127c4c6d5a155ef9d68d
avalanche_c,0x5e187139fb2dd96a50e44043218ee9de033e3801,0x4e75e27e5aa74f0c7a9d4897dc10ef651f3a3995,22425133,0xb263530b8f9327fe4f9396d9c7ed34e7bf1a60e58d37f4322be703a4258e25a7
ethereum,0xab860d637d957a16aa059245d4d02e51489e8957,0xeec606a66edb6f497662ea31b5eb1610da87ab5f,7745110,0x649544f9a89545b75e0f2b9b10bad93895db36b49645a5553f8a96accfe763af
ethereum,0xab88f1f77b4fa6c52fb3374f61efaa2bf3cd60a5,0xce2c124832dc85d981378e6cfb515e8cbf7a9735,10583144,0x29c8db054c5611b92df962923381d4876810a25119f337fa848a25e3be188edc
polygon,0x7d34a7239e86d97a17c4cff236345258a9002f30,0x133b8b4b0c72cda6f2e553ecf28ae44fc2539ff1,26739493,0x540b9c12d4b55c73fe1d149146bde2065e42442eea81f9990697ffd422c14efb
polygon,0x7d4441fa6f2217049d135b1a9ff5069929e80384,0xc34053b4d81160f2268bc21b517226ff87764cd6,21517806,0xd19b3a51201aa4f67fdeb6e62262087755482657e5ff643ee99113cc2a9bab25
bnb,0x0000000000000000000000000000000000000012,0x669046c9a775dcd527d1b8323872c0f1cb7775d2,22013143,0x284b949cb5bf9743482f78728b8e9d187c32b3a8f0160cbfe8c9355c209cf5b5
bnb,0x00008447b7fabb83ca2deafaeb831d91b81ddafc,0x72fe31aae72fea4e1f9048a8a3ca580eeba3cd58,22338257,0xd6306a027d6012e15e34e93eebc0d667a40bc108d45923078da07cec661147ba
optimism,0x00000000c222f1336b0167f60543996ddeeec492,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,10964243,0xbe1f4ae76012edb1a761322641913633b25d55d47e2ced40393830e0ce101308
optimism,0x00079203b281fc469bbb4caba7681e6dc04c7aeb,0x89acdac9421925ae4f90238f2ebd53f5eff73b3d,51132922,0xf76a664359f324d3b511b6abe6846f53fae8238fc6a53516c521381340e8ba59
fantom,0xf4cc855ce33b9ffad5dd85799190811157a0271b,0xe2922b289bd364c8b0fe25fc5bc35d3a857d24f2,50416778,0x4f8a4c24c6541ff3d31e52a761009d2d98a4126e370f17609d6602b61d678b8c
fantom,0xf4cd008d798a3b757c12ade2a16311ba5bf8a7c5,0xeabbf24d080722c86c6441faceefa4070a25af67,16865837,0x90502ef842d078af330e082b5ab257a1fbe3b5117fcd7373a15f6cf0a2b55c62
celo,0x273BFe950BDc3d16e88ba755DAD845CC77Dbf9B6,0x4F93Fa058b03953C851eFaA2e4FC5C34afDFAb84,19059311,0x1d3e9cfcc476f0f146e10e1de0f4e30a560373f2d03f2e6ebb436ad49f685b53
celo,0x7df13800cf9352513e0f64dbce2947bbd416fd8a,0xdd3826a3a3e0fff1fa3424f5fc5d4523e3256cef,21411795,0xe500f615634d56bfb24515c4d94d1388c3ae19f6a51afb3b7c4f50d3b182c65c
zksync,0x67eecbd0d594a760aa569d20c3f33592c8865d1d,0x621425a1ef6abe91058e9712575dcc4258f8d091,2219807,0x13685fb1135194c37377359ab28856f1c430c120237316189d6c8c14a283bffc
zksync,0x9d9d6e47bd5eb4f166444bb9220b2638228d06d5,0x621425a1ef6abe91058e9712575dcc4258f8d091,2269832,0xafc90f065a5ea2fa81222c1631a97f8776bdd847c0954d3e1bfa1fa5a787d8a9
zora,0x3fab184622dc19b6109349b94811493bf2a45362,0xad031eee55f595df6dbd61e9ef3b908fad1b3671,10626,0x33f1a09bb2011aea90e56a66975d7ed3f3e20880f7f2395474f4e197cedb9e6d
zora,0xf2989961bf987bdd6c86cd6b845b6faca194a8e4,0xc4da93843ca009814325aa5437412c85612d3f1f,41445,0x6eef8829fbf19a266ee42f4bf1908ea0fa570a8b5a8521830b71104164b87bba
