block_time,amount_usd,type,token_bought_amount,token_bought_symbol,token_bought_address,token_sold_amount,token_sold_symbol,token_sold_address,fee_usd,fee_token_amount,fee_token_symbol,fee_token_address,project,version,token_pair,project_contract_address,user,tx_id,tx_index,outer_instruction_index,inner_instruction_index,is_last_trade_in_transaction
2023-12-22 14:22:52.000 UTC,28.095000000000002,Buy,4.552381321287395E9,JOJO,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,0.3,SOL,So11111111111111111111111111111111111111112,,2.6266382867842E7,,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,raydium,4,SOL-JOJO,671koaPd8nHBL7eWuRhezbyHo23UN4e3ySa77fyt3po4,6Sx77Ld9dSPGo6zgSWj1BKn8mGnDh9HG6USVGEkxcjpF,2T4RpX3mS3P3jH1d7PSu77JntEEt5QWewUbRsiHag6JtaTgxRuB8XBLyVCKtqQ7m25gCyoj2RJFvDAYnBUP2ULGj,32,6,0,true
2023-12-22 14:22:51.000 UTC,0.9365000000000001,Buy,1.56505021369396E8,JOJO,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,0.01,SOL,So11111111111111111111111111111111111111112,,894964.758409,,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,raydium,4,SOL-JOJO,671koaPd8nHBL7eWuRhezbyHo23UN4e3ySa77fyt3po4,9rGwMo4San5uyUtQcx6WCNBPFi4yLJARADTDVADtq6EY,FS3HWBet6zGk7ocFN8FWEr6ejvfJcRo3B2VRXaJeN1qSx4hcj3n9HgH1QDH8RM9Zs7gwacYaA6Tv4ktgg97PEr6,135,6,0,true
2023-12-22 14:22:45.000 UTC,4.6825,Buy,7.65152840819981E8,JOJO,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,0.05,SOL,So11111111111111111111111111111111111111112,,4461176.336499,,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,raydium,4,SOL-JOJO,671koaPd8nHBL7eWuRhezbyHo23UN4e3ySa77fyt3po4,ALyGgpGcLVmqRooo5eJqCPSURzzZMjWK3wJJF8TggrWE,Vsaw6BBq7pokb2p7zEtbMb2JfJcP8BK6jXrXD3MStjMwhvkA8JF3GXCLuJa9eW7foECgshM4zLGhiKKpytu7bWa,1640,6,0,true
2023-12-22 14:22:38.000 UTC,0.9365000000000001,Buy,1.35893180407902E8,JOJO,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,0.01,SOL,So11111111111111111111111111111111111111112,,894964.758409,,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,raydium,4,SOL-JOJO,671koaPd8nHBL7eWuRhezbyHo23UN4e3ySa77fyt3po4,9rGwMo4San5uyUtQcx6WCNBPFi4yLJARADTDVADtq6EY,5V9fuJpSu2bfqKVD7z8SBCX1fGPQA56q57iNJukBsBB8NG9Xou5UBMATA7cxon3XfcLaqyBw73HNF7q83TNtWjyW,188,6,0,true
2023-12-22 14:22:29.000 UTC,46.825,Buy,4.508171722665991E9,JOJO,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,0.5,SOL,So11111111111111111111111111111111111111112,,8.4842589532355E7,,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,raydium,4,SOL-JOJO,671koaPd8nHBL7eWuRhezbyHo23UN4e3ySa77fyt3po4,CeQEPUPKwdA3Gw3bPckXXmXahvsobUsHsAkUpmYsnH9r,2cPVzSoRZYpxC6qc45SsGPxCSFyWcWmy7A4g91rzogFnEzMyhdKWWSs33v2UuT1ZppHkpverACT2kmxnwziPVwDK,514,6,0,true
2023-12-22 14:22:17.000 UTC,93.65,Buy,1.2486449713869059E10,JOJO,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,1.0,SOL,So11111111111111111111111111111111111111112,,7.8907701760038E7,,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,raydium,4,SOL-JOJO,671koaPd8nHBL7eWuRhezbyHo23UN4e3ySa77fyt3po4,FM8Fgt3G4vzNw51gsbgV5YVSPHf5xSJ49qvLJNYbAWXH,ELaAV5ffRTK34KvnBoXGz4uoAs9ECWfFwqxMSo6FkxxEB9BGzPEAiZcMh9UXGpkzVaS41LiELNRWtRjuAisV4rY,621,6,0,true
2023-12-22 14:22:15.000 UTC,1.8730000000000002,Buy,2.10599909384035E8,JOJO,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,0.02,SOL,So11111111111111111111111111111111111111112,,1603566.124126,,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,raydium,4,SOL-JOJO,671koaPd8nHBL7eWuRhezbyHo23UN4e3ySa77fyt3po4,4eGrvwgocGD5K29sFuLE6TCDcixFbaxyjEJCRYH89PHQ,3virWxVwpi1EbRp9iKBs7mubzeYvdktajzuy8eyy6yycyMrGM4ZcT8q1kYoVpLcBL1LJP1RqkzRQNQ4iDgxrao1w,1783,6,0,true
2023-12-22 14:21:13.000 UTC,4.6825,Buy,9.5477332452689E8,JOJO,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,0.05,SOL,So11111111111111111111111111111111111111112,,9444539.725354,,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,raydium,4,SOL-JOJO,671koaPd8nHBL7eWuRhezbyHo23UN4e3ySa77fyt3po4,ACbp5tepg3qunCxovAxBKwrNXAa9yumPesPgSoiyKMTj,CmVeV6UvAGU7oBoZGCrQy1VPy455f969dmUfV1sQ4AF3q1h8DFofNBNVvCXsbFM7ecdm4NdLRYDzkTRHu3YnBwp,582,6,0,true
2023-12-22 14:20:47.000 UTC,4.6825,Buy,9.51935254596954E8,JOJO,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,0.05,SOL,So11111111111111111111111111111111111111112,,9051561.632541,,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,raydium,4,SOL-JOJO,671koaPd8nHBL7eWuRhezbyHo23UN4e3ySa77fyt3po4,ACbp5tepg3qunCxovAxBKwrNXAa9yumPesPgSoiyKMTj,TdzJSjqSkJKQwmqGDSdUoK6skXCYtd4wcyhxjCzuB7aT28AWYg88CaPwcvpuRFo2rr2kaGCfQhkHoBDyWN2gtZP,349,6,0,true
2023-12-22 14:20:32.000 UTC,46.825,Buy,9.741414652404629E9,JOJO,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,0.5,SOL,So11111111111111111111111111111111111111112,,9.7414146524046E7,,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,raydium,4,SOL-JOJO,671koaPd8nHBL7eWuRhezbyHo23UN4e3ySa77fyt3po4,HtPiAaLUUh4mhMTQaiML8jYQHfR3qKxKyRdvx7JF1qAY,3iT5ntNcLPU6zDPFNWQLrHicMXnhtW2Rc5kHTAcun8g6BKWCFirgYAWKxfwobiNqVXf1GZwGsVVLnq3wQmQpHjkQ,183,6,0,true
2023-12-22 14:20:24.000 UTC,18.73,Buy,4.280540661860901E9,JOJO,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,0.2,SOL,So11111111111111111111111111111111111111112,,2.3914581796255E7,,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,raydium,4,SOL-JOJO,671koaPd8nHBL7eWuRhezbyHo23UN4e3ySa77fyt3po4,AfNUhD3z8e9Hqb6zX5R9yH1bZHt4ZVnBPtpiqhAHhxKD,4KvLuQR7JDvB3HBQqtweKyd8NhppP8s3fR7cxXmuxqNxeXQ9D9EjEKfiDBvVkv3dMwJev4zPJU482vZjAhWpjEqo,102,6,0,true
2023-12-22 14:20:21.000 UTC,9.365,Buy,2.218472254730197E9,JOJO,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,0.1,SOL,So11111111111111111111111111111111111111112,,1.2063515583129E7,,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,raydium,4,SOL-JOJO,671koaPd8nHBL7eWuRhezbyHo23UN4e3ySa77fyt3po4,2uGUZLi7wM7xiPAe8gXBAsnrZ5Qa8gjVthSt9ye3ex9n,3czY2Bv7RbfGvtMH6HhounSEdWcB5GnBkhgJTcbHLYdxjVAdocv4b6XiWzdqrpyutyYKhMZampj2XKyeq61u5myB,95,6,0,true
2023-12-22 14:20:00.000 UTC,4.6825,Buy,7.58120650821303E8,JOJO,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,0.05,SOL,So11111111111111111111111111111111111111112,,6058669.416269,,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,raydium,4,SOL-JOJO,671koaPd8nHBL7eWuRhezbyHo23UN4e3ySa77fyt3po4,FhYZQYz8dLAkWPP9kbMoZ4tSduZhj7ME2Txqa55GT5NJ,5SsnkJnqGZFw1k9ANFqeSb8CUWCwkqzMwPXEiYWAoN2adcdCJrMiMddANvZeCZCnn3EYHzxSEZmgDTXQPTzqS5sN,40,6,0,true
2023-12-22 14:19:45.000 UTC,14.069999999999999,Buy,2.317162021120332E9,JOJO,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,0.15,SOL,So11111111111111111111111111111111111111112,,2.2345640664031E7,,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,raydium,4,SOL-JOJO,671koaPd8nHBL7eWuRhezbyHo23UN4e3ySa77fyt3po4,6DX8dLHZSh1ruZp8nDU1CiDyK7ZeDf76Fb8SdTV3HkmH,igX2ytJZk1TzEPyia1t2FA9ggytiQpWSjt8fBoVo2YdEv5S6L5itSPviu4okepoiqAJd9vxsjj2pdJ8i6CzXLLj,161,6,0,true
2023-12-22 14:19:30.000 UTC,187.6,Buy,2.9676635255908535E10,JOJO,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,2.0,SOL,So11111111111111111111111111111111111111112,,2.96766352559085E8,,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,raydium,4,SOL-JOJO,671koaPd8nHBL7eWuRhezbyHo23UN4e3ySa77fyt3po4,DwxEzuy9h5Pk2cSSWUKvyVBLPFDm74Dtop68hAEKjBbU,522oX5iwCU1ReHT8fsxJqXjobrroSbMkVYEdt8p4dYWDGU6gLkXZ8WNvz8yUMkXuZDkw6F2RYniqMahA6VFX8avc,66,6,0,true
2023-12-22 14:19:25.000 UTC,18.76,Buy,3.69722249586376E9,JOJO,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,0.2,SOL,So11111111111111111111111111111111111111112,,2.8063381844461E7,,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,raydium,4,SOL-JOJO,671koaPd8nHBL7eWuRhezbyHo23UN4e3ySa77fyt3po4,6Q93T74R4wfxZxGN2qeDR9eMRPJ2iV7d7puY4GUYbuLv,4b9e1mm73vZ6j7DCVDq7U35gzW57Z84ukY4mgZGupmykpn9bLrmQJN6mp3VvV7Wpd5h7PkuxS7WB4HNtWCsUbhXM,184,6,0,true
2023-12-22 14:19:18.000 UTC,9.38,Buy,1.751696687021272E9,JOJO,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,0.1,SOL,So11111111111111111111111111111111111111112,,1.5752620501817E7,,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,raydium,4,SOL-JOJO,671koaPd8nHBL7eWuRhezbyHo23UN4e3ySa77fyt3po4,Dw9NhK8yK9hZdo1zz9nY6jzdpthNzyijCRPhVJzyiFvh,4ESuVNXyyc6MKHmSvmcWNA1549tF7fDGk6oS7MPY3SBksvw4jaxfRrDQFJoXp18ELp68GMd5zG5bETGPX5bKdU1u,155,6,0,true
2023-12-22 14:18:36.000 UTC,28.139999999999997,Buy,8.362950837077717E9,JOJO,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,0.3,SOL,So11111111111111111111111111111111111111112,,8.3629508370777E7,,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,raydium,4,SOL-JOJO,671koaPd8nHBL7eWuRhezbyHo23UN4e3ySa77fyt3po4,4WsU5LpRAUnMAxCANhn5djDfmERdSiRpk3MgV9HXk7B8,2GHpv8rLccAXpTViM6QKnBxXFK9kXpkN41oeNnkTUjPiHURq78CZd8CthQoXWfA8GV9ZDazxVQqCw5ZG6pKuEqeR,35,6,0,true
2023-12-22 14:18:29.000 UTC,0.938,Buy,2.90760484905301E8,JOJO,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,0.01,SOL,So11111111111111111111111111111111111111112,,2907604.849053,,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,raydium,4,SOL-JOJO,671koaPd8nHBL7eWuRhezbyHo23UN4e3ySa77fyt3po4,H7QbtHb81cqW9J9EfbYK7NZjgYSS4Y9b8aRw4BQdGCwW,3doyntNZ8PA1QnM5vr1ETuBCL3eTgcnHvu5X2S9PmhAQgf8VxUqJNmbwLxKECaddBwkbnJbCrWtDoyUXFxbk8ZpP,172,6,0,true
2023-12-22 14:18:09.000 UTC,65.66,Buy,2.164379326132797E10,JOJO,B1XWM9h9wt2x2BLkb8eU4fEDYMxPXKCC3Kt2GpV1rMyt,0.7,SOL,So11111111111111111111111111111111111111112,0.19128446400000002,0.00203928,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-JOJO,671koaPd8nHBL7eWuRhezbyHo23UN4e3ySa77fyt3po4,9jLSjyaE2qhkm7xWTwQmUDLwe2EcSbs25e3NtBhNyTKa,5xvnXVdzssRdsADxn5Atb9tt919fmjeVa5DmR3emCP76cCnQzWMkihnCt4SVtBKDeaYmvgGzeZh3n1C9cUSBWH4L,189,6,0,true
