blockchain,dao_creator_tool,dao,dao_wallet_address,created_date
ethereum,syndicate,0x38501c6792efbef962a16ce5b50e9b37d9bbdc52,0xf3b3b724e16803cca99d8a07e32e84e63036e207,2022-01-25
ethereum,syndicate,0x61bc6fe0e5d6681fd2d2d97500581001f70d833e,0xd0e50f5455e3f7a0bdbcad115b5318a18ac22dfe,2022-10-28
ethereum,zodiac,0x0658f4ed17289144717713adffc2539ef7c2ef8e,0x0658f4ed17289144717713adffc2539ef7c2ef8e,2022-03-29
ethereum,zodiac,0x148d8d279883bf977300e578a2e2e0f1d9054a82,0x148d8d279883bf977300e578a2e2e0f1d9054a82,2022-09-19
ethereum,dao-haus,0x4dee5bb2e919c5c123b74e7919f6c1984a6bc349,0x4dee5bb2e919c5c123b74e7919f6c1984a6bc349,2021-10-11
ethereum,dao-haus,0x519f9662798c2e07fbd5b30c1445602320c5cf5b,0x519f9662798c2e07fbd5b30c1445602320c5cf5b,2021-08-24
ethereum,aragon,0x5c5c93757ba3648b50204629cd68292d8fac17d9,0x973f73e452dc335a6931c76c8e2541f92cc0db82,2020-05-09
ethereum,aragon,0xe38880886853a690548512fba215801db7f5b871,0x96fa07b7451a0ded857d01ed3b5a9b1c7bfdfe7d,2021-12-16
gnosis,aragon,0x767b0f7ded781a29c1600bbe327d7cf3046cfd60,0x03ff01e7afb804ac6487ae83105f45b9d7c69d5c,2021-06-04
gnosis,aragon,0x919c45abdd2025d115b09392dc151b77586aa3f1,0x8aecf97e73726f41dba7044d98765e17520014ca,2021-10-21
gnosis,colony,0x6dcb75205c92a6376af1b6bc606c2b4df9c3ccc2,0x6dcb75205c92a6376af1b6bc606c2b4df9c3ccc2,2021-05-29
gnosis,colony,0x01c660c8899179ecfa6dffba94543c615b20caf9,0x01c660c8899179ecfa6dffba94543c615b20caf9,2022-03-28
gnosis,dao-haus,0x29f67fb6807bedba8f1481dc1b7fa73e2524093d,0x29f67fb6807bedba8f1481dc1b7fa73e2524093d,2021-07-28
gnosis,dao-haus,0xa6e5acaf6dcda0a0b12ad0c0258713c8e0cfb709,0x548b85f5b97f08a16d7c6209a1720da4a5438278,2022-07-24
polygon,aragon,0x6a7b9eebd99076cb464c0bd8222017e90450e849,0x041aa7173d045ee7b2f965919b7668e3bed40e9f,2021-11-20
polygon,aragon,0x7f6bf0847f2f250327775236a07574c2cf6c0d1d,0xc4b81a1ff5e5894fceab5befc379f81a07e286ea,2021-12-28
polygon,syndicate,0x20725a27161f9511b7a0c5c6057dd34e64151ce4,0x8d4e2db4ce2300ec63124fac726832690e437e73,2022-07-09
polygon,syndicate,0x1a75cdbaeabd13fb0fa5eeb6b28f58fc726a0db9,0xb7c1db7cc2f39dc276dc6e2665e872a70712f5f2,2022-07-22
ethereum,aragon,0x96d33de643815aedb78057a0742f266bdad35220,0x96d33de643815aedb78057a0742f266bdad35220,2023-02-28
ethereum,aragon,0x9c25a6b1bf3f6fd2f68a62169c043045c2460482,0x9c25a6b1bf3f6fd2f68a62169c043045c2460482,2023-03-01
polygon,aragon,0x6d4fb6ff01a172774f42789fcfcdd84e68c28494,0x6d4fb6ff01a172774f42789fcfcdd84e68c28494,2023-03-27
polygon,aragon,0x19e246564b3264fed309d3d004f807d5887e5521,0x19e246564b3264fed309d3d004f807d5887e5521,2023-03-30
base,aragon,0x64ee23c65bfbfec35d337ae93fcf22137c2e9c13,0x64ee23c65bfbfec35d337ae93fcf22137c2e9c13,2023-08-04
base,aragon,0x8b551195168b700cbcef094db0198d8f8d920985,0x8b551195168b700cbcef094db0198d8f8d920985,2023-08-05
arbitrum,aragon,0xf3aaa3372ebbf01b923a4cc98cd847126b3d73ca,0xf3aaa3372ebbf01b923a4cc98cd847126b3d73ca,2023-10-30
arbitrum,aragon,0x13ff781a1c2e37c564243730bd63f0e24f57c0da,0x13ff781a1c2e37c564243730bd63f0e24f57c0da,2023-11-01
