block_time,block_date,block_month,blockchain,amount_usd,type,token_bought_amount,token_bought_symbol,token_bought_address,token_sold_amount,token_sold_symbol,token_sold_address,fee_usd,fee_token_amount,fee_token_symbol,fee_token_address,project,version,token_pair,project_contract_address,user,tx_id,tx_index,outer_instruction_index,inner_instruction_index,is_last_trade_in_transaction
2024-04-24 09:08:06.000 UTC,Buy,,300937.759326676,,6y2z2KNGkbZ1niiBnLagvEfEj5t6RVn8xfPuiZsUwqEt,0.2475,SOL,So11111111111111111111111111111111111111112,0.3925,0.0025,SOL,So11111111111111111111111111111111111111112,raydium,4,,BjsfPjD4FpCakwsmW7bBCSJQWvB6N2r7PhpPk6T4HKA4,"<a href=""https://birdeye.so/token/6y2z2KNGkbZ1niiBnLagvEfEj5t6RVn8xfPuiZsUwqEt/BjsfPjD4FpCakwsmW7bBCSJQWvB6N2r7PhpPk6T4HKA4?chain=solana"" target=_blank"">BjsfPjD4FpCakwsmW7bBCSJQWvB6N2r7PhpPk6T4HKA4</a>",7iLXFGQS72UqXH61hnnum8VrufDaPYeRNVQSra6rqLWc,"<a href=""https://birdeye.so/profile/7iLXFGQS72UqXH61hnnum8VrufDaPYeRNVQSra6rqLWc?chain=solana"" target=_blank"">7iLXFGQS72UqXH61hnnum8VrufDaPYeRNVQSra6rqLWc</a>",59NAwzEKtZ2E2bM3WQxjTjsKYqSV3QxbdRXCSAqtXND5GGUhAcDVFtPXybfTZp4TbXTFzkpA1WWZK7q1vXc1QpqS,"<a href=""https://solscan.io/tx/59NAwzEKtZ2E2bM3WQxjTjsKYqSV3QxbdRXCSAqtXND5GGUhAcDVFtPXybfTZp4TbXTFzkpA1WWZK7q1vXc1QpqS"" target=_blank"">59NAwzEKtZ2E2bM3WQxjTjsKYqSV3QxbdRXCSAqtXND5GGUhAcDVFtPXybfTZp4TbXTFzkpA1WWZK7q1vXc1QpqS</a>",63,9,1,true
2024-04-24 09:07:15.000 UTC,Sell,,6.714766345,SOL,So11111111111111111111111111111111111111112,129856.57156356,,Akrk8gGB4Nu4vreQxixq6GFs1eFwPj8N9gwQYc7cz9RD,10.541350991,0.067142363,SOL,So11111111111111111111111111111111111111112,raydium,4,,3XkNZ2bjF2YtefhcbNSSM5gGPYFbA8A1PUvp7RmnNM32,"<a href=""https://birdeye.so/token/So11111111111111111111111111111111111111112/3XkNZ2bjF2YtefhcbNSSM5gGPYFbA8A1PUvp7RmnNM32?chain=solana"" target=_blank"">3XkNZ2bjF2YtefhcbNSSM5gGPYFbA8A1PUvp7RmnNM32</a>",AYrmgDoPTGdD7HKJkgMAG8jB3dgGSLrDAj47tjwE84wX,"<a href=""https://birdeye.so/profile/AYrmgDoPTGdD7HKJkgMAG8jB3dgGSLrDAj47tjwE84wX?chain=solana"" target=_blank"">AYrmgDoPTGdD7HKJkgMAG8jB3dgGSLrDAj47tjwE84wX</a>",37WYYWSbgrE2iW8uc2BTXbJB3EL9G26gnvrASDTzzhnzmGx6dX3bVuhxVeRUmzkYjrh8hnBv84o3WuHPqykuktP7,"<a href=""https://solscan.io/tx/37WYYWSbgrE2iW8uc2BTXbJB3EL9G26gnvrASDTzzhnzmGx6dX3bVuhxVeRUmzkYjrh8hnBv84o3WuHPqykuktP7"" target=_blank"">37WYYWSbgrE2iW8uc2BTXbJB3EL9G26gnvrASDTzzhnzmGx6dX3bVuhxVeRUmzkYjrh8hnBv84o3WuHPqykuktP7</a>",378,4,1,true
2024-04-24 09:05:22.000 UTC,Sell,,0.190440675,SOL,So11111111111111111111111111111111111111112,116943.745481226,,AP9dmTfLMz2z1JsMtWfWtWSSLv6YPRxvXQHHqjaHZMFv,0.297884892,0.001897356,SOL,So11111111111111111111111111111111111111112,raydium,4,,A5dCniXCyrPrPwZQkuu1t9GQbfQD7NRmRvNvMXQjawjS,"<a href=""https://birdeye.so/token/So11111111111111111111111111111111111111112/A5dCniXCyrPrPwZQkuu1t9GQbfQD7NRmRvNvMXQjawjS?chain=solana"" target=_blank"">A5dCniXCyrPrPwZQkuu1t9GQbfQD7NRmRvNvMXQjawjS</a>",DFuGeVfr2DkNH7QBQ6xRQwBus5in4jGHHJZ9hZxQvgEA,"<a href=""https://birdeye.so/profile/DFuGeVfr2DkNH7QBQ6xRQwBus5in4jGHHJZ9hZxQvgEA?chain=solana"" target=_blank"">DFuGeVfr2DkNH7QBQ6xRQwBus5in4jGHHJZ9hZxQvgEA</a>",UVny17MnoGHx2LMYYrTJx9k6geEuwZ3jPTbhMQ7hs4C89ikayg5dZKTkY5YWc2X5g5Qd6GYLvxdnq7ZTYdg53Zm,"<a href=""https://solscan.io/tx/UVny17MnoGHx2LMYYrTJx9k6geEuwZ3jPTbhMQ7hs4C89ikayg5dZKTkY5YWc2X5g5Qd6GYLvxdnq7ZTYdg53Zm"" target=_blank"">UVny17MnoGHx2LMYYrTJx9k6geEuwZ3jPTbhMQ7hs4C89ikayg5dZKTkY5YWc2X5g5Qd6GYLvxdnq7ZTYdg53Zm</a>",55,5,1,true
2024-04-24 09:02:17.000 UTC,Sell,,0.00588324,SOL,So11111111111111111111111111111111111111112,32.177648987,,4LutW61LwM4cpC3fysfX6x6P495S51NZjvmzewTY7DsZ,0.007199482500000001,4.5711E-5,SOL,So11111111111111111111111111111111111111112,raydium,4,,HtDm1c3kjr1CWufNSAcCCW3TdNYwn7fUpXnXet9pB22L,"<a href=""https://birdeye.so/token/So11111111111111111111111111111111111111112/HtDm1c3kjr1CWufNSAcCCW3TdNYwn7fUpXnXet9pB22L?chain=solana"" target=_blank"">HtDm1c3kjr1CWufNSAcCCW3TdNYwn7fUpXnXet9pB22L</a>",AsSrBFupRj5Dta3PMmJa8mPxBFe2AGzuc5egQVnQHWuQ,"<a href=""https://birdeye.so/profile/AsSrBFupRj5Dta3PMmJa8mPxBFe2AGzuc5egQVnQHWuQ?chain=solana"" target=_blank"">AsSrBFupRj5Dta3PMmJa8mPxBFe2AGzuc5egQVnQHWuQ</a>",5P2vtNs8eqizpy3M2xViwH4aiWnH59TA7DLrTWBJzLfWCaD48rLemUAh5VBW7y1v79H3qzG6D9zEFmHZ2uo5owyL,"<a href=""https://solscan.io/tx/5P2vtNs8eqizpy3M2xViwH4aiWnH59TA7DLrTWBJzLfWCaD48rLemUAh5VBW7y1v79H3qzG6D9zEFmHZ2uo5owyL"" target=_blank"">5P2vtNs8eqizpy3M2xViwH4aiWnH59TA7DLrTWBJzLfWCaD48rLemUAh5VBW7y1v79H3qzG6D9zEFmHZ2uo5owyL</a>",1428,4,1,true
2024-04-24 09:02:04.000 UTC,Buy,,2750.220602433,,BsmsJzr4ksQydhBVJaFK2zGRSyQ9gmsZFX13MC44xuTm,9.9,SOL,So11111111111111111111111111111111111111112,15.75,0.1,SOL,So11111111111111111111111111111111111111112,raydium,4,,EB2N7TodBZD1Utqn5h6fnd19WuDHfHXQY6jGjefUSXzo,"<a href=""https://birdeye.so/token/BsmsJzr4ksQydhBVJaFK2zGRSyQ9gmsZFX13MC44xuTm/EB2N7TodBZD1Utqn5h6fnd19WuDHfHXQY6jGjefUSXzo?chain=solana"" target=_blank"">EB2N7TodBZD1Utqn5h6fnd19WuDHfHXQY6jGjefUSXzo</a>",CL7SftRSpsXRz9vABF5k1R4yVYDyhDbkYptdchY1Q7BG,"<a href=""https://birdeye.so/profile/CL7SftRSpsXRz9vABF5k1R4yVYDyhDbkYptdchY1Q7BG?chain=solana"" target=_blank"">CL7SftRSpsXRz9vABF5k1R4yVYDyhDbkYptdchY1Q7BG</a>",5nXMazkT7U2rtsNYHsX57LhzJPskj5tyth1DyCFV82atqC6xGmTZTLXTgJuEPFTra3hdr1zfDxGTAyNwEua1pfrZ,"<a href=""https://solscan.io/tx/5nXMazkT7U2rtsNYHsX57LhzJPskj5tyth1DyCFV82atqC6xGmTZTLXTgJuEPFTra3hdr1zfDxGTAyNwEua1pfrZ"" target=_blank"">5nXMazkT7U2rtsNYHsX57LhzJPskj5tyth1DyCFV82atqC6xGmTZTLXTgJuEPFTra3hdr1zfDxGTAyNwEua1pfrZ</a>",30,8,1,true
2024-04-24 09:01:08.000 UTC,Sell,,0.118674282,SOL,So11111111111111111111111111111111111111112,2948.533678012,,Akrk8gGB4Nu4vreQxixq6GFs1eFwPj8N9gwQYc7cz9RD,0.18532899,0.001176692,SOL,So11111111111111111111111111111111111111112,raydium,4,,3XkNZ2bjF2YtefhcbNSSM5gGPYFbA8A1PUvp7RmnNM32,"<a href=""https://birdeye.so/token/So11111111111111111111111111111111111111112/3XkNZ2bjF2YtefhcbNSSM5gGPYFbA8A1PUvp7RmnNM32?chain=solana"" target=_blank"">3XkNZ2bjF2YtefhcbNSSM5gGPYFbA8A1PUvp7RmnNM32</a>",13PWUc2Fs43V2VS5pRYzeWeQabQp6THYVAc6hdm65H4z,"<a href=""https://birdeye.so/profile/13PWUc2Fs43V2VS5pRYzeWeQabQp6THYVAc6hdm65H4z?chain=solana"" target=_blank"">13PWUc2Fs43V2VS5pRYzeWeQabQp6THYVAc6hdm65H4z</a>",37S2attMP8GAv2noB7gYvHJWDdPRCidCi2JohZ5XviCfwcXt7xeMfx56doU5EzuQvovAfMMDYaiJvLZ7eNFMyKcR,"<a href=""https://solscan.io/tx/37S2attMP8GAv2noB7gYvHJWDdPRCidCi2JohZ5XviCfwcXt7xeMfx56doU5EzuQvovAfMMDYaiJvLZ7eNFMyKcR"" target=_blank"">37S2attMP8GAv2noB7gYvHJWDdPRCidCi2JohZ5XviCfwcXt7xeMfx56doU5EzuQvovAfMMDYaiJvLZ7eNFMyKcR</a>",131,5,1,true
2024-04-24 08:58:18.000 UTC,Buy,31.157280000000004,80.74790395,,C3RaRGWBysvDVYniFSasWopXtGBPCiYyjpUh6R8c8U7C,0.198,SOL,So11111111111111111111111111111111111111112,0.31472000000000006,0.002,SOL,So11111111111111111111111111111111111111112,raydium,4,,FG7nAs7PHMWtqESyhpP1h9zMmkvZ1HtHThtfTVuJa26S,"<a href=""https://birdeye.so/token/C3RaRGWBysvDVYniFSasWopXtGBPCiYyjpUh6R8c8U7C/FG7nAs7PHMWtqESyhpP1h9zMmkvZ1HtHThtfTVuJa26S?chain=solana"" target=_blank"">FG7nAs7PHMWtqESyhpP1h9zMmkvZ1HtHThtfTVuJa26S</a>",8irCyMCsCWdrcLhgKREJEqfiRohRjLQ4bmcv7iUdbJ41,"<a href=""https://birdeye.so/profile/8irCyMCsCWdrcLhgKREJEqfiRohRjLQ4bmcv7iUdbJ41?chain=solana"" target=_blank"">8irCyMCsCWdrcLhgKREJEqfiRohRjLQ4bmcv7iUdbJ41</a>",2CAiaoT7prDZjNkTaKLFEW4YmwWUhXouxMfYFrLhptZo3P4a1RnNcn7rwNA7UjjAak1CtYu1Pkweg37VMip4asTi,"<a href=""https://solscan.io/tx/2CAiaoT7prDZjNkTaKLFEW4YmwWUhXouxMfYFrLhptZo3P4a1RnNcn7rwNA7UjjAak1CtYu1Pkweg37VMip4asTi"" target=_blank"">2CAiaoT7prDZjNkTaKLFEW4YmwWUhXouxMfYFrLhptZo3P4a1RnNcn7rwNA7UjjAak1CtYu1Pkweg37VMip4asTi</a>",54,8,1,true
2024-04-24 08:58:03.000 UTC,Buy,623.1456000000001,108676.777272306,,Akrk8gGB4Nu4vreQxixq6GFs1eFwPj8N9gwQYc7cz9RD,3.96,SOL,So11111111111111111111111111111111111111112,6.2944,0.04,SOL,So11111111111111111111111111111111111111112,raydium,4,,3XkNZ2bjF2YtefhcbNSSM5gGPYFbA8A1PUvp7RmnNM32,"<a href=""https://birdeye.so/token/Akrk8gGB4Nu4vreQxixq6GFs1eFwPj8N9gwQYc7cz9RD/3XkNZ2bjF2YtefhcbNSSM5gGPYFbA8A1PUvp7RmnNM32?chain=solana"" target=_blank"">3XkNZ2bjF2YtefhcbNSSM5gGPYFbA8A1PUvp7RmnNM32</a>",AYrmgDoPTGdD7HKJkgMAG8jB3dgGSLrDAj47tjwE84wX,"<a href=""https://birdeye.so/profile/AYrmgDoPTGdD7HKJkgMAG8jB3dgGSLrDAj47tjwE84wX?chain=solana"" target=_blank"">AYrmgDoPTGdD7HKJkgMAG8jB3dgGSLrDAj47tjwE84wX</a>",XENSQ1mr2S9ucWdyn1qhTY5orzGMhLMXL4XcJVKLs275N6xRE5mdy9vczEPwdKsoznUJWqW2N9GubowZnqzfncC,"<a href=""https://solscan.io/tx/XENSQ1mr2S9ucWdyn1qhTY5orzGMhLMXL4XcJVKLs275N6xRE5mdy9vczEPwdKsoznUJWqW2N9GubowZnqzfncC"" target=_blank"">XENSQ1mr2S9ucWdyn1qhTY5orzGMhLMXL4XcJVKLs275N6xRE5mdy9vczEPwdKsoznUJWqW2N9GubowZnqzfncC</a>",88,8,1,true
2024-04-24 08:57:18.000 UTC,Buy,155.78640000000001,241882.206625,PANDU,4R4jNxjLLZJqfE61Wv48fkP3JccJmx42sK9JnrRjiQp7,0.99,SOL,So11111111111111111111111111111111111111112,1.5736,0.01,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-PANDU,FGaqY8RaBJYMfZ151qJtmUWdBm1R4ZTPXPqqDUnMMA2o,"<a href=""https://birdeye.so/token/4R4jNxjLLZJqfE61Wv48fkP3JccJmx42sK9JnrRjiQp7/FGaqY8RaBJYMfZ151qJtmUWdBm1R4ZTPXPqqDUnMMA2o?chain=solana"" target=_blank"">FGaqY8RaBJYMfZ151qJtmUWdBm1R4ZTPXPqqDUnMMA2o</a>",HkawByTvU16mxgB9ApAmm4u5hmRL4XE9CCBVuaKogo65,"<a href=""https://birdeye.so/profile/HkawByTvU16mxgB9ApAmm4u5hmRL4XE9CCBVuaKogo65?chain=solana"" target=_blank"">HkawByTvU16mxgB9ApAmm4u5hmRL4XE9CCBVuaKogo65</a>",4NcLYRG7F6JM8U5GitB4CMmF1uSSQRBgqjFRYcsXU8W5p3EcZx7go5EEM8B5SQD231iN6q8UjiRDzGCdF2U2R1PT,"<a href=""https://solscan.io/tx/4NcLYRG7F6JM8U5GitB4CMmF1uSSQRBgqjFRYcsXU8W5p3EcZx7go5EEM8B5SQD231iN6q8UjiRDzGCdF2U2R1PT"" target=_blank"">4NcLYRG7F6JM8U5GitB4CMmF1uSSQRBgqjFRYcsXU8W5p3EcZx7go5EEM8B5SQD231iN6q8UjiRDzGCdF2U2R1PT</a>",420,8,1,true
2024-04-24 08:55:30.000 UTC,Sell,58.036017919600006,0.368810485,SOL,So11111111111111111111111111111111111111112,6.866971059,,HdE2FpgPmdx6MG4D4Wd9Rn7hrpBzEmwUk2NwcLzXgDMd,0.5772049774400001,0.003668054,SOL,So11111111111111111111111111111111111111112,raydium,4,,FkKXsKxFCX6HeqFSJ5oj1YZ9fp8ypNaHL5mMMJdSGXNp,"<a href=""https://birdeye.so/token/So11111111111111111111111111111111111111112/FkKXsKxFCX6HeqFSJ5oj1YZ9fp8ypNaHL5mMMJdSGXNp?chain=solana"" target=_blank"">FkKXsKxFCX6HeqFSJ5oj1YZ9fp8ypNaHL5mMMJdSGXNp</a>",2mpHQRC97hoaFGJiotF53RkmrfYRsimb3bdC3h2Ggm9d,"<a href=""https://birdeye.so/profile/2mpHQRC97hoaFGJiotF53RkmrfYRsimb3bdC3h2Ggm9d?chain=solana"" target=_blank"">2mpHQRC97hoaFGJiotF53RkmrfYRsimb3bdC3h2Ggm9d</a>",2M4EhyJ2PN8uLSeKiDruNP2Ty5uAQoEL4iMGvtZCbW5EDW6agdBZdtg5dH9pUC15jJXxT5WzhA8YWmpV7bUYfZi4,"<a href=""https://solscan.io/tx/2M4EhyJ2PN8uLSeKiDruNP2Ty5uAQoEL4iMGvtZCbW5EDW6agdBZdtg5dH9pUC15jJXxT5WzhA8YWmpV7bUYfZi4"" target=_blank"">2M4EhyJ2PN8uLSeKiDruNP2Ty5uAQoEL4iMGvtZCbW5EDW6agdBZdtg5dH9pUC15jJXxT5WzhA8YWmpV7bUYfZi4</a>",390,5,0,true
