blockchain,project,version,nft_contract_address,token_id,token_standard,trade_category,buyer,seller,project_contract_address,aggregator_name,aggregator_address,tx_from,tx_to,block_time,block_date,block_number,tx_hash,unique_trade_id,buyer_first_funded_by,seller_first_funded_by,filter_1_same_buyer_seller,filter_2_back_and_forth_trade,filter_3_bought_or_sold_3x,filter_4_first_funded_by_same_wallet,is_wash_trade
ethereum,opensea,v3,0x8ff1523091c9517bc328223d50b52ef450200339,17754,erc721,Buy,0x78e44f0a23a0448171be5f1c2a00d446432beb8e,0xb5d74f8bdb8ab8bb346e09ed3d09d29495b16849,0x00000000006c3852cbef3e08e8df289169ede581,Blur,,0x78e44f0a23a0448171be5f1c2a00d446432beb8e,0x00000000006c3852cbef3e08e8df289169ede581,2022-11-20T20:06:47Z,2022-11-20T00:00:00Z,16013505,0x9692248871beac2a9a408962ef35353965a9e546bdea4ff4f7bce277e68aa9bc,seaport-0x9692248871beac2a9a408962ef35353965a9e546bdea4ff4f7bce277e68aa9bc-104-0x8ff1523091c9517bc328223d50b52ef450200339-17754-1,0xd3ee66fd951b71fef0fbbcdc4e5501c3e9191ab1,0x1ad91ee08f21be3de0ba2ba6918e714da6b45836,false,false,false,false,false
ethereum,opensea,v3,0x1a4041cce1aea5fff82e13780d1b1f522a047ef9,3255,erc721,Buy,0x0feb8c649fbe79e576bcc0857e2aea7e4359561a,0xcdbe2805cc93beb945b3bd91011c9350c566f500,0x00000000006c3852cbef3e08e8df289169ede581,,,0x0feb8c649fbe79e576bcc0857e2aea7e4359561a,0x00000000006c3852cbef3e08e8df289169ede581,2022-11-20T15:53:11Z,2022-11-20T00:00:00Z,16012244,0x07b7e03090872ddb14f5df0b388fd340cc3b46c529ed7e1778c343ed660f9d80,seaport-0x07b7e03090872ddb14f5df0b388fd340cc3b46c529ed7e1778c343ed660f9d80-351-0x1a4041cce1aea5fff82e13780d1b1f522a047ef9-3255-1,0x96bfb73852634f66922d3a3ab3f62b9a5764fe8a,0x8ec40ee77654849af84f137f656937f55d81d2c4,false,false,false,false,false
ethereum,opensea,v3,0x36308c9eb628cf99f55a0cff9434bfd02bc8d04a,3890,erc721,Buy,0x1027281c54042409c97f6b750addf605c681300a,0x2f90a1eb88020535fd2c3d66435c396699f0e269,0x00000000006c3852cbef3e08e8df289169ede581,,,0x1027281c54042409c97f6b750addf605c681300a,0x00000000006c3852cbef3e08e8df289169ede581,2022-11-20T21:02:11Z,2022-11-20T00:00:00Z,16013781,0x5b4bfc7191e5d61ff77be15cd4de6b33d4ea064461924361d43a69859db70165,seaport-0x5b4bfc7191e5d61ff77be15cd4de6b33d4ea064461924361d43a69859db70165-406-0x36308c9eb628cf99f55a0cff9434bfd02bc8d04a-3890-1,0x6a0704a212397699387df8a92ee430d2628b6b01,0xe02ef1a1a301ee1ecc07e23b94804b76f156ca08,false,false,false,false,false
ethereum,opensea,v3,0x705b9dbd0d5607beafe12e2fb74d64268d3ba35f,1870,erc721,Buy,0x8b0850e5f3eb8659cbe140d8423ccc0027dd535f,0xb7c50085f07a5da65331073b279fed2053fa1594,0x00000000006c3852cbef3e08e8df289169ede581,Gem,,0x8b0850e5f3eb8659cbe140d8423ccc0027dd535f,0x00000000006c3852cbef3e08e8df289169ede581,2022-11-20T15:05:11Z,2022-11-20T00:00:00Z,16012004,0xec43439f42cd5077751446a34440d512b4ada70cbaebc1e33bbe467efe14876e,seaport-0xec43439f42cd5077751446a34440d512b4ada70cbaebc1e33bbe467efe14876e-115-0x705b9dbd0d5607beafe12e2fb74d64268d3ba35f-1870-1,0x41b309236c87b1bc6fa8eb865833e44158fa991a,0x354891341b9634b5c8ba56cd32a14881770905d6,false,false,false,false,false
ethereum,opensea,v3,0xaf559c34d94b0fb7067b5911451fd031802547dd,6536,erc721,Buy,0x5adc7f1081c8fb8cf700dae630b0c8d9b0cc0617,0x8359d5f3d4b678ecbb620c8edfea12dd3e7db497,0x00000000006c3852cbef3e08e8df289169ede581,,,0x5adc7f1081c8fb8cf700dae630b0c8d9b0cc0617,0x00000000006c3852cbef3e08e8df289169ede581,2022-11-20T10:25:23Z,2022-11-20T00:00:00Z,16010616,0x80fef8a4709ea2942c39e07fc3f0de2ec00600e9e9f0b00effd3d8d68ca381d6,seaport-0x80fef8a4709ea2942c39e07fc3f0de2ec00600e9e9f0b00effd3d8d68ca381d6-212-0xaf559c34d94b0fb7067b5911451fd031802547dd-6536-1,0x000f422887ea7d370ff31173fd3b46c8f66a5b1c,0xbea04a50a2014410581473c740db92421e3a4dd9,false,false,false,false,false
ethereum,opensea,v3,0x8ff1523091c9517bc328223d50b52ef450200339,910,erc721,Buy,0x78e44f0a23a0448171be5f1c2a00d446432beb8e,0x7a19d662456b05d61e79c5f257a150a3e359101f,0x00000000006c3852cbef3e08e8df289169ede581,Blur,,0x78e44f0a23a0448171be5f1c2a00d446432beb8e,0x00000000006c3852cbef3e08e8df289169ede581,2022-11-20T20:06:47Z,2022-11-20T00:00:00Z,16013505,0x9692248871beac2a9a408962ef35353965a9e546bdea4ff4f7bce277e68aa9bc,seaport-0x9692248871beac2a9a408962ef35353965a9e546bdea4ff4f7bce277e68aa9bc-106-0x8ff1523091c9517bc328223d50b52ef450200339-910-1,0xd3ee66fd951b71fef0fbbcdc4e5501c3e9191ab1,0x004cad75155af30b36b33358047604b8a9227f6c,false,false,false,false,false
ethereum,opensea,v3,0x239adeeed414d163214d9b8a563c862dcf2206d0,1011,erc721,Buy,0xc2716c5a2ee8298211e6a03f8fda0188426ff492,0x2987342405217af4283b873f46115d2546594154,0x00000000006c3852cbef3e08e8df289169ede581,Gem,,0xc2716c5a2ee8298211e6a03f8fda0188426ff492,0x00000000006c3852cbef3e08e8df289169ede581,2022-11-20T02:14:47Z,2022-11-20T00:00:00Z,16008176,0x58cb3ff8193b2841b63aa81886b6a693b8b183c26867e89f1a276f150d430a3f,seaport-0x58cb3ff8193b2841b63aa81886b6a693b8b183c26867e89f1a276f150d430a3f-165-0x239adeeed414d163214d9b8a563c862dcf2206d0-1011-1,0x3b794929566e3ba0f25e4263e1987828b5c87161,0x728e2b73c0cef05e1aac825074889082762b6f4c,false,false,false,false,false
ethereum,opensea,v3,0x239adeeed414d163214d9b8a563c862dcf2206d0,3505,erc721,Buy,0x14f69c8c334c4c6ea526c58ae94b1431826ace94,0xf5b106b294a02fd04dc65de9ded445fed37a58a3,0x00000000006c3852cbef3e08e8df289169ede581,Blur,,0x14f69c8c334c4c6ea526c58ae94b1431826ace94,0x00000000006c3852cbef3e08e8df289169ede581,2022-11-20T04:04:35Z,2022-11-20T00:00:00Z,16008723,0x28efe738bd5d4aa1770bd8c8fedaf8b42129187280635a4a3d37141b7765aadd,seaport-0x28efe738bd5d4aa1770bd8c8fedaf8b42129187280635a4a3d37141b7765aadd-98-0x239adeeed414d163214d9b8a563c862dcf2206d0-3505-1,0x00c9bcbccf2502dfa4f538a584934df3be87d21a,0x363d81817324f4bd57d5a022137fbcfded12589b,false,false,false,false,false
ethereum,opensea,v3,0x239adeeed414d163214d9b8a563c862dcf2206d0,8150,erc721,Buy,0x54e287e09b1efac5b1cb2babb329fbaa658cf178,0x81c20dae3aa6dd92c8557746ad9ff4312f954777,0x00000000006c3852cbef3e08e8df289169ede581,Gem,0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,0x54e287e09b1efac5b1cb2babb329fbaa658cf178,0x83c8f28c26bf6aaca652df1dbbe0e1b56f8baba2,2022-11-20T07:10:59Z,2022-11-20T00:00:00Z,16009648,0x8c6b1cdd697505a214a95ca01119a3b18d70aaa51589cf11db0cc72624426e7b,seaport-0x8c6b1cdd697505a214a95ca01119a3b18d70aaa51589cf11db0cc72624426e7b-114-0x239adeeed414d163214d9b8a563c862dcf2206d0-8150-1,0x90a58c6c92fae1ff8aecc3f4e107deef3897aea2,0x588380fb662a4200d4556eca21599e6a29cfb585,false,false,false,false,false
ethereum,opensea,v3,0xa30cf1135be5af62e412f22bd01069e2ceba8706,7915,erc721,Buy,0x36c72892fcc72b52fa3b82ed3bb2a467d9079b9a,0x0627b4630cf67ee471e2d299a15514a3bb2ff134,0x00000000006c3852cbef3e08e8df289169ede581,,,0xf408bee3443d0397e2c1cde588fb060ac657006f,0x36c72892fcc72b52fa3b82ed3bb2a467d9079b9a,2022-11-20T21:08:11Z,2022-11-20T00:00:00Z,16013810,0xcad75d47771eaeb635bf531a4b48fb03ef6bf97259d7204456786e0ed4795068,seaport-0xcad75d47771eaeb635bf531a4b48fb03ef6bf97259d7204456786e0ed4795068-118-0xa30cf1135be5af62e412f22bd01069e2ceba8706-7915-1,0xf408bee3443d0397e2c1cde588fb060ac657006f,0xd8b9196ea0ff12d3c50defa806bcc875e49278b3,false,false,false,false,false
