blockchain,project,version,block_date,block_time,seller,buyer,trade_type,trade_category,evt_type,nft_contract_address,collection,token_id,number_of_items,token_standard,amount_original,amount_raw,amount_usd,currency_symbol,currency_contract,original_currency_contract,currency_decimals,project_contract_address,platform_fee_receive_address,platform_fee_amount_raw,platform_fee_amount,platform_fee_amount_usd,platform_fee_percentage,royalty_fee_receive_address,royalty_fee_amount_raw,royalty_fee_percentage,royalty_fee_currency_symbol,royalty_fee_amount,royalty_fee_amount_usd,royalty_fee_receive_address_1,royalty_fee_receive_address_2,royalty_fee_receive_address_3,royalty_fee_receive_address_4,royalty_fee_amount_raw_1,royalty_fee_amount_raw_2,royalty_fee_amount_raw_3,royalty_fee_amount_raw_4,aggregator_name,aggregator_address,block_number,tx_hash,evt_index,tx_from,tx_to,right_hash,zone_address,estimated_price,is_private,sub_idx,sub_type,unique_trade_id
optimism,nftearth,v1,2023-02-02T00:00:00Z,2023-02-02T00:20:35Z,0x8acd4ee46a97be6e483dcfcc99263915abde996a,0x7d3e5dd617eaf4a3d42ea550c41097086605c4af,Single Item Trade,Offer Accepted,Trade,0x99030c3f880a468ed74806fb2785afd2da54a2f4,,4,1,erc721,0.0001,1e+14,0.16414700000000002,WETH,0x4200000000000000000000000000000000000006,0x4200000000000000000000000000000000000006,18,0x0f9b80fc3c8b9123d0aef43df58ebdbc034a8901,0x78ed254b9c140c1a2be10d2ad32c65b5f712f54b,2.5e+12,2.5e-06,0.004103675,2.5,,,,WETH,,,,,,,,,,,,,7.1754724e+07,0x89f370d765eab2ae8e375166af04f186ac9b8db13fed7f9eeb5f5168a1d53388,8,0x8acd4ee46a97be6e483dcfcc99263915abde996a,0x99030c3f880a468ed74806fb2785afd2da54a2f4,a8f07167,0x0000000000000000000000000000000000000000,false,false,1,consideration,2023-02-020x89f370d765eab2ae8e375166af04f186ac9b8db13fed7f9eeb5f5168a1d5338880x99030c3f880a468ed74806fb2785afd2da54a2f44consideration1
optimism,nftearth,v1,2023-02-07T00:00:00Z,2023-02-07T06:45:40Z,0x8acd4ee46a97be6e483dcfcc99263915abde996a,0x3008087707330e3b85d61b6972934121aed8e6e1,Single Item Trade,Offer Accepted,Trade,0x9b9f542456ad12796ccb8eb6644f29e3314e68e1,OptiChads,1422,1,erc721,0.0231,2.31e+16,37.739855999999996,WETH,0x4200000000000000000000000000000000000006,0x4200000000000000000000000000000000000006,18,0x0f9b80fc3c8b9123d0aef43df58ebdbc034a8901,0x78ed254b9c140c1a2be10d2ad32c65b5f712f54b,5.775e+14,0.0005775,0.9434964,2.5,,,,WETH,,,,,,,,,,,,,7.2690796e+07,0x5617aed9e5e8fd58d76b38acb9b38c2f489046c64fa46174370fdd881aee0f29,6,0x8acd4ee46a97be6e483dcfcc99263915abde996a,0x9b9f542456ad12796ccb8eb6644f29e3314e68e1,a8f07167,0x0000000000000000000000000000000000000000,false,false,1,consideration,2023-02-070x5617aed9e5e8fd58d76b38acb9b38c2f489046c64fa46174370fdd881aee0f2960x9b9f542456ad12796ccb8eb6644f29e3314e68e11422consideration1
optimism,nftearth,v1,2023-02-19T00:00:00Z,2023-02-19T05:27:33Z,0x28e60fd30536ae13156232f8920af8d7862da5a1,0xf9e1d1e9f22c96752356adfd377231528c7e851e,Single Item Trade,Offer Accepted,Trade,0x00e3aa03e47c32397a94509e50b0558988c0d04e,L2NFTOG,1062,1,erc721,0.015,1.5e+16,25.5207,WETH,0x4200000000000000000000000000000000000006,0x4200000000000000000000000000000000000006,18,0x0f9b80fc3c8b9123d0aef43df58ebdbc034a8901,0xd55c6b0a208362b18beb178e1785cf91c4ce937a,3.75e+14,0.000375,0.6380175,2.5,,,,WETH,,,,,,,,,,,,,7.5266941e+07,0x24679633da0295d880757f7ec741c352a9168b869657c656875cd4ad73afcc1a,6,0x28e60fd30536ae13156232f8920af8d7862da5a1,0x00e3aa03e47c32397a94509e50b0558988c0d04e,a8f07167,0x0000000000000000000000000000000000000000,false,false,1,consideration,2023-02-190x24679633da0295d880757f7ec741c352a9168b869657c656875cd4ad73afcc1a60x00e3aa03e47c32397a94509e50b0558988c0d04e1062consideration1
optimism,nftearth,v1,2023-02-19T00:00:00Z,2023-02-19T22:33:58Z,0xaa68c24719e4e082a8343442f4b04287a5e55ba9,0x36fdd3dd2f849a2b8932cb0d7d5e0826761bf478,Single Item Trade,Offer Accepted,Trade,0x66deb6cc4d65dc9cb02875dc5e8751d71fa5d50e,L2 State of Mind,881,1,erc721,0.03,3e+16,50.6112,WETH,0x4200000000000000000000000000000000000006,0x4200000000000000000000000000000000000006,18,0x0f9b80fc3c8b9123d0aef43df58ebdbc034a8901,0xd55c6b0a208362b18beb178e1785cf91c4ce937a,7.5e+14,0.00075,1.26528,2.5,,,,WETH,,,,,,,,,,,,,7.5439677e+07,0xdc2f5936d4790c3f778cd059c3eb9d0aa4736933f9ea8528dcd3c8acc138ad9e,6,0xaa68c24719e4e082a8343442f4b04287a5e55ba9,0x66deb6cc4d65dc9cb02875dc5e8751d71fa5d50e,a8f07167,0x0000000000000000000000000000000000000000,false,false,1,consideration,2023-02-190xdc2f5936d4790c3f778cd059c3eb9d0aa4736933f9ea8528dcd3c8acc138ad9e60x66deb6cc4d65dc9cb02875dc5e8751d71fa5d50e881consideration1
optimism,nftearth,v1,2023-02-18T00:00:00Z,2023-02-18T07:02:04Z,0x81df22ebe26f7e499b5c16c4ec350abb0c312b1c,0xa788e0586409fa4eaf986e24604003adaa3dcc9d,Single Item Trade,Buy,Trade,0xc1853a0f8755c63518f1d22283b5caedd86dfd97,,1200,1,erc721,2.5,2.5e+18,7,OP,0x4200000000000000000000000000000000000042,0x4200000000000000000000000000000000000042,18,0x0f9b80fc3c8b9123d0aef43df58ebdbc034a8901,0xd55c6b0a208362b18beb178e1785cf91c4ce937a,6.25e+16,0.0625,0.175,2.5,,,,OP,,,,,,,,,,,,,7.510953e+07,0x353395578557f5e9b86397941490799d7c23e3e816d25ea69f5ce5c3e49dd248,0,0xa788e0586409fa4eaf986e24604003adaa3dcc9d,0x0f9b80fc3c8b9123d0aef43df58ebdbc034a8901,a8f07167,0x0000000000000000000000000000000000000000,false,false,1,offer,2023-02-180x353395578557f5e9b86397941490799d7c23e3e816d25ea69f5ce5c3e49dd24800xc1853a0f8755c63518f1d22283b5caedd86dfd971200offer1
optimism,nftearth,v1,2023-02-20T00:00:00Z,2023-02-20T01:51:29Z,0x52a7086ae376fefe37aefaecb4b50281949b94da,0x3207446dd7fdefa5dd9f66e89f0f49070afc5731,Single Item Trade,Buy,Trade,0xab236c814a1651d3d699e333495d4bb1a818a2ad,Opti yEEts Gang,593,1,erc721,0.5,5e+17,1.28,OP,0x4200000000000000000000000000000000000042,0x4200000000000000000000000000000000000042,18,0x0f9b80fc3c8b9123d0aef43df58ebdbc034a8901,0x78ed254b9c140c1a2be10d2ad32c65b5f712f54b,1.25e+16,0.0125,0.032,2.5,,,,OP,,,,,,,,,,,,,7.5466295e+07,0xca54b387d0866c3e6d25ecb134cb5e35d9c2dc6db4a61f0faf2bffad8d5794de,0,0x3207446dd7fdefa5dd9f66e89f0f49070afc5731,0x0f9b80fc3c8b9123d0aef43df58ebdbc034a8901,a8f07167,0x0000000000000000000000000000000000000000,false,false,1,offer,2023-02-200xca54b387d0866c3e6d25ecb134cb5e35d9c2dc6db4a61f0faf2bffad8d5794de00xab236c814a1651d3d699e333495d4bb1a818a2ad593offer1
optimism,nftearth,v1,2023-02-08T00:00:00Z,2023-02-08T02:25:59Z,0x8acd4ee46a97be6e483dcfcc99263915abde996a,0xe45c950efb371c331ffef421b5c8787c74830479,Single Item Trade,Buy,Trade,0x9b9f542456ad12796ccb8eb6644f29e3314e68e1,OptiChads,6726,1,erc721,0.03,3e+16,50.4672,ETH,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,0x0000000000000000000000000000000000000000,18,0x0f9b80fc3c8b9123d0aef43df58ebdbc034a8901,0x78ed254b9c140c1a2be10d2ad32c65b5f712f54b,7.5e+14,0.00075,1.2616800000000001,2.5,,,,ETH,,,,,,,,,,,,,7.2855735e+07,0xa1fd2f37915babeb69b53f899aa87bca0257382384b880121a82caa4f9def8a8,0,0xe45c950efb371c331ffef421b5c8787c74830479,0x0f9b80fc3c8b9123d0aef43df58ebdbc034a8901,a8f07167,0x0000000000000000000000000000000000000000,false,false,1,offer,2023-02-080xa1fd2f37915babeb69b53f899aa87bca0257382384b880121a82caa4f9def8a800x9b9f542456ad12796ccb8eb6644f29e3314e68e16726offer1
optimism,nftearth,v1,2023-02-08T00:00:00Z,2023-02-08T07:18:39Z,0x8acd4ee46a97be6e483dcfcc99263915abde996a,0x4f49c34759b7e888ce77de9dd34fec63d63495cc,Single Item Trade,Buy,Trade,0x0deaac29d8a3d4ebbaaa3ecd3cc97c9def00f720,OaycNFT,5554,1,erc721,0.02,2e+16,33.5118,ETH,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,0x0000000000000000000000000000000000000000,18,0x0f9b80fc3c8b9123d0aef43df58ebdbc034a8901,0x78ed254b9c140c1a2be10d2ad32c65b5f712f54b,5e+14,0.0005,0.837795,2.5,,,,ETH,,,,,,,,,,,,,7.289286e+07,0x091d16fd5645d2e31f91a10cb2f88a584b8c908597cb2726e67dcb2cfc52be4b,0,0x4f49c34759b7e888ce77de9dd34fec63d63495cc,0x0f9b80fc3c8b9123d0aef43df58ebdbc034a8901,a8f07167,0x0000000000000000000000000000000000000000,false,false,1,offer,2023-02-080x091d16fd5645d2e31f91a10cb2f88a584b8c908597cb2726e67dcb2cfc52be4b00x0deaac29d8a3d4ebbaaa3ecd3cc97c9def00f7205554offer1
optimism,nftearth,v1,2023-02-09T00:00:00Z,2023-02-09T02:43:35Z,0x8acd4ee46a97be6e483dcfcc99263915abde996a,0xf005857d42072049567b7089d972ad788b9891ea,Single Item Trade,Buy,Trade,0x00e3aa03e47c32397a94509e50b0558988c0d04e,L2NFTOG,1946,1,erc721,0.019,1.9e+16,31.33404,ETH,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,0x0000000000000000000000000000000000000000,18,0x0f9b80fc3c8b9123d0aef43df58ebdbc034a8901,0x78ed254b9c140c1a2be10d2ad32c65b5f712f54b,4.75e+14,0.000475,0.783351,2.5,,,,ETH,,,,,,,,,,,,,7.305278e+07,0xc0f0f804e24482dbf0d59a8b76d0a6f7e6b596d7ce5d60d5f5595462e0da4341,0,0xf005857d42072049567b7089d972ad788b9891ea,0x0f9b80fc3c8b9123d0aef43df58ebdbc034a8901,a8f07167,0x0000000000000000000000000000000000000000,false,false,1,offer,2023-02-090xc0f0f804e24482dbf0d59a8b76d0a6f7e6b596d7ce5d60d5f5595462e0da434100x00e3aa03e47c32397a94509e50b0558988c0d04e1946offer1
optimism,nftearth,v1,2023-02-09T00:00:00Z,2023-02-09T10:08:10Z,0x8acd4ee46a97be6e483dcfcc99263915abde996a,0x577f998446b879f8f12e914e819e21bdc818d07d,Single Item Trade,Buy,Trade,0x00e3aa03e47c32397a94509e50b0558988c0d04e,L2NFTOG,1968,1,erc721,0.02,2e+16,32.726,ETH,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0000,0x0000000000000000000000000000000000000000,18,0x0f9b80fc3c8b9123d0aef43df58ebdbc034a8901,0x78ed254b9c140c1a2be10d2ad32c65b5f712f54b,5e+14,0.0005,0.81815,2.5,,,,ETH,,,,,,,,,,,,,7.3120037e+07,0x099be61641b2ff9371f764606c7f73456861a77c89b95434e702a98c95425970,0,0x577f998446b879f8f12e914e819e21bdc818d07d,0x0f9b80fc3c8b9123d0aef43df58ebdbc034a8901,a8f07167,0x0000000000000000000000000000000000000000,false,false,1,offer,2023-02-090x099be61641b2ff9371f764606c7f73456861a77c89b95434e702a98c9542597000x00e3aa03e47c32397a94509e50b0558988c0d04e1968offer1
