blockchain,project,version,block_date,tx_hash,evt_index,sub_idx,nft_contract_address,token_id,buyer,seller,amount_raw,platform_fee_amount_raw,royalty_fee_amount_raw
optimism,opensea,v3,2023-01-17,0x293e65bc1c1cd4e917ddf7c190285729082a7364ef100f1d9ad50fc71cc27f1d,1,1,0x1e04c33cd5a015e1ced0e3ecd8bdc42902512124,0,0xa314ac24a470e90e79b991e170a4569263122651,0x3aab9b3145df48a22ae337d50d1d66a3b2a3bda0,399900000000000,9997500000000,39990000000000
optimism,opensea,v3,2023-01-17,0x10ac14b26100f3ac8ef68d1dd71ccfe5bbcaae4de7fd01cf45a669d60321d975,0,1,0xfa14e1157f35e1dad95dc3f822a9d18c40e360e2,3342849,0x72571c8e07b15d85d6c32ac2ff4eb9f4b8b84f1e,0x1cbdde6d31409605b7c48650acabdf9948ef614c,1777000000000000,44425000000000,
optimism,opensea,v3,2023-01-17,0x10ac14b26100f3ac8ef68d1dd71ccfe5bbcaae4de7fd01cf45a669d60321d975,1,1,0xfa14e1157f35e1dad95dc3f822a9d18c40e360e2,3390883,0x72571c8e07b15d85d6c32ac2ff4eb9f4b8b84f1e,0x0bb924fd2db39fc396c783c88c01cd2a5fa9c8ba,1253000000000000,31325000000000,
optimism,opensea,v3,2023-01-17,0x38135ff5b5e24d3842fd9e09c7782c084a84734ddd59e24eb990a0d73d884581,0,1,0x81b30ff521d1feb67ede32db726d95714eb00637,195696,0x4aa194b8b7b1ee728b0a1508b9b9f3e1864f1fb5,0x0696e973c37dc629b0bfd487477d137445be459e,500000000000000,12500000000000,
optimism,opensea,v3,2023-01-17,0xba398bf116dc4188c5ae4adf8028d76df3897ae106312e97a175e4158e501498,0,1,0xfa14e1157f35e1dad95dc3f822a9d18c40e360e2,1918771,0x773b5337c547ce517653d35783a4f0e404ac872f,0x4e3da8b358569a826261b5da35efcd65e912b0ed,1100000000000000,27500000000000,
optimism,opensea,v3,2023-01-17,0x9630983e744207231f3976dfc7ce447c5d4baf6af19ebe1e42abaf95a3fbd528,0,1,0xfa14e1157f35e1dad95dc3f822a9d18c40e360e2,1645386,0xcc47b94b5cf9067808c91fd6111d1ed122421111,0xb69171380111e4c7959898e6e83ca79c71015575,1080000000000000,27000000000000,
optimism,opensea,v3,2023-01-17,0x05ed879b4578789f69324aa0b2c1477000db92b6f487960310192fde150530ab,0,1,0xfa14e1157f35e1dad95dc3f822a9d18c40e360e2,1120588,0x95f0efe07e451c4a507f0105715e056f1a7f727e,0xbaf5eacf1712e6f4a4633e67f518cffef54b6262,1100000000000000,27500000000000,
optimism,opensea,v3,2023-01-17,0x07050e0ff68f87c7e58d570104d5cc63bf6f392e093e057052609f8911eb3892,1,1,0x1e04c33cd5a015e1ced0e3ecd8bdc42902512124,0,0xe15086ee928af9a05fd3cbd45df32f6367265d73,0x3aab9b3145df48a22ae337d50d1d66a3b2a3bda0,399900000000000,9997500000000,39990000000000
optimism,opensea,v3,2023-01-17,0xd73ad8b3861edab2904ceb87cb794d95db6201778857fd4cf2aa6409ae51edcb,0,1,0xfa14e1157f35e1dad95dc3f822a9d18c40e360e2,2782261,0x82677d9edde5870055d7deaf2b0a123bb30c8848,0xcbf85ca57df4b8b64be97d15c35810f56e93758a,6000000000000000,150000000000000,
optimism,opensea,v3,2023-01-17,0x6131624118010cebf4b1d739cdff9e78a951bdd287d4b832b632b9f6bd9d9d52,0,1,0xfa14e1157f35e1dad95dc3f822a9d18c40e360e2,1067246,0x26a25f95f321d0dc2988651913b607b9017fe4a3,0x5ecc9ce730061de9955b692548cff3b7db454368,444000000000000,11100000000000,
