block_time,tx_hash,original_amount
2022-06-15T02:23:56+00:00,0x000076ab91d51eb0d588fc6b74ee67bc111229c313063f5f88940e339ae786f9,0.015
2022-06-15T02:18:01+00:00,0x000089d0953941088a05bb6d4567fe363e3373f763e3481c380b907f5ef1288e,0.075
2022-06-15T22:45:39+00:00,0x0008653af7261b184b7a0c083a0af299472ed7a0c32cd05b4da79336f44ff881,0.1399999
2022-06-14T21:17:58+00:00,0x000b502a5110e30cbec8492b783fb7503b13080ade318cf66d86b3d1e1c6d105,0.014
2022-06-15T11:53:43+00:00,0x000d0c977c1768424e3ba6d2e5ef5967fedfb399578ac4a70a3ec40b41cc2112,1.19
2022-06-15T00:26:44+00:00,0x00120e1fd701e6e0a578fc934ee026a4cc4035c4ab556785830275bfc242fb14,0.0795
2022-06-15T00:16:14+00:00,0x0014b63af52788e45bc81f4d0ef5647118ba991ac14c8f3929f164d9a6a778b7,0.099
2022-06-15T07:52:36+00:00,0x001883ef1355b2b1945e9fc41d39d31c754115cd3b875cb1f4bb6c4b2825e93a,0.0001
2022-06-15T02:47:36+00:00,0x001ad25fb0d1c2753128fc0f7faed5bad2253388333fcc6cff875fc224492ca9,0.21
2022-06-15T01:11:54+00:00,0x001dcef31c1eaf6b3e0f67b40f08f911a2ce9c03668643f4e79c32b3f16569a2,0.138
2022-06-15T15:33:03+00:00,0x001e5998e1031601c0fba96a0b20ec01eae23f042cf0b8fb77f4f136f753418e,0.039
2022-06-15T15:12:21+00:00,0x001fb4136cc7b032c0387321b2342632d38289f210d435a3b3fbf39cc001ab7c,0.099
2022-06-15T04:40:53+00:00,0x0020a2c79497d0e3edbbc3d4e67f1fd044b18fef09e7406d6423eb98257e24a6,0.019
2022-06-15T16:18:49+00:00,0x0023c49cb89c571ccff0e20d50dd8784839f352a6ede9caf76c134bb4ba043ad,0.0198
2022-06-15T11:02:12+00:00,0x002a305af8c383219469905b3957186fe91069609bdeeb2926c69fe763cd8b5a,0.11
2022-06-15T02:10:04+00:00,0x002b2876459440a4492822cbc98a567afb101e131f479e3e43b80759b2c6fa70,0.6
2022-06-15T23:51:33+00:00,0xdf2a75434c4a74f01e3858dda9a212eb1375192ded32bb5123dad8076577d41b,0.0074
2022-06-15T14:43:28+00:00,0x002bb03dc4f854240687d1e3862df8f5ba6d2ebb7d22acb08d3919e28b8f3cb4,0.05
2022-06-14T21:30:30+00:00,0x002dd660a8c949a80011c7cc298c9fe9e92e76b34374e18cf00efe2d6e6d6877,0.1994
2022-06-15T20:47:35+00:00,0x002dd7e1ccafbbdc3e04754770a37693c95f88d8f43485caaba67770cc719c68,0.09
2022-06-15T20:40:35+00:00,0x0030b5eef5a6153af2ad2ede45602d808923db6c0b337293bb8a9aceed989b5a,0.22
2022-06-15T07:01:55+00:00,0x00329dc1fc3a6fafcbe8790dd934172dd29d141393273afaf07fce67a9fced2e,1.55
2022-06-14T23:59:13+00:00,0x003453cb372a3c85f0a80a51883fb330a6cb0c34775bbd5ad3ce228738bb7ca9,0.1899
2022-06-15T17:36:00+00:00,0x003b8e5fc5b31a478b8d2b59978b3f20578b21d9600ff5b2ae4fd2922e774308,0.066
2022-06-15T06:42:58+00:00,0x003f0b8ebb7bcedcb43222d60f46d65dad6c6f60493cede294b6bdeaefcde829,0.025
2022-06-15T09:35:14+00:00,0x003f95feda41cedadf29386f276c27c31833b0b2510b1e44b13307f26b470293,0.2459
