tx_hash,seller,original_amount
0xe0e6eb031d17aade71026755249a59ca142b83e0a79a08e78c52dfd201c7616d,0xe2df42e271c1dbc4e3460c28a00241d8d9707699,0.05
0xf3dc84b78b909f22b1834286dd0320ae301af9e0d22ac2de679e9e4bb207151a,0x7d872f8ec8e6463d06e8f99f4f0e9dc5f2b15877,0.022
0x0015029c877d9bef5127af1ef48d52590d0d8307e9d4bcac5a0428c3810e18b7,0xf520aaf89eea21fc9366b3cf3cd9206f0a24bdbb,0.05
0xacf9d6d0e4d30788c7bf9d170fbafeea3263d8b2c326fcec3d9ba9b6c02f3ecf,0xeea55c9c190c62965a751baa1d591d4be781f71e,0.26
0x2bf2894f3c52b7334e2fdbfe47c0ab93c9a9e4b9603800940c1af5c09da11bbd,0xcef29f8faeb37d4fa4b1ac55d65f64e334611c90,0.29
0x2fead43d73cbd64b2471f254cc3603c78fda53a8581da4ec901b6a05e00c7629,0x1f0d52f724a6a20eb7d4ae15763a442fc6f833d2,0.009
0x19378c44f8b37a1ec3b6026c97609871b5aca2107eb3fbeec07e75899d1c5039,0x19cf179987bab7b178648b96ea56554008312135,0.0189
0xab56c4dc1c05512aeb530ac505dfd1812195fbf037e5dbaa8dfd8f3b455c67bd,0xa7fb80b759ea191c19720f531398663b298455fd,0.002
0xa7213433205a0bf900ff30caf9d7728d1642da482a481660215932628679a9ed,0xd9b5021ba375be74b637fd9e0b8c666aebf2bd07,0.0713
0xdda06a3bb857ee196351d433e8127a82cd8db3f85ea9bc2a121d219e6934b049,0x58b389795d1d72a22465489db803c50c39d8ae43,0.0619500000001
0x6e61b84291aa0b4770ade3670ddef19d0ff76565e3e445343790a8764b26b2d0,0xaf2414ee84bff150dbafc1242ef1f25d22c6231f,0.0775
0xc9dbbc5c78dc707b260ab6c1efb53dce23d71efa59e381a2e514e6050ba5943a,0x14f6c4037315182b2f55b5a5a8801b056695fce5,0.0032
0xd48b5c26b0dff0f7e8d9e2ebe7c7869bb845d66d3b880bd546a54afa3a25fd9f,0x42204dc2efcfcb0f148d94f97348edb11b1e3f85,0.49
0xd8c146f3b01a1672a9611cfeb001773a887dcc083bdce9c9fe51027d450773ea,0x7d872f8ec8e6463d06e8f99f4f0e9dc5f2b15877,0.01
0xf063e8076b6350e55e7895b098166f30f61664b37884b419ab0cea040f6a4395,0x91cdf1d0c55a6df166846d90c12a17485592ad4e,0.01
0x74bf23603395a9f0a0a81dfbf9484a3941908c24bf1d2cfe93f66bf5c0ba89eb,0xb937607a65e9ce6e58f32f369d30fb83700c8af9,1.35
0x5b96a37d346e674ff8587152df640ef22f31a5594901fdc7fc25f9685a7dba76,0xdfa6c7d9396240cf3486f2c85827a9e4805d0f4c,1.4
0x004805f782e4dac59c60197b14b018f3a08bbf582438a1d71ac900ecc8120ea2,0xa42b362bd6f84f4690a180f5d6c7acd79e68864a,0.009
0xbea96131dde730d5cf1cdb4c75d22b5650ce89efb7e6b5b12c0b91c91b6b17d1,0x57832132acf60866c8a1a7d89efab8d86897a52a,0.3
0x3571032d96d14538aeb64f86fdaba8f79e06c3dfebc2df45b82ee790ead79c15,0xec2f938e4ab0bfa63fab13611e38fd5b5ef25c1c,0.0269
0xd8d8b4bac24b0d00668cf8d66d277bafba57443db85ab794215e4c26cc661e3a,0x4661b41a2a67ffcb50e69dba254894b1117f9ce4,4800
0x4dd52662695d8c7d2111cdf93c07fc66cf92b140afff5474a655cc2e16106f8e,0xcaeba1fa58f3fee4ff3c514baf55c7af4047fa49,0.455
0xba874a78df20b880e91e62890a7589cb70a9aa07edf18bc8aefe35c1db7298a5,0x0dea9a3acc89180f64c0da50730124fa15678ebb,0.0065
0xffb8badd4d24b131baf84ce98e0e171a3480763f438ccb9cb073143476844d3d,0x4ff08d6cb961a322e629d4d05b35d548945efd21,0.024
0x186a1cfce44fa3209472cd63f9cb8f4b58da19654cb3cdfde057b9b7c71ab4a4,0xf39acf1811508468e1186f21a5ac5f4232240edb,0.2169999
0xa712a94db879306852bf1a71a16d08a516b6add725e9480c7f498ecd49871a4e,0x2cdf2cd096ec9c9724f3920c504dced58b3d3fac,99
0x1645d85eeafc8bb9caed91b9e89e364c665eec0845375e06d0047cad34e88f35,0x736e0a7be8c4b8e96e9e300974f68d5ff5c86911,0.027
0x020874bd2a39516d356503f22b5f13e1c27704b06e35710ff97ef46bf747e215,0x79c03fbf4972c498b86c7dd586361877e2ab6a74,1.234
0x404163636afa365919cf496e6e7c85a9d5dbdc659d925b69f9febb78b5e7e6bf,0x9b5086dc729302a5014b73bb56f0a9f1e2176dd8,0.017
0x853296480d1244675c25501ea5bd7807ec7f16a0163b1ae7a2ae93ede9415cd6,0xf3d9281fa183b74f32b96e1c5244596045f4ede8,0.3888
0x9230b3bdbc56d87d456eda460dd06a08c1ed224585cb73f50dfbbbaf34aeff8a,0x77777721b59e3db2b26f36f4e2d98e5948d74663,0.012
0xb2220152daae3681541058059ea8b3c653e73e46929245add6d34bc3052a093a,0x557be7b561bf0128e88134cfc017b243728845c4,0.054
0xde8dac14057b372d9a81a9d055375024be028e117df9df9191feba8a13e0eb2d,0xaef30d7e5d7eae71bebcca8eb8a9828a59563e8f,1.36
0x9ce8477a8789c7b08240818125fa452b7cd00075e92cf8fccf63f0101f1ae884,0xeafd5f7ba5eff7366f7192a64e3a1d927ce9052d,0.12
0x89b5abbd6b13f25c97e13529d9f38f4a6f6f446020de20ad83ad0484eefa91cc,0xdacd7c17f43c1b5d71d1a1069ba4951c37370800,0.13
0xc1a58be7c14451d5eb93f6c4b162778a3c8596c8eeddd04eb3094d3ab2926f0b,0x801ded75fa2a6c5a4b6c58306fc90c7b86646472,0.1
0x7797d9e36b8a524e3e7351e096532c1e0dfdc3edfa3cc90a347cb27f4bbe8637,0x8125ef62932875f3dfab6c9b39fa12c087397cb5,1.35
0x5f8cc3394ca4bec1cac4bf53197b20c0bcc2875476763b6fc454dfd81231e7de,0x00c4f3705b36db52a074a2d14d167ebf4804452a,0.1
0xdd99be3396b337ce7c8652c509057bdc9787115c5614a1dfc5b46dbdd9f37842,0xa3ca510e7e5a4cbff153d54bf6277628bfc63f0a,1.4
0x76834bbf3851b9596347c545dd9b38ddc2c8c1858a3c3c6565cadb23eee04fad,0xd62b7790d0b89d0c6634a7c05d8190ae4cb033e8,0.0209
0xb2a6d71f02f486a890ad6dcb714e431d274b6b04e07fa09e56a7532195825268,0xf3f3bed9e5c80a23255404c8841dee0db27f35cf,0.007
0x034a3b5c4893c480907ea87d5e1e8533891c8e2548ea9978a3a89045b2b253fd,0xf4c7e772f24c10e3ce60ce549059a021f60c911e,0.2
0xe11e11767316076b866b690d8c107bb6855084bf76cd8a465061cf7b1638e353,0xec2f938e4ab0bfa63fab13611e38fd5b5ef25c1c,0.027
0x00e58c2f20db768b35140f8c97a6952423689e8197e84bc5b8fb753fa7a39571,0x1bcda378e0272bec79357bd77f444ef1a01170cf,0.019
0x2da4c75777f020204333e69a51afcffac606d2fc2e3176ded2d2de865060d8c8,0x91cdf1d0c55a6df166846d90c12a17485592ad4e,0.01
0xe0e9d61aa1dc8602313b88201358be8667b33f393c9aeadb6bfdcd3446377982,0x3a8713065e4daa9603b91ef35d6a8336ef7b26c6,0.0079
0x068dc8d09fc69aa9f2e3c71009e6f1c373af33f1bd8648ed9ffc32a3ad00cc79,0x4bcc170af3950fa0c72c324edd563a566ff6a9c2,0.163
0x3d8e7e386207b713e392582d08cf408458d0259e2542a2f98ac169a30798d9bb,0xa1b2224199188538012d6777a8377fbd646438ca,0.007
0xb37560bab925fd1ee62288575e49997c0204168d71ac29926f86360ce80d6ea8,0x45d6d9f604013b4f7442341b81a77fe4c391444f,1.67
0x01074ccd51152cf175cf27d3fb3eed0331d1f344f4407a702d5a096e9c623b91,0x0dea9a3acc89180f64c0da50730124fa15678ebb,0.006
0x107353f5077ee0f0985dc613efe12810ae4e45bf6e0699606a2247b5abef72ee,0x6d587352df7e0c377e87983586459609e9baf94e,1.2569
0xc39853a34e97ce90360ba73729816d9d607866b8090b7d033e7866a343697bae,0x0272fef355917bd7bc7a5acf7a9e3a2c7773af14,0.03
0xb8a8aeded3356eb84a9afe4568c18fc2ff135129354f3824cbec47a952dbc12e,0x4ac6144e29bdad84e7671027da80422bb00787ce,0.025
0xdf8ca505618f4e5c19b52612394b8ed9f7c1b5de465d725e5716d5b89e891d0a,0x55b49d5e2ec303b86d1c812f91895a113995ea9d,3.85
0xa9e3b2effa42b064846bdc40ad2a45bb9a24b09b4714d1202b152690e947e105,0xf6a64c5791071e27262b3fd155e5c2802337b747,1.21
0xb53dd5b4fcbd2c8e113e36b590f8738df821e5a399e128dcff18e5188b089cc8,0x3a8713065e4daa9603b91ef35d6a8336ef7b26c6,0.0071
0x45d24ff7080a49130d76777cc1c264b4e924502dbb4ef0df5f547906aff13484,0x387fd01eb7b7fd5b99a5f5b8419148288d3898a4,0.012
0x16fb95d7f9150c977c30093f1d3e608726bf7103e4423fd353973cc4cde42937,0x136ab20a98cacfe5e789c03dc28e4393a726908a,0.007
0x500816157d13fab7aa692a2b45410e5ebfe0ea8a9a75288edf111dae3b220d81,0x77efeb96a40dd49ae7ecc61c0b41d08a7e01b2dd,0.69
0x6ad60f2300912fa7a3fc5780c431eb6cb33779f4f80e4158e7883d6158d9002c,0x900b2234f0c10f8431a156de3f2aa6813a54526d,0.05
0x8e453ea62ea9c748a19c554650fbdbb7cb3c083b7a050150377f4a2874b91b31,0x2d095b1c1403b645ec3b4ae8f0f2156fc8ee4f32,1.68
0x9b05b897ae8395e66eace26b15998967b2896b4fa899b56b40060e8d5e1b43db,0x304462fef3554f77abf3be5476bfd04417ed68d8,0.23
0x1e31f1e7d6b0f8ca7c8afb3add09262e2060e7b0bff85c8ebb71e14e2f5ae7ef,0x88cf03e4a797f16a8be621eb8dc6f710e7ed6104,0.006
0x57228022775604fb7aa13feaa8072f2b0d11ce1f62e8c43117b1f6c9cd8f6023,0xa42b362bd6f84f4690a180f5d6c7acd79e68864a,0.009
0xfcab479d026eaca3b95990c3442575b7cae400fef1698936bf35c1ef59d690ce,0x8a57fa9e6fd8240c3ab40f9c2964225003cbc224,0.3
0x3c1254dd6684b1b5d93cb704af76a2224e43d8b6b6d4e515d2af27439f8f6702,0xe5e10cb4e0d26dee925b9c157ce81075c07670c4,0.05
0x2ed5e1aa4745db1a5a72b7f40d1fbc34620a0bc8ff64ac93e1d8b6a25e39edda,0x0bd329bd1502fab599c6a6c7a3e7f8edf355865b,0.136
0x2951e49bbdd123c0c396f068b8a79a7dd87068e532318df659f8dc148e922642,0x7b8a6e7777793614f27799199e32e80f03d18dbe,0.228
0x2ae1a1b93c5af3923e8542313f1003c8157d7376832761dbbfd3a163f9d6c17d,0x3e5d041b1acb6d95230423e5ea62a206c8e4f550,0.22
0x4c1c0a61cc9969ec009e5296ae6dc22b5a057185958e07b932e4917d3d78edf2,0xd293d2b2fe041f4fede41487b00def32c5d20a3f,0.004
0xc3b1eb3959ac8c19168eea4a192fdf787bd7561b52e0107695a5e6a3ead21812,0x7b89eb769cf6e39fe37a660f2a1ab42ce82c37d0,0.002
0x4045f1fbc24174ebd03e30db8f66e2ba5ba0d4af0b90d5931852c7e39afdeed6,0x06dc4453343220b628ec808107d6202439bf0796,0.015
0xb165bc50734495247533c8c88fe53685567d592e92d5cc349581606c984fa5d6,0x778e3b5ab41f6fa20bb5812fc1ef5929bcbc422a,0.9
0x61f5178d12a19768356df2ee1c8584b26568012456cbfc7d7b0ad7ab832c7049,0x62a1a33265f750432fb13512d9e84170f439ab83,0.12
0x81cd7b5f9637e41d6de39ff0353b46f9ced06787d2043c0dc0accb8fd9917f82,0x544cbd3cfcfef555bd735538c482eb29dab7058c,0.0049
0xeb21c9b96e9f01d55cdff6a8175becea3788fb9c90c1f44708ff8e3d04b1369e,0xfe6b987391dfd5a63195d174cc8f232ca4b99975,0.219
0x968087e3875b619bd4ead3d8defbc37225d516f8626329dc383fab47277ad65d,0xaa2e61bd52d62cccc988e3dd1e38fc10c25741e5,0.0188
0xfb7c9afb453f93e1a9678bb290ee8b86b2a18f90cc18bb69b76ec4e490e20922,0x451d64c291a6b00b5baddcf5618bcaa18dc2232d,0.286
0xa3b661e2702c5c3a8edda36db1d7414c8e3e8c8a1200c14dac0fbc73ca408dca,0xc79306f772cf9461d37c9ff7b551c0592c5e8f68,0.0277
0x8d88979cf87bca56e8cfb9787a471b4f2c35e1028bcbdb9eb706ebba5dfb106d,0x3a8713065e4daa9603b91ef35d6a8336ef7b26c6,0.007
0xb95abca63e467c4d5bccb7ddf6a64a3c4cf60b667785e8c83f4bfc775726bd38,0x610bb996cadc469ff4985a20b22278dda954e83a,0.92
0xa98af8edfc00372638e230f0a86ab02cab8c6e1cfd82fba87659d326713671ef,0x6520d71fc6226f6743ce571f0e9aa58c406a58cd,0.0119
0xaebb0ba32e315c926f58c9d62773896b114301c4636397b3fe66e8cc3b00849f,0x88eaca965d1fca6866ff57ea6133d9b50ee31767,3.05
0x1480d6cba433f9106e97a42d47ec853acea16711c23a30e98a0072a75ecb86b9,0x07ec0f92b52586769c634ba5f60c7100d5a10662,0.38
0x4b226d4aa45ec0083dfa84bcde2a6e945b26483feabebcfabf28bd7774b0f119,0xc38aeaf31ce47ed6f2007508c78f321dc6fc72b8,0.11
0x2386cf7be8a79ff2d5d42a913cb112f14467bdeecef3c8cfffb7c0c50fcbf79c,0x0dfba37c5dc1149be766f3b7fd25ee3eda087f1b,1.35
0xe888ad07d61d60aead10c797c934ce3d88d575fe7b55f9f9a68c5947760b096d,0xf2a78c71370d4420808b4756b0c85d32240eaa9f,1.25
0x7826f9f41f3bc4c2ff110f15af76ce25766d50757e35f39467840b3d00c55546,0xb7afe2297b5756b740193076e5cb2753ac582543,0.007
0x623c0344dcb2f753ced68e086b953f6cd3725829440fdd8e36a5fa0f0db768f5,0x7d872f8ec8e6463d06e8f99f4f0e9dc5f2b15877,0.022
0x651f94b1370e008fc5b2b93244f44bdf13a3c11f381e08812977aa13f661c6ff,0x4cdab74f6a863d0c0a1c783b130f02c570046c7c,0.0078
0xa9060e0783f73fc3307630232be93000e5ef868d248b7d58702659ed01559832,0xac215225ba9ea6afd71d7d4dad05bec59b1bc560,0.24
