blockchain,project,version,block_date,block_time,evt_index,sub_idx,sub_type,seller,buyer,trade_type,trade_category,evt_type,nft_contract_address,token_id,number_of_items,token_standard,amount_original,amount_raw,currency_contract,project_contract_address,platform_fee_receive_address,royalty_fee_receive_address,block_number,tx_hash,tx_from,tx_to,zone_address,estimated_price,is_private
polygon,seaport,v1,2022-11-11,2022-11-11 04:59,23,1,offer,0x17025c896ecd7a8fe502617b6c631f28bda76704,0xd5b60a2ae59986e50a9552003b5d66c30f1a25ba,Single Item Trade,Buy,Trade,0xc70a7496716b3e25546901fe88215531abbd5a10,238,1,erc1155,0.05,50000000000000000,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x00000000006c3852cbef3e08e8df289169ede581,0x0000a26b00c1f0df003000390027140000faa719,0x87991518bb8c06345f768062abec1636149220a6,35465537,0x3b07e05c0a0fe80e5793a9395a4b844780b7a33852aedafd1196be7cc05bba69,0xf408bee3443d0397e2c1cde588fb060ac657006f,0xd5b60a2ae59986e50a9552003b5d66c30f1a25ba,0x0000000000000000000000000000000000000000,FALSE,FALSE
polygon,seaport,v1,2022-11-11,2022-11-11 17:51,366,1,offer,0x30523df27179971c41c4ae8b9a9b30aaca9a75a8,0xbc3a956a05808799f3ef9b1b1eeeec56f8d89e21,Single Item Trade,Buy,Trade,0x622d8fea4603ba9edaf1084b407052d8b0a9bed7,2811164,1,erc1155,0.7,700000000000000000,0x0000000000000000000000000000000000001010,0x00000000006c3852cbef3e08e8df289169ede581,0x0000a26b00c1f0df003000390027140000faa719,0xefaabd0ac76607325bb342a48e34284d2870c211,35486035,0x3ac8fd48d6226e6136f900ed10e879a1f9b862e80710b3130676bda3f869bb82,0xbc3a956a05808799f3ef9b1b1eeeec56f8d89e21,0x00000000006c3852cbef3e08e8df289169ede581,0x0000000000000000000000000000000000000000,FALSE,FALSE
polygon,seaport,v1,2022-11-10,2022-11-10 21:00,265,1,offer,0xffa5b82d15ce9b3b56486faf05364d9b52eaacae,0xe1b27589760a6bda4e77f0720d7319926bb10754,Single Item Trade,Buy,Trade,0x622d8fea4603ba9edaf1084b407052d8b0a9bed7,2010493,1,erc1155,0.19,190000000000000000,0x0000000000000000000000000000000000001010,0x00000000006c3852cbef3e08e8df289169ede581,0x0000a26b00c1f0df003000390027140000faa719,0xefaabd0ac76607325bb342a48e34284d2870c211,35451871,0x39b84a27dfdbcb67a797913b5db678af3e3abfbc6f7020eee74450f00f4be33f,0xe1b27589760a6bda4e77f0720d7319926bb10754,0x00000000006c3852cbef3e08e8df289169ede581,0x0000000000000000000000000000000000000000,FALSE,FALSE
polygon,seaport,v1,2022-11-14,2022-11-14 08:49,9,1,consideration,0x1b34bc6e87d79ce7d08d7d6b4f923ede6bd53fd0,0x03b554e6f75c750a8e3affe2ffa23332d0ea7a78,Single Item Trade,Offer Accepted,Trade,0x22d5f9b75c524fec1d6619787e582644cd4d7422,419,1,erc1155,0.03511,35110000000000000,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x00000000006c3852cbef3e08e8df289169ede581,0x0000a26b00c1f0df003000390027140000faa719,0xb7265b71faf21454769921cb99f3598650cec685,35589656,0x0f7c442845f58bf9e1eec90b6e2c399a7af961ef4f7df192ecfeb62140e3dc59,0x1b34bc6e87d79ce7d08d7d6b4f923ede6bd53fd0,0x00000000006c3852cbef3e08e8df289169ede581,0x0000000000000000000000000000000000000000,FALSE,FALSE
polygon,seaport,v1,2022-11-15,2022-11-15 14:32,289,1,consideration,0x6646773eaaa76a1b6083849eb4607b7d418c610a,0x0ee8a7de00b82f8fc99263e9f42b09cf415b9911,Single Item Trade,Offer Accepted,Trade,0xee52cb4dda48dab025e911edbebbc843881a36c3,0,1,erc1155,0.003,3000000000000000,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x00000000006c3852cbef3e08e8df289169ede581,0x0000a26b00c1f0df003000390027140000faa719,0x3e7c366b53b0f506644cdf72df5d3b0bc5536711,35640683,0x118f3b30ce59a860da92b139fda2287d28572ce19642ac513fe482b66dd0db57,0x6646773eaaa76a1b6083849eb4607b7d418c610a,0x00000000006c3852cbef3e08e8df289169ede581,0x0000000000000000000000000000000000000000,FALSE,FALSE
polygon,seaport,v1,2022-11-09,2022-11-09 03:36,154,1,consideration,0x81b53dd9c7627d825c5fca066d8d611412c7cce4,0x57b8734f103eeead3a699656e2c2ef031aed9508,Single Item Trade,Offer Accepted,Trade,0xa9a6a3626993d487d2dbda3173cf58ca1a9d9e9f,10034466110987136190011058609656181567800507902337333604860695558114794602882,1,erc721,0.00493,4930000000000000,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x00000000006c3852cbef3e08e8df289169ede581,0x0000a26b00c1f0df003000390027140000faa719,,35380577,0x1ce4882b8210cfc1c6cdfbd4b883bb0b38a7c23fb996fbb155c8de476c2a43ca,0x81b53dd9c7627d825c5fca066d8d611412c7cce4,0x00000000006c3852cbef3e08e8df289169ede581,0x0000000000000000000000000000000000000000,FALSE,FALSE
arbitrum,seaport,v1,2022/11/23 0:00,2022/11/23 2:17,1,1,offer,0x74fc2db2c55e6ec92e01be803c10e866be7e967c,0x6273957eb6707f6e935d8b190bd239ccae0eb7cb,Single Item Trade,Buy,Trade,0x619f1f68a9a3cf939327801012e12f95b0312bb9,7,1,erc1155,0.0015,1.5E+15,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0x00000000006c3852cbef3e08e8df289169ede581,0x0000a26b00c1f0df003000390027140000faa719,0x07c648648a6bd4ab688a1995fc049285f541fe20,40415444,0x479552f193214637b59f724adccf69045df127cf424c5e00fd61942532a2a22d,0x6273957eb6707f6e935d8b190bd239ccae0eb7cb,0x00000000006c3852cbef3e08e8df289169ede581,0x0000000000000000000000000000000000000000,FALSE,FALSE
arbitrum,seaport,v1,2022/11/23 0:00,2022/11/23 2:17,1,1,offer,0x74fc2db2c55e6ec92e01be803c10e866be7e967c,0x6273957eb6707f6e935d8b190bd239ccae0eb7cb,Single Item Trade,Buy,Trade,0x619f1f68a9a3cf939327801012e12f95b0312bb9,7,1,erc1155,0.0015,1.5E+15,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0x00000000006c3852cbef3e08e8df289169ede581,0x0000a26b00c1f0df003000390027140000faa719,0x07c648648a6bd4ab688a1995fc049285f541fe20,40415499,0x886def43b18a4f37ffc8448055f96e4b32a0a37a48ebc11f0b761e11a1d3f040,0x6273957eb6707f6e935d8b190bd239ccae0eb7cb,0x00000000006c3852cbef3e08e8df289169ede581,0x0000000000000000000000000000000000000000,FALSE,FALSE
arbitrum,seaport,v1,2022/11/23 0:00,2022/11/23 2:17,1,1,offer,0x8d2957bc1ebecf30db2d885f53e8b2378d16c60d,0x6273957eb6707f6e935d8b190bd239ccae0eb7cb,Single Item Trade,Buy,Trade,0x619f1f68a9a3cf939327801012e12f95b0312bb9,7,3,erc1155,0.0045,4.5E+15,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0x00000000006c3852cbef3e08e8df289169ede581,0x0000a26b00c1f0df003000390027140000faa719,0x07c648648a6bd4ab688a1995fc049285f541fe20,40415350,0x4c2643ffbea9f109655247d90465aeaa4fb015fdad9be3c97c8e308a8a7dffd7,0x6273957eb6707f6e935d8b190bd239ccae0eb7cb,0x00000000006c3852cbef3e08e8df289169ede581,0x0000000000000000000000000000000000000000,FALSE,FALSE
arbitrum,seaport,v1,2022/11/23 0:00,2022/11/23 2:52,2,1,offer,0x26780a0dd0773787682fa8580a4734bb820f028b,0x0c8a4dca2f8b8768592e5c0a168f5be654bf87a3,Single Item Trade,Buy,Trade,0xf3d00a2559d84de7ac093443bcaada5f4ee4165c,9,1,erc1155,0.00006,6E+13,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0x00000000006c3852cbef3e08e8df289169ede581,0x0000a26b00c1f0df003000390027140000faa719,0xdb6ab450178babcf0e467c1f3b436050d907e233,40422498,0x2bd093437534d4f0b8bb17e440045a04915a86fdca48c2b8509b1f9467f15e8a,0x0c8a4dca2f8b8768592e5c0a168f5be654bf87a3,0x00000000006c3852cbef3e08e8df289169ede581,0x0000000000000000000000000000000000000000,FALSE,FALSE
