block_time,block_date,block_month,blockchain,amount_usd,type,token_bought_amount,token_bought_symbol,token_bought_address,token_sold_amount,token_sold_symbol,token_sold_address,fee_usd,fee_token_amount,fee_token_symbol,fee_token_address,project,version,token_pair,project_contract_address,user,tx_id,tx_index,outer_instruction_index,inner_instruction_index,is_last_trade_in_transaction
2024-03-23 10:56:16.000 UTC,2024-03-23 00:00:00.000 UTC,2024-03-01 00:00:00.000 UTC,solana,,Buy,71.131396949,TOAD,CxRppbsvfhrZJdnqSo5VDkrAYQMucN8Gbj5J1F5qkrNs,0.025,SOL,So11111111111111111111111111111111111111112,0.0438625,2.5E-4,SOL,So11111111111111111111111111111111111111112,raydium,4,TOAD-SOL,HXVijRdLh9hwmXDsJ8T495e6oN8eGeaSMmHNLuMcaU3G,9WRuzmMVZzEL8sm8XRB9oP9ZNGYgXDNgbc4MgxVE4b8E,Z9N6d8KyVHcoZhsa2AFChYr74ryQwh52UsZNTvGVwr8XC3jvnit1TTcFzHnYcMYSZ4ZdMKJcAaHNy6A8guyffRG,354,6,0,true
2024-03-23 10:56:15.000 UTC,2024-03-23 00:00:00.000 UTC,2024-03-01 00:00:00.000 UTC,solana,,Buy,37.273009232,,9YcdcqkFoaGdhWFdVQeH5XVz6g2PMzioEBJfmhcjdp1,0.02,SOL,So11111111111111111111111111111111111111112,0.035089999999999996,2.0E-4,SOL,So11111111111111111111111111111111111111112,raydium,4,,14GrNkizSjZqanwGgbbeDwzYqq6KoxWWFM6LGozkZDT7,67DXZXg9S5BDzpxXuYXidV9B2YRiG6RBuaffeGWem3vV,5uV8EVMnPLpp28kdjeGz8z2VK5juHZHUyeAP76Cbp7eDc5Mvk876yZah34UyZY2GiQecJbmrXZ7KeQMGt4QKkAQQ,918,6,0,true
2024-03-23 10:56:14.000 UTC,2024-03-23 00:00:00.000 UTC,2024-03-01 00:00:00.000 UTC,solana,,Buy,465.010371212,,FvfCMC5ZtxagBjf7CidHd9yXSj314fsz3uzQCoEXrpCS,0.5,SOL,So11111111111111111111111111111111111111112,0.87725,0.005,SOL,So11111111111111111111111111111111111111112,raydium,4,,E1RdVEiSLARNfQb88k3uAPnx6koMuqcuq6PCDZtLKBqj,J5Xu4WAVbm6iXAHyMSJvqsqwZ5D3GUVryQvHCgozXdPw,36EeHxbqKuLZ8tbGKyGhvpEAU83ZeXTWAscLNMYtCWBwJw5V3Ug8jTfip9S1gMtp5zzRDckXtzp6Ls2GMiU7CUgs,217,5,0,true
2024-03-23 10:56:11.000 UTC,2024-03-23 00:00:00.000 UTC,2024-03-01 00:00:00.000 UTC,solana,,Buy,665.280802899,HUND,2XPqoKfJitk8YcMDGBKy7CMzRRyF2X9PniZeCykDUZev,0.06,SOL,So11111111111111111111111111111111111111112,0.10526999999999999,6.0E-4,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-HUND,CtXYCgkfMdTnvtiU8Ju6BjntBb3GRhmwYA8FaV1KCLMu,DX4nqBurfxGwDrS7zytVRrWJKou6aeSuMqynzQXJLB4u,5qbZWkcNV21vAbe24UJtfLoiFRWA8tzhxmp5E9KN3kKTLrijV64b9NHocFkehFm7VBvumLkKUbfnrwY1LxKr5Kdd,766,6,0,true
2024-03-23 10:56:10.000 UTC,2024-03-23 00:00:00.000 UTC,2024-03-01 00:00:00.000 UTC,solana,,Buy,42.109623068,,BEwdASbWDAyTNWdD2uJ6G9kXVMjYoy7DZTgK1a88DiPQ,0.023,SOL,So11111111111111111111111111111111111111112,0.0403535,2.3E-4,SOL,So11111111111111111111111111111111111111112,raydium,4,,5hfRBe16Jdb1ke7bbZYAkdjaiT9j57X18DaS2NoabsWS,GXXqJJD89kTEyv1UtMHKmULPtDo91aVQmwg2xcEc6noe,3E4ud9KJrQPWha4sLSaWaiLyEcabjWTutyaBrbVPiySymYndeV2f9KVV96BxPWBkQgmQxQW7e4gKKiBGVisPHXVW,1336,6,0,true
2024-03-23 10:56:09.000 UTC,2024-03-23 00:00:00.000 UTC,2024-03-01 00:00:00.000 UTC,solana,,Buy,5.675893629,,D27NUpSHzfccLkTztBn22LD4WgUJ8v7Mx1gN9fpqt2Cw,0.05,SOL,So11111111111111111111111111111111111111112,0.087725,5.0E-4,SOL,So11111111111111111111111111111111111111112,raydium,4,,EKMbCq6Tj1Z4YJbCZYD6htanTcu88wryeyyATdD9EgbC,6hkYgMFUeHhdnkgZKujR5hfxCweB5EHa21PKPcZ7rAMf,362n1CPNHZniETNKJGGaYhCbXHJ3rFj4FQqzopMZJHSab3tpfTpDkdVsa2qZAnyZtp4H6aSRfBg2vocBx6xrdoff,796,6,0,true
2024-03-23 10:56:09.000 UTC,2024-03-23 00:00:00.000 UTC,2024-03-01 00:00:00.000 UTC,solana,,Buy,42.514153752,,ECutGg12PNhqhkvnH1s1FcuXgCDzKDNhSf5aLtANioR7,0.2,SOL,So11111111111111111111111111111111111111112,0.3509,0.002,SOL,So11111111111111111111111111111111111111112,raydium,4,,HfGLey7nMZZnvSpBnPU17CMPBZoy6eiseX54FoYwpm8S,FXWwN4YYTsTWtyGgyX3AsXdEDE9PFjHVCgHDt5wgEZKE,4KoAcqAAhSHcRgw3jzQeKikQfoz6eR7angKyvsssNMXK12Zsc1W7ZpzG5wqDbRgH2bjinVbDdxEh8eEFNBKkjf1v,783,6,0,true
2024-03-23 10:56:09.000 UTC,2024-03-23 00:00:00.000 UTC,2024-03-01 00:00:00.000 UTC,solana,,Buy,11.36183563,,D27NUpSHzfccLkTztBn22LD4WgUJ8v7Mx1gN9fpqt2Cw,0.1,SOL,So11111111111111111111111111111111111111112,0.17545,0.001,SOL,So11111111111111111111111111111111111111112,raydium,4,,EKMbCq6Tj1Z4YJbCZYD6htanTcu88wryeyyATdD9EgbC,Eo4pfAo9r4Z5zvJD8JRnNjNKj6kJK8i4s5haA97s7AGu,2bNVuydseMxG5FQkT6vbLtr3Y3jsNfWsyfEkF9cWvtpvnSCX1VEhxPnBC5f3wYPqfcKXPzyfFd5kHpsr9ewEZY97,720,6,0,true
2024-03-23 10:56:09.000 UTC,2024-03-23 00:00:00.000 UTC,2024-03-01 00:00:00.000 UTC,solana,,Buy,5122.379706,PIGGY,JAtV6858pjrVfTLTHK5CSpzA7Woi5eN7eA6wd5ibJzxS,0.32,SOL,So11111111111111111111111111111111111111112,0.5614399999999999,0.0032,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-PIGGY,Byw3T6xrDQD3RH8Uhohsb93R6tuhBo1cjCEyAQ44aFJL,5rF8jbyk7D8pP5e1GeyFSyWQcDqjcBF4MgCmffWpTQyn,5DnqUP5nQeNLXvXVikcqn2wjP2VZR7fqsGpBLBwhVgrtjAXJQhJoMcvyN6so2B3V2XtN2mEw3YFExJAZnmLQ1CCs,458,6,0,true
2024-03-23 10:56:09.000 UTC,2024-03-23 00:00:00.000 UTC,2024-03-01 00:00:00.000 UTC,solana,,Buy,395.778238255,,FF4dN8Qy8NNF88HRgMA3TkbRVZ8PTXWXZCZJb59X3Sbg,0.1,SOL,So11111111111111111111111111111111111111112,0.17545,0.001,SOL,So11111111111111111111111111111111111111112,raydium,4,,8vWfQqJWUTfkrobETYBsZcjrCzyrHXnpNVe2AHb4Yu7D,DVXCqhnGXxu1ymMrwb4tw5SF7Tws9UoPVG5Yz9kJ6MJK,3Mn2JUL7WEyJagg9meJH4HPe23hLW5gp9QdLbY9Wt8HXN9N8LNzHv8rs7KMp3TaVnsnP4jksoMR5xdWuzkWKhgHp,455,6,0,true
2024-03-23 10:56:08.000 UTC,2024-03-23 00:00:00.000 UTC,2024-03-01 00:00:00.000 UTC,solana,,Buy,432946.84312645,Wif~,888fBjzbjgHMtTPqnYugE4nHDyYpsyhF6aBXmR52hA71,1.0,SOL,So11111111111111111111111111111111111111112,1.7545,0.01,SOL,So11111111111111111111111111111111111111112,raydium,4,Wif~-SOL,BBTMK3jac5pQ7YCfKQaSYjxHrCXTQE97BkkrKrxFwnEV,DnDw2twUfimsoniJ9FT18q5w3qQmKHvzbPef99oJRYb6,45J4YxyGeNgB8TSEzYrh7eFYcQahs3Akb6yaZtgUPa92DG9tbyrkXCB3c7mq3mfTw4HKMLCiFa2zNsZJ3dgiTmDc,607,5,0,true
2024-03-23 10:56:08.000 UTC,2024-03-23 00:00:00.000 UTC,2024-03-01 00:00:00.000 UTC,solana,,Buy,1996.526351,BOR,FPS9JvA4PneRyU2K9gGwtyNbvRXEoWDxPLw8w6Hi7dPt,1.4,SOL,So11111111111111111111111111111111111111112,2.45629982455,0.013999999,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-BOR,H1GWkwbsNz72rKyRyA6DmkDGDjiwoJFy6rKNBhY5p36k,EDt5z3e9oqhspE7tdvdjkoanmf5wyqXmxTrMZByZWGuy,5pU87zuigNWeCTSJnFoSMyYgcuHFHiRBvzu3VcTv33yJRuhsCNEFQxTuaELowiEqiQfyddwWHRciyfFPhFQcnfRo,535,5,0,true
2024-03-23 10:55:54.000 UTC,2024-03-23 00:00:00.000 UTC,2024-03-01 00:00:00.000 UTC,solana,,Buy,338871.647891997,YIKES,Ce3dRaePi2PrcsHb45i8qcaeCpHacvjXbbzo2DTPfX8z,0.3,SOL,So11111111111111111111111111111111111111112,0.52635,0.003,SOL,So11111111111111111111111111111111111111112,raydium,4,YIKES-SOL,FhtTpTiB4BmEvPgV3mXvcQti9J76dtgVheexTdb26UgG,And8HWaAV3d5UMeTfTCy2RsJaPAYTbhaYpsqbbQfxk2b,3wzNCU6vyNvg6UHb74sGcKSvXJnJJsJPY5qvZE24ZeBtNMubVZwsFwzi9Q4KHnbypAG6Vb3LLVeATAaYY5EkppkE,28,5,0,true
2024-03-23 10:55:54.000 UTC,2024-03-23 00:00:00.000 UTC,2024-03-01 00:00:00.000 UTC,solana,,Buy,400.183646962,,8BPS3WukRscHpaC8kqGWVunPsfykJEHsuavhRXpbkroP,0.8,SOL,So11111111111111111111111111111111111111112,1.4036,0.008,SOL,So11111111111111111111111111111111111111112,raydium,4,,DtzX9TM7tgxeTEZ6dr3Mwu2EddCH73c18ix9JoTM7Pxn,BDo66LyJdVFf3ptv2syUkwAKwiZGx4qKVmGA2gHkotHB,49sZxHhPXv1TmdioZWZr7kRPGiJUX2UdHDZteJGo65U38bvyKCMUA7165ZifSPerdunhWYEWm67sY4116UB4VVEV,25,6,0,true
2024-03-23 10:55:49.000 UTC,2024-03-23 00:00:00.000 UTC,2024-03-01 00:00:00.000 UTC,solana,,Buy,13400.77177,THICC,aAjwKgjmcXxE5VgQ11eAfCmHVtr6kunMBckA5t8tEJb,0.3,SOL,So11111111111111111111111111111111111111112,0.52635,0.003,SOL,So11111111111111111111111111111111111111112,raydium,4,THICC-SOL,6SfVPj2wkGkEYqe4DumeoxEuMTMdoJ75uCLbN5H4utYA,4YvGBgXTjakeHxod45ooHKrDm59xQ93ZU1YAjiRiib8Q,2j4VWSkKdnL5zK9QoARK2hhK9DEHg5AsmDM5F5ExEwvWe9Kt2Nx3xaWiyBPZBoiepuhMPYmiu624LaXRotEYGWpZ,95,5,0,true
