block_time,block_date,block_month,blockchain,amount_usd,type,token_bought_amount,token_bought_symbol,token_bought_address,type,token_sold_amount,token_sold_symbol,token_sold_address,fee_usd,fee_token_amount,fee_token_symbol,fee_token_mint_address,project,version,token_pair,project_contract_address,project_contract_address_url,user,user_url,tx_id,tx_id_url,tx_index,outer_instruction_index,inner_instruction_index,isLastTradeInTransaction
2024-03-26 06:13:03.000 UTC,2024-03-26 00:00:00.000 UTC,2024-03-00 00:00:00.000 UTC,solana,Buy,4.8141225,4043755.5446425,THOL,EKCW975DWdt1roK1NVQDf4QGfaGTcQPU5tFD1DMcMe9Q,Buy,0.02475,SOL,So11111111111111111111111111111111111111112,0.02431375,1.25E-4,SOL,So11111111111111111111111111111111111111112,raydium,4,THOL-SOL,tM4ReM75273xUEKagXgxviHWZEPmnEMgXT3q4kG1VKv,"<a href=""https://birdeye.so/token/EKCW975DWdt1roK1NVQDf4QGfaGTcQPU5tFD1DMcMe9Q/tM4ReM75273xUEKagXgxviHWZEPmnEMgXT3q4kG1VKv?chain=solana"" target=_blank"">tM4ReM75273xUEKagXgxviHWZEPmnEMgXT3q4kG1VKv</a>",Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ,"<a href=""https://birdeye.so/profile/Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ?chain=solana"" target=_blank"">Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ</a>",3qG6eQPktTkutamhpG14gRnBdHVzSN9WRWYxzcg29XpmFYfaALf76FuGRET6HBypYZVQQkkUjv7D44sZdBtStwiy,"<a href=""https://solscan.io/tx/3qG6eQPktTkutamhpG14gRnBdHVzSN9WRWYxzcg29XpmFYfaALf76FuGRET6HBypYZVQQkkUjv7D44sZdBtStwiy"" target=_blank"">3qG6eQPktTkutamhpG14gRnBdHVzSN9WRWYxzcg29XpmFYfaALf76FuGRET6HBypYZVQQkkUjv7D44sZdBtStwiy</a>",131,6,2,true
2024-03-26 06:11:45.000 UTC,2024-03-26 00:00:00.000 UTC,2024-03-00 00:00:00.000 UTC,solana,Buy,4.8141225,80.5917733,NYXC,HrLx8MLKegpbmbmWePZiuvf3AbJNx1CJyjBwUHwicEgW,Buy,0.02475,SOL,So11111111111111111111111111111111111111112,0.02431375,1.25E-4,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-NYXC,y2VM9yTBEeLtkHjhMMei447V2BXunRy6K5bw9PEkP7Z,"<a href=""https://birdeye.so/token/HrLx8MLKegpbmbmWePZiuvf3AbJNx1CJyjBwUHwicEgW/y2VM9yTBEeLtkHjhMMei447V2BXunRy6K5bw9PEkP7Z?chain=solana"" target=_blank"">y2VM9yTBEeLtkHjhMMei447V2BXunRy6K5bw9PEkP7Z</a>",Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ,"<a href=""https://birdeye.so/profile/Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ?chain=solana"" target=_blank"">Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ</a>",29FxTdJkRvTy2ANkxEokVxKVS1QC2CCyoZhBqagHDMmtxNpFR1eeKZE3xy4HKHnjWfJPK1pCBehHBxArf4yQia4e,"<a href=""https://solscan.io/tx/29FxTdJkRvTy2ANkxEokVxKVS1QC2CCyoZhBqagHDMmtxNpFR1eeKZE3xy4HKHnjWfJPK1pCBehHBxArf4yQia4e"" target=_blank"">29FxTdJkRvTy2ANkxEokVxKVS1QC2CCyoZhBqagHDMmtxNpFR1eeKZE3xy4HKHnjWfJPK1pCBehHBxArf4yQia4e</a>",90,6,2,true
2024-03-26 06:11:04.000 UTC,2024-03-26 00:00:00.000 UTC,2024-03-00 00:00:00.000 UTC,solana,Buy,4.8141225,405681.929100369,$AKUMULA,FeaLEarmzKwZzNai5qJYH6CRVJ7T9bYhxVdhS76bQi4n,Buy,0.02475,SOL,So11111111111111111111111111111111111111112,0.02431375,1.25E-4,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-$AKUMULA,3SUw9rvTrohTTwrqMJ8XDqtXzsGSVW8Q93cUKNmjBTzC,"<a href=""https://birdeye.so/token/FeaLEarmzKwZzNai5qJYH6CRVJ7T9bYhxVdhS76bQi4n/3SUw9rvTrohTTwrqMJ8XDqtXzsGSVW8Q93cUKNmjBTzC?chain=solana"" target=_blank"">3SUw9rvTrohTTwrqMJ8XDqtXzsGSVW8Q93cUKNmjBTzC</a>",Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ,"<a href=""https://birdeye.so/profile/Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ?chain=solana"" target=_blank"">Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ</a>",2WY5DkwzNuP2TiooUhtLAFnJwTUSZwKynjuZw5QYkcXvigDd3PC3LbKyFmNQ564Zp1qMEg9D7hyApbdojzjwFDde,"<a href=""https://solscan.io/tx/2WY5DkwzNuP2TiooUhtLAFnJwTUSZwKynjuZw5QYkcXvigDd3PC3LbKyFmNQ564Zp1qMEg9D7hyApbdojzjwFDde"" target=_blank"">2WY5DkwzNuP2TiooUhtLAFnJwTUSZwKynjuZw5QYkcXvigDd3PC3LbKyFmNQ564Zp1qMEg9D7hyApbdojzjwFDde</a>",19,6,2,true
2024-03-26 06:10:30.000 UTC,2024-03-26 00:00:00.000 UTC,2024-03-00 00:00:00.000 UTC,solana,Buy,4.8141225,405204.000331331,$AKUMULA,FeaLEarmzKwZzNai5qJYH6CRVJ7T9bYhxVdhS76bQi4n,Buy,0.02475,SOL,So11111111111111111111111111111111111111112,0.02431375,1.25E-4,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-$AKUMULA,3SUw9rvTrohTTwrqMJ8XDqtXzsGSVW8Q93cUKNmjBTzC,"<a href=""https://birdeye.so/token/FeaLEarmzKwZzNai5qJYH6CRVJ7T9bYhxVdhS76bQi4n/3SUw9rvTrohTTwrqMJ8XDqtXzsGSVW8Q93cUKNmjBTzC?chain=solana"" target=_blank"">3SUw9rvTrohTTwrqMJ8XDqtXzsGSVW8Q93cUKNmjBTzC</a>",Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ,"<a href=""https://birdeye.so/profile/Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ?chain=solana"" target=_blank"">Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ</a>",4oH5uez6DRL4CFqNnXvXV7xF3oLznQ6F57YfUPSkihpyu9o4pvvSu3dpANm6hXirWGccbx4btbDEhk5KFdbAb1gF,"<a href=""https://solscan.io/tx/4oH5uez6DRL4CFqNnXvXV7xF3oLznQ6F57YfUPSkihpyu9o4pvvSu3dpANm6hXirWGccbx4btbDEhk5KFdbAb1gF"" target=_blank"">4oH5uez6DRL4CFqNnXvXV7xF3oLznQ6F57YfUPSkihpyu9o4pvvSu3dpANm6hXirWGccbx4btbDEhk5KFdbAb1gF</a>",554,6,2,true
2024-03-26 06:09:18.000 UTC,2024-03-26 00:00:00.000 UTC,2024-03-00 00:00:00.000 UTC,solana,Buy,4.8169038331500005,0.861081417,VCAT,VP9UaBXLM4KYRvyjisu65rz8BU5xNAbewU7LVmyU2x4,Sell,4.816663,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.02435375,1.25E-4,SOL,So11111111111111111111111111111111111111112,raydium,3,USDC-VCAT,BNgRxLKbcFMAFyc1CePr77oiCF6PSApM5NzoEEjRoHk,"<a href=""https://birdeye.so/token/VP9UaBXLM4KYRvyjisu65rz8BU5xNAbewU7LVmyU2x4/BNgRxLKbcFMAFyc1CePr77oiCF6PSApM5NzoEEjRoHk?chain=solana"" target=_blank"">BNgRxLKbcFMAFyc1CePr77oiCF6PSApM5NzoEEjRoHk</a>",Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ,"<a href=""https://birdeye.so/profile/Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ?chain=solana"" target=_blank"">Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ</a>",XS28EqZe3EuPa82sp1d3imDzrmM4UqLPPWZeqHFGMginW4fMM9ZpK1DJpSzzB1HMopoGRT8SFndFsGckiXM9yhM,"<a href=""https://solscan.io/tx/XS28EqZe3EuPa82sp1d3imDzrmM4UqLPPWZeqHFGMginW4fMM9ZpK1DJpSzzB1HMopoGRT8SFndFsGckiXM9yhM"" target=_blank"">XS28EqZe3EuPa82sp1d3imDzrmM4UqLPPWZeqHFGMginW4fMM9ZpK1DJpSzzB1HMopoGRT8SFndFsGckiXM9yhM</a>",57,6,18,true
2024-03-26 06:09:18.000 UTC,2024-03-26 00:00:00.000 UTC,2024-03-00 00:00:00.000 UTC,solana,Buy,4.8169038331500005,4.816663,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Sell,2.523734,J2LWsSXx4r3pYbJ1fwuX5Nqo7PPxjcGPpUb2zHNadWKa,J2LWsSXx4r3pYbJ1fwuX5Nqo7PPxjcGPpUb2zHNadWKa,0.02435375,1.25E-4,SOL,So11111111111111111111111111111111111111112,meteora,1,,DWTJu95WfnB5T1WFxda3NvTfgqmq3FCSXXLuYemBBtPJ,"<a href=""https://birdeye.so/token/EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v/DWTJu95WfnB5T1WFxda3NvTfgqmq3FCSXXLuYemBBtPJ?chain=solana"" target=_blank"">DWTJu95WfnB5T1WFxda3NvTfgqmq3FCSXXLuYemBBtPJ</a>",Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ,"<a href=""https://birdeye.so/profile/Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ?chain=solana"" target=_blank"">Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ</a>",XS28EqZe3EuPa82sp1d3imDzrmM4UqLPPWZeqHFGMginW4fMM9ZpK1DJpSzzB1HMopoGRT8SFndFsGckiXM9yhM,"<a href=""https://solscan.io/tx/XS28EqZe3EuPa82sp1d3imDzrmM4UqLPPWZeqHFGMginW4fMM9ZpK1DJpSzzB1HMopoGRT8SFndFsGckiXM9yhM"" target=_blank"">XS28EqZe3EuPa82sp1d3imDzrmM4UqLPPWZeqHFGMginW4fMM9ZpK1DJpSzzB1HMopoGRT8SFndFsGckiXM9yhM</a>",57,6,10,false
2024-03-26 06:09:18.000 UTC,2024-03-26 00:00:00.000 UTC,2024-03-00 00:00:00.000 UTC,solana,Buy,4.8220425,2.523734,J2LWsSXx4r3pYbJ1fwuX5Nqo7PPxjcGPpUb2zHNadWKa,J2LWsSXx4r3pYbJ1fwuX5Nqo7PPxjcGPpUb2zHNadWKa,Buy,0.02475,SOL,So11111111111111111111111111111111111111112,0.02435375,1.25E-4,SOL,So11111111111111111111111111111111111111112,meteora,1,,BEWMBN66wKAhv8LQJFnQhpkTM14mnMXG8uJMgxXHL4JD,"<a href=""https://birdeye.so/token/J2LWsSXx4r3pYbJ1fwuX5Nqo7PPxjcGPpUb2zHNadWKa/BEWMBN66wKAhv8LQJFnQhpkTM14mnMXG8uJMgxXHL4JD?chain=solana"" target=_blank"">BEWMBN66wKAhv8LQJFnQhpkTM14mnMXG8uJMgxXHL4JD</a>",Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ,"<a href=""https://birdeye.so/profile/Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ?chain=solana"" target=_blank"">Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ</a>",XS28EqZe3EuPa82sp1d3imDzrmM4UqLPPWZeqHFGMginW4fMM9ZpK1DJpSzzB1HMopoGRT8SFndFsGckiXM9yhM,"<a href=""https://solscan.io/tx/XS28EqZe3EuPa82sp1d3imDzrmM4UqLPPWZeqHFGMginW4fMM9ZpK1DJpSzzB1HMopoGRT8SFndFsGckiXM9yhM"" target=_blank"">XS28EqZe3EuPa82sp1d3imDzrmM4UqLPPWZeqHFGMginW4fMM9ZpK1DJpSzzB1HMopoGRT8SFndFsGckiXM9yhM</a>",57,6,2,false
2024-03-26 06:08:53.000 UTC,2024-03-26 00:00:00.000 UTC,2024-03-00 00:00:00.000 UTC,solana,Buy,4.8220425,8851.351768374,BONGO,HUdqc5MR5h3FssESabPnQ1GTgTcPvnNudAuLj5J6a9sU,Buy,0.02475,SOL,So11111111111111111111111111111111111111112,0.02435375,1.25E-4,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-BONGO,4RM63UqsNpqFhqCzgKEAMhpg7Ree72Y9q9R59Chmj1hB,"<a href=""https://birdeye.so/token/HUdqc5MR5h3FssESabPnQ1GTgTcPvnNudAuLj5J6a9sU/4RM63UqsNpqFhqCzgKEAMhpg7Ree72Y9q9R59Chmj1hB?chain=solana"" target=_blank"">4RM63UqsNpqFhqCzgKEAMhpg7Ree72Y9q9R59Chmj1hB</a>",Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ,"<a href=""https://birdeye.so/profile/Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ?chain=solana"" target=_blank"">Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ</a>",5XabDbB3AEAj1jgWaymbT3XUTUq46Het8KwjtVPpeZmYNeicBPMoNW9AikiXgUv8dLXHcFXKk8aX5X6htEK73Hmf,"<a href=""https://solscan.io/tx/5XabDbB3AEAj1jgWaymbT3XUTUq46Het8KwjtVPpeZmYNeicBPMoNW9AikiXgUv8dLXHcFXKk8aX5X6htEK73Hmf"" target=_blank"">5XabDbB3AEAj1jgWaymbT3XUTUq46Het8KwjtVPpeZmYNeicBPMoNW9AikiXgUv8dLXHcFXKk8aX5X6htEK73Hmf</a>",3,6,2,true
2024-03-26 06:08:33.000 UTC,2024-03-26 00:00:00.000 UTC,2024-03-00 00:00:00.000 UTC,solana,Buy,4.8220425,8853.44132186,BONGO,HUdqc5MR5h3FssESabPnQ1GTgTcPvnNudAuLj5J6a9sU,Buy,0.02475,SOL,So11111111111111111111111111111111111111112,0.02435375,1.25E-4,SOL,So11111111111111111111111111111111111111112,raydium,4,SOL-BONGO,4RM63UqsNpqFhqCzgKEAMhpg7Ree72Y9q9R59Chmj1hB,"<a href=""https://birdeye.so/token/HUdqc5MR5h3FssESabPnQ1GTgTcPvnNudAuLj5J6a9sU/4RM63UqsNpqFhqCzgKEAMhpg7Ree72Y9q9R59Chmj1hB?chain=solana"" target=_blank"">4RM63UqsNpqFhqCzgKEAMhpg7Ree72Y9q9R59Chmj1hB</a>",Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ,"<a href=""https://birdeye.so/profile/Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ?chain=solana"" target=_blank"">Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ</a>",2n1cUyeHSPDTVP35bk2gQD6ikD2ZREYaSt7bv87F1WCUrbPRFTNJZUDMVb8FBEBYcQEzCioSbHk6KmQAQBmPZ5W5,"<a href=""https://solscan.io/tx/2n1cUyeHSPDTVP35bk2gQD6ikD2ZREYaSt7bv87F1WCUrbPRFTNJZUDMVb8FBEBYcQEzCioSbHk6KmQAQBmPZ5W5"" target=_blank"">2n1cUyeHSPDTVP35bk2gQD6ikD2ZREYaSt7bv87F1WCUrbPRFTNJZUDMVb8FBEBYcQEzCioSbHk6KmQAQBmPZ5W5</a>",762,6,2,true
2024-03-26 06:07:54.000 UTC,2024-03-26 00:00:00.000 UTC,2024-03-00 00:00:00.000 UTC,solana,Buy,4.8220425,102.053936455,,9wqS65VnG3rRrXT8aWWxvaZtAFiSL7QGaJXM7fVEtxed,Buy,0.02475,SOL,So11111111111111111111111111111111111111112,0.02435375,1.25E-4,SOL,So11111111111111111111111111111111111111112,raydium,4,,HYaDG6gut1AdRqxswtJANXWMaemhx8R3y6axW8GgzDm2,"<a href=""https://birdeye.so/token/9wqS65VnG3rRrXT8aWWxvaZtAFiSL7QGaJXM7fVEtxed/HYaDG6gut1AdRqxswtJANXWMaemhx8R3y6axW8GgzDm2?chain=solana"" target=_blank"">HYaDG6gut1AdRqxswtJANXWMaemhx8R3y6axW8GgzDm2</a>",Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ,"<a href=""https://birdeye.so/profile/Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ?chain=solana"" target=_blank"">Auh4yjKwgkKA5aPi1QdCULrK3zCYDZKkYLYGZPoNNTNJ</a>",344X99pxpWfuENBwvAXMA2uYfscLVscRaJBxhCJCxmLZXHmscehPbYYrKmPAmY1BLNfxggNakgQNdweAmrGFN77G,"<a href=""https://solscan.io/tx/344X99pxpWfuENBwvAXMA2uYfscLVscRaJBxhCJCxmLZXHmscehPbYYrKmPAmY1BLNfxggNakgQNdweAmrGFN77G"" target=_blank"">344X99pxpWfuENBwvAXMA2uYfscLVscRaJBxhCJCxmLZXHmscehPbYYrKmPAmY1BLNfxggNakgQNdweAmrGFN77G</a>",14,6,2,true
