tx_hash,block_time,nft_token_id,original_amount
0x9cf7d16af0b2192ef1f47a98c7f2b9aa93c3d881c1b5102dd467b24f1e94d1ee,2022-07-20T13:40:17+00:00,9556,0.75
0x711062341ab9f350683d54e4c22aae50e0bc66977f65815bc4c04eb23bea0165,2022-07-20T13:39:23+00:00,153058,2
0xf3760cf46e7a1e2815a71d481c8fc3b84743f65871540893aaebc60a5fa30ef4,2022-07-20T13:35:57+00:00,136,2.2
0xc3bab3213bdaedff616aa2a27a4b6148e5b6489692b0e3e0d9e81830d9244c45,2022-07-20T13:57:17+00:00,501,2.1
0xdcabaa83f18fc115816b59a71ed2ad42cef3c042f7e07e789192bf48d0574726,2022-07-20T13:57:17+00:00,2880,0.15
0xda84b080888e9de4afcd990f0c1cecb26c3bd8fa29cabd446e011e7bf7a3bda8,2022-07-20T13:56:23+00:00,9439,0.37
0xfee16424961ad8141114c561c34725018b4840c58d198ae517ffafc8977cbef3,2022-07-20T13:54:30+00:00,3712,0.2
0x4d5d4b7d301e9db7af229ebe632634d40f8ec1fe6dceb43194b17da633653204,2022-07-20T13:53:37+00:00,9024,11.9
0x26999d51ac98ee97dd43084eb708e6bb622c5bdee1b507f231c377a4672d8c36,2022-07-20T13:52:38+00:00,8214,0.375
0x030d06148286e167a5fdc4f70bb4a25e46e0d0a0626918edd74f434f7b3162f8,2022-07-20T14:19:30+00:00,49380,0.3
0x6131f902817a0b6f66117ccde31de96813ce794c3b810932b341ada6169d195f,2022-07-20T14:79:37+00:00,10992,9.4001
0x92e9843c7e9041325ea1cd47ff0cf09950dffd777c5ad8327dcf348a3c55519b,2022-07-20T14:17:37+00:00,21710,16.05
0x058f24ef8f39b6b0982c1ae84efa76a43fb5f2e4599e7f439049669d55ac73fe,2022-07-20T14:08:50+00:00,102,0.1666
0x20cef85503a169cdba68566c017faf3a57d59f11354d1d41ef74dabad11fc883,2022-06-09T22:33:20+00:00,2605,0.055
0x9dc0851957041d6e71506f973b8d6c022818044eed75d91be4ce968cf1ec223c,2022-06-09T22:33:38+00:00,6799,0.06
