tx_hash,block_number,evt_index,contract_address,block_time,maker,taker,taker_token,taker_symbol,maker_token,maker_symbol,token_pair,taker_token_amount,taker_token_amount_raw,maker_token_amount,maker_token_amount_raw,type,affiliate_address,swap_flag,matcha_limit_order_flag,volume_usd,tx_from,tx_to
0x083ad0039222555d415d9b362c90578e5bd3c7b8f314e3c07faca2cad66bb763,2452037,27,0xdb6f1920a889355780af7570773609bd8cb1f498,2023-08-10 18:50,0x000012556e697377617056330000000000000000,0x2ca8b6f515806eab68010abeb48fd83f7f8ce65a,0xbefd5c25a59ef2c1316c5a4944931171f30cd3e4,,0x4200000000000000000000000000000000000006,,,,51141344930124287889920,,836099898196861165,NewBridgeFill,0x1000000000000000000000000000000000000011,TRUE,FALSE,,0x2ca8b6f515806eab68010abeb48fd83f7f8ce65a,0x84a7059096a393f09f3d3f5771e4f25e2d1474ce
0xdb9fdbc89ab86974c5ebe06ff5bafa15d33cdaa7fc6a0c99af63e4b29b6c6e14,2452013,33,0xdb6f1920a889355780af7570773609bd8cb1f498,2023-08-10 18:49,0x000012556e697377617056330000000000000000,0x2ca8b6f515806eab68010abeb48fd83f7f8ce65a,0xbefd5c25a59ef2c1316c5a4944931171f30cd3e4,,0x4200000000000000000000000000000000000006,,,,58465152419893788940800,,948909144448293303,NewBridgeFill,0x1000000000000000000000000000000000000011,TRUE,FALSE,,0x2ca8b6f515806eab68010abeb48fd83f7f8ce65a,0x84a7059096a393f09f3d3f5771e4f25e2d1474ce
0x48dc6106d81b04721bdcbc61ab0e1b0402a6f960390dc8e8335f4e6654ff7234,2451644,34,0xdb6f1920a889355780af7570773609bd8cb1f498,2023-08-10 18:37,0x000012556e697377617056330000000000000000,0x2ca8b6f515806eab68010abeb48fd83f7f8ce65a,0xbefd5c25a59ef2c1316c5a4944931171f30cd3e4,,0x4200000000000000000000000000000000000006,,,,15120011835990757781504,,293401061769601419,NewBridgeFill,0x1000000000000000000000000000000000000011,TRUE,FALSE,,0x2ca8b6f515806eab68010abeb48fd83f7f8ce65a,0x84a7059096a393f09f3d3f5771e4f25e2d1474ce
0x19273a79a4cee8a9e37074a116c858e2a181ef7926a140ff1818e4d241948f1a,2452580,42,0xdb6f1920a889355780af7570773609bd8cb1f498,2023-08-10 19:08,0x000012556e697377617056330000000000000000,0x2ca8b6f515806eab68010abeb48fd83f7f8ce65a,0xbefd5c25a59ef2c1316c5a4944931171f30cd3e4,,0x4200000000000000000000000000000000000006,,,,40289824831062095438848,,774481333559317091,NewBridgeFill,0x1000000000000000000000000000000000000011,TRUE,FALSE,,0x2ca8b6f515806eab68010abeb48fd83f7f8ce65a,0x84a7059096a393f09f3d3f5771e4f25e2d1474ce
0x19273a79a4cee8a9e37074a116c858e2a181ef7926a140ff1818e4d241948f1a,2452580,46,0xdb6f1920a889355780af7570773609bd8cb1f498,2023-08-10 19:08,0x00001942616c616e636572563200000000000000,0x2ca8b6f515806eab68010abeb48fd83f7f8ce65a,0xbefd5c25a59ef2c1316c5a4944931171f30cd3e4,,0x4200000000000000000000000000000000000006,,,,5717160245642565073408,,106317720903161678,NewBridgeFill,0x1000000000000000000000000000000000000011,TRUE,FALSE,,0x2ca8b6f515806eab68010abeb48fd83f7f8ce65a,0x84a7059096a393f09f3d3f5771e4f25e2d1474ce
0xafe260d9ce26e373f9b5c7bbed20b2ab493ede3bcceb006bc637fe5706c6c4ae,2452496,33,0xdb6f1920a889355780af7570773609bd8cb1f498,2023-08-10 19:05,0x000012556e697377617056330000000000000000,0x2ca8b6f515806eab68010abeb48fd83f7f8ce65a,0x4200000000000000000000000000000000000006,,0xbefd5c25a59ef2c1316c5a4944931171f30cd3e4,,,,2.76275E+20,,229831636309630071324,NewBridgeFill,0x1000000000000000000000000000000000000011,TRUE,FALSE,,0x2ca8b6f515806eab68010abeb48fd83f7f8ce65a,0x84a7059096a393f09f3d3f5771e4f25e2d1474ce
0x48dc6106d81b04721bdcbc61ab0e1b0402a6f960390dc8e8335f4e6654ff7234,2451644,27,0xdb6f1920a889355780af7570773609bd8cb1f498,2023-08-10 18:37,0x00001942616c616e636572563200000000000000,0x2ca8b6f515806eab68010abeb48fd83f7f8ce65a,0x4200000000000000000000000000000000000006,,0xbefd5c25a59ef2c1316c5a4944931171f30cd3e4,,,,7.44141E+19,,59062546234338897584,NewBridgeFill,0x1000000000000000000000000000000000000011,TRUE,FALSE,,0x2ca8b6f515806eab68010abeb48fd83f7f8ce65a,0x84a7059096a393f09f3d3f5771e4f25e2d1474ce
0x19273a79a4cee8a9e37074a116c858e2a181ef7926a140ff1818e4d241948f1a,2452580,35,0xdb6f1920a889355780af7570773609bd8cb1f498,2023-08-10 19:08,0x00001942616c616e636572563200000000000000,0x2ca8b6f515806eab68010abeb48fd83f7f8ce65a,0x4200000000000000000000000000000000000006,,0xbefd5c25a59ef2c1316c5a4944931171f30cd3e4,,,,2.23014E+20,,179714785455877580126,NewBridgeFill,0x1000000000000000000000000000000000000011,TRUE,FALSE,,0x2ca8b6f515806eab68010abeb48fd83f7f8ce65a,0x84a7059096a393f09f3d3f5771e4f25e2d1474ce
0xdb9fdbc89ab86974c5ebe06ff5bafa15d33cdaa7fc6a0c99af63e4b29b6c6e14,2452013,26,0xdb6f1920a889355780af7570773609bd8cb1f498,2023-08-10 18:49,0x00001942616c616e636572563200000000000000,0x2ca8b6f515806eab68010abeb48fd83f7f8ce65a,0x4200000000000000000000000000000000000006,,0xbefd5c25a59ef2c1316c5a4944931171f30cd3e4,,,,2.40627E+20,,228379501640210113050,NewBridgeFill,0x1000000000000000000000000000000000000011,TRUE,FALSE,,0x2ca8b6f515806eab68010abeb48fd83f7f8ce65a,0x84a7059096a393f09f3d3f5771e4f25e2d1474ce
0x083ad0039222555d415d9b362c90578e5bd3c7b8f314e3c07faca2cad66bb763,2452037,20,0xdb6f1920a889355780af7570773609bd8cb1f498,2023-08-10 18:50,0x00001942616c616e636572563200000000000000,0x2ca8b6f515806eab68010abeb48fd83f7f8ce65a,0x4200000000000000000000000000000000000006,,0xbefd5c25a59ef2c1316c5a4944931171f30cd3e4,,,,2.1154E+20,,199770878633297999570,NewBridgeFill,0x1000000000000000000000000000000000000011,TRUE,FALSE,,0x2ca8b6f515806eab68010abeb48fd83f7f8ce65a,0x84a7059096a393f09f3d3f5771e4f25e2d1474ce
